"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"62","0.6555","0.6555","0.6555","0.7135","0.7135","0.7135","0.173","0.173","0.173"
"63","0.6415","0.6415","0.6415","0.691","0.691","0.691","0.173","0.173","0.173"
"64","0.6725","0.6725","0.6725","0.6975","0.6975","0.6975","0.174","0.174","0.174"
"65","0.6685","0.6685","0.6685","0.711","0.711","0.711","0.1815","0.1815","0.1815"
"66","0.651","0.651","0.651","0.655","0.655","0.655","0.182","0.182","0.182"
"67","0.691","0.691","0.691","0.6725","0.6725","0.6725","0.181","0.181","0.181"
"68","0.662","0.662","0.662","0.7325","0.7325","0.7325","0.185","0.185","0.185"
"69","0.71","0.71","0.71","0.721","0.721","0.721","0.1825","0.1825","0.1825"
"70","0.673","0.673","0.673","0.712","0.712","0.712","0.188","0.188","0.188"
"71","0.648","0.648","0.648","0.703","0.703","0.703","0.1905","0.1905","0.1905"
"72","0.7145","0.7145","0.7145","0.6965","0.6965","0.6965","0.1915","0.1915","0.1915"
"73","0.711","0.711","0.711","0.748","0.748","0.748","0.1945","0.1945","0.1945"
"74","0.717","0.717","0.717","0.7145","0.7145","0.7145","0.1945","0.1945","0.1945"
"75","0","0","0","0","0","0","0.0035","0.0035","0.0035"
"76","0.6075","0.6075","0.6075","0.561","0.561","0.561","0.0785","0.0785","0.0785"
"77","0.611","0.611","0.611","0.6415","0.6415","0.6415","0.1455","0.1455","0.1455"
"78","0.609","0.609","0.609","0.675","0.675","0.675","0.1455","0.1455","0.1455"
"79","0.6625","0.6625","0.6625","0.6925","0.6925","0.6925","0.1455","0.1455","0.1455"
"80","0.6375","0.6375","0.6375","0.7085","0.7085","0.7085","0.146","0.146","0.146"
"81","0.6345","0.6345","0.6345","0.7295","0.7295","0.7295","0.148","0.148","0.148"
"82","0.6615","0.6615","0.6615","0.6995","0.6995","0.6995","0.147","0.147","0.147"
"83","0.7045","0.7045","0.7045","0.714","0.714","0.714","0.147","0.147","0.147"
"84","0.7335","0.7335","0.7335","0.731","0.731","0.731","0.156","0.156","0.156"
"85","0.6725","0.6725","0.6725","0.735","0.735","0.735","0.1585","0.1585","0.1585"
"86","0.722","0.722","0.722","0.7585","0.7585","0.7585","0.162","0.162","0.162"
"87","0.724","0.724","0.724","0.7615","0.7615","0.7615","0.1645","0.1645","0.1645"
"88","0.689","0.689","0.689","0.7545","0.7545","0.7545","0.1675","0.1675","0.1675"
"89","0.7205","0.7205","0.7205","0.745","0.745","0.745","0.1695","0.1695","0.1695"
"90","0.703","0.703","0.703","0.7315","0.7315","0.7315","0.1795","0.1795","0.1795"
"91","0.7065","0.7065","0.7065","0.7635","0.7635","0.7635","0.1735","0.1735","0.1735"
"92","0.714","0.714","0.714","0.7875","0.7875","0.7875","0.179","0.179","0.179"
"93","0.6865","0.6865","0.6865","0.7985","0.7985","0.7985","0.1935","0.1935","0.1935"
"94","0.713","0.713","0.713","0.745","0.745","0.745","0.183","0.183","0.183"
"95","0.759","0.759","0.759","0.7575","0.7575","0.7575","0.1995","0.1995","0.1995"
"96","0.7395","0.7395","0.7395","0.741","0.741","0.741","0.1945","0.1945","0.1945"
"97","0.7285","0.7285","0.7285","0.7855","0.7855","0.7855","0.1975","0.1975","0.1975"
"98","0.727","0.727","0.727","0.769","0.769","0.769","0.2","0.2","0.2"
"99","0.7485","0.7485","0.7485","0.719","0.719","0.719","0.2065","0.2065","0.2065"
"100","0","0","0","0","0","0","0","0","0"
"101","0.592","0.592","0.592","0.5085","0.5085","0.5085","0.039","0.039","0.039"
"102","0.571","0.571","0.571","0.5785","0.5785","0.5785","0.156","0.156","0.156"
"103","0.6035","0.6035","0.6035","0.621","0.621","0.621","0.157","0.157","0.157"
"104","0.5815","0.5815","0.5815","0.667","0.667","0.667","0.1705","0.1705","0.1705"
"105","0.6545","0.6545","0.6545","0.6395","0.6395","0.6395","0.1705","0.1705","0.1705"
"106","0.629","0.629","0.629","0.5965","0.5965","0.5965","0.1925","0.1925","0.1925"
"107","0.651","0.651","0.651","0.656","0.656","0.656","0.1825","0.1825","0.1825"
"108","0.654","0.654","0.654","0.641","0.641","0.641","0.174","0.174","0.174"
"109","0.691","0.691","0.691","0.6575","0.6575","0.6575","0.1965","0.1965","0.1965"
"110","0.6765","0.6765","0.6765","0.6935","0.6935","0.6935","0.186","0.186","0.186"
"111","0.6565","0.6565","0.6565","0.6355","0.6355","0.6355","0.204","0.204","0.204"
"112","0.633","0.633","0.633","0.715","0.715","0.715","0.203","0.203","0.203"
"113","0.609","0.609","0.609","0.639","0.639","0.639","0.2055","0.2055","0.2055"
"114","0.704","0.704","0.704","0.708","0.708","0.708","0.2035","0.2035","0.2035"
"115","0.715","0.715","0.715","0.7065","0.7065","0.7065","0.207","0.207","0.207"
"116","0.715","0.715","0.715","0.6905","0.6905","0.6905","0.203","0.203","0.203"
"117","0.6505","0.6505","0.6505","0.731","0.731","0.731","0.211","0.211","0.211"
"118","0.6745","0.6745","0.6745","0.717","0.717","0.717","0.2035","0.2035","0.2035"
"119","0.6415","0.6415","0.6415","0.69","0.69","0.69","0.202","0.202","0.202"
"120","0.704","0.704","0.704","0.7575","0.7575","0.7575","0.213","0.213","0.213"
"121","0.724","0.724","0.724","0.73","0.73","0.73","0.215","0.215","0.215"
"122","0.678","0.678","0.678","0.7155","0.7155","0.7155","0.2215","0.2215","0.2215"
"123","0.7145","0.7145","0.7145","0.7015","0.7015","0.7015","0.209","0.209","0.209"
"124","0.666","0.666","0.666","0.739","0.739","0.739","0.2155","0.2155","0.2155"
"125","0","0","0","0","0","0","0.0155","0.0155","0.0155"
"126","0.546","0.546","0.546","0.57","0.57","0.57","0.068","0.068","0.068"
"127","0.564","0.564","0.564","0.629","0.629","0.629","0.129","0.129","0.129"
"128","0.633","0.633","0.633","0.6755","0.6755","0.6755","0.15","0.15","0.15"
