"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"729","0.689","0.689","0.689","0.76","0.76","0.76","0.376","0.376","0.376"
"730","0.7195","0.7195","0.7195","0.8245","0.8245","0.8245","0.3855","0.3855","0.3855"
"731","0.6205","0.6205","0.6205","0.754","0.754","0.754","0.392","0.392","0.392"
"732","0.7205","0.7205","0.7205","0.788","0.788","0.788","0.3985","0.3985","0.3985"
"733","0.704","0.704","0.704","0.793","0.793","0.793","0.4005","0.4005","0.4005"
"734","0.752","0.752","0.752","0.815","0.815","0.815","0.4","0.4","0.4"
"735","0.7855","0.7855","0.7855","0.809","0.809","0.809","0.4045","0.4045","0.4045"
"736","0.779","0.779","0.779","0.833","0.833","0.833","0.4115","0.4115","0.4115"
"737","0.728","0.728","0.728","0.794","0.794","0.794","0.409","0.409","0.409"
"738","0.7855","0.7855","0.7855","0.833","0.833","0.833","0.411","0.411","0.411"
"739","0.742","0.742","0.742","0.847","0.847","0.847","0.4175","0.4175","0.4175"
"740","0.728","0.728","0.728","0.827","0.827","0.827","0.415","0.415","0.415"
"741","0.798","0.798","0.798","0.812","0.812","0.812","0.4175","0.4175","0.4175"
"742","0.779","0.779","0.779","0.847","0.847","0.847","0.4185","0.4185","0.4185"
"743","0.7765","0.7765","0.7765","0.8515","0.8515","0.8515","0.418","0.418","0.418"
"744","0.7095","0.7095","0.7095","0.8445","0.8445","0.8445","0.4175","0.4175","0.4175"
"745","0.7815","0.7815","0.7815","0.837","0.837","0.837","0.419","0.419","0.419"
"746","0.7665","0.7665","0.7665","0.8275","0.8275","0.8275","0.419","0.419","0.419"
"747","0.753","0.753","0.753","0.8235","0.8235","0.8235","0.4175","0.4175","0.4175"
"748","0.793","0.793","0.793","0.847","0.847","0.847","0.42","0.42","0.42"
"749","0.72","0.72","0.72","0.8715","0.8715","0.8715","0.4145","0.4145","0.4145"
"750","0","0","0","0","0","0","0.007","0.007","0.007"
"751","0.622","0.622","0.622","0.7935","0.7935","0.7935","0.078","0.078","0.078"
"752","0.7115","0.7115","0.7115","0.8605","0.8605","0.8605","0.2925","0.2925","0.2925"
"753","0.772","0.772","0.772","0.819","0.819","0.819","0.344","0.344","0.344"
"754","0.785","0.785","0.785","0.86","0.86","0.86","0.3735","0.3735","0.3735"
"755","0.7775","0.7775","0.7775","0.879","0.879","0.879","0.3875","0.3875","0.3875"
"756","0.79","0.79","0.79","0.8985","0.8985","0.8985","0.396","0.396","0.396"
"757","0.766","0.766","0.766","0.909","0.909","0.909","0.397","0.397","0.397"
"758","0.737","0.737","0.737","0.868","0.868","0.868","0.396","0.396","0.396"
"759","0.7495","0.7495","0.7495","0.8915","0.8915","0.8915","0.403","0.403","0.403"
"760","0.812","0.812","0.812","0.928","0.928","0.928","0.4055","0.4055","0.4055"
"761","0.7985","0.7985","0.7985","0.8745","0.8745","0.8745","0.4125","0.4125","0.4125"
"762","0.7965","0.7965","0.7965","0.9015","0.9015","0.9015","0.417","0.417","0.417"
"763","0.7775","0.7775","0.7775","0.9245","0.9245","0.9245","0.4145","0.4145","0.4145"
"764","0.8025","0.8025","0.8025","0.892","0.892","0.892","0.42","0.42","0.42"
"765","0.808","0.808","0.808","0.886","0.886","0.886","0.4205","0.4205","0.4205"
"766","0.7815","0.7815","0.7815","0.928","0.928","0.928","0.4235","0.4235","0.4235"
"767","0.752","0.752","0.752","0.914","0.914","0.914","0.427","0.427","0.427"
"768","0.8065","0.8065","0.8065","0.9165","0.9165","0.9165","0.4305","0.4305","0.4305"
"769","0.811","0.811","0.811","0.904","0.904","0.904","0.431","0.431","0.431"
"770","0.81","0.81","0.81","0.919","0.919","0.919","0.4275","0.4275","0.4275"
"771","0.802","0.802","0.802","0.915","0.915","0.915","0.4315","0.4315","0.4315"
"772","0.813","0.813","0.813","0.901","0.901","0.901","0.4335","0.4335","0.4335"
"773","0.802","0.802","0.802","0.8615","0.8615","0.8615","0.4295","0.4295","0.4295"
"774","0.7915","0.7915","0.7915","0.9115","0.9115","0.9115","0.4325","0.4325","0.4325"
"775","0","0","0","0","0","0","0.1265","0.1265","0.1265"
"776","0.701","0.701","0.701","0.622","0.622","0.622","0.1995","0.1995","0.1995"
"777","0.7585","0.7585","0.7585","0.637","0.637","0.637","0.264","0.264","0.264"
"778","0.779","0.779","0.779","0.6685","0.6685","0.6685","0.299","0.299","0.299"
"779","0.802","0.802","0.802","0.7475","0.7475","0.7475","0.3305","0.3305","0.3305"
"780","0.793","0.793","0.793","0.7045","0.7045","0.7045","0.3385","0.3385","0.3385"
"781","0.817","0.817","0.817","0.692","0.692","0.692","0.3465","0.3465","0.3465"
"782","0.824","0.824","0.824","0.76","0.76","0.76","0.345","0.345","0.345"
"783","0.8025","0.8025","0.8025","0.74","0.74","0.74","0.3475","0.3475","0.3475"
"784","0.787","0.787","0.787","0.7905","0.7905","0.7905","0.348","0.348","0.348"
"785","0.7995","0.7995","0.7995","0.813","0.813","0.813","0.346","0.346","0.346"
"786","0.806","0.806","0.806","0.8045","0.8045","0.8045","0.3465","0.3465","0.3465"
"787","0.8325","0.8325","0.8325","0.7885","0.7885","0.7885","0.3545","0.3545","0.3545"
"788","0.8135","0.8135","0.8135","0.8045","0.8045","0.8045","0.3535","0.3535","0.3535"
"789","0.84","0.84","0.84","0.7445","0.7445","0.7445","0.3575","0.3575","0.3575"
"790","0.842","0.842","0.842","0.727","0.727","0.727","0.3535","0.3535","0.3535"
"791","0.8395","0.8395","0.8395","0.77","0.77","0.77","0.3575","0.3575","0.3575"
"792","0.822","0.822","0.822","0.7355","0.7355","0.7355","0.351","0.351","0.351"
"793","0.818","0.818","0.818","0.843","0.843","0.843","0.3615","0.3615","0.3615"
"794","0.856","0.856","0.856","0.848","0.848","0.848","0.365","0.365","0.365"
"795","0.7935","0.7935","0.7935","0.8145","0.8145","0.8145","0.3595","0.3595","0.3595"
"796","0.8405","0.8405","0.8405","0.834","0.834","0.834","0.3585","0.3585","0.3585"
"797","0.83","0.83","0.83","0.826","0.826","0.826","0.362","0.362","0.362"
"798","0.843","0.843","0.843","0.817","0.817","0.817","0.3625","0.3625","0.3625"
"799","0.793","0.793","0.793","0.841","0.841","0.841","0.3625","0.3625","0.3625"
"800","0","0","0","0","0","0","0.0235","0.0235","0.0235"
"801","0.5985","0.5985","0.5985","0.75","0.75","0.75","0.158","0.158","0.158"
"802","0.6995","0.6995","0.6995","0.769","0.769","0.769","0.2965","0.2965","0.2965"
"803","0.75","0.75","0.75","0.789","0.789","0.789","0.353","0.353","0.353"
"804","0.6915","0.6915","0.6915","0.827","0.827","0.827","0.371","0.371","0.371"
"805","0.7135","0.7135","0.7135","0.777","0.777","0.777","0.3865","0.3865","0.3865"
"806","0.741","0.741","0.741","0.8025","0.8025","0.8025","0.394","0.394","0.394"
"807","0.7625","0.7625","0.7625","0.7855","0.7855","0.7855","0.3985","0.3985","0.3985"
"808","0.756","0.756","0.756","0.796","0.796","0.796","0.393","0.393","0.393"
"809","0.77","0.77","0.77","0.8105","0.8105","0.8105","0.4035","0.4035","0.4035"
"810","0.783","0.783","0.783","0.7875","0.7875","0.7875","0.398","0.398","0.398"
"811","0.74","0.74","0.74","0.7915","0.7915","0.7915","0.4035","0.4035","0.4035"
"812","0.8055","0.8055","0.8055","0.839","0.839","0.839","0.4035","0.4035","0.4035"
"813","0.7595","0.7595","0.7595","0.8495","0.8495","0.8495","0.4045","0.4045","0.4045"
"814","0.7765","0.7765","0.7765","0.8255","0.8255","0.8255","0.408","0.408","0.408"
"815","0.792","0.792","0.792","0.881","0.881","0.881","0.406","0.406","0.406"
"816","0.774","0.774","0.774","0.85","0.85","0.85","0.406","0.406","0.406"
"817","0.7675","0.7675","0.7675","0.8325","0.8325","0.8325","0.4155","0.4155","0.4155"
"818","0.757","0.757","0.757","0.863","0.863","0.863","0.415","0.415","0.415"
"819","0.79","0.79","0.79","0.87","0.87","0.87","0.4125","0.4125","0.4125"
"820","0.7745","0.7745","0.7745","0.8345","0.8345","0.8345","0.418","0.418","0.418"
"821","0.7705","0.7705","0.7705","0.809","0.809","0.809","0.4125","0.4125","0.4125"
"822","0.759","0.759","0.759","0.884","0.884","0.884","0.4165","0.4165","0.4165"
"823","0.7595","0.7595","0.7595","0.8785","0.8785","0.8785","0.4215","0.4215","0.4215"
"824","0.754","0.754","0.754","0.879","0.879","0.879","0.4175","0.4175","0.4175"
"825","0","0","0","0","0","0","0.0795","0.0795","0.0795"
"826","0.6475","0.6475","0.6475","0.7455","0.7455","0.7455","0.137","0.137","0.137"
"827","0.7375","0.7375","0.7375","0.796","0.796","0.796","0.218","0.218","0.218"
"828","0.781","0.781","0.781","0.796","0.796","0.796","0.2825","0.2825","0.2825"
"829","0.772","0.772","0.772","0.797","0.797","0.797","0.319","0.319","0.319"
"830","0.7685","0.7685","0.7685","0.825","0.825","0.825","0.3345","0.3345","0.3345"
"831","0.7985","0.7985","0.7985","0.7865","0.7865","0.7865","0.3385","0.3385","0.3385"
"832","0.767","0.767","0.767","0.8545","0.8545","0.8545","0.3415","0.3415","0.3415"
"833","0.7985","0.7985","0.7985","0.848","0.848","0.848","0.344","0.344","0.344"
"834","0.72","0.72","0.72","0.849","0.849","0.849","0.3455","0.3455","0.3455"
"835","0.764","0.764","0.764","0.853","0.853","0.853","0.3485","0.3485","0.3485"
"836","0.7985","0.7985","0.7985","0.8415","0.8415","0.8415","0.3525","0.3525","0.3525"
"837","0.7845","0.7845","0.7845","0.869","0.869","0.869","0.3555","0.3555","0.3555"
"838","0.789","0.789","0.789","0.879","0.879","0.879","0.356","0.356","0.356"
"839","0.784","0.784","0.784","0.8525","0.8525","0.8525","0.36","0.36","0.36"
"840","0.806","0.806","0.806","0.841","0.841","0.841","0.357","0.357","0.357"
"841","0.7725","0.7725","0.7725","0.863","0.863","0.863","0.359","0.359","0.359"
"842","0.7935","0.7935","0.7935","0.8705","0.8705","0.8705","0.362","0.362","0.362"
"843","0.8095","0.8095","0.8095","0.8465","0.8465","0.8465","0.3645","0.3645","0.3645"
"844","0.806","0.806","0.806","0.8535","0.8535","0.8535","0.3675","0.3675","0.3675"
"845","0.8085","0.8085","0.8085","0.8615","0.8615","0.8615","0.3575","0.3575","0.3575"
"846","0.8225","0.8225","0.8225","0.878","0.878","0.878","0.3735","0.3735","0.3735"
"847","0.789","0.789","0.789","0.8825","0.8825","0.8825","0.3695","0.3695","0.3695"
"848","0.815","0.815","0.815","0.888","0.888","0.888","0.372","0.372","0.372"
"849","0.817","0.817","0.817","0.855","0.855","0.855","0.374","0.374","0.374"
"850","0","0","0","0","0","0","0.089","0.089","0.089"
"851","0.6305","0.6305","0.6305","0.721","0.721","0.721","0.129","0.129","0.129"
"852","0.692","0.692","0.692","0.7585","0.7585","0.7585","0.2415","0.2415","0.2415"
"853","0.7655","0.7655","0.7655","0.7715","0.7715","0.7715","0.3055","0.3055","0.3055"
"854","0.7105","0.7105","0.7105","0.7655","0.7655","0.7655","0.338","0.338","0.338"
"855","0.741","0.741","0.741","0.786","0.786","0.786","0.3465","0.3465","0.3465"
"856","0.734","0.734","0.734","0.83","0.83","0.83","0.354","0.354","0.354"
"857","0.7175","0.7175","0.7175","0.8055","0.8055","0.8055","0.3665","0.3665","0.3665"
"858","0.7315","0.7315","0.7315","0.791","0.791","0.791","0.373","0.373","0.373"
"859","0.725","0.725","0.725","0.748","0.748","0.748","0.368","0.368","0.368"
"860","0.7165","0.7165","0.7165","0.759","0.759","0.759","0.3785","0.3785","0.3785"
"861","0.756","0.756","0.756","0.811","0.811","0.811","0.3745","0.3745","0.3745"
"862","0.7725","0.7725","0.7725","0.779","0.779","0.779","0.3735","0.3735","0.3735"
"863","0.7385","0.7385","0.7385","0.803","0.803","0.803","0.3835","0.3835","0.3835"
"864","0.7615","0.7615","0.7615","0.8235","0.8235","0.8235","0.3825","0.3825","0.3825"
"865","0.795","0.795","0.795","0.7935","0.7935","0.7935","0.388","0.388","0.388"
"866","0.7755","0.7755","0.7755","0.8055","0.8055","0.8055","0.379","0.379","0.379"
"867","0.7595","0.7595","0.7595","0.827","0.827","0.827","0.3835","0.3835","0.3835"
"868","0.7565","0.7565","0.7565","0.819","0.819","0.819","0.3885","0.3885","0.3885"
"869","0.7885","0.7885","0.7885","0.855","0.855","0.855","0.3875","0.3875","0.3875"
"870","0.7995","0.7995","0.7995","0.8265","0.8265","0.8265","0.3875","0.3875","0.3875"
"871","0.7315","0.7315","0.7315","0.82","0.82","0.82","0.391","0.391","0.391"
"872","0.7745","0.7745","0.7745","0.856","0.856","0.856","0.3925","0.3925","0.3925"
"873","0.8015","0.8015","0.8015","0.8295","0.8295","0.8295","0.3845","0.3845","0.3845"
"874","0.7485","0.7485","0.7485","0.835","0.835","0.835","0.3925","0.3925","0.3925"
"875","0","0","0","0","0","0","0.0685","0.0685","0.0685"
"876","0.7105","0.7105","0.7105","0.679","0.679","0.679","0.121","0.121","0.121"
"877","0.7855","0.7855","0.7855","0.801","0.801","0.801","0.255","0.255","0.255"
"878","0.7735","0.7735","0.7735","0.738","0.738","0.738","0.3075","0.3075","0.3075"
"879","0.8025","0.8025","0.8025","0.7935","0.7935","0.7935","0.3285","0.3285","0.3285"
"880","0.7875","0.7875","0.7875","0.782","0.782","0.782","0.353","0.353","0.353"
"881","0.818","0.818","0.818","0.8175","0.8175","0.8175","0.365","0.365","0.365"
"882","0.8215","0.8215","0.8215","0.8205","0.8205","0.8205","0.368","0.368","0.368"
"883","0.798","0.798","0.798","0.81","0.81","0.81","0.3665","0.3665","0.3665"
"884","0.8025","0.8025","0.8025","0.8005","0.8005","0.8005","0.371","0.371","0.371"
"885","0.821","0.821","0.821","0.784","0.784","0.784","0.3705","0.3705","0.3705"
"886","0.8065","0.8065","0.8065","0.838","0.838","0.838","0.376","0.376","0.376"
"887","0.8215","0.8215","0.8215","0.8275","0.8275","0.8275","0.374","0.374","0.374"
"888","0.804","0.804","0.804","0.819","0.819","0.819","0.374","0.374","0.374"
"889","0.814","0.814","0.814","0.8635","0.8635","0.8635","0.379","0.379","0.379"
"890","0.82","0.82","0.82","0.841","0.841","0.841","0.372","0.372","0.372"
"891","0.822","0.822","0.822","0.843","0.843","0.843","0.375","0.375","0.375"
"892","0.802","0.802","0.802","0.8555","0.8555","0.8555","0.38","0.38","0.38"
"893","0.8255","0.8255","0.8255","0.8565","0.8565","0.8565","0.384","0.384","0.384"
"894","0.801","0.801","0.801","0.871","0.871","0.871","0.3825","0.3825","0.3825"
"895","0.8315","0.8315","0.8315","0.829","0.829","0.829","0.3815","0.3815","0.3815"
"896","0.819","0.819","0.819","0.838","0.838","0.838","0.382","0.382","0.382"
"897","","","","0.8465","0.8465","0.8465","0.3805","0.3805","0.3805"
"898","","","","0.839","0.839","0.839","0.3845","0.3845","0.3845"
"899","","","","0.8645","0.8645","0.8645","0.3855","0.3855","0.3855"
"900","","","","0","0","0","0.1305","0.1305","0.1305"
"901","","","","0.7325","0.7325","0.7325","0.2195","0.2195","0.2195"
"902","","","","0.801","0.801","0.801","0.3125","0.3125","0.3125"
"903","","","","0.757","0.757","0.757","0.3635","0.3635","0.3635"
"904","","","","0.8025","0.8025","0.8025","0.4065","0.4065","0.4065"
"905","","","","0.855","0.855","0.855","0.426","0.426","0.426"
"906","","","","0.863","0.863","0.863","0.439","0.439","0.439"
"907","","","","0.823","0.823","0.823","0.445","0.445","0.445"
"908","","","","0.8115","0.8115","0.8115","0.446","0.446","0.446"
"909","","","","0.8585","0.8585","0.8585","0.452","0.452","0.452"
"910","","","","0.8385","0.8385","0.8385","0.4515","0.4515","0.4515"
"911","","","","0.8445","0.8445","0.8445","0.455","0.455","0.455"
"912","","","","0.885","0.885","0.885","0.466","0.466","0.466"
"913","","","","0.861","0.861","0.861","0.4675","0.4675","0.4675"
"914","","","","0.8425","0.8425","0.8425","0.4675","0.4675","0.4675"
"915","","","","0.882","0.882","0.882","0.4655","0.4655","0.4655"
"916","","","","0.872","0.872","0.872","0.47","0.47","0.47"
"917","","","","0.853","0.853","0.853","0.472","0.472","0.472"
"918","","","","0.8485","0.8485","0.8485","0.477","0.477","0.477"
"919","","","","0.8315","0.8315","0.8315","0.4735","0.4735","0.4735"
"920","","","","0.8565","0.8565","0.8565","0.4715","0.4715","0.4715"
"921","","","","0.8815","0.8815","0.8815","0.478","0.478","0.478"
"922","","","","0.895","0.895","0.895","0.4725","0.4725","0.4725"
"923","","","","0.897","0.897","0.897","0.4735","0.4735","0.4735"
"924","","","","0.8945","0.8945","0.8945","0.4725","0.4725","0.4725"
"925","","","","0","0","0","0.127","0.127","0.127"
"926","","","","0.665","0.665","0.665","0.167","0.167","0.167"
"927","","","","0.795","0.795","0.795","0.213","0.213","0.213"
"928","","","","0.837","0.837","0.837","0.2785","0.2785","0.2785"
"929","","","","0.868","0.868","0.868","0.322","0.322","0.322"
"930","","","","0.8325","0.8325","0.8325","0.334","0.334","0.334"
"931","","","","0.8285","0.8285","0.8285","0.3475","0.3475","0.3475"
"932","","","","0.8345","0.8345","0.8345","0.348","0.348","0.348"
"933","","","","0.875","0.875","0.875","0.355","0.355","0.355"
"934","","","","0.8345","0.8345","0.8345","0.364","0.364","0.364"
"935","","","","0.8565","0.8565","0.8565","0.3615","0.3615","0.3615"
"936","","","","0.8455","0.8455","0.8455","0.367","0.367","0.367"
"937","","","","0.8685","0.8685","0.8685","0.3615","0.3615","0.3615"
"938","","","","0.85","0.85","0.85","0.3685","0.3685","0.3685"
"939","","","","0.8565","0.8565","0.8565","0.3645","0.3645","0.3645"
"940","","","","0.8365","0.8365","0.8365","0.3715","0.3715","0.3715"
"941","","","","0.8815","0.8815","0.8815","0.3635","0.3635","0.3635"
"942","","","","0.846","0.846","0.846","0.3685","0.3685","0.3685"
"943","","","","0.855","0.855","0.855","0.3665","0.3665","0.3665"
"944","","","","0.8845","0.8845","0.8845","0.3645","0.3645","0.3645"
"945","","","","0.854","0.854","0.854","0.367","0.367","0.367"
"946","","","","0.8745","0.8745","0.8745","0.37","0.37","0.37"
"947","","","","0.871","0.871","0.871","0.3735","0.3735","0.3735"
"948","","","","0.8495","0.8495","0.8495","0.3755","0.3755","0.3755"
"949","","","","0.8625","0.8625","0.8625","0.377","0.377","0.377"
"950","","","","0","0","0","0.06","0.06","0.06"
"951","","","","0.648","0.648","0.648","0.1225","0.1225","0.1225"
"952","","","","0.7505","0.7505","0.7505","0.2155","0.2155","0.2155"
"953","","","","0.7465","0.7465","0.7465","0.2475","0.2475","0.2475"
"954","","","","0.792","0.792","0.792","0.287","0.287","0.287"
"955","","","","0.685","0.685","0.685","0.3055","0.3055","0.3055"
"956","","","","0.7775","0.7775","0.7775","0.3325","0.3325","0.3325"
"957","","","","0.8","0.8","0.8","0.3255","0.3255","0.3255"
"958","","","","0.773","0.773","0.773","0.3365","0.3365","0.3365"
"959","","","","0.79","0.79","0.79","0.336","0.336","0.336"
"960","","","","0.7595","0.7595","0.7595","0.352","0.352","0.352"
"961","","","","0.785","0.785","0.785","0.352","0.352","0.352"
"962","","","","0.763","0.763","0.763","0.3635","0.3635","0.3635"
"963","","","","0.7915","0.7915","0.7915","0.3525","0.3525","0.3525"
"964","","","","0.74","0.74","0.74","0.359","0.359","0.359"
"965","","","","0.773","0.773","0.773","0.3685","0.3685","0.3685"
"966","","","","0.7725","0.7725","0.7725","0.3695","0.3695","0.3695"
"967","","","","0.755","0.755","0.755","0.368","0.368","0.368"
"968","","","","0.7675","0.7675","0.7675","0.3785","0.3785","0.3785"
"969","","","","0.8","0.8","0.8","0.3685","0.3685","0.3685"
"970","","","","0.8275","0.8275","0.8275","0.374","0.374","0.374"
"971","","","","0.8165","0.8165","0.8165","0.3735","0.3735","0.3735"
"972","","","","0.8175","0.8175","0.8175","0.375","0.375","0.375"
"973","","","","0.8135","0.8135","0.8135","0.375","0.375","0.375"
"974","","","","0.8075","0.8075","0.8075","0.3745","0.3745","0.3745"
"975","","","","0","0","0","0.0375","0.0375","0.0375"
"976","","","","0.7025","0.7025","0.7025","0.194","0.194","0.194"
"977","","","","0.7655","0.7655","0.7655","0.296","0.296","0.296"
"978","","","","0.7705","0.7705","0.7705","0.3565","0.3565","0.3565"
"979","","","","0.7665","0.7665","0.7665","0.389","0.389","0.389"
"980","","","","0.7775","0.7775","0.7775","0.401","0.401","0.401"
"981","","","","0.748","0.748","0.748","0.417","0.417","0.417"
"982","","","","0.863","0.863","0.863","0.4225","0.4225","0.4225"
"983","","","","0.844","0.844","0.844","0.424","0.424","0.424"
"984","","","","0.824","0.824","0.824","0.427","0.427","0.427"
"985","","","","0.856","0.856","0.856","0.427","0.427","0.427"
"986","","","","0.8735","0.8735","0.8735","0.426","0.426","0.426"
"987","","","","0.842","0.842","0.842","0.4225","0.4225","0.4225"
"988","","","","0.861","0.861","0.861","0.4255","0.4255","0.4255"
"989","","","","0.8555","0.8555","0.8555","0.4295","0.4295","0.4295"
"990","","","","0.847","0.847","0.847","0.4305","0.4305","0.4305"
"991","","","","0.886","0.886","0.886","0.4325","0.4325","0.4325"
"992","","","","0.8515","0.8515","0.8515","0.4385","0.4385","0.4385"
"993","","","","0.8515","0.8515","0.8515","0.4345","0.4345","0.4345"
"994","","","","0.87","0.87","0.87","0.433","0.433","0.433"
"995","","","","0.8355","0.8355","0.8355","0.436","0.436","0.436"
"996","","","","0.8595","0.8595","0.8595","0.439","0.439","0.439"
"997","","","","0.867","0.867","0.867","0.4315","0.4315","0.4315"
"998","","","","0.8555","0.8555","0.8555","0.4325","0.4325","0.4325"
"999","","","","0.8775","0.8775","0.8775","0.4355","0.4355","0.4355"
"1000","","","","0","0","0","0.0455","0.0455","0.0455"
"1001","","","","0.689","0.689","0.689","0.1155","0.1155","0.1155"
"1002","","","","0.742","0.742","0.742","0.248","0.248","0.248"
"1003","","","","0.806","0.806","0.806","0.3345","0.3345","0.3345"
"1004","","","","0.8505","0.8505","0.8505","0.3815","0.3815","0.3815"
"1005","","","","0.866","0.866","0.866","0.398","0.398","0.398"
"1006","","","","0.793","0.793","0.793","0.4","0.4","0.4"
"1007","","","","0.8315","0.8315","0.8315","0.4115","0.4115","0.4115"
"1008","","","","0.84","0.84","0.84","0.4155","0.4155","0.4155"
"1009","","","","0.8495","0.8495","0.8495","0.4225","0.4225","0.4225"
"1010","","","","0.859","0.859","0.859","0.421","0.421","0.421"
"1011","","","","0.8605","0.8605","0.8605","0.4265","0.4265","0.4265"
"1012","","","","0.8665","0.8665","0.8665","0.4245","0.4245","0.4245"
"1013","","","","0.8795","0.8795","0.8795","0.4205","0.4205","0.4205"
"1014","","","","0.853","0.853","0.853","0.428","0.428","0.428"
"1015","","","","0.852","0.852","0.852","0.4315","0.4315","0.4315"
"1016","","","","0.893","0.893","0.893","0.4325","0.4325","0.4325"
"1017","","","","0.8855","0.8855","0.8855","0.4395","0.4395","0.4395"
"1018","","","","0.8995","0.8995","0.8995","0.442","0.442","0.442"
"1019","","","","0.88","0.88","0.88","0.4375","0.4375","0.4375"
"1020","","","","0.8715","0.8715","0.8715","0.438","0.438","0.438"
"1021","","","","0.88","0.88","0.88","0.4505","0.4505","0.4505"
"1022","","","","0.882","0.882","0.882","0.441","0.441","0.441"
"1023","","","","0.861","0.861","0.861","0.443","0.443","0.443"
"1024","","","","0.8875","0.8875","0.8875","0.438","0.438","0.438"
"1025","","","","0","0","0","0","0","0"
"1026","","","","0.7095","0.7095","0.7095","0.038","0.038","0.038"
"1027","","","","0.707","0.707","0.707","0.1725","0.1725","0.1725"
"1028","","","","0.702","0.702","0.702","0.257","0.257","0.257"
"1029","","","","0.756","0.756","0.756","0.292","0.292","0.292"
"1030","","","","0.712","0.712","0.712","0.309","0.309","0.309"
"1031","","","","0.738","0.738","0.738","0.32","0.32","0.32"
"1032","","","","0.7915","0.7915","0.7915","0.3265","0.3265","0.3265"
"1033","","","","0.828","0.828","0.828","0.334","0.334","0.334"
"1034","","","","0.7765","0.7765","0.7765","0.337","0.337","0.337"
"1035","","","","0.8455","0.8455","0.8455","0.3355","0.3355","0.3355"
"1036","","","","0.7725","0.7725","0.7725","0.344","0.344","0.344"
"1037","","","","0.813","0.813","0.813","0.3475","0.3475","0.3475"
"1038","","","","0.8475","0.8475","0.8475","0.3475","0.3475","0.3475"
"1039","","","","0.8565","0.8565","0.8565","0.3435","0.3435","0.3435"
"1040","","","","0.7755","0.7755","0.7755","0.348","0.348","0.348"
"1041","","","","0.809","0.809","0.809","0.3515","0.3515","0.3515"
"1042","","","","0.8135","0.8135","0.8135","0.348","0.348","0.348"
"1043","","","","0.8045","0.8045","0.8045","0.35","0.35","0.35"
"1044","","","","0.7935","0.7935","0.7935","0.344","0.344","0.344"
"1045","","","","0.8255","0.8255","0.8255","0.3505","0.3505","0.3505"
"1046","","","","0.8135","0.8135","0.8135","0.3475","0.3475","0.3475"
"1047","","","","0.864","0.864","0.864","0.349","0.349","0.349"
"1048","","","","0.8745","0.8745","0.8745","0.351","0.351","0.351"
"1049","","","","0.8625","0.8625","0.8625","0.348","0.348","0.348"
"1050","","","","0","0","0","0.0405","0.0405","0.0405"
"1051","","","","0.622","0.622","0.622","0.126","0.126","0.126"
"1052","","","","0.693","0.693","0.693","0.235","0.235","0.235"
"1053","","","","0.699","0.699","0.699","0.2785","0.2785","0.2785"
"1054","","","","0.772","0.772","0.772","0.3065","0.3065","0.3065"
"1055","","","","0.7405","0.7405","0.7405","0.3225","0.3225","0.3225"
"1056","","","","0.743","0.743","0.743","0.3365","0.3365","0.3365"
"1057","","","","0.7725","0.7725","0.7725","0.3435","0.3435","0.3435"
"1058","","","","0.7715","0.7715","0.7715","0.3565","0.3565","0.3565"
"1059","","","","0.808","0.808","0.808","0.3565","0.3565","0.3565"
"1060","","","","0.79","0.79","0.79","0.3575","0.3575","0.3575"
"1061","","","","0.796","0.796","0.796","0.3555","0.3555","0.3555"
"1062","","","","0.8405","0.8405","0.8405","0.353","0.353","0.353"
"1063","","","","0.814","0.814","0.814","0.3635","0.3635","0.3635"
"1064","","","","0.813","0.813","0.813","0.361","0.361","0.361"
"1065","","","","0.798","0.798","0.798","0.357","0.357","0.357"
"1066","","","","0.838","0.838","0.838","0.3635","0.3635","0.3635"
"1067","","","","0.8165","0.8165","0.8165","0.3595","0.3595","0.3595"
"1068","","","","0.7865","0.7865","0.7865","0.363","0.363","0.363"
"1069","","","","0.81","0.81","0.81","0.365","0.365","0.365"
"1070","","","","0.8375","0.8375","0.8375","0.369","0.369","0.369"
"1071","","","","0.844","0.844","0.844","0.3675","0.3675","0.3675"
"1072","","","","0.8295","0.8295","0.8295","0.367","0.367","0.367"
"1073","","","","0.8265","0.8265","0.8265","0.3715","0.3715","0.3715"
"1074","","","","0.7905","0.7905","0.7905","0.371","0.371","0.371"
"1075","","","","0","0","0","0.1005","0.1005","0.1005"
"1076","","","","0.7015","0.7015","0.7015","0.1795","0.1795","0.1795"
"1077","","","","0.826","0.826","0.826","0.3045","0.3045","0.3045"
