"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"10901","","","","","","","0.256","0.256","0.256"
"10903","","","","","","","0.3405","0.3405","0.3405"
"10905","","","","0.2815","0.2815","0.2815","","",""
"10907","","","","","","","0.4495","0.4495","0.4495"
"10908","","","","0.343","0.343","0.343","","",""
"10910","","","","0.3645","0.3645","0.3645","0.4575","0.4575","0.4575"
"10913","","","","0.362","0.362","0.362","","",""
"10916","0.3765","0.3765","0.3765","","","","","",""
"10917","","","","","","","0.4555","0.4555","0.4555"
"10924","","","","0.3785","0.3785","0.3785","","",""
"10926","","","","0.0345","0.0345","0.0345","","",""
"10927","0.0895","0.0895","0.0895","","","","","",""
"10928","","","","0.163","0.163","0.163","","",""
"10929","","","","0.2325","0.2325","0.2325","0.388","0.388","0.388"
"10931","","","","0.314","0.314","0.314","0.428","0.428","0.428"
"10932","","","","0.33","0.33","0.33","","",""
"10933","","","","","","","0.433","0.433","0.433"
"10934","","","","0.355","0.355","0.355","","",""
"10935","","","","0.3605","0.3605","0.3605","","",""
"10939","","","","0.376","0.376","0.376","","",""
"10944","","","","0.3885","0.3885","0.3885","0.4565","0.4565","0.4565"
"10946","","","","0.3875","0.3875","0.3875","","",""
"10949","","","","","","","0.4615","0.4615","0.4615"
"10951","","","","0.068","0.068","0.068","","",""
"10955","","","","","","","0.477","0.477","0.477"
"10957","","","","","","","0.5105","0.5105","0.5105"
"10960","","","","","","","0.535","0.535","0.535"
"10961","0.473","0.473","0.473","0.461","0.461","0.461","","",""
"10963","","","","","","","0.543","0.543","0.543"
"10964","","","","0.471","0.471","0.471","0.5445","0.5445","0.5445"
"10965","","","","0.472","0.472","0.472","0.5525","0.5525","0.5525"
"10970","0.493","0.493","0.493","","","","","",""
"10973","","","","0.4835","0.4835","0.4835","","",""
"10975","","","","","","","0.001","0.001","0.001"
"10978","0.1855","0.1855","0.1855","","","","0.363","0.363","0.363"
"10984","","","","","","","0.501","0.501","0.501"
"10990","0.436","0.436","0.436","0.4385","0.4385","0.4385","","",""
"10993","","","","","","","0.5155","0.5155","0.5155"
"10995","0.4425","0.4425","0.4425","","","","","",""
"10996","0.442","0.442","0.442","","","","","",""
"11004","0.2615","0.2615","0.2615","","","","","",""
"11006","","","","0.3195","0.3195","0.3195","","",""
"11007","","","","0.334","0.334","0.334","","",""
"11010","","","","","","","0.4425","0.4425","0.4425"
"11011","","","","0.358","0.358","0.358","","",""
"11017","0.3775","0.3775","0.3775","","","","","",""
"11018","","","","","","","0.4565","0.4565","0.4565"
"11019","0.3775","0.3775","0.3775","","","","","",""
"11020","","","","0.3815","0.3815","0.3815","","",""
"11022","","","","0.384","0.384","0.384","0.453","0.453","0.453"
"11024","","","","0.387","0.387","0.387","","",""
"11025","","","","0","0","0","","",""
"11028","0.1885","0.1885","0.1885","","","","","",""
"11030","","","","0.3475","0.3475","0.3475","","",""
"11031","0.3685","0.3685","0.3685","","","","","",""
"11032","","","","","","","0.5125","0.5125","0.5125"
"11034","","","","0.4245","0.4245","0.4245","","",""
"11035","0.4125","0.4125","0.4125","","","","","",""
"11038","","","","","","","0.52","0.52","0.52"
"11040","","","","0.4415","0.4415","0.4415","","",""
"11043","0.437","0.437","0.437","","","","","",""
"11044","","","","0.4435","0.4435","0.4435","","",""
"11046","","","","0.449","0.449","0.449","0.5295","0.5295","0.5295"
"11051","","","","0.0195","0.0195","0.0195","","",""
"11052","","","","","","","0.3245","0.3245","0.3245"
"11056","","","","","","","0.479","0.479","0.479"
"11059","","","","0.415","0.415","0.415","","",""
"11061","0.4075","0.4075","0.4075","","","","","",""
"11062","","","","","","","0.4995","0.4995","0.4995"
"11065","","","","0.4345","0.4345","0.4345","","",""
"11070","","","","0.4355","0.4355","0.4355","","",""
"11072","","","","0.4365","0.4365","0.4365","0.51","0.51","0.51"
"11074","","","","0.4355","0.4355","0.4355","0.515","0.515","0.515"
"11075","0.084","0.084","0.084","","","","","",""
"11076","","","","","","","0.35","0.35","0.35"
"11084","","","","","","","0.5135","0.5135","0.5135"
"11086","","","","0.4475","0.4475","0.4475","0.5175","0.5175","0.5175"
"11091","0.4615","0.4615","0.4615","","","","","",""
"11092","0.463","0.463","0.463","","","","","",""
"11094","0.464","0.464","0.464","","","","0.5305","0.5305","0.5305"
"11099","","","","0.4625","0.4625","0.4625","","",""
"11103","","","","","","","0.3645","0.3645","0.3645"
"11106","0.3575","0.3575","0.3575","","","","","",""
"11107","","","","0.3585","0.3585","0.3585","","",""
"11109","","","","0.3695","0.3695","0.3695","","",""
"11112","0.4025","0.4025","0.4025","","","","","",""
"11113","","","","","","","0.4685","0.4685","0.4685"
"11115","","","","","","","0.4675","0.4675","0.4675"
"11120","","","","","","","0.467","0.467","0.467"
"11122","","","","","","","0.467","0.467","0.467"
"11123","0.4115","0.4115","0.4115","","","","","",""
"11129","","","","","","","0.394","0.394","0.394"
"11133","","","","0.372","0.372","0.372","","",""
"11135","","","","0.389","0.389","0.389","","",""
"11141","","","","0.4045","0.4045","0.4045","","",""
"11143","0.382","0.382","0.382","","","","","",""
"11145","0.3855","0.3855","0.3855","0.406","0.406","0.406","","",""
"11149","0.3915","0.3915","0.3915","","","","","",""
"11151","","","","0.0245","0.0245","0.0245","","",""
"11152","","","","","","","0.3475","0.3475","0.3475"
"11153","0.176","0.176","0.176","0.1795","0.1795","0.1795","","",""
"11155","","","","","","","0.4345","0.4345","0.4345"
"11159","","","","0.3875","0.3875","0.3875","","",""
"11160","0.3805","0.3805","0.3805","","","","","",""
"11162","0.3915","0.3915","0.3915","0.4","0.4","0.4","","",""
"11163","","","","","","","0.484","0.484","0.484"
"11167","","","","0.4075","0.4075","0.4075","","",""
"11168","","","","","","","0.486","0.486","0.486"
"11170","","","","","","","0.486","0.486","0.486"
"11172","","","","0.4135","0.4135","0.4135","0.487","0.487","0.487"
"11173","0.41","0.41","0.41","0.417","0.417","0.417","","",""
"11174","0.41","0.41","0.41","","","","","",""
"11176","0.0135","0.0135","0.0135","","","","","",""
"11179","","","","0.194","0.194","0.194","","",""
"11183","0.3205","0.3205","0.3205","","","","","",""
"11186","0.343","0.343","0.343","","","","","",""
"11187","","","","0.3415","0.3415","0.3415","","",""
"11193","","","","","","","0.4275","0.4275","0.4275"
"11194","0.352","0.352","0.352","","","","","",""
"11196","","","","0.3545","0.3545","0.3545","","",""
"11202","","","","","","","0.3085","0.3085","0.3085"
"11203","","","","","","","0.3645","0.3645","0.3645"
"11205","0.2905","0.2905","0.2905","","","","","",""
"11206","","","","","","","0.427","0.427","0.427"
"11208","","","","0.3755","0.3755","0.3755","","",""
"11210","","","","","","","0.4515","0.4515","0.4515"
"11212","","","","0.396","0.396","0.396","0.4535","0.4535","0.4535"
"11213","","","","","","","0.46","0.46","0.46"
"11214","","","","0.3985","0.3985","0.3985","","",""
"11215","0.395","0.395","0.395","0.395","0.395","0.395","0.4615","0.4615","0.4615"
"11216","","","","","","","0.4635","0.4635","0.4635"
"11218","","","","0.4005","0.4005","0.4005","","",""
"11219","0.402","0.402","0.402","","","","","",""
"11220","","","","","","","0.46","0.46","0.46"
"11221","0.406","0.406","0.406","","","","","",""
"11223","","","","0.405","0.405","0.405","","",""
"11225","","","","0.009","0.009","0.009","","",""
"11229","","","","0.33","0.33","0.33","","",""
"11231","0.4045","0.4045","0.4045","","","","","",""
"11232","0.4285","0.4285","0.4285","","","","","",""
"11235","0.4665","0.4665","0.4665","","","","","",""
"11237","0.478","0.478","0.478","","","","","",""
"11245","","","","0.497","0.497","0.497","","",""
"11250","","","","0.0005","0.0005","0.0005","","",""
"11256","","","","","","","0.474","0.474","0.474"
"11263","0.432","0.432","0.432","","","","","",""
"11265","0.4365","0.4365","0.4365","","","","","",""
"11267","","","","0.4325","0.4325","0.4325","","",""
"11269","","","","","","","0.518","0.518","0.518"
"11277","","","","0.08","0.08","0.08","","",""
"11279","","","","","","","0.4175","0.4175","0.4175"
"11280","0.288","0.288","0.288","0.304","0.304","0.304","","",""
"11283","","","","","","","0.4695","0.4695","0.4695"
"11285","0.383","0.383","0.383","0.4025","0.4025","0.4025","","",""
"11295","0.422","0.422","0.422","","","","0.4865","0.4865","0.4865"
"11296","0.419","0.419","0.419","","","","","",""
"11298","","","","","","","0.489","0.489","0.489"
"11299","0.4235","0.4235","0.4235","","","","0.4915","0.4915","0.4915"
"11301","","","","","","","0.2145","0.2145","0.2145"
"11302","0.078","0.078","0.078","0.0675","0.0675","0.0675","","",""
"11303","","","","","","","0.3905","0.3905","0.3905"
"11305","","","","","","","0.4675","0.4675","0.4675"
"11307","0.3445","0.3445","0.3445","","","","0.475","0.475","0.475"
"11309","","","","","","","0.4925","0.4925","0.4925"
"11312","","","","","","","0.4965","0.4965","0.4965"
"11313","0.3885","0.3885","0.3885","","","","","",""
"11315","0.3955","0.3955","0.3955","0.396","0.396","0.396","","",""
"11317","0.4015","0.4015","0.4015","","","","","",""
"11321","","","","","","","0.505","0.505","0.505"
"11324","","","","0.398","0.398","0.398","","",""
"11325","0.0195","0.0195","0.0195","","","","","",""
"11327","","","","","","","0.3375","0.3375","0.3375"
"11333","","","","","","","0.453","0.453","0.453"
"11335","","","","0.375","0.375","0.375","","",""
"11337","","","","0.3765","0.3765","0.3765","0.466","0.466","0.466"
"11338","","","","0.38","0.38","0.38","","",""
"11339","","","","","","","0.467","0.467","0.467"
"11341","","","","","","","0.4655","0.4655","0.4655"
"11348","0.391","0.391","0.391","","","","","",""
"11351","0.0065","0.0065","0.0065","","","","0.217","0.217","0.217"
"11353","","","","","","","0.3655","0.3655","0.3655"
"11363","0.391","0.391","0.391","","","","","",""
"11364","0.3935","0.3935","0.3935","0.392","0.392","0.392","","",""
"11365","","","","0.394","0.394","0.394","","",""
"11369","","","","","","","0.482","0.482","0.482"
"11372","","","","","","","0.486","0.486","0.486"
"11373","","","","0.4055","0.4055","0.4055","","",""
"11374","","","","0.406","0.406","0.406","","",""
"11376","","","","","","","0.281","0.281","0.281"
"11377","","","","0.0795","0.0795","0.0795","","",""
"11379","","","","0.281","0.281","0.281","","",""
"11383","0.387","0.387","0.387","","","","","",""
"11384","","","","0.4055","0.4055","0.4055","","",""
"11389","0.4165","0.4165","0.4165","","","","","",""
"11391","","","","0.421","0.421","0.421","","",""
"11392","0.4185","0.4185","0.4185","0.4275","0.4275","0.4275","","",""
"11393","","","","0.4225","0.4225","0.4225","","",""
"11395","","","","0.4225","0.4225","0.4225","","",""
"11397","","","","0.4315","0.4315","0.4315","","",""
"11398","","","","","","","0.497","0.497","0.497"
"11401","0.042","0.042","0.042","","","","","",""
"11404","0.2255","0.2255","0.2255","0.2065","0.2065","0.2065","","",""
"11407","","","","0.319","0.319","0.319","","",""
"11410","","","","","","","0.4425","0.4425","0.4425"
"11415","0.367","0.367","0.367","0.382","0.382","0.382","","",""
"11417","","","","","","","0.454","0.454","0.454"
"11419","","","","","","","0.455","0.455","0.455"
"11421","","","","","","","0.453","0.453","0.453"
"11426","0.065","0.065","0.065","0.054","0.054","0.054","","",""
"11428","","","","0.2705","0.2705","0.2705","","",""
"11429","","","","0.339","0.339","0.339","","",""
"11431","","","","0.407","0.407","0.407","","",""
"11438","","","","0.4485","0.4485","0.4485","","",""
"11440","","","","0.4565","0.4565","0.4565","","",""
"11444","","","","","","","0.525","0.525","0.525"
"11445","","","","","","","0.5255","0.5255","0.5255"
"11447","","","","0.463","0.463","0.463","","",""
"11448","","","","","","","0.5275","0.5275","0.5275"
"11451","0.027","0.027","0.027","","","","0.276","0.276","0.276"
"11453","","","","","","","0.411","0.411","0.411"
"11456","","","","0.3385","0.3385","0.3385","","",""
"11459","0.3765","0.3765","0.3765","0.3935","0.3935","0.3935","","",""
"11465","","","","0.412","0.412","0.412","","",""
"11466","0.4","0.4","0.4","","","","","",""
"11467","0.4005","0.4005","0.4005","0.418","0.418","0.418","","",""
"11468","","","","","","","0.485","0.485","0.485"
"11473","0.4075","0.4075","0.4075","","","","","",""
"11478","","","","","","","0.3165","0.3165","0.3165"
"11479","","","","","","","0.351","0.351","0.351"
"11480","","","","","","","0.3765","0.3765","0.3765"
"11483","","","","","","","0.3955","0.3955","0.3955"
"11484","","","","0.2885","0.2885","0.2885","0.3945","0.3945","0.3945"
"11486","","","","0.292","0.292","0.292","","",""
"11489","0.2915","0.2915","0.2915","","","","","",""
"11490","","","","0.298","0.298","0.298","0.3985","0.3985","0.3985"
"11492","","","","0.2985","0.2985","0.2985","","",""
"11494","","","","0.3075","0.3075","0.3075","","",""
"11496","","","","0.308","0.308","0.308","","",""
"11498","","","","","","","0.407","0.407","0.407"
"11501","","","","0.035","0.035","0.035","","",""
"11505","","","","0.313","0.313","0.313","","",""
"11508","0.3735","0.3735","0.3735","","","","0.47","0.47","0.47"
"11511","0.3875","0.3875","0.3875","","","","","",""
"11513","0.397","0.397","0.397","","","","","",""
"11515","0.4015","0.4015","0.4015","0.3995","0.3995","0.3995","","",""
"11519","0.4065","0.4065","0.4065","","","","","",""
"11520","","","","","","","0.486","0.486","0.486"
"11521","0.416","0.416","0.416","0.4075","0.4075","0.4075","","",""
"11525","","","","0.007","0.007","0.007","","",""
"11526","0.0145","0.0145","0.0145","","","","","",""
"11528","","","","0.153","0.153","0.153","","",""
"11530","","","","0.305","0.305","0.305","","",""
"11531","0.3305","0.3305","0.3305","","","","0.4815","0.4815","0.4815"
"11536","","","","","","","0.5055","0.5055","0.5055"
"11539","","","","","","","0.5125","0.5125","0.5125"
"11540","0.398","0.398","0.398","","","","","",""
"11541","0.3995","0.3995","0.3995","","","","","",""
"11544","","","","0.4225","0.4225","0.4225","","",""
"11553","","","","0.153","0.153","0.153","0.3675","0.3675","0.3675"
"11554","","","","0.233","0.233","0.233","0.3975","0.3975","0.3975"
"11558","","","","0.3755","0.3755","0.3755","","",""
"11562","0.38","0.38","0.38","","","","","",""
"11563","0.381","0.381","0.381","","","","0.4745","0.4745","0.4745"
"11564","0.3815","0.3815","0.3815","","","","","",""
"11565","","","","","","","0.476","0.476","0.476"
"11566","0.392","0.392","0.392","","","","","",""
"11569","","","","0.4005","0.4005","0.4005","","",""
"11570","0.401","0.401","0.401","","","","","",""
"11571","0.402","0.402","0.402","","","","0.4795","0.4795","0.4795"
"11577","","","","0.086","0.086","0.086","","",""
"11578","","","","0.185","0.185","0.185","","",""
"11579","","","","","","","0.4395","0.4395","0.4395"
"11580","0.329","0.329","0.329","","","","0.464","0.464","0.464"
"11584","","","","0.4345","0.4345","0.4345","","",""
"11585","0.436","0.436","0.436","","","","","",""
"11586","0.4385","0.4385","0.4385","","","","0.4975","0.4975","0.4975"
"11587","0.44","0.44","0.44","","","","","",""
"11588","","","","0.448","0.448","0.448","0.502","0.502","0.502"
"11589","","","","","","","0.5025","0.5025","0.5025"
"11600","0","0","0","0.002","0.002","0.002","","",""
"11601","","","","","","","0.3665","0.3665","0.3665"
"11603","","","","","","","0.495","0.495","0.495"
"11605","","","","","","","0.528","0.528","0.528"
"11606","","","","0.414","0.414","0.414","","",""
"11611","","","","0.474","0.474","0.474","","",""
"11612","0.465","0.465","0.465","","","","","",""
"11616","0.475","0.475","0.475","","","","","",""
"11620","","","","","","","0.5855","0.5855","0.5855"
"11621","","","","0.491","0.491","0.491","","",""
"11622","","","","0.4945","0.4945","0.4945","","",""
"11623","0.4875","0.4875","0.4875","","","","0.588","0.588","0.588"
"11626","0.0435","0.0435","0.0435","0.038","0.038","0.038","","",""
"11628","","","","","","","0.414","0.414","0.414"
"11631","","","","","","","0.4965","0.4965","0.4965"
"11632","","","","","","","0.4975","0.4975","0.4975"
"11635","","","","0.418","0.418","0.418","","",""
"11636","","","","","","","0.5105","0.5105","0.5105"
"11637","","","","0.432","0.432","0.432","","",""
"11638","0.4365","0.4365","0.4365","","","","","",""
"11644","0.4425","0.4425","0.4425","","","","","",""
"11645","","","","0.45","0.45","0.45","","",""
"11648","0.4465","0.4465","0.4465","0.444","0.444","0.444","","",""
"11649","","","","0.4435","0.4435","0.4435","","",""
"11651","0.012","0.012","0.012","","","","0.2295","0.2295","0.2295"
"11654","0.2585","0.2585","0.2585","","","","0.4335","0.4335","0.4335"
"11657","0.373","0.373","0.373","","","","","",""
"11660","","","","0.4045","0.4045","0.4045","","",""
"11664","","","","","","","0.4875","0.4875","0.4875"
"11665","","","","0.416","0.416","0.416","","",""
"11666","","","","","","","0.4905","0.4905","0.4905"
"11668","0.4145","0.4145","0.4145","","","","","",""
"11676","0.018","0.018","0.018","","","","","",""
"11677","","","","0.083","0.083","0.083","","",""
"11680","","","","","","","0.4535","0.4535","0.4535"
"11683","0.3795","0.3795","0.3795","","","","","",""
"11684","","","","0.408","0.408","0.408","","",""
"11688","","","","0.427","0.427","0.427","0.5035","0.5035","0.5035"
"11689","","","","0.4325","0.4325","0.4325","0.506","0.506","0.506"
"11691","","","","0.4375","0.4375","0.4375","","",""
"11692","","","","0.4355","0.4355","0.4355","","",""
"11693","","","","","","","0.521","0.521","0.521"
"11695","0.4345","0.4345","0.4345","","","","","",""
"11697","0.44","0.44","0.44","","","","","",""
"11699","","","","0.4435","0.4435","0.4435","","",""
"11700","","","","","","","0.017","0.017","0.017"
"11701","0.0585","0.0585","0.0585","","","","","",""
"11705","0.299","0.299","0.299","","","","","",""
"11706","0.326","0.326","0.326","","","","0.4555","0.4555","0.4555"
"11707","0.344","0.344","0.344","","","","0.4615","0.4615","0.4615"
"11708","0.357","0.357","0.357","","","","","",""
"11711","0.381","0.381","0.381","","","","","",""
"11712","0.386","0.386","0.386","","","","","",""
"11713","0.3925","0.3925","0.3925","","","","","",""
"11715","","","","","","","0.477","0.477","0.477"
"11716","","","","","","","0.483","0.483","0.483"
"11717","","","","","","","0.486","0.486","0.486"
"11718","","","","","","","0.4835","0.4835","0.4835"
"11721","0.409","0.409","0.409","","","","","",""
"11726","0.0325","0.0325","0.0325","","","","","",""
"11728","","","","","","","0.3665","0.3665","0.3665"
"11729","","","","0.239","0.239","0.239","","",""
"11731","0.332","0.332","0.332","0.3255","0.3255","0.3255","","",""
"11735","","","","","","","0.472","0.472","0.472"
"11736","","","","0.395","0.395","0.395","","",""
"11745","0.4085","0.4085","0.4085","","","","","",""
"11748","","","","0.4085","0.4085","0.4085","0.4835","0.4835","0.4835"
"11749","","","","","","","0.4835","0.4835","0.4835"
"11751","","","","","","","0.2865","0.2865","0.2865"
"11752","","","","","","","0.354","0.354","0.354"
"11756","0.3355","0.3355","0.3355","","","","","",""
"11757","","","","","","","0.478","0.478","0.478"
"11760","","","","0.402","0.402","0.402","","",""
"11762","","","","0.406","0.406","0.406","","",""
"11764","0.3975","0.3975","0.3975","","","","","",""
"11765","0.4005","0.4005","0.4005","0.413","0.413","0.413","","",""
"11766","0.402","0.402","0.402","","","","","",""
"11770","0.4105","0.4105","0.4105","0.422","0.422","0.422","","",""
"11772","0.41","0.41","0.41","","","","","",""
"11773","","","","0.423","0.423","0.423","","",""
"11777","","","","","","","0.3375","0.3375","0.3375"
"11782","","","","","","","0.4815","0.4815","0.4815"
"11784","","","","","","","0.484","0.484","0.484"
"11788","","","","0.4115","0.4115","0.4115","","",""
"11789","","","","0.4095","0.4095","0.4095","","",""
"11790","","","","","","","0.4915","0.4915","0.4915"
"11793","","","","","","","0.493","0.493","0.493"
"11794","","","","","","","0.4905","0.4905","0.4905"
"11797","","","","","","","0.497","0.497","0.497"
"11798","0.425","0.425","0.425","0.422","0.422","0.422","","",""
"11800","","","","0","0","0","","",""
"11801","","","","","","","0.2795","0.2795","0.2795"
"11802","","","","0.1115","0.1115","0.1115","","",""
"11803","0.2055","0.2055","0.2055","","","","","",""
"11808","0.409","0.409","0.409","0.433","0.433","0.433","","",""
"11810","","","","","","","0.5155","0.5155","0.5155"
"11811","0.442","0.442","0.442","0.4435","0.4435","0.4435","","",""
"11815","","","","0.456","0.456","0.456","","",""
"11817","0.464","0.464","0.464","0.459","0.459","0.459","0.5235","0.5235","0.5235"
"11819","","","","","","","0.526","0.526","0.526"
"11820","","","","0.465","0.465","0.465","","",""
"11822","0.468","0.468","0.468","","","","","",""
"11823","0.47","0.47","0.47","","","","","",""
"11824","0.4695","0.4695","0.4695","","","","","",""
"11825","","","","0.0005","0.0005","0.0005","","",""
"11826","","","","0.0245","0.0245","0.0245","","",""
"11828","0.202","0.202","0.202","","","","","",""
"11831","0.325","0.325","0.325","0.329","0.329","0.329","","",""
"11832","","","","0.3445","0.3445","0.3445","","",""
"11836","","","","","","","0.4455","0.4455","0.4455"
"11839","0.3755","0.3755","0.3755","","","","","",""
"11841","","","","0.3925","0.3925","0.3925","","",""
"11842","","","","","","","0.4695","0.4695","0.4695"
"11843","0.385","0.385","0.385","","","","0.4765","0.4765","0.4765"
"11844","","","","","","","0.477","0.477","0.477"
"11847","0.3985","0.3985","0.3985","","","","","",""
"11848","","","","","","","0.4845","0.4845","0.4845"
"11850","","","","","","","0.0005","0.0005","0.0005"
"11852","","","","0.079","0.079","0.079","","",""
"11854","0.2415","0.2415","0.2415","","","","","",""
"11862","","","","","","","0.45","0.45","0.45"
"11863","","","","","","","0.45","0.45","0.45"
"11865","","","","","","","0.4535","0.4535","0.4535"
"11868","0.405","0.405","0.405","","","","","",""
"11870","0.4025","0.4025","0.4025","","","","","",""
"11871","0.404","0.404","0.404","","","","","",""
"11877","","","","","","","0.3155","0.3155","0.3155"
"11879","0.225","0.225","0.225","","","","","",""
"11880","","","","","","","0.4705","0.4705","0.4705"
"11890","","","","","","","0.513","0.513","0.513"
"11891","0.4175","0.4175","0.4175","","","","","",""
"11894","","","","0.444","0.444","0.444","","",""
"11895","0.4255","0.4255","0.4255","","","","","",""
"11897","","","","0.4455","0.4455","0.4455","","",""
"11898","","","","0.4505","0.4505","0.4505","","",""
"11901","","","","","","","0.342","0.342","0.342"
"11902","0.105","0.105","0.105","","","","","",""
"11903","0.2155","0.2155","0.2155","","","","0.4505","0.4505","0.4505"
"11904","0.2975","0.2975","0.2975","","","","0.4985","0.4985","0.4985"
"11905","0.3565","0.3565","0.3565","0.3765","0.3765","0.3765","","",""
"11906","0.388","0.388","0.388","","","","0.5365","0.5365","0.5365"
"11908","","","","0.443","0.443","0.443","","",""
"11909","0.434","0.434","0.434","0.456","0.456","0.456","","",""
"11917","0.457","0.457","0.457","","","","","",""
"11919","0.467","0.467","0.467","0.48","0.48","0.48","","",""
"11927","","","","0.091","0.091","0.091","","",""
"11928","0.1755","0.1755","0.1755","","","","","",""
"11932","","","","","","","0.4915","0.4915","0.4915"
"11935","0.4415","0.4415","0.4415","","","","","",""
"11936","","","","0.442","0.442","0.442","","",""
"11943","0.452","0.452","0.452","0.459","0.459","0.459","","",""
"11945","0.457","0.457","0.457","","","","","",""
"11947","","","","","","","0.528","0.528","0.528"
"11955","","","","","","","0.494","0.494","0.494"
"11956","0.399","0.399","0.399","","","","","",""
"11957","0.421","0.421","0.421","","","","","",""
"11958","0.4345","0.4345","0.4345","","","","","",""
"11961","","","","","","","0.5415","0.5415","0.5415"
"11962","","","","","","","0.555","0.555","0.555"
"11963","","","","0.4685","0.4685","0.4685","","",""
"11964","","","","0.474","0.474","0.474","","",""
"11965","","","","0.4755","0.4755","0.4755","","",""
"11976","0.0215","0.0215","0.0215","","","","","",""
"11983","","","","","","","0.4685","0.4685","0.4685"
"11987","","","","","","","0.4735","0.4735","0.4735"
"11990","","","","0.41","0.41","0.41","","",""
"11993","","","","","","","0.477","0.477","0.477"
"11994","","","","0.416","0.416","0.416","0.482","0.482","0.482"
"12001","0.099","0.099","0.099","","","","","",""
"12004","","","","","","","0.446","0.446","0.446"
"12007","0.4015","0.4015","0.4015","","","","","",""
"12012","0.433","0.433","0.433","","","","0.5195","0.5195","0.5195"
"12014","","","","0.4375","0.4375","0.4375","","",""
"12015","","","","0.434","0.434","0.434","","",""
"12016","0.441","0.441","0.441","","","","0.5255","0.5255","0.5255"
"12017","","","","","","","0.5245","0.5245","0.5245"
"12018","0.4425","0.4425","0.4425","","","","","",""
"12019","","","","0.4405","0.4405","0.4405","","",""
"12020","","","","","","","0.5325","0.5325","0.5325"
"12021","","","","0.441","0.441","0.441","","",""
"12022","","","","","","","0.529","0.529","0.529"
"12037","","","","","","","0.4405","0.4405","0.4405"
"12038","","","","0.3555","0.3555","0.3555","","",""
"12040","","","","0.3625","0.3625","0.3625","0.4425","0.4425","0.4425"
"12044","","","","","","","0.44","0.44","0.44"
"12045","0.361","0.361","0.361","","","","0.4375","0.4375","0.4375"
"12046","0.3605","0.3605","0.3605","","","","","",""
"12047","0.359","0.359","0.359","","","","","",""
"12048","0.358","0.358","0.358","","","","0.44","0.44","0.44"
"12049","","","","0.3685","0.3685","0.3685","","",""
"12052","","","","","","","0.257","0.257","0.257"
"12054","0.223","0.223","0.223","0.227","0.227","0.227","","",""
"12055","","","","","","","0.4025","0.4025","0.4025"
"12056","","","","0.307","0.307","0.307","","",""
"12058","0.3515","0.3515","0.3515","0.352","0.352","0.352","","",""
"12060","0.3685","0.3685","0.3685","","","","","",""
"12061","0.375","0.375","0.375","0.377","0.377","0.377","","",""
"12063","0.381","0.381","0.381","","","","","",""
"12064","0.3805","0.3805","0.3805","","","","","",""
"12068","","","","","","","0.461","0.461","0.461"
"12070","0.393","0.393","0.393","","","","","",""
"12071","0.3945","0.3945","0.3945","","","","","",""
"12072","","","","","","","0.4625","0.4625","0.4625"
"12073","","","","","","","0.464","0.464","0.464"
"12074","","","","","","","0.464","0.464","0.464"
"12076","0.0535","0.0535","0.0535","","","","","",""
"12079","","","","0.306","0.306","0.306","0.454","0.454","0.454"
"12083","","","","0.4255","0.4255","0.4255","","",""
"12084","","","","","","","0.5065","0.5065","0.5065"
"12085","","","","0.4445","0.4445","0.4445","","",""
"12086","","","","0.447","0.447","0.447","","",""
"12088","","","","","","","0.5215","0.5215","0.5215"
"12090","","","","0.4555","0.4555","0.4555","","",""
"12092","0.451","0.451","0.451","","","","","",""
"12097","","","","","","","0.5315","0.5315","0.5315"
"12098","0.458","0.458","0.458","","","","","",""
"12099","0.4585","0.4585","0.4585","0.4605","0.4605","0.4605","","",""
"12100","","","","","","","0.0025","0.0025","0.0025"
"12104","","","","","","","0.4605","0.4605","0.4605"
"12105","0.3175","0.3175","0.3175","","","","","",""
"12106","","","","","","","0.487","0.487","0.487"
"12107","","","","0.4065","0.4065","0.4065","","",""
"12108","0.4115","0.4115","0.4115","","","","0.498","0.498","0.498"
"12109","","","","0.4295","0.4295","0.4295","","",""
"12110","","","","0.44","0.44","0.44","","",""
"12112","0.4375","0.4375","0.4375","","","","0.5045","0.5045","0.5045"
"12113","0.4395","0.4395","0.4395","","","","","",""
"12115","","","","","","","0.503","0.503","0.503"
"12116","0.4505","0.4505","0.4505","","","","","",""
"12123","","","","0.4665","0.4665","0.4665","","",""
"12128","0.186","0.186","0.186","","","","","",""
"12129","0.2745","0.2745","0.2745","","","","","",""
"12131","0.361","0.361","0.361","","","","0.483","0.483","0.483"
