"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"287","0.202","0.202","0.202","","","","","",""
"288","","","","0.194","0.194","0.194","","",""
"291","","","","","","","0.2115","0.2115","0.2115"
"292","0.2195","0.2195","0.2195","","","","0.216","0.216","0.216"
"297","","","","","","","0.2185","0.2185","0.2185"
"298","0.2385","0.2385","0.2385","","","","","",""
"299","","","","","","","0.219","0.219","0.219"
"300","","","","0.007","0.007","0.007","","",""
"301","","","","","","","0.0235","0.0235","0.0235"
"307","","","","0.146","0.146","0.146","","",""
"308","","","","0.156","0.156","0.156","","",""
"311","","","","0.1825","0.1825","0.1825","","",""
"312","","","","","","","0.189","0.189","0.189"
"314","","","","0.1975","0.1975","0.1975","","",""
"316","0.223","0.223","0.223","0.202","0.202","0.202","0.209","0.209","0.209"
"319","","","","","","","0.2185","0.2185","0.2185"
"320","","","","0.216","0.216","0.216","","",""
"321","","","","0.219","0.219","0.219","0.223","0.223","0.223"
"323","","","","0.226","0.226","0.226","","",""
"324","","","","0.2255","0.2255","0.2255","","",""
"325","","","","","","","0","0","0"
"326","","","","","","","0","0","0"
"337","0.232","0.232","0.232","","","","","",""
"342","","","","0.233","0.233","0.233","","",""
"345","0.2615","0.2615","0.2615","","","","","",""
"346","","","","0.248","0.248","0.248","","",""
"348","0.2715","0.2715","0.2715","","","","","",""
"352","","","","0","0","0","","",""
"353","","","","0.0175","0.0175","0.0175","","",""
"357","0.175","0.175","0.175","","","","","",""
"359","0.196","0.196","0.196","0.182","0.182","0.182","0.191","0.191","0.191"
"365","","","","0.2085","0.2085","0.2085","","",""
"367","","","","0.217","0.217","0.217","","",""
"368","0.243","0.243","0.243","","","","","",""
"372","0.2585","0.2585","0.2585","","","","","",""
"374","0.2515","0.2515","0.2515","0.2285","0.2285","0.2285","","",""
"376","0.007","0.007","0.007","","","","","",""
"378","0.036","0.036","0.036","","","","","",""
"379","0.0625","0.0625","0.0625","0.061","0.061","0.061","","",""
"380","0.094","0.094","0.094","","","","","",""
"381","","","","0.127","0.127","0.127","","",""
"382","","","","","","","0.129","0.129","0.129"
"385","","","","0.1805","0.1805","0.1805","","",""
"386","","","","0.1715","0.1715","0.1715","","",""
"392","","","","","","","0.188","0.188","0.188"
"399","0.219","0.219","0.219","","","","","",""
"402","","","","0","0","0","","",""
"404","","","","","","","0.0855","0.0855","0.0855"
"405","","","","0.1405","0.1405","0.1405","","",""
"406","","","","0.1515","0.1515","0.1515","","",""
"407","","","","","","","0.1535","0.1535","0.1535"
"411","0.1815","0.1815","0.1815","","","","","",""
"414","","","","0.1795","0.1795","0.1795","0.178","0.178","0.178"
"417","","","","","","","0.187","0.187","0.187"
"419","0.2095","0.2095","0.2095","","","","0.191","0.191","0.191"
"422","","","","0.192","0.192","0.192","","",""
"424","","","","0.201","0.201","0.201","","",""
"425","0","0","0","","","","","",""
"426","0","0","0","","","","","",""
"427","","","","0.0005","0.0005","0.0005","0.0005","0.0005","0.0005"
"431","0.1735","0.1735","0.1735","","","","","",""
"432","","","","","","","0.1935","0.1935","0.1935"
"433","","","","0.1835","0.1835","0.1835","","",""
"435","","","","0.183","0.183","0.183","0.21","0.21","0.21"
"438","0.2275","0.2275","0.2275","0.21","0.21","0.21","","",""
"440","0.239","0.239","0.239","","","","","",""
"442","","","","0.2295","0.2295","0.2295","","",""
"446","0.2595","0.2595","0.2595","0.246","0.246","0.246","","",""
"447","0.269","0.269","0.269","","","","","",""
"448","0.2695","0.2695","0.2695","","","","","",""
"449","","","","","","","0.2675","0.2675","0.2675"
"452","0.0005","0.0005","0.0005","","","","","",""
"454","0.131","0.131","0.131","","","","","",""
"461","0.2085","0.2085","0.2085","","","","","",""
"466","0.228","0.228","0.228","","","","0.2165","0.2165","0.2165"
"467","","","","0.21","0.21","0.21","0.221","0.221","0.221"
"469","","","","","","","0.224","0.224","0.224"
"471","","","","0.2225","0.2225","0.2225","","",""
"473","0.243","0.243","0.243","","","","","",""
"476","","","","","","","0","0","0"
"479","0.1025","0.1025","0.1025","","","","","",""
"480","0.1235","0.1235","0.1235","","","","","",""
"481","","","","0.1385","0.1385","0.1385","","",""
