"Step","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"229","0.233","0.233","0.233","0.10995","0.10995","0.10995","0.12085","0.12085","0.12085"
"230","0.2455","0.2455","0.2455","0.1228","0.1228","0.1228","0.13395","0.13395","0.13395"
"231","0.2525","0.2525","0.2525","0.13205","0.13205","0.13205","0.14225","0.14225","0.14225"
"232","0.2615","0.2615","0.2615","0.1392","0.1392","0.1392","0.1489","0.1489","0.1489"
"233","0.2655","0.2655","0.2655","0.1446","0.1446","0.1446","0.1536","0.1536","0.1536"
"234","0.262","0.262","0.262","0.1497","0.1497","0.1497","0.15845","0.15845","0.15845"
"235","0.2645","0.2645","0.2645","0.1528","0.1528","0.1528","0.1598","0.1598","0.1598"
"236","0.27","0.27","0.27","0.15685","0.15685","0.15685","0.16235","0.16235","0.16235"
"237","0.272","0.272","0.272","0.15925","0.15925","0.15925","0.16615","0.16615","0.16615"
"238","0.275","0.275","0.275","0.1608","0.1608","0.1608","0.16645","0.16645","0.16645"
"239","0.2715","0.2715","0.2715","0.16245","0.16245","0.16245","0.16795","0.16795","0.16795"
"240","0.279","0.279","0.279","0.16505","0.16505","0.16505","0.1698","0.1698","0.1698"
"241","0.2855","0.2855","0.2855","0.1658","0.1658","0.1658","0.1687","0.1687","0.1687"
"242","0.283","0.283","0.283","0.1669","0.1669","0.1669","0.1704","0.1704","0.1704"
"243","0.282","0.282","0.282","0.16765","0.16765","0.16765","0.17185","0.17185","0.17185"
"244","0.2875","0.2875","0.2875","0.1697","0.1697","0.1697","0.17405","0.17405","0.17405"
"245","0.2835","0.2835","0.2835","0.1702","0.1702","0.1702","0.17295","0.17295","0.17295"
"246","0.287","0.287","0.287","0.1705","0.1705","0.1705","0.1736","0.1736","0.1736"
"247","0.288","0.288","0.288","0.17125","0.17125","0.17125","0.1735","0.1735","0.1735"
"248","0.289","0.289","0.289","0.17065","0.17065","0.17065","0.1738","0.1738","0.1738"
"249","0.289","0.289","0.289","0.1709","0.1709","0.1709","0.1729","0.1729","0.1729"
"250","0.031","0.031","0.031","0.03625","0.03625","0.03625","0.0369","0.0369","0.0369"
"251","0.0795","0.0795","0.0795","0.0599","0.0599","0.0599","0.06915","0.06915","0.06915"
"252","0.176","0.176","0.176","0.0895","0.0895","0.0895","0.09965","0.09965","0.09965"
"253","0.1995","0.1995","0.1995","0.1166","0.1166","0.1166","0.1264","0.1264","0.1264"
"254","0.2065","0.2065","0.2065","0.1348","0.1348","0.1348","0.14745","0.14745","0.14745"
"255","0.213","0.213","0.213","0.1428","0.1428","0.1428","0.1593","0.1593","0.1593"
"256","0.211","0.211","0.211","0.15175","0.15175","0.15175","0.16865","0.16865","0.16865"
"257","0.22","0.22","0.22","0.1588","0.1588","0.1588","0.17425","0.17425","0.17425"
"258","0.2225","0.2225","0.2225","0.1624","0.1624","0.1624","0.1775","0.1775","0.1775"
"259","0.2215","0.2215","0.2215","0.1688","0.1688","0.1688","0.1828","0.1828","0.1828"
"260","0.242","0.242","0.242","0.17165","0.17165","0.17165","0.18365","0.18365","0.18365"
"261","0.246","0.246","0.246","0.1753","0.1753","0.1753","0.1864","0.1864","0.1864"
"262","0.2515","0.2515","0.2515","0.1771","0.1771","0.1771","0.19","0.19","0.19"
"263","0.244","0.244","0.244","0.17885","0.17885","0.17885","0.19295","0.19295","0.19295"
"264","0.258","0.258","0.258","0.18","0.18","0.18","0.19325","0.19325","0.19325"
"265","0.2505","0.2505","0.2505","0.1823","0.1823","0.1823","0.19525","0.19525","0.19525"
"266","0.258","0.258","0.258","0.1836","0.1836","0.1836","0.197","0.197","0.197"
"267","0.2645","0.2645","0.2645","0.18545","0.18545","0.18545","0.19685","0.19685","0.19685"
"268","0.269","0.269","0.269","0.1852","0.1852","0.1852","0.19585","0.19585","0.19585"
"269","0.2785","0.2785","0.2785","0.18665","0.18665","0.18665","0.19765","0.19765","0.19765"
"270","0.2685","0.2685","0.2685","0.1874","0.1874","0.1874","0.1986","0.1986","0.1986"
"271","0.281","0.281","0.281","0.1873","0.1873","0.1873","0.19915","0.19915","0.19915"
"272","0.282","0.282","0.282","0.18725","0.18725","0.18725","0.1993","0.1993","0.1993"
"273","0.278","0.278","0.278","0.1893","0.1893","0.1893","0.19955","0.19955","0.19955"
"274","0.2835","0.2835","0.2835","0.18895","0.18895","0.18895","0.1994","0.1994","0.1994"
"275","0.0305","0.0305","0.0305","0.0361","0.0361","0.0361","0.03585","0.03585","0.03585"
"276","0.0965","0.0965","0.0965","0.065","0.065","0.065","0.0823","0.0823","0.0823"
"277","0.192","0.192","0.192","0.09095","0.09095","0.09095","0.1096","0.1096","0.1096"
"278","0.2625","0.2625","0.2625","0.10995","0.10995","0.10995","0.1297","0.1297","0.1297"
"279","0.2735","0.2735","0.2735","0.12625","0.12625","0.12625","0.1466","0.1466","0.1466"
"280","0.2755","0.2755","0.2755","0.1383","0.1383","0.1383","0.15925","0.15925","0.15925"
"281","0.28","0.28","0.28","0.14755","0.14755","0.14755","0.16725","0.16725","0.16725"
"282","0.283","0.283","0.283","0.1538","0.1538","0.1538","0.1731","0.1731","0.1731"
"283","0.292","0.292","0.292","0.15825","0.15825","0.15825","0.1774","0.1774","0.1774"
"284","0.288","0.288","0.288","0.16305","0.16305","0.16305","0.18145","0.18145","0.18145"
"285","0.299","0.299","0.299","0.16715","0.16715","0.16715","0.1842","0.1842","0.1842"
"286","0.3095","0.3095","0.3095","0.17105","0.17105","0.17105","0.1851","0.1851","0.1851"
"287","0.315","0.315","0.315","0.17345","0.17345","0.17345","0.18755","0.18755","0.18755"
"288","0.316","0.316","0.316","0.17395","0.17395","0.17395","0.19","0.19","0.19"
"289","0.315","0.315","0.315","0.1763","0.1763","0.1763","0.19005","0.19005","0.19005"
"290","0.3175","0.3175","0.3175","0.17815","0.17815","0.17815","0.1904","0.1904","0.1904"
"291","0.316","0.316","0.316","0.17935","0.17935","0.17935","0.1918","0.1918","0.1918"
"292","0.32","0.32","0.32","0.1799","0.1799","0.1799","0.1916","0.1916","0.1916"
"293","0.32","0.32","0.32","0.18055","0.18055","0.18055","0.1914","0.1914","0.1914"
"294","0.324","0.324","0.324","0.18265","0.18265","0.18265","0.1907","0.1907","0.1907"
"295","0.3285","0.3285","0.3285","0.1824","0.1824","0.1824","0.192","0.192","0.192"
"296","0.3275","0.3275","0.3275","0.18285","0.18285","0.18285","0.1925","0.1925","0.1925"
"297","0.33","0.33","0.33","0.18375","0.18375","0.18375","0.1925","0.1925","0.1925"
"298","0.3305","0.3305","0.3305","0.1817","0.1817","0.1817","0.19295","0.19295","0.19295"
"299","0.33","0.33","0.33","0.1835","0.1835","0.1835","0.19355","0.19355","0.19355"
"300","0.0045","0.0045","0.0045","0.0233","0.0233","0.0233","0.0231","0.0231","0.0231"
"301","0.015","0.015","0.015","0.04485","0.04485","0.04485","0.0628","0.0628","0.0628"
"302","0.1645","0.1645","0.1645","0.0751","0.0751","0.0751","0.0983","0.0983","0.0983"
"303","0.1955","0.1955","0.1955","0.10055","0.10055","0.10055","0.1241","0.1241","0.1241"
"304","0.2345","0.2345","0.2345","0.1206","0.1206","0.1206","0.1414","0.1414","0.1414"
"305","0.2545","0.2545","0.2545","0.1353","0.1353","0.1353","0.15515","0.15515","0.15515"
"306","0.2565","0.2565","0.2565","0.1456","0.1456","0.1456","0.16605","0.16605","0.16605"
"307","0.2675","0.2675","0.2675","0.1526","0.1526","0.1526","0.1709","0.1709","0.1709"
"308","0.2755","0.2755","0.2755","0.15865","0.15865","0.15865","0.17595","0.17595","0.17595"
"309","0.2755","0.2755","0.2755","0.1643","0.1643","0.1643","0.18065","0.18065","0.18065"
"310","0.2765","0.2765","0.2765","0.1669","0.1669","0.1669","0.18405","0.18405","0.18405"
"311","0.2845","0.2845","0.2845","0.17095","0.17095","0.17095","0.18595","0.18595","0.18595"
"312","0.285","0.285","0.285","0.17215","0.17215","0.17215","0.1863","0.1863","0.1863"
"313","0.297","0.297","0.297","0.1747","0.1747","0.1747","0.18855","0.18855","0.18855"
"314","0.298","0.298","0.298","0.17565","0.17565","0.17565","0.18865","0.18865","0.18865"
"315","0.2995","0.2995","0.2995","0.17625","0.17625","0.17625","0.19065","0.19065","0.19065"
"316","0.291","0.291","0.291","0.17745","0.17745","0.17745","0.1898","0.1898","0.1898"
"317","0.293","0.293","0.293","0.17815","0.17815","0.17815","0.1888","0.1888","0.1888"
"318","0.298","0.298","0.298","0.1775","0.1775","0.1775","0.19015","0.19015","0.19015"
"319","0.305","0.305","0.305","0.17885","0.17885","0.17885","0.1894","0.1894","0.1894"
"320","0.3","0.3","0.3","0.17895","0.17895","0.17895","0.19035","0.19035","0.19035"
"321","0.3085","0.3085","0.3085","0.17975","0.17975","0.17975","0.1884","0.1884","0.1884"
"322","0.3075","0.3075","0.3075","0.1799","0.1799","0.1799","0.18845","0.18845","0.18845"
"323","0.3095","0.3095","0.3095","0.1794","0.1794","0.1794","0.18935","0.18935","0.18935"
"324","0.3115","0.3115","0.3115","0.17975","0.17975","0.17975","0.1896","0.1896","0.1896"
"325","0.0195","0.0195","0.0195","0.0281","0.0281","0.0281","0.02965","0.02965","0.02965"
"326","","","","0.0572","0.0572","0.0572","0.074","0.074","0.074"
"327","","","","0.0871","0.0871","0.0871","0.10935","0.10935","0.10935"
"328","","","","0.1167","0.1167","0.1167","0.1417","0.1417","0.1417"
"329","","","","0.1381","0.1381","0.1381","0.16145","0.16145","0.16145"
"330","","","","0.15195","0.15195","0.15195","0.1741","0.1741","0.1741"
"331","","","","0.16185","0.16185","0.16185","0.1844","0.1844","0.1844"
"332","","","","0.16825","0.16825","0.16825","0.18905","0.18905","0.18905"
"333","","","","0.17345","0.17345","0.17345","0.1942","0.1942","0.1942"
"334","","","","0.17785","0.17785","0.17785","0.19705","0.19705","0.19705"
"335","","","","0.18115","0.18115","0.18115","0.19875","0.19875","0.19875"
"336","","","","0.18285","0.18285","0.18285","0.20115","0.20115","0.20115"
"337","","","","0.1862","0.1862","0.1862","0.20185","0.20185","0.20185"
"338","","","","0.18735","0.18735","0.18735","0.202","0.202","0.202"
"339","","","","0.1861","0.1861","0.1861","0.2032","0.2032","0.2032"
"340","","","","0.18935","0.18935","0.18935","0.20295","0.20295","0.20295"
"341","","","","0.19075","0.19075","0.19075","0.20245","0.20245","0.20245"
"342","","","","0.19075","0.19075","0.19075","0.20265","0.20265","0.20265"
"343","","","","0.1922","0.1922","0.1922","0.2034","0.2034","0.2034"
"344","","","","0.193","0.193","0.193","0.20405","0.20405","0.20405"
"345","","","","0.1941","0.1941","0.1941","0.203","0.203","0.203"
"346","","","","0.194","0.194","0.194","0.20325","0.20325","0.20325"
"347","","","","0.1951","0.1951","0.1951","0.20275","0.20275","0.20275"
"348","","","","0.19475","0.19475","0.19475","0.20115","0.20115","0.20115"
"349","","","","0.19385","0.19385","0.19385","0.202","0.202","0.202"
"350","","","","0.036","0.036","0.036","0.03525","0.03525","0.03525"
"351","","","","0.0591","0.0591","0.0591","0.0906","0.0906","0.0906"
"352","","","","0.08435","0.08435","0.08435","0.12685","0.12685","0.12685"
"353","","","","0.11225","0.11225","0.11225","0.1544","0.1544","0.1544"
"354","","","","0.1321","0.1321","0.1321","0.1721","0.1721","0.1721"
"355","","","","0.1482","0.1482","0.1482","0.18355","0.18355","0.18355"
"356","","","","0.1575","0.1575","0.1575","0.19265","0.19265","0.19265"
"357","","","","0.165","0.165","0.165","0.1952","0.1952","0.1952"
"358","","","","0.171","0.171","0.171","0.1981","0.1981","0.1981"
"359","","","","0.17395","0.17395","0.17395","0.19795","0.19795","0.19795"
"360","","","","0.17545","0.17545","0.17545","0.20035","0.20035","0.20035"
"361","","","","0.1781","0.1781","0.1781","0.1985","0.1985","0.1985"
"362","","","","0.17825","0.17825","0.17825","0.2002","0.2002","0.2002"
"363","","","","0.17855","0.17855","0.17855","0.20045","0.20045","0.20045"
"364","","","","0.18095","0.18095","0.18095","0.20075","0.20075","0.20075"
"365","","","","0.18125","0.18125","0.18125","0.19855","0.19855","0.19855"
"366","","","","0.18225","0.18225","0.18225","0.1985","0.1985","0.1985"
"367","","","","0.1838","0.1838","0.1838","0.1986","0.1986","0.1986"
"368","","","","0.1847","0.1847","0.1847","0.1984","0.1984","0.1984"
"369","","","","0.18505","0.18505","0.18505","0.19665","0.19665","0.19665"
"370","","","","0.18445","0.18445","0.18445","0.19665","0.19665","0.19665"
"371","","","","0.18475","0.18475","0.18475","0.19675","0.19675","0.19675"
"372","","","","0.1826","0.1826","0.1826","0.19525","0.19525","0.19525"
"373","","","","0.1832","0.1832","0.1832","0.1949","0.1949","0.1949"
"374","","","","0.18385","0.18385","0.18385","0.19535","0.19535","0.19535"
"375","","","","0.0352","0.0352","0.0352","0.0376","0.0376","0.0376"
"376","","","","0.06535","0.06535","0.06535","0.10215","0.10215","0.10215"
"377","","","","0.0948","0.0948","0.0948","0.1395","0.1395","0.1395"
"378","","","","0.1203","0.1203","0.1203","0.162","0.162","0.162"
"379","","","","0.1391","0.1391","0.1391","0.1778","0.1778","0.1778"
"380","","","","0.1523","0.1523","0.1523","0.1867","0.1867","0.1867"
"381","","","","0.1619","0.1619","0.1619","0.193","0.193","0.193"
"382","","","","0.1678","0.1678","0.1678","0.19675","0.19675","0.19675"
"383","","","","0.1739","0.1739","0.1739","0.19875","0.19875","0.19875"
"384","","","","0.1754","0.1754","0.1754","0.20155","0.20155","0.20155"
"385","","","","0.17975","0.17975","0.17975","0.204","0.204","0.204"
"386","","","","0.1833","0.1833","0.1833","0.20365","0.20365","0.20365"
"387","","","","0.18525","0.18525","0.18525","0.20555","0.20555","0.20555"
"388","","","","0.18565","0.18565","0.18565","0.20585","0.20585","0.20585"
"389","","","","0.1872","0.1872","0.1872","0.2063","0.2063","0.2063"
"390","","","","0.1875","0.1875","0.1875","0.2067","0.2067","0.2067"
"391","","","","0.1877","0.1877","0.1877","0.20705","0.20705","0.20705"
"392","","","","0.1885","0.1885","0.1885","0.20585","0.20585","0.20585"
"393","","","","0.18725","0.18725","0.18725","0.2059","0.2059","0.2059"
"394","","","","0.18775","0.18775","0.18775","0.2073","0.2073","0.2073"
"395","","","","0.18685","0.18685","0.18685","0.2051","0.2051","0.2051"
"396","","","","0.18805","0.18805","0.18805","0.2063","0.2063","0.2063"
"397","","","","0.1871","0.1871","0.1871","0.2043","0.2043","0.2043"
"398","","","","0.18605","0.18605","0.18605","0.2025","0.2025","0.2025"
"399","","","","0.18705","0.18705","0.18705","0.20335","0.20335","0.20335"
"400","","","","0.02915","0.02915","0.02915","0.0306","0.0306","0.0306"
"401","","","","0.0635","0.0635","0.0635","0.10285","0.10285","0.10285"
"402","","","","0.0906","0.0906","0.0906","0.13575","0.13575","0.13575"
"403","","","","0.1168","0.1168","0.1168","0.15715","0.15715","0.15715"
"404","","","","0.13415","0.13415","0.13415","0.1691","0.1691","0.1691"
"405","","","","0.1447","0.1447","0.1447","0.17745","0.17745","0.17745"
"406","","","","0.1539","0.1539","0.1539","0.1832","0.1832","0.1832"
"407","","","","0.1604","0.1604","0.1604","0.185","0.185","0.185"
"408","","","","0.16295","0.16295","0.16295","0.1876","0.1876","0.1876"
"409","","","","0.16705","0.16705","0.16705","0.1881","0.1881","0.1881"
"410","","","","0.1707","0.1707","0.1707","0.19145","0.19145","0.19145"
"411","","","","0.1747","0.1747","0.1747","0.1922","0.1922","0.1922"
"412","","","","0.17445","0.17445","0.17445","0.19205","0.19205","0.19205"
"413","","","","0.17465","0.17465","0.17465","0.19445","0.19445","0.19445"
"414","","","","0.17665","0.17665","0.17665","0.19335","0.19335","0.19335"
"415","","","","0.1763","0.1763","0.1763","0.19315","0.19315","0.19315"
"416","","","","0.17695","0.17695","0.17695","0.19165","0.19165","0.19165"
"417","","","","0.1799","0.1799","0.1799","0.19195","0.19195","0.19195"
"418","","","","0.1803","0.1803","0.1803","0.1919","0.1919","0.1919"
"419","","","","0.1809","0.1809","0.1809","0.19055","0.19055","0.19055"
"420","","","","0.1801","0.1801","0.1801","0.18905","0.18905","0.18905"
"421","","","","0.1813","0.1813","0.1813","0.18865","0.18865","0.18865"
"422","","","","0.1818","0.1818","0.1818","0.1878","0.1878","0.1878"
"423","","","","0.1825","0.1825","0.1825","0.1875","0.1875","0.1875"
"424","","","","0.1821","0.1821","0.1821","0.18665","0.18665","0.18665"
"425","","","","0.02565","0.02565","0.02565","0.026","0.026","0.026"
"426","","","","0.05195","0.05195","0.05195","0.087","0.087","0.087"
"427","","","","0.0777","0.0777","0.0777","0.12435","0.12435","0.12435"
"428","","","","0.10145","0.10145","0.10145","0.14645","0.14645","0.14645"
"429","","","","0.11715","0.11715","0.11715","0.15935","0.15935","0.15935"
"430","","","","0.129","0.129","0.129","0.16745","0.16745","0.16745"
"431","","","","0.1378","0.1378","0.1378","0.17465","0.17465","0.17465"
"432","","","","0.14445","0.14445","0.14445","0.17605","0.17605","0.17605"
"433","","","","0.14735","0.14735","0.14735","0.17965","0.17965","0.17965"
"434","","","","0.1511","0.1511","0.1511","0.1812","0.1812","0.1812"
"435","","","","0.15435","0.15435","0.15435","0.18065","0.18065","0.18065"
"436","","","","0.1563","0.1563","0.1563","0.1823","0.1823","0.1823"
"437","","","","0.1586","0.1586","0.1586","0.18095","0.18095","0.18095"
"438","","","","0.1603","0.1603","0.1603","0.18235","0.18235","0.18235"
"439","","","","0.1626","0.1626","0.1626","0.18295","0.18295","0.18295"
"440","","","","0.16205","0.16205","0.16205","0.18135","0.18135","0.18135"
"441","","","","0.16345","0.16345","0.16345","0.1822","0.1822","0.1822"
"442","","","","0.16525","0.16525","0.16525","0.18225","0.18225","0.18225"
"443","","","","0.16335","0.16335","0.16335","0.1812","0.1812","0.1812"
"444","","","","0.1663","0.1663","0.1663","0.18165","0.18165","0.18165"
"445","","","","0.1648","0.1648","0.1648","0.1809","0.1809","0.1809"
"446","","","","0.16535","0.16535","0.16535","0.1791","0.1791","0.1791"
"447","","","","0.16455","0.16455","0.16455","0.17765","0.17765","0.17765"
"448","","","","0.1654","0.1654","0.1654","0.178","0.178","0.178"
"449","","","","0.1653","0.1653","0.1653","0.1767","0.1767","0.1767"
"450","","","","0.02545","0.02545","0.02545","0.0266","0.0266","0.0266"
"451","","","","0.04675","0.04675","0.04675","0.0991","0.0991","0.0991"
"452","","","","0.0738","0.0738","0.0738","0.13505","0.13505","0.13505"
"453","","","","0.10065","0.10065","0.10065","0.15085","0.15085","0.15085"
"454","","","","0.1182","0.1182","0.1182","0.16275","0.16275","0.16275"
"455","","","","0.13175","0.13175","0.13175","0.1688","0.1688","0.1688"
"456","","","","0.1427","0.1427","0.1427","0.17345","0.17345","0.17345"
"457","","","","0.1512","0.1512","0.1512","0.1768","0.1768","0.1768"
"458","","","","0.15615","0.15615","0.15615","0.18035","0.18035","0.18035"
"459","","","","0.15995","0.15995","0.15995","0.18225","0.18225","0.18225"
"460","","","","0.1619","0.1619","0.1619","0.18195","0.18195","0.18195"
"461","","","","0.165","0.165","0.165","0.18435","0.18435","0.18435"
"462","","","","0.16525","0.16525","0.16525","0.18505","0.18505","0.18505"
"463","","","","0.1655","0.1655","0.1655","0.1846","0.1846","0.1846"
"464","","","","0.1658","0.1658","0.1658","0.185","0.185","0.185"
"465","","","","0.16595","0.16595","0.16595","0.1846","0.1846","0.1846"
"466","","","","0.1671","0.1671","0.1671","0.18435","0.18435","0.18435"
"467","","","","0.16615","0.16615","0.16615","0.1821","0.1821","0.1821"
"468","","","","0.1658","0.1658","0.1658","0.18335","0.18335","0.18335"
"469","","","","0.166","0.166","0.166","0.18185","0.18185","0.18185"
"470","","","","0.16635","0.16635","0.16635","0.1815","0.1815","0.1815"
"471","","","","0.16575","0.16575","0.16575","0.18165","0.18165","0.18165"
"472","","","","0.16495","0.16495","0.16495","0.181","0.181","0.181"
"473","","","","0.1651","0.1651","0.1651","0.1798","0.1798","0.1798"
"474","","","","0.1642","0.1642","0.1642","0.1793","0.1793","0.1793"
"475","","","","0.0277","0.0277","0.0277","0.0278","0.0278","0.0278"
"476","","","","0.05185","0.05185","0.05185","0.10155","0.10155","0.10155"
"477","","","","0.07935","0.07935","0.07935","0.1344","0.1344","0.1344"
"478","","","","0.10465","0.10465","0.10465","0.1524","0.1524","0.1524"
"479","","","","0.12275","0.12275","0.12275","0.16775","0.16775","0.16775"
"480","","","","0.1399","0.1399","0.1399","0.17855","0.17855","0.17855"
"481","","","","","","","0.184","0.184","0.184"
"482","","","","","","","0.1883","0.1883","0.1883"
"483","","","","","","","0.19175","0.19175","0.19175"
"484","","","","","","","0.19235","0.19235","0.19235"
