"Step","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/7","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/7__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/7__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/7","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/7__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/7__MAX"
"0","0.2037070244550705","0.2037070244550705","0.2037070244550705","0.41098326444625854","0.41098326444625854","0.41098326444625854"
"1","0.22599633038043976","0.22599633038043976","0.22599633038043976","0.3390699326992035","0.3390699326992035","0.3390699326992035"
"2","-0.0014740978367626667","-0.0014740978367626667","-0.0014740978367626667","-0.04376095160841942","-0.04376095160841942","-0.04376095160841942"
"3","0.04274328798055649","0.04274328798055649","0.04274328798055649","-0.03587796911597252","-0.03587796911597252","-0.03587796911597252"
"4","0.010659882798790932","0.010659882798790932","0.010659882798790932","-0.03614677116274834","-0.03614677116274834","-0.03614677116274834"
"5","0.033510129898786545","0.033510129898786545","0.033510129898786545","-0.03671588748693466","-0.03671588748693466","-0.03671588748693466"
"6","0.020731309428811073","0.020731309428811073","0.020731309428811073","-0.03273162618279457","-0.03273162618279457","-0.03273162618279457"
"7","0.046742722392082214","0.046742722392082214","0.046742722392082214","-0.03828972578048706","-0.03828972578048706","-0.03828972578048706"
"8","0.01983785629272461","0.01983785629272461","0.01983785629272461","-0.03191738575696945","-0.03191738575696945","-0.03191738575696945"
"9","0.12365260720252991","0.12365260720252991","0.12365260720252991","-0.03802119940519333","-0.03802119940519333","-0.03802119940519333"
"10","0.0822119489312172","0.0822119489312172","0.0822119489312172","-0.019054284319281578","-0.019054284319281578","-0.019054284319281578"
"11","0.23752950131893158","0.23752950131893158","0.23752950131893158","-0.029879877343773842","-0.029879877343773842","-0.029879877343773842"
"12","0.07037526369094849","0.07037526369094849","0.07037526369094849","-0.030389878898859024","-0.030389878898859024","-0.030389878898859024"
"13","0.3260297179222107","0.3260297179222107","0.3260297179222107","-0.03807247802615166","-0.03807247802615166","-0.03807247802615166"
"14","0.12477824091911316","0.12477824091911316","0.12477824091911316","-0.028458114713430405","-0.028458114713430405","-0.028458114713430405"
"15","0.1825210303068161","0.1825210303068161","0.1825210303068161","-0.026575488969683647","-0.026575488969683647","-0.026575488969683647"
"16","0.04268616437911987","0.04268616437911987","0.04268616437911987","-0.035199958831071854","-0.035199958831071854","-0.035199958831071854"
"17","0.1769021898508072","0.1769021898508072","0.1769021898508072","-0.025336390361189842","-0.025336390361189842","-0.025336390361189842"
"18","0.06879016011953354","0.06879016011953354","0.06879016011953354","-0.032709814608097076","-0.032709814608097076","-0.032709814608097076"
"19","0.22227415442466736","0.22227415442466736","0.22227415442466736","-0.018135037273168564","-0.018135037273168564","-0.018135037273168564"
"20","0.1605038344860077","0.1605038344860077","0.1605038344860077","-0.016605185344815254","-0.016605185344815254","-0.016605185344815254"
"21","0.23980991542339325","0.23980991542339325","0.23980991542339325","-0.017903847619891167","-0.017903847619891167","-0.017903847619891167"
"22","0.0825631245970726","0.0825631245970726","0.0825631245970726","-0.022080065682530403","-0.022080065682530403","-0.022080065682530403"
"23","0.06085928529500961","0.06085928529500961","0.06085928529500961","-0.011848675087094307","-0.011848675087094307","-0.011848675087094307"
"24","0.14205479621887207","0.14205479621887207","0.14205479621887207","-0.017456630244851112","-0.017456630244851112","-0.017456630244851112"
"25","0.10256091505289078","0.10256091505289078","0.10256091505289078","0.04788695275783539","0.04788695275783539","0.04788695275783539"
"26","0.01294389646500349","0.01294389646500349","0.01294389646500349","-0.023152519017457962","-0.023152519017457962","-0.023152519017457962"
"27","0.026062309741973877","0.026062309741973877","0.026062309741973877","-0.06501035392284393","-0.06501035392284393","-0.06501035392284393"
"28","0.014840739779174328","0.014840739779174328","0.014840739779174328","-0.0719948559999466","-0.0719948559999466","-0.0719948559999466"
"29","0.029899070039391518","0.029899070039391518","0.029899070039391518","-0.07551117241382599","-0.07551117241382599","-0.07551117241382599"
"30","0.17938289046287537","0.17938289046287537","0.17938289046287537","-0.07496633380651474","-0.07496633380651474","-0.07496633380651474"
"31","0.035048119723796844","0.035048119723796844","0.035048119723796844","-0.07890897989273071","-0.07890897989273071","-0.07890897989273071"
"32","0.025975733995437622","0.025975733995437622","0.025975733995437622","-0.07754755020141602","-0.07754755020141602","-0.07754755020141602"
"33","0.00026414587046019733","0.00026414587046019733","0.00026414587046019733","-0.07794072479009628","-0.07794072479009628","-0.07794072479009628"
"34","0.1308886706829071","0.1308886706829071","0.1308886706829071","-0.07783852517604828","-0.07783852517604828","-0.07783852517604828"
"35","-0.04774535074830055","-0.04774535074830055","-0.04774535074830055","-0.08013441413640976","-0.08013441413640976","-0.08013441413640976"
"36","0.028799889609217644","0.028799889609217644","0.028799889609217644","-0.08162139356136322","-0.08162139356136322","-0.08162139356136322"
"37","-0.05453500896692276","-0.05453500896692276","-0.05453500896692276","-0.07916854321956635","-0.07916854321956635","-0.07916854321956635"
"38","-0.05026644095778465","-0.05026644095778465","-0.05026644095778465","-0.07473509013652802","-0.07473509013652802","-0.07473509013652802"
"39","-0.030490124598145485","-0.030490124598145485","-0.030490124598145485","-0.08019263297319412","-0.08019263297319412","-0.08019263297319412"
"40","0.032470639795064926","0.032470639795064926","0.032470639795064926","-0.08392329514026642","-0.08392329514026642","-0.08392329514026642"
"41","0.057460978627204895","0.057460978627204895","0.057460978627204895","-0.08140288293361664","-0.08140288293361664","-0.08140288293361664"
"42","-0.005000314209610224","-0.005000314209610224","-0.005000314209610224","-0.0796523168683052","-0.0796523168683052","-0.0796523168683052"
"43","0.004642335698008537","0.004642335698008537","0.004642335698008537","-0.08649881184101105","-0.08649881184101105","-0.08649881184101105"
"44","-0.07055351138114929","-0.07055351138114929","-0.07055351138114929","-0.07731766253709793","-0.07731766253709793","-0.07731766253709793"
"45","0.03563639894127846","0.03563639894127846","0.03563639894127846","-0.08756420761346817","-0.08756420761346817","-0.08756420761346817"
"46","-0.05737224593758583","-0.05737224593758583","-0.05737224593758583","-0.0812167227268219","-0.0812167227268219","-0.0812167227268219"
"47","0.02032627910375595","0.02032627910375595","0.02032627910375595","-0.0856737568974495","-0.0856737568974495","-0.0856737568974495"
"48","-0.02943166345357895","-0.02943166345357895","-0.02943166345357895","-0.08396634459495544","-0.08396634459495544","-0.08396634459495544"
"49","-0.022867213934659958","-0.022867213934659958","-0.022867213934659958","-0.08305889368057251","-0.08305889368057251","-0.08305889368057251"
"50","0.09991814941167831","0.09991814941167831","0.09991814941167831","0.07682958245277405","0.07682958245277405","0.07682958245277405"
"51","0.08282086998224258","0.08282086998224258","0.08282086998224258","0.008903820998966694","0.008903820998966694","0.008903820998966694"
"52","0.05428917706012726","0.05428917706012726","0.05428917706012726","-0.02268998883664608","-0.02268998883664608","-0.02268998883664608"
"53","0.045490216463804245","0.045490216463804245","0.045490216463804245","-0.04543596878647804","-0.04543596878647804","-0.04543596878647804"
"54","0.10631909221410751","0.10631909221410751","0.10631909221410751","-0.07447005063295364","-0.07447005063295364","-0.07447005063295364"
"55","0.11453761905431747","0.11453761905431747","0.11453761905431747","-0.07104310393333435","-0.07104310393333435","-0.07104310393333435"
"56","0.07859687507152557","0.07859687507152557","0.07859687507152557","-0.08424577116966248","-0.08424577116966248","-0.08424577116966248"
"57","0.04957783967256546","0.04957783967256546","0.04957783967256546","-0.0941305011510849","-0.0941305011510849","-0.0941305011510849"
"58","0.07336094230413437","0.07336094230413437","0.07336094230413437","-0.10268411785364151","-0.10268411785364151","-0.10268411785364151"
"59","0.11434163898229599","0.11434163898229599","0.11434163898229599","-0.09570787847042084","-0.09570787847042084","-0.09570787847042084"
"60","0.16271242499351501","0.16271242499351501","0.16271242499351501","-0.09334184229373932","-0.09334184229373932","-0.09334184229373932"
"61","0.19345267117023468","0.19345267117023468","0.19345267117023468","-0.0865316390991211","-0.0865316390991211","-0.0865316390991211"
"62","0.17670872807502747","0.17670872807502747","0.17670872807502747","-0.10215263813734055","-0.10215263813734055","-0.10215263813734055"
"63","0.06266569346189499","0.06266569346189499","0.06266569346189499","-0.11710307002067566","-0.11710307002067566","-0.11710307002067566"
"64","0.0015619590412825346","0.0015619590412825346","0.0015619590412825346","-0.10673687607049942","-0.10673687607049942","-0.10673687607049942"
"65","0.02699185535311699","0.02699185535311699","0.02699185535311699","-0.07797586172819138","-0.07797586172819138","-0.07797586172819138"
"66","-0.0033701311331242323","-0.0033701311331242323","-0.0033701311331242323","-0.0897916704416275","-0.0897916704416275","-0.0897916704416275"
"67","0.035762760788202286","0.035762760788202286","0.035762760788202286","-0.09417000412940979","-0.09417000412940979","-0.09417000412940979"
"68","0.051382679492235184","0.051382679492235184","0.051382679492235184","-0.10338618606328964","-0.10338618606328964","-0.10338618606328964"
"69","0.10092023760080338","0.10092023760080338","0.10092023760080338","-0.08609574288129807","-0.08609574288129807","-0.08609574288129807"
"70","0.07059073448181152","0.07059073448181152","0.07059073448181152","-0.07671035081148148","-0.07671035081148148","-0.07671035081148148"
"71","0.11789806187152863","0.11789806187152863","0.11789806187152863","-0.0740719884634018","-0.0740719884634018","-0.0740719884634018"
"72","0.06059436500072479","0.06059436500072479","0.06059436500072479","-0.08401648700237274","-0.08401648700237274","-0.08401648700237274"
"73","0.1804269403219223","0.1804269403219223","0.1804269403219223","-0.08793733268976212","-0.08793733268976212","-0.08793733268976212"
"74","0.1456272453069687","0.1456272453069687","0.1456272453069687","-0.07514843344688416","-0.07514843344688416","-0.07514843344688416"
"75","0.12790152430534363","0.12790152430534363","0.12790152430534363","0.06916552037000656","0.06916552037000656","0.06916552037000656"
"76","0.03548414260149002","0.03548414260149002","0.03548414260149002","0.025147970765829086","0.025147970765829086","0.025147970765829086"
"77","0.016291189938783646","0.016291189938783646","0.016291189938783646","0.007367788348346949","0.007367788348346949","0.007367788348346949"
"78","0.008238201960921288","0.008238201960921288","0.008238201960921288","-0.011393995024263859","-0.011393995024263859","-0.011393995024263859"
"79","0.06660899519920349","0.06660899519920349","0.06660899519920349","-0.027922121807932854","-0.027922121807932854","-0.027922121807932854"
"80","0.1329035758972168","0.1329035758972168","0.1329035758972168","-0.03592585399746895","-0.03592585399746895","-0.03592585399746895"
"81","0.14207793772220612","0.14207793772220612","0.14207793772220612","-0.027754418551921844","-0.027754418551921844","-0.027754418551921844"
"82","0.16252587735652924","0.16252587735652924","0.16252587735652924","-0.03547940403223038","-0.03547940403223038","-0.03547940403223038"
"83","0.055569060146808624","0.055569060146808624","0.055569060146808624","-0.0644674003124237","-0.0644674003124237","-0.0644674003124237"
"84","0.057123538106679916","0.057123538106679916","0.057123538106679916","-0.04564007744193077","-0.04564007744193077","-0.04564007744193077"
"85","0.03823956102132797","0.03823956102132797","0.03823956102132797","-0.044053543359041214","-0.044053543359041214","-0.044053543359041214"
