"Step","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/3","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/3__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05 - cosine/3__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/3","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/3__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - cosine/3__MAX"
"0","0.1165819987654686","0.1165819987654686","0.1165819987654686","0.36149513721466064","0.36149513721466064","0.36149513721466064"
"1","0.15630286931991577","0.15630286931991577","0.15630286931991577","0.34843841195106506","0.34843841195106506","0.34843841195106506"
"2","-0.009956981986761093","-0.009956981986761093","-0.009956981986761093","-0.00339669082313776","-0.00339669082313776","-0.00339669082313776"
"3","0.012123527005314827","0.012123527005314827","0.012123527005314827","-0.030225645750761032","-0.030225645750761032","-0.030225645750761032"
"4","0.04948928579688072","0.04948928579688072","0.04948928579688072","-0.0440700426697731","-0.0440700426697731","-0.0440700426697731"
"5","0.012463887222111225","0.012463887222111225","0.012463887222111225","-0.04786786064505577","-0.04786786064505577","-0.04786786064505577"
"6","0.0018664487870410085","0.0018664487870410085","0.0018664487870410085","-0.06354048103094101","-0.06354048103094101","-0.06354048103094101"
"7","0.018329916521906853","0.018329916521906853","0.018329916521906853","-0.052902188152074814","-0.052902188152074814","-0.052902188152074814"
"8","0.05420153960585594","0.05420153960585594","0.05420153960585594","-0.05591698735952377","-0.05591698735952377","-0.05591698735952377"
"9","0.10324332118034363","0.10324332118034363","0.10324332118034363","-0.07394293695688248","-0.07394293695688248","-0.07394293695688248"
"10","0.1500617265701294","0.1500617265701294","0.1500617265701294","-0.07041838765144348","-0.07041838765144348","-0.07041838765144348"
"11","0.10405629873275757","0.10405629873275757","0.10405629873275757","-0.055489230901002884","-0.055489230901002884","-0.055489230901002884"
"12","0.13472750782966614","0.13472750782966614","0.13472750782966614","-0.04817303642630577","-0.04817303642630577","-0.04817303642630577"
"13","0.2194814234972","0.2194814234972","0.2194814234972","-0.06161919981241226","-0.06161919981241226","-0.06161919981241226"
"14","0.1591033637523651","0.1591033637523651","0.1591033637523651","-0.059810638427734375","-0.059810638427734375","-0.059810638427734375"
"15","0.10442138463258743","0.10442138463258743","0.10442138463258743","-0.061064038425683975","-0.061064038425683975","-0.061064038425683975"
"16","0.06028871238231659","0.06028871238231659","0.06028871238231659","-0.04360891878604889","-0.04360891878604889","-0.04360891878604889"
"17","0.14825597405433655","0.14825597405433655","0.14825597405433655","-0.07173725217580795","-0.07173725217580795","-0.07173725217580795"
