"Step","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MIN","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MAX"
"180","0.035","0.035","0.035"
"181","0.535","0.535","0.535"
"182","0.555","0.555","0.555"
"183","0.5575","0.5575","0.5575"
"184","0.563","0.563","0.563"
"185","0.58","0.58","0.58"
"186","0.5645","0.5645","0.5645"
"187","0.5895","0.5895","0.5895"
"188","0.559","0.559","0.559"
"189","0.5825","0.5825","0.5825"
"190","0","0","0"
"191","0.546","0.546","0.546"
"192","0.6125","0.6125","0.6125"
"193","0.6425","0.6425","0.6425"
"194","0.63","0.63","0.63"
"195","0.6275","0.6275","0.6275"
"196","0.662","0.662","0.662"
"197","0.65","0.65","0.65"
"198","0.665","0.665","0.665"
"199","0.6525","0.6525","0.6525"
"200","0.1","0.1","0.1"
"201","0.541","0.541","0.541"
"202","0.5705","0.5705","0.5705"
"203","0.5565","0.5565","0.5565"
"204","0.549","0.549","0.549"
"205","0.5915","0.5915","0.5915"
"206","0.565","0.565","0.565"
"207","0.565","0.565","0.565"
"208","0.579","0.579","0.579"
"209","0.6145","0.6145","0.6145"
"210","0.14","0.14","0.14"
"211","0.537","0.537","0.537"
"212","0.5205","0.5205","0.5205"
"213","0.555","0.555","0.555"
"214","0.5645","0.5645","0.5645"
"215","0.54","0.54","0.54"
"216","0.5705","0.5705","0.5705"
"217","0.5585","0.5585","0.5585"
"218","0.557","0.557","0.557"
"219","0.6095","0.6095","0.6095"
"220","0.0545","0.0545","0.0545"
"221","0.548","0.548","0.548"
"222","0.5605","0.5605","0.5605"
"223","0.5505","0.5505","0.5505"
"224","0.575","0.575","0.575"
"225","0.594","0.594","0.594"
"226","0.548","0.548","0.548"
"227","0.54","0.54","0.54"
"228","0.537","0.537","0.537"
"229","0.565","0.565","0.565"
"230","0.0535","0.0535","0.0535"
"231","0.5675","0.5675","0.5675"
"232","0.582","0.582","0.582"
"233","0.6025","0.6025","0.6025"
"234","0.575","0.575","0.575"
"235","0.647","0.647","0.647"
"236","0.693","0.693","0.693"
"237","0.6895","0.6895","0.6895"
"238","0.725","0.725","0.725"
"239","0.7075","0.7075","0.7075"
"240","0.15","0.15","0.15"
