"Step","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MIN","[Precise_main_code]IMAGENET1k_PreciseModel_PreciseFCL_adam_lr0.001 - Local/Averaged Test Accuracy__MAX"
"767","0.5615","0.5615","0.5615"
"768","0.552","0.552","0.552"
"769","0.4785","0.4785","0.4785"
"770","0.014","0.014","0.014"
"771","0.5","0.5","0.5"
"772","0.4785","0.4785","0.4785"
"773","0.5865","0.5865","0.5865"
"774","0.542","0.542","0.542"
"775","0.5345","0.5345","0.5345"
"776","0.5245","0.5245","0.5245"
"777","0.5935","0.5935","0.5935"
"778","0.651","0.651","0.651"
"779","0.572","0.572","0.572"
"780","0.1015","0.1015","0.1015"
"781","0.506","0.506","0.506"
"782","0.5385","0.5385","0.5385"
"783","0.547","0.547","0.547"
"784","0.5145","0.5145","0.5145"
"785","0.5585","0.5585","0.5585"
"786","0.509","0.509","0.509"
"787","0.542","0.542","0.542"
"788","0.579","0.579","0.579"
"789","0.5655","0.5655","0.5655"
"790","0.175","0.175","0.175"
"791","0.518","0.518","0.518"
"792","0.5255","0.5255","0.5255"
"793","0.4995","0.4995","0.4995"
"794","0.45","0.45","0.45"
"795","0.4965","0.4965","0.4965"
"796","0.559","0.559","0.559"
"797","0.5485","0.5485","0.5485"
"798","0.5555","0.5555","0.5555"
"799","0.5485","0.5485","0.5485"
"800","0.1665","0.1665","0.1665"
"801","0.5405","0.5405","0.5405"
"802","0.5395","0.5395","0.5395"
"803","0.5725","0.5725","0.5725"
"804","0.518","0.518","0.518"
"805","0.5485","0.5485","0.5485"
"806","0.698","0.698","0.698"
"807","0.608","0.608","0.608"
"808","0.6315","0.6315","0.6315"
"809","0.607","0.607","0.607"
"810","0.093","0.093","0.093"
"811","0.576","0.576","0.576"
"812","0.5565","0.5565","0.5565"
"813","0.5365","0.5365","0.5365"
"814","0.5065","0.5065","0.5065"
"815","0.5625","0.5625","0.5625"
"816","0.566","0.566","0.566"
"817","0.567","0.567","0.567"
"818","0.542","0.542","0.542"
"819","0.5","0.5","0.5"
"820","0.15","0.15","0.15"
"821","0.5","0.5","0.5"
"822","0.522","0.522","0.522"
"823","0.5","0.5","0.5"
"824","0.529","0.529","0.529"
"825","0.517","0.517","0.517"
"826","0.518","0.518","0.518"
"827","0.5","0.5","0.5"
"828","0.5315","0.5315","0.5315"
"829","0.5405","0.5405","0.5405"
"830","0","0","0"
"831","0.4785","0.4785","0.4785"
"832","0.564","0.564","0.564"
"833","0.535","0.535","0.535"
"834","0.547","0.547","0.547"
"835","0.587","0.587","0.587"
"836","0.568","0.568","0.568"
"837","0.5505","0.5505","0.5505"
"838","0.5695","0.5695","0.5695"
"839","0.5665","0.5665","0.5665"
"840","0","0","0"
"841","0.5185","0.5185","0.5185"
"842","0.4655","0.4655","0.4655"
"843","0.5045","0.5045","0.5045"
"844","0.5","0.5","0.5"
"845","0.5215","0.5215","0.5215"
"846","0.5065","0.5065","0.5065"
"847","0.4625","0.4625","0.4625"
"848","0.5375","0.5375","0.5375"
"849","0.5195","0.5195","0.5195"
"850","0.2","0.2","0.2"
"851","0.45","0.45","0.45"
"852","0.5295","0.5295","0.5295"
"853","0.5065","0.5065","0.5065"
"854","0.5","0.5","0.5"
"855","0.5005","0.5005","0.5005"
"856","0.5245","0.5245","0.5245"
"857","0.592","0.592","0.592"
"858","0.5315","0.5315","0.5315"
"859","0.5495","0.5495","0.5495"
"860","0.099","0.099","0.099"
"861","0.45","0.45","0.45"
"862","0.5265","0.5265","0.5265"
"863","0.549","0.549","0.549"
"864","0.587","0.587","0.587"
"865","0.5645","0.5645","0.5645"
"866","0.5675","0.5675","0.5675"
"867","0.6155","0.6155","0.6155"
"868","0.6035","0.6035","0.6035"
"869","0.594","0.594","0.594"
"870","0.0695","0.0695","0.0695"
"871","0.549","0.549","0.549"
"872","0.5485","0.5485","0.5485"
"873","0.6285","0.6285","0.6285"
"874","0.6285","0.6285","0.6285"
"875","0.597","0.597","0.597"
"876","0.5935","0.5935","0.5935"
"877","0.6505","0.6505","0.6505"
"878","0.6545","0.6545","0.6545"
"879","0.7015","0.7015","0.7015"
"880","0.123","0.123","0.123"
"881","0.516","0.516","0.516"
"882","0.5245","0.5245","0.5245"
"883","0.5425","0.5425","0.5425"
"884","0.568","0.568","0.568"
"885","0.5325","0.5325","0.5325"
"886","0.5465","0.5465","0.5465"
"887","0.526","0.526","0.526"
"888","0.5515","0.5515","0.5515"
"889","0.577","0.577","0.577"
"890","0.1","0.1","0.1"
"891","0.4985","0.4985","0.4985"
"892","0.5135","0.5135","0.5135"
"893","0.5225","0.5225","0.5225"
"894","0.5005","0.5005","0.5005"
"895","0.6055","0.6055","0.6055"
"896","0.575","0.575","0.575"
"897","0.603","0.603","0.603"
"898","0.585","0.585","0.585"
"899","0.523","0.523","0.523"
"900","0.102","0.102","0.102"
"901","0.4465","0.4465","0.4465"
"902","0.5195","0.5195","0.5195"
"903","0.5095","0.5095","0.5095"
"904","0.5235","0.5235","0.5235"
"905","0.511","0.511","0.511"
"906","0.546","0.546","0.546"
"907","0.51","0.51","0.51"
"908","0.51","0.51","0.51"
"909","0.553","0.553","0.553"
"910","0.05","0.05","0.05"
"911","0.523","0.523","0.523"
"912","0.5","0.5","0.5"
"913","0.5","0.5","0.5"
"914","0.5","0.5","0.5"
"915","0.411","0.411","0.411"
"916","0.5","0.5","0.5"
"917","0.5225","0.5225","0.5225"
"918","0.526","0.526","0.526"
"919","0.515","0.515","0.515"
"920","0.1","0.1","0.1"
"921","0.5","0.5","0.5"
"922","0.5065","0.5065","0.5065"
"923","0.5","0.5","0.5"
"924","0.5015","0.5015","0.5015"
"925","0.511","0.511","0.511"
"926","0.5065","0.5065","0.5065"
"927","0.524","0.524","0.524"
"928","0.505","0.505","0.505"
"929","0.5","0.5","0.5"
"930","0.0005","0.0005","0.0005"
"931","0.5","0.5","0.5"
"932","0.5035","0.5035","0.5035"
"933","0.5","0.5","0.5"
"934","0.5","0.5","0.5"
"935","0.518","0.518","0.518"
"936","0.5","0.5","0.5"
"937","0.5","0.5","0.5"
"938","0.5","0.5","0.5"
"939","0.495","0.495","0.495"
"940","0.05","0.05","0.05"
"941","0.45","0.45","0.45"
"942","0.4","0.4","0.4"
"943","0.5","0.5","0.5"
"944","0.5","0.5","0.5"
"945","0.5005","0.5005","0.5005"
"946","0.45","0.45","0.45"
"947","0.5","0.5","0.5"
"948","0.435","0.435","0.435"
"949","0.5165","0.5165","0.5165"
"950","0","0","0"
"951","0.412","0.412","0.412"
"952","0.506","0.506","0.506"
"953","0.5065","0.5065","0.5065"
"954","0.507","0.507","0.507"
"955","0.5","0.5","0.5"
"956","0.5","0.5","0.5"
"957","0.51","0.51","0.51"
"958","0.527","0.527","0.527"
"959","0.53","0.53","0.53"
"960","0.2","0.2","0.2"
"961","0.25","0.25","0.25"
"962","0.5085","0.5085","0.5085"
"963","0.5015","0.5015","0.5015"
"964","0.5","0.5","0.5"
"965","0.525","0.525","0.525"
"966","0.5","0.5","0.5"
"967","0.4535","0.4535","0.4535"
"968","0.5","0.5","0.5"
"969","0.45","0.45","0.45"
"970","0","0","0"
"971","0.5265","0.5265","0.5265"
"972","0.4105","0.4105","0.4105"
"973","0.5195","0.5195","0.5195"
"974","0.5095","0.5095","0.5095"
"975","0.516","0.516","0.516"
"976","0.55","0.55","0.55"
"977","0.5385","0.5385","0.5385"
"978","0.56","0.56","0.56"
"979","0.5585","0.5585","0.5585"
"980","0.1495","0.1495","0.1495"
"981","0.502","0.502","0.502"
"982","0.5075","0.5075","0.5075"
"983","0.514","0.514","0.514"
"984","0.4925","0.4925","0.4925"
"985","0.5","0.5","0.5"
"986","0.527","0.527","0.527"
"987","0.5525","0.5525","0.5525"
"988","0.5705","0.5705","0.5705"
"989","0.5695","0.5695","0.5695"
"990","0.161","0.161","0.161"
"991","0.5115","0.5115","0.5115"
"992","0.5505","0.5505","0.5505"
"993","0.415","0.415","0.415"
"994","0.545","0.545","0.545"
"995","0.5105","0.5105","0.5105"
"996","0.5095","0.5095","0.5095"
"997","0.508","0.508","0.508"
"998","0.5385","0.5385","0.5385"
"999","0.512","0.512","0.512"
"1000","0.017","0.017","0.017"
"1001","0.45","0.45","0.45"
"1002","0.5315","0.5315","0.5315"
"1003","0.555","0.555","0.555"
"1004","0.515","0.515","0.515"
"1005","0.5285","0.5285","0.5285"
"1006","0.5385","0.5385","0.5385"
"1007","0.5305","0.5305","0.5305"
"1008","0.459","0.459","0.459"
"1009","0.527","0.527","0.527"
"1010","0","0","0"
"1011","0.5045","0.5045","0.5045"
"1012","0.4995","0.4995","0.4995"
"1013","0.51","0.51","0.51"
"1014","0.5725","0.5725","0.5725"
"1015","0.503","0.503","0.503"
"1016","0.522","0.522","0.522"
"1017","0.5","0.5","0.5"
"1018","0.5405","0.5405","0.5405"
"1019","0.4995","0.4995","0.4995"
"1020","0.0995","0.0995","0.0995"
"1021","0.4935","0.4935","0.4935"
"1022","0.474","0.474","0.474"
"1023","0.5","0.5","0.5"
"1024","0.5","0.5","0.5"
"1025","0.4995","0.4995","0.4995"
"1026","0.553","0.553","0.553"
"1027","0.52","0.52","0.52"
"1028","0.5","0.5","0.5"
"1029","0.5","0.5","0.5"
"1030","0.1","0.1","0.1"
"1031","0.5","0.5","0.5"
"1032","0.5","0.5","0.5"
"1033","0.5","0.5","0.5"
"1034","0.4905","0.4905","0.4905"
"1035","0.5265","0.5265","0.5265"
"1036","0.547","0.547","0.547"
"1037","0.536","0.536","0.536"
"1038","0.576","0.576","0.576"
"1039","0.6075","0.6075","0.6075"
"1040","0.0995","0.0995","0.0995"
"1041","0.525","0.525","0.525"
"1042","0.484","0.484","0.484"
"1043","0.563","0.563","0.563"
"1044","0.478","0.478","0.478"
"1045","0.544","0.544","0.544"
"1046","0.589","0.589","0.589"
"1047","0.5455","0.5455","0.5455"
"1048","0.5545","0.5545","0.5545"
"1049","0.4395","0.4395","0.4395"
"1050","0","0","0"
"1051","0.483","0.483","0.483"
"1052","0.51","0.51","0.51"
"1053","0.5145","0.5145","0.5145"
"1054","0.525","0.525","0.525"
"1055","0.5005","0.5005","0.5005"
"1056","0.5005","0.5005","0.5005"
"1057","0.5005","0.5005","0.5005"
"1058","0.5","0.5","0.5"
"1059","0.454","0.454","0.454"
"1060","0.05","0.05","0.05"
"1061","0.5","0.5","0.5"
"1062","0.497","0.497","0.497"
"1063","0.5025","0.5025","0.5025"
"1064","0.5","0.5","0.5"
"1065","0.498","0.498","0.498"
"1066","0.506","0.506","0.506"
"1067","0.495","0.495","0.495"
"1068","0.5045","0.5045","0.5045"
"1069","0.5","0.5","0.5"
"1070","0.2","0.2","0.2"
"1071","0.492","0.492","0.492"
"1072","0.5385","0.5385","0.5385"
"1073","0.528","0.528","0.528"
"1074","0.505","0.505","0.505"
"1075","0.555","0.555","0.555"
"1076","0.5885","0.5885","0.5885"
"1077","0.5675","0.5675","0.5675"
"1078","0.619","0.619","0.619"
"1079","0.595","0.595","0.595"
"1080","0.145","0.145","0.145"
"1081","0.501","0.501","0.501"
"1082","0.5","0.5","0.5"
"1083","0.531","0.531","0.531"
"1084","0.5005","0.5005","0.5005"
"1085","0.498","0.498","0.498"
"1086","0.497","0.497","0.497"
"1087","0.546","0.546","0.546"
"1088","0.5125","0.5125","0.5125"
"1089","0.556","0.556","0.556"
"1090","0.003","0.003","0.003"
"1091","0.4995","0.4995","0.4995"
"1092","0.5685","0.5685","0.5685"
"1093","0.544","0.544","0.544"
"1094","0.592","0.592","0.592"
"1095","0.6285","0.6285","0.6285"
"1096","0.6235","0.6235","0.6235"
"1097","0.622","0.622","0.622"
"1098","0.5995","0.5995","0.5995"
"1099","0.618","0.618","0.618"
"1100","0.05","0.05","0.05"
"1101","0.491","0.491","0.491"
"1102","0.512","0.512","0.512"
"1103","0.5205","0.5205","0.5205"
"1104","0.534","0.534","0.534"
"1105","0.556","0.556","0.556"
"1106","0.5415","0.5415","0.5415"
"1107","0.5225","0.5225","0.5225"
"1108","0.531","0.531","0.531"
"1109","0.5285","0.5285","0.5285"
"1110","0.1085","0.1085","0.1085"
"1111","0.5135","0.5135","0.5135"
"1112","0.503","0.503","0.503"
"1113","0.5275","0.5275","0.5275"
"1114","0.5235","0.5235","0.5235"
"1115","0.521","0.521","0.521"
"1116","0.506","0.506","0.506"
"1117","0.562","0.562","0.562"
"1118","0.596","0.596","0.596"
"1119","0.5725","0.5725","0.5725"
"1120","0.125","0.125","0.125"
"1121","0.5285","0.5285","0.5285"
"1122","0.5345","0.5345","0.5345"
"1123","0.5015","0.5015","0.5015"
"1124","0.5805","0.5805","0.5805"
"1125","0.6095","0.6095","0.6095"
"1126","0.5595","0.5595","0.5595"
"1127","0.6145","0.6145","0.6145"
"1128","0.6605","0.6605","0.6605"
"1129","0.6235","0.6235","0.6235"
"1130","0.15","0.15","0.15"
"1131","0.514","0.514","0.514"
"1132","0.4165","0.4165","0.4165"
"1133","0.5045","0.5045","0.5045"
"1134","0.5255","0.5255","0.5255"
"1135","0.547","0.547","0.547"
"1136","0.568","0.568","0.568"
"1137","0.528","0.528","0.528"
"1138","0.638","0.638","0.638"
"1139","0.564","0.564","0.564"
"1140","0","0","0"
"1141","0.5255","0.5255","0.5255"
"1142","0.552","0.552","0.552"
"1143","0.587","0.587","0.587"
"1144","0.504","0.504","0.504"
"1145","0.5065","0.5065","0.5065"
"1146","0.553","0.553","0.553"
"1147","0.446","0.446","0.446"
"1148","0.526","0.526","0.526"
"1149","0.527","0.527","0.527"
"1150","0.204","0.204","0.204"
"1151","0.449","0.449","0.449"
"1152","0.4855","0.4855","0.4855"
"1153","0.6135","0.6135","0.6135"
"1154","0.3975","0.3975","0.3975"
"1155","0.5395","0.5395","0.5395"
"1156","0.3365","0.3365","0.3365"
"1157","0.53","0.53","0.53"
"1158","0.5245","0.5245","0.5245"
"1159","0.3805","0.3805","0.3805"
"1160","0.0485","0.0485","0.0485"
"1161","0.5415","0.5415","0.5415"
"1162","0.5895","0.5895","0.5895"
"1163","0.5325","0.5325","0.5325"
"1164","0.573","0.573","0.573"
"1165","0.6275","0.6275","0.6275"
"1166","0.622","0.622","0.622"
"1167","0.512","0.512","0.512"
"1168","0.3845","0.3845","0.3845"
"1169","0.537","0.537","0.537"
"1170","0.112","0.112","0.112"
"1171","0.324","0.324","0.324"
"1172","0.513","0.513","0.513"
"1173","0.566","0.566","0.566"
"1174","0.5095","0.5095","0.5095"
"1175","0.5545","0.5545","0.5545"
"1176","0.5475","0.5475","0.5475"
"1177","0.584","0.584","0.584"
"1178","0.45","0.45","0.45"
"1179","0.607","0.607","0.607"
"1180","0.154","0.154","0.154"
"1181","0.4685","0.4685","0.4685"
"1182","0.528","0.528","0.528"
"1183","0.5555","0.5555","0.5555"
"1184","0.585","0.585","0.585"
"1185","0.5305","0.5305","0.5305"
"1186","0.5525","0.5525","0.5525"
"1187","0.5295","0.5295","0.5295"
"1188","0.516","0.516","0.516"
"1189","0.572","0.572","0.572"
"1190","0.0425","0.0425","0.0425"
"1191","0.516","0.516","0.516"
"1192","0.553","0.553","0.553"
"1193","0.5295","0.5295","0.5295"
"1194","0.5375","0.5375","0.5375"
"1195","0.559","0.559","0.559"
"1196","0.5115","0.5115","0.5115"
"1197","0.541","0.541","0.541"
"1198","0.507","0.507","0.507"
"1199","0.539","0.539","0.539"
"1200","0.0975","0.0975","0.0975"
"1201","0.471","0.471","0.471"
"1202","0.5525","0.5525","0.5525"
"1203","0.558","0.558","0.558"
"1204","0.541","0.541","0.541"
"1205","0.4635","0.4635","0.4635"
"1206","0.6315","0.6315","0.6315"
"1207","0.6065","0.6065","0.6065"
"1208","0.497","0.497","0.497"
"1209","0.6525","0.6525","0.6525"
"1210","0.052","0.052","0.052"
"1211","0.536","0.536","0.536"
"1212","0.539","0.539","0.539"
"1213","0.5385","0.5385","0.5385"
"1214","0.501","0.501","0.501"
"1215","0.535","0.535","0.535"
"1216","0.556","0.556","0.556"
"1217","0.5635","0.5635","0.5635"
"1218","0.5655","0.5655","0.5655"
"1219","0.528","0.528","0.528"
"1220","0.053","0.053","0.053"
"1221","0.5275","0.5275","0.5275"
"1222","0.535","0.535","0.535"
"1223","0.55","0.55","0.55"
"1224","0.544","0.544","0.544"
"1225","0.5595","0.5595","0.5595"
"1226","0.5655","0.5655","0.5655"
"1227","0.582","0.582","0.582"
"1228","0.611","0.611","0.611"
"1229","0.6395","0.6395","0.6395"
"1230","0.245","0.245","0.245"
"1231","0.429","0.429","0.429"
"1232","0.4535","0.4535","0.4535"
"1233","0.5045","0.5045","0.5045"
"1234","0.4305","0.4305","0.4305"
"1235","0.4825","0.4825","0.4825"
"1236","0.4535","0.4535","0.4535"
"1237","0.475","0.475","0.475"
"1238","0.4795","0.4795","0.4795"
"1239","0.4625","0.4625","0.4625"
"1240","0.1685","0.1685","0.1685"
"1241","0.532","0.532","0.532"
"1242","0.5315","0.5315","0.5315"
"1243","0.5005","0.5005","0.5005"
"1244","0.536","0.536","0.536"
"1245","0.502","0.502","0.502"
"1246","0.4775","0.4775","0.4775"
"1247","0.4955","0.4955","0.4955"
"1248","0.556","0.556","0.556"
"1249","0.524","0.524","0.524"
"1250","0.101","0.101","0.101"
"1251","0.5345","0.5345","0.5345"
"1252","0.61","0.61","0.61"
"1253","0.621","0.621","0.621"
"1254","0.5495","0.5495","0.5495"
"1255","0.5815","0.5815","0.5815"
"1256","0.6485","0.6485","0.6485"
"1257","0.5895","0.5895","0.5895"
"1258","0.35","0.35","0.35"
"1259","0.6015","0.6015","0.6015"
"1260","0.05","0.05","0.05"
"1261","0.5","0.5","0.5"
"1262","0.567","0.567","0.567"
"1263","0.578","0.578","0.578"
"1264","0.579","0.579","0.579"
"1265","0.5385","0.5385","0.5385"
"1266","0.6315","0.6315","0.6315"
"1267","0.634","0.634","0.634"
"1268","0.6125","0.6125","0.6125"
"1269","0.645","0.645","0.645"
"1270","0.049","0.049","0.049"
"1271","0.462","0.462","0.462"
"1272","0.5585","0.5585","0.5585"
"1273","0.5295","0.5295","0.5295"
"1274","0.543","0.543","0.543"
"1275","0.58","0.58","0.58"
"1276","0.5205","0.5205","0.5205"
"1277","0.5235","0.5235","0.5235"
"1278","0.54","0.54","0.54"
"1279","0.586","0.586","0.586"
"1280","0.0265","0.0265","0.0265"
"1281","0.511","0.511","0.511"
"1282","0.5155","0.5155","0.5155"
"1283","0.5665","0.5665","0.5665"
"1284","0.632","0.632","0.632"
"1285","0.5755","0.5755","0.5755"
"1286","0.522","0.522","0.522"
"1287","0.583","0.583","0.583"
"1288","0.5845","0.5845","0.5845"
"1289","0.5445","0.5445","0.5445"
"1290","0.15","0.15","0.15"
"1291","0.484","0.484","0.484"
"1292","0.4985","0.4985","0.4985"
"1293","0.5105","0.5105","0.5105"
"1294","0.549","0.549","0.549"
"1295","0.577","0.577","0.577"
"1296","0.544","0.544","0.544"
"1297","0.5475","0.5475","0.5475"
"1298","0.562","0.562","0.562"
"1299","0.5695","0.5695","0.5695"
"1300","0.226","0.226","0.226"
"1301","0.5455","0.5455","0.5455"
"1302","0.5655","0.5655","0.5655"
"1303","0.6075","0.6075","0.6075"
"1304","0.657","0.657","0.657"
"1305","0.6735","0.6735","0.6735"
"1306","0.614","0.614","0.614"
"1307","0.643","0.643","0.643"
"1308","0.645","0.645","0.645"
"1309","0.6985","0.6985","0.6985"
"1310","0.014","0.014","0.014"
"1311","0.509","0.509","0.509"
"1312","0.513","0.513","0.513"
"1313","0.5315","0.5315","0.5315"
"1314","0.5215","0.5215","0.5215"
"1315","0.53","0.53","0.53"
"1316","0.5975","0.5975","0.5975"
"1317","0.5895","0.5895","0.5895"
"1318","0.5715","0.5715","0.5715"
"1319","0.614","0.614","0.614"
"1320","0.134","0.134","0.134"
"1321","0.531","0.531","0.531"
"1322","0.504","0.504","0.504"
"1323","0.5055","0.5055","0.5055"
"1324","0.5295","0.5295","0.5295"
"1325","0.509","0.509","0.509"
"1326","0.555","0.555","0.555"
"1327","0.5545","0.5545","0.5545"
"1328","0.56","0.56","0.56"
"1329","0.5855","0.5855","0.5855"
"1330","0","0","0"
"1331","0.5015","0.5015","0.5015"
"1332","0.506","0.506","0.506"
"1333","0.5405","0.5405","0.5405"
"1334","0.5","0.5","0.5"
"1335","0.461","0.461","0.461"
"1336","0.5685","0.5685","0.5685"
"1337","0.594","0.594","0.594"
"1338","0.573","0.573","0.573"
"1339","0.5845","0.5845","0.5845"
"1340","0.1505","0.1505","0.1505"
"1341","0.5755","0.5755","0.5755"
"1342","0.582","0.582","0.582"
"1343","0.5805","0.5805","0.5805"
"1344","0.545","0.545","0.545"
"1345","0.5395","0.5395","0.5395"
"1346","0.578","0.578","0.578"
"1347","0.557","0.557","0.557"
"1348","0.5545","0.5545","0.5545"
"1349","0.478","0.478","0.478"
"1350","0.0805","0.0805","0.0805"
"1351","0.509","0.509","0.509"
"1352","0.5295","0.5295","0.5295"
"1353","0.5305","0.5305","0.5305"
"1354","0.519","0.519","0.519"
"1355","0.534","0.534","0.534"
"1356","0.526","0.526","0.526"
"1357","0.5025","0.5025","0.5025"
"1358","0.547","0.547","0.547"
"1359","0.5085","0.5085","0.5085"
"1360","0.096","0.096","0.096"
"1361","0.4675","0.4675","0.4675"
"1362","0.502","0.502","0.502"
"1363","0.5015","0.5015","0.5015"
"1364","0.5165","0.5165","0.5165"
"1365","0.5225","0.5225","0.5225"
"1366","0.5195","0.5195","0.5195"
"1367","0.521","0.521","0.521"
"1368","0.4675","0.4675","0.4675"
"1369","0.561","0.561","0.561"
"1370","0.105","0.105","0.105"
"1371","0.5125","0.5125","0.5125"
"1372","0.546","0.546","0.546"
"1373","0.5265","0.5265","0.5265"
"1374","0.509","0.509","0.509"
"1375","0.5065","0.5065","0.5065"
"1376","0.566","0.566","0.566"
"1377","0.5215","0.5215","0.5215"
"1378","0.447","0.447","0.447"
"1379","0.5415","0.5415","0.5415"
"1380","0.0505","0.0505","0.0505"
"1381","0.397","0.397","0.397"
"1382","0.521","0.521","0.521"
"1383","0.551","0.551","0.551"
"1384","0.596","0.596","0.596"
"1385","0.583","0.583","0.583"
"1386","0.529","0.529","0.529"
"1387","0.589","0.589","0.589"
"1388","0.649","0.649","0.649"
"1389","0.619","0.619","0.619"
"1390","0.1155","0.1155","0.1155"
"1391","0.502","0.502","0.502"
"1392","0.4555","0.4555","0.4555"
"1393","0.5245","0.5245","0.5245"
"1394","0.5","0.5","0.5"
"1395","0.5015","0.5015","0.5015"
"1396","0.532","0.532","0.532"
"1397","0.531","0.531","0.531"
"1398","0.5","0.5","0.5"
"1399","0.5125","0.5125","0.5125"
"1400","0.1","0.1","0.1"
"1401","0.5","0.5","0.5"
"1402","0.5","0.5","0.5"
"1403","0.508","0.508","0.508"
"1404","0.5245","0.5245","0.5245"
"1405","0.5","0.5","0.5"
"1406","0.5165","0.5165","0.5165"
"1407","0.465","0.465","0.465"
"1408","0.45","0.45","0.45"
"1409","0.5","0.5","0.5"
"1410","0.0995","0.0995","0.0995"
"1411","0.494","0.494","0.494"
"1412","0.5215","0.5215","0.5215"
"1413","0.5635","0.5635","0.5635"
"1414","0.5315","0.5315","0.5315"
"1415","0.5375","0.5375","0.5375"
"1416","0.4935","0.4935","0.4935"
"1417","0.525","0.525","0.525"
"1418","0.5415","0.5415","0.5415"
"1419","0.572","0.572","0.572"
"1420","0.1275","0.1275","0.1275"
"1421","0.3505","0.3505","0.3505"
"1422","0.5455","0.5455","0.5455"
"1423","0.5825","0.5825","0.5825"
"1424","0.643","0.643","0.643"
"1425","0.5625","0.5625","0.5625"
"1426","0.6325","0.6325","0.6325"
"1427","0.639","0.639","0.639"
"1428","0.6165","0.6165","0.6165"
"1429","0.654","0.654","0.654"
"1430","0.0965","0.0965","0.0965"
"1431","0.588","0.588","0.588"
"1432","0.5795","0.5795","0.5795"
"1433","0.6215","0.6215","0.6215"
"1434","0.633","0.633","0.633"
"1435","0.628","0.628","0.628"
"1436","0.703","0.703","0.703"
"1437","0.6725","0.6725","0.6725"
"1438","0.674","0.674","0.674"
"1439","0.659","0.659","0.659"
"1440","0.0155","0.0155","0.0155"
"1441","0.5365","0.5365","0.5365"
"1442","0.543","0.543","0.543"
"1443","0.5095","0.5095","0.5095"
"1444","0.5215","0.5215","0.5215"
"1445","0.5345","0.5345","0.5345"
"1446","0.5325","0.5325","0.5325"
"1447","0.5155","0.5155","0.5155"
"1448","0.5","0.5","0.5"
"1449","0.514","0.514","0.514"
"1450","0.05","0.05","0.05"
"1451","0.5","0.5","0.5"
"1452","0.4505","0.4505","0.4505"
"1453","0.505","0.505","0.505"
"1454","0.5","0.5","0.5"
"1455","0.425","0.425","0.425"
"1456","0.5815","0.5815","0.5815"
"1457","0.584","0.584","0.584"
"1458","0.5695","0.5695","0.5695"
"1459","0.602","0.602","0.602"
"1460","0.058","0.058","0.058"
"1461","0.536","0.536","0.536"
"1462","0.5005","0.5005","0.5005"
"1463","0.552","0.552","0.552"
"1464","0.4735","0.4735","0.4735"
"1465","0.52","0.52","0.52"
"1466","0.558","0.558","0.558"
"1467","0.569","0.569","0.569"
"1468","0.5305","0.5305","0.5305"
"1469","0.564","0.564","0.564"
"1470","0.097","0.097","0.097"
"1471","0.511","0.511","0.511"
"1472","0.505","0.505","0.505"
"1473","0.543","0.543","0.543"
"1474","0.5395","0.5395","0.5395"
"1475","0.5255","0.5255","0.5255"
"1476","0.5535","0.5535","0.5535"
"1477","0.5355","0.5355","0.5355"
"1478","0.5155","0.5155","0.5155"
"1479","0.552","0.552","0.552"
"1480","0.068","0.068","0.068"
"1481","0.504","0.504","0.504"
"1482","0.5405","0.5405","0.5405"
"1483","0.517","0.517","0.517"
"1484","0.5015","0.5015","0.5015"
"1485","0.5295","0.5295","0.5295"
"1486","0.5195","0.5195","0.5195"
"1487","0.5195","0.5195","0.5195"
"1488","0.521","0.521","0.521"
"1489","0.45","0.45","0.45"
"1490","0.05","0.05","0.05"
"1491","0.5","0.5","0.5"
"1492","0.5","0.5","0.5"
"1493","0.501","0.501","0.501"
"1494","0.5315","0.5315","0.5315"
"1495","0.4995","0.4995","0.4995"
"1496","0.5725","0.5725","0.5725"
"1497","0.544","0.544","0.544"
"1498","0.5645","0.5645","0.5645"
"1499","0.533","0.533","0.533"
"1500","0","0","0"
"1501","0.4765","0.4765","0.4765"
"1502","0.553","0.553","0.553"
"1503","0.5575","0.5575","0.5575"
"1504","0.491","0.491","0.491"
"1505","0.549","0.549","0.549"
"1506","0.504","0.504","0.504"
"1507","0.4735","0.4735","0.4735"
"1508","0.5885","0.5885","0.5885"
"1509","0.5435","0.5435","0.5435"
"1510","0.097","0.097","0.097"
"1511","0.5275","0.5275","0.5275"
"1512","0.608","0.608","0.608"
"1513","0.6105","0.6105","0.6105"
"1514","0.659","0.659","0.659"
"1515","0.643","0.643","0.643"
"1516","0.653","0.653","0.653"
"1517","0.6615","0.6615","0.6615"
"1518","0.661","0.661","0.661"
"1519","0.649","0.649","0.649"
"1520","0.1345","0.1345","0.1345"
"1521","0.4825","0.4825","0.4825"
"1522","0.609","0.609","0.609"
"1523","0.589","0.589","0.589"
"1524","0.5535","0.5535","0.5535"
"1525","0.6245","0.6245","0.6245"
"1526","0.648","0.648","0.648"
"1527","0.6725","0.6725","0.6725"
"1528","0.6745","0.6745","0.6745"
"1529","0.5835","0.5835","0.5835"
"1530","0","0","0"
"1531","0.523","0.523","0.523"
"1532","0.5225","0.5225","0.5225"
"1533","0.58","0.58","0.58"
"1534","0.5225","0.5225","0.5225"
"1535","0.523","0.523","0.523"
