"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"181","0.1465","0.1465","0.1465"
"182","0.157","0.157","0.157"
"183","0.1695","0.1695","0.1695"
"184","0.1765","0.1765","0.1765"
"185","0.183","0.183","0.183"
"186","0.1835","0.1835","0.1835"
"187","0.1865","0.1865","0.1865"
"188","0.191","0.191","0.191"
"189","0.187","0.187","0.187"
"190","0.1835","0.1835","0.1835"
"191","0.1825","0.1825","0.1825"
"192","0.1865","0.1865","0.1865"
"193","0.1825","0.1825","0.1825"
"194","0.184","0.184","0.184"
"195","0.1895","0.1895","0.1895"
"196","0.1905","0.1905","0.1905"
"197","0.1945","0.1945","0.1945"
"198","0.193","0.193","0.193"
"199","0.194","0.194","0.194"
"200","0","0","0"
"201","0","0","0"
"202","0","0","0"
"203","0.0135","0.0135","0.0135"
"204","0.0555","0.0555","0.0555"
"205","0.102","0.102","0.102"
"206","0.1115","0.1115","0.1115"
"207","0.121","0.121","0.121"
"208","0.1195","0.1195","0.1195"
"209","0.131","0.131","0.131"
"210","0.136","0.136","0.136"
"211","0.148","0.148","0.148"
"212","0.146","0.146","0.146"
"213","0.1525","0.1525","0.1525"
"214","0.1545","0.1545","0.1545"
"215","0.153","0.153","0.153"
"216","0.1565","0.1565","0.1565"
"217","0.1585","0.1585","0.1585"
"218","0.1615","0.1615","0.1615"
"219","0.1615","0.1615","0.1615"
"220","0.1645","0.1645","0.1645"
"221","0.1635","0.1635","0.1635"
"222","0.165","0.165","0.165"
"223","0.1665","0.1665","0.1665"
"224","0.1705","0.1705","0.1705"
"225","0","0","0"
"226","0","0","0"
"227","0","0","0"
"228","0","0","0"
"229","0.087","0.087","0.087"
"230","0.113","0.113","0.113"
"231","0.1345","0.1345","0.1345"
"232","0.1555","0.1555","0.1555"
"233","0.163","0.163","0.163"
"234","0.1625","0.1625","0.1625"
"235","0.1575","0.1575","0.1575"
"236","0.1595","0.1595","0.1595"
"237","0.16","0.16","0.16"
"238","0.164","0.164","0.164"
"239","0.1645","0.1645","0.1645"
"240","0.1725","0.1725","0.1725"
"241","0.171","0.171","0.171"
"242","0.1745","0.1745","0.1745"
"243","0.176","0.176","0.176"
"244","0.181","0.181","0.181"
"245","0.1785","0.1785","0.1785"
"246","0.1815","0.1815","0.1815"
"247","0.182","0.182","0.182"
"248","0.185","0.185","0.185"
"249","0.1845","0.1845","0.1845"
"250","0","0","0"
"251","0","0","0"
"252","0","0","0"
"253","0.0075","0.0075","0.0075"
"254","0.097","0.097","0.097"
"255","0.125","0.125","0.125"
"256","0.1355","0.1355","0.1355"
"257","0.156","0.156","0.156"
"258","0.176","0.176","0.176"
"259","0.1885","0.1885","0.1885"
"260","0.1905","0.1905","0.1905"
"261","0.1945","0.1945","0.1945"
"262","0.1975","0.1975","0.1975"
"263","0.197","0.197","0.197"
"264","0.2015","0.2015","0.2015"
"265","0.203","0.203","0.203"
"266","0.2","0.2","0.2"
"267","0.2025","0.2025","0.2025"
"268","0.2075","0.2075","0.2075"
"269","0.2055","0.2055","0.2055"
"270","0.2075","0.2075","0.2075"
"271","0.213","0.213","0.213"
"272","0.213","0.213","0.213"
"273","0.2165","0.2165","0.2165"
"274","0.216","0.216","0.216"
"275","0.0135","0.0135","0.0135"
"276","0.0425","0.0425","0.0425"
"277","0.0545","0.0545","0.0545"
"278","0.064","0.064","0.064"
"279","0.092","0.092","0.092"
"280","0.1165","0.1165","0.1165"
"281","0.127","0.127","0.127"
"282","0.146","0.146","0.146"
"283","0.163","0.163","0.163"
"284","0.168","0.168","0.168"
"285","0.1765","0.1765","0.1765"
"286","0.1855","0.1855","0.1855"
"287","0.1865","0.1865","0.1865"
"288","0.188","0.188","0.188"
"289","0.188","0.188","0.188"
"290","0.1915","0.1915","0.1915"
"291","0.195","0.195","0.195"
"292","0.198","0.198","0.198"
"293","0.1985","0.1985","0.1985"
"294","0.194","0.194","0.194"
"295","0.198","0.198","0.198"
"296","0.2035","0.2035","0.2035"
"297","0.202","0.202","0.202"
"298","0.208","0.208","0.208"
"299","0.2125","0.2125","0.2125"
"300","0.005","0.005","0.005"
"301","0.0265","0.0265","0.0265"
"302","0.034","0.034","0.034"
"303","0.053","0.053","0.053"
"304","0.0995","0.0995","0.0995"
"305","0.1175","0.1175","0.1175"
"306","0.132","0.132","0.132"
"307","0.14","0.14","0.14"
"308","0.1575","0.1575","0.1575"
"309","0.1765","0.1765","0.1765"
"310","0.182","0.182","0.182"
"311","0.188","0.188","0.188"
"312","0.192","0.192","0.192"
"313","0.1955","0.1955","0.1955"
"314","0.2","0.2","0.2"
"315","0.2025","0.2025","0.2025"
"316","0.211","0.211","0.211"
"317","0.214","0.214","0.214"
"318","0.207","0.207","0.207"
"319","0.219","0.219","0.219"
"320","0.225","0.225","0.225"
"321","0.222","0.222","0.222"
"322","0.216","0.216","0.216"
"323","0.224","0.224","0.224"
"324","0.226","0.226","0.226"
"325","0","0","0"
"326","0","0","0"
"327","0.084","0.084","0.084"
"328","0.1","0.1","0.1"
"329","0.102","0.102","0.102"
"330","0.1125","0.1125","0.1125"
"331","0.14","0.14","0.14"
"332","0.166","0.166","0.166"
"333","0.179","0.179","0.179"
"334","0.208","0.208","0.208"
"335","0.2155","0.2155","0.2155"
"336","0.2205","0.2205","0.2205"
"337","0.227","0.227","0.227"
"338","0.2295","0.2295","0.2295"
"339","0.2275","0.2275","0.2275"
"340","0.229","0.229","0.229"
"341","0.231","0.231","0.231"
"342","0.2405","0.2405","0.2405"
"343","0.2385","0.2385","0.2385"
"344","0.2375","0.2375","0.2375"
"345","0.2465","0.2465","0.2465"
"346","0.2405","0.2405","0.2405"
"347","0.249","0.249","0.249"
