"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"14560","0.407","0.407","0.407"
"14561","0.4125","0.4125","0.4125"
"14562","0.4185","0.4185","0.4185"
"14563","0.4225","0.4225","0.4225"
"14564","0.423","0.423","0.423"
"14565","0.4215","0.4215","0.4215"
"14566","0.4275","0.4275","0.4275"
"14567","0.427","0.427","0.427"
"14568","0.429","0.429","0.429"
"14569","0.426","0.426","0.426"
"14570","0.4255","0.4255","0.4255"
"14571","0.429","0.429","0.429"
"14572","0.426","0.426","0.426"
"14573","0.4275","0.4275","0.4275"
"14574","0.4265","0.4265","0.4265"
"14575","0.013","0.013","0.013"
"14576","0.1085","0.1085","0.1085"
"14577","0.2515","0.2515","0.2515"
"14578","0.326","0.326","0.326"
"14579","0.368","0.368","0.368"
"14580","0.39","0.39","0.39"
"14581","0.4035","0.4035","0.4035"
"14582","0.411","0.411","0.411"
"14583","0.4185","0.4185","0.4185"
"14584","0.418","0.418","0.418"
"14585","0.424","0.424","0.424"
"14586","0.427","0.427","0.427"
"14587","0.4325","0.4325","0.4325"
"14588","0.432","0.432","0.432"
"14589","0.4305","0.4305","0.4305"
"14590","0.438","0.438","0.438"
"14591","0.436","0.436","0.436"
"14592","0.4395","0.4395","0.4395"
"14593","0.437","0.437","0.437"
"14594","0.4325","0.4325","0.4325"
"14595","0.436","0.436","0.436"
"14596","0.434","0.434","0.434"
"14597","0.4395","0.4395","0.4395"
"14598","0.4355","0.4355","0.4355"
"14599","0.435","0.435","0.435"
"14600","0.0165","0.0165","0.0165"
"14601","0.0695","0.0695","0.0695"
"14602","0.1755","0.1755","0.1755"
"14603","0.2915","0.2915","0.2915"
"14604","0.3475","0.3475","0.3475"
"14605","0.3835","0.3835","0.3835"
"14606","0.3935","0.3935","0.3935"
"14607","0.405","0.405","0.405"
"14608","0.4105","0.4105","0.4105"
"14609","0.4105","0.4105","0.4105"
"14610","0.4205","0.4205","0.4205"
"14611","0.4245","0.4245","0.4245"
"14612","0.429","0.429","0.429"
"14613","0.424","0.424","0.424"
"14614","0.428","0.428","0.428"
"14615","0.431","0.431","0.431"
"14616","0.4295","0.4295","0.4295"
"14617","0.433","0.433","0.433"
"14618","0.434","0.434","0.434"
"14619","0.432","0.432","0.432"
"14620","0.4345","0.4345","0.4345"
"14621","0.4365","0.4365","0.4365"
"14622","0.4365","0.4365","0.4365"
"14623","0.4415","0.4415","0.4415"
"14624","0.441","0.441","0.441"
"14625","0","0","0"
"14626","0.0595","0.0595","0.0595"
"14627","0.218","0.218","0.218"
"14628","0.317","0.317","0.317"
"14629","0.3665","0.3665","0.3665"
"14630","0.4055","0.4055","0.4055"
"14631","0.4235","0.4235","0.4235"
"14632","0.4395","0.4395","0.4395"
"14633","0.444","0.444","0.444"
"14634","0.4415","0.4415","0.4415"
"14635","0.444","0.444","0.444"
"14636","0.444","0.444","0.444"
"14637","0.451","0.451","0.451"
"14638","0.4555","0.4555","0.4555"
"14639","0.4585","0.4585","0.4585"
"14640","0.4605","0.4605","0.4605"
"14641","0.458","0.458","0.458"
"14642","0.4625","0.4625","0.4625"
"14643","0.459","0.459","0.459"
"14644","0.4625","0.4625","0.4625"
"14645","0.4665","0.4665","0.4665"
"14646","0.4695","0.4695","0.4695"
"14647","0.4665","0.4665","0.4665"
"14648","0.4675","0.4675","0.4675"
"14649","0.4675","0.4675","0.4675"
"14650","0","0","0"
"14651","0.0795","0.0795","0.0795"
"14652","0.234","0.234","0.234"
"14653","0.34","0.34","0.34"
"14654","0.386","0.386","0.386"
"14655","0.4095","0.4095","0.4095"
"14656","0.425","0.425","0.425"
"14657","0.4285","0.4285","0.4285"
"14658","0.435","0.435","0.435"
"14659","0.4475","0.4475","0.4475"
"14660","0.453","0.453","0.453"
"14661","0.459","0.459","0.459"
"14662","0.459","0.459","0.459"
"14663","0.4635","0.4635","0.4635"
"14664","0.4595","0.4595","0.4595"
"14665","0.464","0.464","0.464"
"14666","0.467","0.467","0.467"
"14667","0.4675","0.4675","0.4675"
"14668","0.4675","0.4675","0.4675"
"14669","0.4695","0.4695","0.4695"
"14670","0.4745","0.4745","0.4745"
"14671","0.4755","0.4755","0.4755"
"14672","0.477","0.477","0.477"
"14673","0.4815","0.4815","0.4815"
"14674","0.4805","0.4805","0.4805"
"14675","0.0425","0.0425","0.0425"
"14676","0.104","0.104","0.104"
"14677","0.2115","0.2115","0.2115"
"14678","0.3045","0.3045","0.3045"
"14679","0.347","0.347","0.347"
"14680","0.3735","0.3735","0.3735"
"14681","0.3835","0.3835","0.3835"
"14682","0.391","0.391","0.391"
"14683","0.396","0.396","0.396"
"14684","0.4025","0.4025","0.4025"
"14685","0.4045","0.4045","0.4045"
"14686","0.408","0.408","0.408"
"14687","0.4125","0.4125","0.4125"
"14688","0.4155","0.4155","0.4155"
"14689","0.4155","0.4155","0.4155"
"14690","0.4145","0.4145","0.4145"
"14691","0.4185","0.4185","0.4185"
"14692","0.4165","0.4165","0.4165"
"14693","0.416","0.416","0.416"
"14694","0.422","0.422","0.422"
"14695","0.424","0.424","0.424"
"14696","0.4255","0.4255","0.4255"
"14697","0.4235","0.4235","0.4235"
"14698","0.4255","0.4255","0.4255"
"14699","0.4285","0.4285","0.4285"
"14700","0.0015","0.0015","0.0015"
"14701","0.043","0.043","0.043"
"14702","0.1615","0.1615","0.1615"
"14703","0.2735","0.2735","0.2735"
"14704","0.332","0.332","0.332"
"14705","0.373","0.373","0.373"
"14706","0.396","0.396","0.396"
"14707","0.41","0.41","0.41"
"14708","0.415","0.415","0.415"
"14709","0.419","0.419","0.419"
"14710","0.4255","0.4255","0.4255"
"14711","0.43","0.43","0.43"
"14712","0.43","0.43","0.43"
"14713","0.432","0.432","0.432"
"14714","0.4365","0.4365","0.4365"
"14715","0.4355","0.4355","0.4355"
"14716","0.436","0.436","0.436"
"14717","0.437","0.437","0.437"
"14718","0.439","0.439","0.439"
"14719","0.4405","0.4405","0.4405"
"14720","0.44","0.44","0.44"
"14721","0.438","0.438","0.438"
"14722","0.4365","0.4365","0.4365"
"14723","0.433","0.433","0.433"
"14724","0.4405","0.4405","0.4405"
"14725","0.001","0.001","0.001"
"14726","0.048","0.048","0.048"
"14727","0.1815","0.1815","0.1815"
"14728","0.302","0.302","0.302"
"14729","0.3635","0.3635","0.3635"
"14730","0.3975","0.3975","0.3975"
"14731","0.408","0.408","0.408"
"14732","0.419","0.419","0.419"
"14733","0.4285","0.4285","0.4285"
"14734","0.433","0.433","0.433"
"14735","0.4385","0.4385","0.4385"
"14736","0.441","0.441","0.441"
"14737","0.4425","0.4425","0.4425"
"14738","0.446","0.446","0.446"
"14739","0.45","0.45","0.45"
"14740","0.4505","0.4505","0.4505"
"14741","0.449","0.449","0.449"
"14742","0.452","0.452","0.452"
"14743","0.45","0.45","0.45"
"14744","0.4495","0.4495","0.4495"
"14745","0.4515","0.4515","0.4515"
"14746","0.4535","0.4535","0.4535"
"14747","0.4545","0.4545","0.4545"
"14748","0.454","0.454","0.454"
"14749","0.4555","0.4555","0.4555"
"14750","0.001","0.001","0.001"
"14751","0.06","0.06","0.06"
"14752","0.1885","0.1885","0.1885"
"14753","0.289","0.289","0.289"
"14754","0.3465","0.3465","0.3465"
"14755","0.3685","0.3685","0.3685"
"14756","0.3845","0.3845","0.3845"
"14757","0.3925","0.3925","0.3925"
"14758","0.395","0.395","0.395"
"14759","0.397","0.397","0.397"
"14760","0.4055","0.4055","0.4055"
"14761","0.409","0.409","0.409"
"14762","0.4115","0.4115","0.4115"
"14763","0.4125","0.4125","0.4125"
"14764","0.413","0.413","0.413"
"14765","0.4165","0.4165","0.4165"
"14766","0.4145","0.4145","0.4145"
"14767","0.418","0.418","0.418"
"14768","0.4165","0.4165","0.4165"
"14769","0.4165","0.4165","0.4165"
"14770","0.416","0.416","0.416"
"14771","0.413","0.413","0.413"
"14772","0.413","0.413","0.413"
"14773","0.418","0.418","0.418"
"14774","0.4145","0.4145","0.4145"
"14775","0.0025","0.0025","0.0025"
"14776","0.0795","0.0795","0.0795"
"14777","0.208","0.208","0.208"
"14778","0.288","0.288","0.288"
"14779","0.327","0.327","0.327"
"14780","0.345","0.345","0.345"
"14781","0.359","0.359","0.359"
"14782","0.371","0.371","0.371"
"14783","0.37","0.37","0.37"
"14784","0.378","0.378","0.378"
"14785","0.3805","0.3805","0.3805"
"14786","0.3855","0.3855","0.3855"
"14787","0.3895","0.3895","0.3895"
"14788","0.3945","0.3945","0.3945"
"14789","0.397","0.397","0.397"
"14790","0.399","0.399","0.399"
"14791","0.3975","0.3975","0.3975"
"14792","0.399","0.399","0.399"
"14793","0.4025","0.4025","0.4025"
"14794","0.401","0.401","0.401"
"14795","0.397","0.397","0.397"
"14796","0.403","0.403","0.403"
"14797","0.4045","0.4045","0.4045"
"14798","0.406","0.406","0.406"
"14799","0.4055","0.4055","0.4055"
"14800","0.001","0.001","0.001"
"14801","0.0525","0.0525","0.0525"
"14802","0.1825","0.1825","0.1825"
"14803","0.2835","0.2835","0.2835"
"14804","0.336","0.336","0.336"
"14805","0.368","0.368","0.368"
"14806","0.3825","0.3825","0.3825"
"14807","0.39","0.39","0.39"
"14808","0.391","0.391","0.391"
"14809","0.402","0.402","0.402"
"14810","0.3985","0.3985","0.3985"
"14811","0.4005","0.4005","0.4005"
"14812","0.406","0.406","0.406"
"14813","0.4025","0.4025","0.4025"
"14814","0.4045","0.4045","0.4045"
"14815","0.411","0.411","0.411"
"14816","0.4095","0.4095","0.4095"
"14817","0.4175","0.4175","0.4175"
"14818","0.4175","0.4175","0.4175"
"14819","0.4145","0.4145","0.4145"
"14820","0.415","0.415","0.415"
"14821","0.409","0.409","0.409"
"14822","0.4155","0.4155","0.4155"
"14823","0.419","0.419","0.419"
"14824","0.417","0.417","0.417"
"14825","0","0","0"
"14826","0.0265","0.0265","0.0265"
"14827","0.119","0.119","0.119"
"14828","0.2265","0.2265","0.2265"
"14829","0.2825","0.2825","0.2825"
"14830","0.3265","0.3265","0.3265"
"14831","0.355","0.355","0.355"
"14832","0.3745","0.3745","0.3745"
"14833","0.3825","0.3825","0.3825"
"14834","0.39","0.39","0.39"
"14835","0.393","0.393","0.393"
"14836","0.3965","0.3965","0.3965"
"14837","0.3975","0.3975","0.3975"
"14838","0.3985","0.3985","0.3985"
"14839","0.403","0.403","0.403"
"14840","0.4045","0.4045","0.4045"
"14841","0.408","0.408","0.408"
"14842","0.4095","0.4095","0.4095"
"14843","0.4105","0.4105","0.4105"
"14844","0.4075","0.4075","0.4075"
"14845","0.4125","0.4125","0.4125"
"14846","0.413","0.413","0.413"
"14847","0.4135","0.4135","0.4135"
"14848","0.4145","0.4145","0.4145"
"14849","0.4155","0.4155","0.4155"
"14850","0.0015","0.0015","0.0015"
"14851","0.0675","0.0675","0.0675"
"14852","0.2275","0.2275","0.2275"
"14853","0.3245","0.3245","0.3245"
"14854","0.3735","0.3735","0.3735"
"14855","0.4105","0.4105","0.4105"
"14856","0.4345","0.4345","0.4345"
"14857","0.441","0.441","0.441"
"14858","0.4505","0.4505","0.4505"
"14859","0.456","0.456","0.456"
"14860","0.4545","0.4545","0.4545"
"14861","0.4595","0.4595","0.4595"
"14862","0.457","0.457","0.457"
"14863","0.4615","0.4615","0.4615"
"14864","0.463","0.463","0.463"
"14865","0.4625","0.4625","0.4625"
"14866","0.4635","0.4635","0.4635"
"14867","0.466","0.466","0.466"
"14868","0.465","0.465","0.465"
"14869","0.466","0.466","0.466"
"14870","0.472","0.472","0.472"
"14871","0.4695","0.4695","0.4695"
"14872","0.4715","0.4715","0.4715"
"14873","0.47","0.47","0.47"
"14874","0.4695","0.4695","0.4695"
"14875","0.002","0.002","0.002"
"14876","0.058","0.058","0.058"
"14877","0.17","0.17","0.17"
"14878","0.307","0.307","0.307"
"14879","0.381","0.381","0.381"
"14880","0.417","0.417","0.417"
"14881","0.4365","0.4365","0.4365"
"14882","0.4395","0.4395","0.4395"
"14883","0.446","0.446","0.446"
"14884","0.458","0.458","0.458"
"14885","0.4575","0.4575","0.4575"
"14886","0.4575","0.4575","0.4575"
"14887","0.4585","0.4585","0.4585"
"14888","0.4625","0.4625","0.4625"
"14889","0.4675","0.4675","0.4675"
"14890","0.4675","0.4675","0.4675"
"14891","0.465","0.465","0.465"
"14892","0.4715","0.4715","0.4715"
"14893","0.474","0.474","0.474"
"14894","0.4695","0.4695","0.4695"
"14895","0.4705","0.4705","0.4705"
"14896","0.474","0.474","0.474"
"14897","0.4735","0.4735","0.4735"
"14898","0.4745","0.4745","0.4745"
"14899","0.4725","0.4725","0.4725"
"14900","0.0005","0.0005","0.0005"
"14901","0.0445","0.0445","0.0445"
"14902","0.142","0.142","0.142"
"14903","0.2305","0.2305","0.2305"
"14904","0.2925","0.2925","0.2925"
"14905","0.318","0.318","0.318"
"14906","0.3385","0.3385","0.3385"
"14907","0.3475","0.3475","0.3475"
"14908","0.357","0.357","0.357"
"14909","0.361","0.361","0.361"
"14910","0.3695","0.3695","0.3695"
"14911","0.371","0.371","0.371"
"14912","0.374","0.374","0.374"
"14913","0.3745","0.3745","0.3745"
"14914","0.3775","0.3775","0.3775"
"14915","0.378","0.378","0.378"
"14916","0.3785","0.3785","0.3785"
"14917","0.383","0.383","0.383"
"14918","0.38","0.38","0.38"
"14919","0.381","0.381","0.381"
"14920","0.386","0.386","0.386"
"14921","0.3835","0.3835","0.3835"
"14922","0.3765","0.3765","0.3765"
"14923","0.376","0.376","0.376"
"14924","0.3785","0.3785","0.3785"
"14925","0.002","0.002","0.002"
"14926","0.0715","0.0715","0.0715"
"14927","0.2105","0.2105","0.2105"
"14928","0.3215","0.3215","0.3215"
"14929","0.3895","0.3895","0.3895"
"14930","0.423","0.423","0.423"
"14931","0.442","0.442","0.442"
"14932","0.455","0.455","0.455"
"14933","0.461","0.461","0.461"
"14934","0.467","0.467","0.467"
"14935","0.4695","0.4695","0.4695"
"14936","0.472","0.472","0.472"
"14937","0.477","0.477","0.477"
"14938","0.477","0.477","0.477"
"14939","0.4755","0.4755","0.4755"
"14940","0.4785","0.4785","0.4785"
"14941","0.479","0.479","0.479"
"14942","0.479","0.479","0.479"
"14943","0.4835","0.4835","0.4835"
"14944","0.484","0.484","0.484"
"14945","0.4875","0.4875","0.4875"
"14946","0.4845","0.4845","0.4845"
"14947","0.4855","0.4855","0.4855"
"14948","0.486","0.486","0.486"
"14949","0.4865","0.4865","0.4865"
"14950","0.0035","0.0035","0.0035"
"14951","0.079","0.079","0.079"
"14952","0.172","0.172","0.172"
"14953","0.262","0.262","0.262"
"14954","0.326","0.326","0.326"
"14955","0.368","0.368","0.368"
"14956","0.3825","0.3825","0.3825"
"14957","0.3975","0.3975","0.3975"
"14958","0.4055","0.4055","0.4055"
"14959","0.4115","0.4115","0.4115"
"14960","0.4135","0.4135","0.4135"
"14961","0.414","0.414","0.414"
"14962","0.418","0.418","0.418"
"14963","0.425","0.425","0.425"
"14964","0.432","0.432","0.432"
"14965","0.43","0.43","0.43"
"14966","0.4365","0.4365","0.4365"
"14967","0.438","0.438","0.438"
"14968","0.435","0.435","0.435"
"14969","0.4385","0.4385","0.4385"
"14970","0.4355","0.4355","0.4355"
"14971","0.434","0.434","0.434"
"14972","0.4365","0.4365","0.4365"
"14973","0.4385","0.4385","0.4385"
"14974","0.4345","0.4345","0.4345"
"14975","0.0015","0.0015","0.0015"
"14976","0.059","0.059","0.059"
"14977","0.179","0.179","0.179"
"14978","0.272","0.272","0.272"
"14979","0.317","0.317","0.317"
"14980","0.343","0.343","0.343"
"14981","0.3675","0.3675","0.3675"
"14982","0.3835","0.3835","0.3835"
"14983","0.392","0.392","0.392"
"14984","0.3965","0.3965","0.3965"
"14985","0.401","0.401","0.401"
"14986","0.405","0.405","0.405"
"14987","0.4065","0.4065","0.4065"
"14988","0.411","0.411","0.411"
"14989","0.411","0.411","0.411"
"14990","0.4125","0.4125","0.4125"
"14991","0.413","0.413","0.413"
"14992","0.4145","0.4145","0.4145"
"14993","0.415","0.415","0.415"
"14994","0.4135","0.4135","0.4135"
"14995","0.418","0.418","0.418"
"14996","0.4195","0.4195","0.4195"
"14997","0.423","0.423","0.423"
"14998","0.423","0.423","0.423"
"14999","0.422","0.422","0.422"
"15000","0.0315","0.0315","0.0315"
"15001","0.0845","0.0845","0.0845"
"15002","0.2035","0.2035","0.2035"
"15003","0.299","0.299","0.299"
"15004","0.353","0.353","0.353"
"15005","0.373","0.373","0.373"
"15006","0.39","0.39","0.39"
"15007","0.404","0.404","0.404"
"15008","0.413","0.413","0.413"
"15009","0.418","0.418","0.418"
"15010","0.42","0.42","0.42"
"15011","0.4235","0.4235","0.4235"
"15012","0.426","0.426","0.426"
"15013","0.4285","0.4285","0.4285"
"15014","0.4295","0.4295","0.4295"
"15015","0.4315","0.4315","0.4315"
"15016","0.434","0.434","0.434"
"15017","0.4365","0.4365","0.4365"
"15018","0.4385","0.4385","0.4385"
"15019","0.4395","0.4395","0.4395"
"15020","0.439","0.439","0.439"
"15021","0.4445","0.4445","0.4445"
"15022","0.4425","0.4425","0.4425"
"15023","0.4425","0.4425","0.4425"
"15024","0.4425","0.4425","0.4425"
"15025","0.0005","0.0005","0.0005"
"15026","0.0365","0.0365","0.0365"
"15027","0.1775","0.1775","0.1775"
"15028","0.3255","0.3255","0.3255"
"15029","0.3895","0.3895","0.3895"
"15030","0.4195","0.4195","0.4195"
"15031","0.434","0.434","0.434"
"15032","0.4455","0.4455","0.4455"
"15033","0.449","0.449","0.449"
"15034","0.451","0.451","0.451"
"15035","0.4565","0.4565","0.4565"
"15036","0.4605","0.4605","0.4605"
"15037","0.4655","0.4655","0.4655"
"15038","0.463","0.463","0.463"
"15039","0.461","0.461","0.461"
"15040","0.4655","0.4655","0.4655"
"15041","0.4715","0.4715","0.4715"
"15042","0.4715","0.4715","0.4715"
"15043","0.47","0.47","0.47"
"15044","0.4705","0.4705","0.4705"
"15045","0.47","0.47","0.47"
"15046","0.4725","0.4725","0.4725"
"15047","0.473","0.473","0.473"
"15048","0.4725","0.4725","0.4725"
"15049","0.476","0.476","0.476"
"15050","0.0015","0.0015","0.0015"
"15051","0.0895","0.0895","0.0895"
"15052","0.204","0.204","0.204"
"15053","0.2875","0.2875","0.2875"
"15054","0.329","0.329","0.329"
"15055","0.3575","0.3575","0.3575"
"15056","0.367","0.367","0.367"
"15057","0.3785","0.3785","0.3785"
"15058","0.3855","0.3855","0.3855"
"15059","0.393","0.393","0.393"
"15060","0.395","0.395","0.395"
"15061","0.403","0.403","0.403"
"15062","0.402","0.402","0.402"
"15063","0.4075","0.4075","0.4075"
"15064","0.4085","0.4085","0.4085"
"15065","0.4135","0.4135","0.4135"
"15066","0.4115","0.4115","0.4115"
"15067","0.4145","0.4145","0.4145"
"15068","0.413","0.413","0.413"
"15069","0.4145","0.4145","0.4145"
"15070","0.417","0.417","0.417"
"15071","0.418","0.418","0.418"
"15072","0.419","0.419","0.419"
"15073","0.423","0.423","0.423"
"15074","0.427","0.427","0.427"
"15075","0.024","0.024","0.024"
"15076","0.0955","0.0955","0.0955"
"15077","0.21","0.21","0.21"
"15078","0.3035","0.3035","0.3035"
"15079","0.371","0.371","0.371"
"15080","0.4055","0.4055","0.4055"
"15081","0.42","0.42","0.42"
"15082","0.431","0.431","0.431"
"15083","0.4385","0.4385","0.4385"
"15084","0.4435","0.4435","0.4435"
"15085","0.443","0.443","0.443"
"15086","0.4455","0.4455","0.4455"
"15087","0.4475","0.4475","0.4475"
"15088","0.4495","0.4495","0.4495"
"15089","0.456","0.456","0.456"
"15090","0.4555","0.4555","0.4555"
"15091","0.4555","0.4555","0.4555"
"15092","0.4585","0.4585","0.4585"
"15093","0.458","0.458","0.458"
"15094","0.4605","0.4605","0.4605"
"15095","0.461","0.461","0.461"
"15096","0.463","0.463","0.463"
"15097","0.4625","0.4625","0.4625"
"15098","0.461","0.461","0.461"
"15099","0.463","0.463","0.463"
"15100","0.002","0.002","0.002"
"15101","0.0765","0.0765","0.0765"
"15102","0.2405","0.2405","0.2405"
"15103","0.3465","0.3465","0.3465"
"15104","0.412","0.412","0.412"
"15105","0.447","0.447","0.447"
"15106","0.465","0.465","0.465"
"15107","0.4715","0.4715","0.4715"
"15108","0.4755","0.4755","0.4755"
"15109","0.4765","0.4765","0.4765"
"15110","0.486","0.486","0.486"
"15111","0.4885","0.4885","0.4885"
"15112","0.4915","0.4915","0.4915"
"15113","0.494","0.494","0.494"
"15114","0.4995","0.4995","0.4995"
"15115","0.496","0.496","0.496"
"15116","0.499","0.499","0.499"
"15117","0.4955","0.4955","0.4955"
"15118","0.4975","0.4975","0.4975"
"15119","0.4975","0.4975","0.4975"
"15120","0.497","0.497","0.497"
"15121","0.5015","0.5015","0.5015"
"15122","0.5025","0.5025","0.5025"
"15123","0.503","0.503","0.503"
"15124","0.503","0.503","0.503"
"15125","0.001","0.001","0.001"
"15126","0.0455","0.0455","0.0455"
"15127","0.1485","0.1485","0.1485"
"15128","0.23","0.23","0.23"
"15129","0.2835","0.2835","0.2835"
"15130","0.306","0.306","0.306"
"15131","0.327","0.327","0.327"
"15132","0.333","0.333","0.333"
"15133","0.343","0.343","0.343"
"15134","0.348","0.348","0.348"
"15135","0.354","0.354","0.354"
"15136","0.358","0.358","0.358"
"15137","0.3625","0.3625","0.3625"
"15138","0.3685","0.3685","0.3685"
"15139","0.37","0.37","0.37"
"15140","0.372","0.372","0.372"
"15141","0.3735","0.3735","0.3735"
"15142","0.3815","0.3815","0.3815"
"15143","0.377","0.377","0.377"
"15144","0.38","0.38","0.38"
"15145","0.38","0.38","0.38"
"15146","0.382","0.382","0.382"
"15147","0.3805","0.3805","0.3805"
"15148","0.3835","0.3835","0.3835"
"15149","0.384","0.384","0.384"
"15150","0.027","0.027","0.027"
"15151","0.1075","0.1075","0.1075"
"15152","0.2295","0.2295","0.2295"
"15153","0.323","0.323","0.323"
"15154","0.387","0.387","0.387"
"15155","0.409","0.409","0.409"
"15156","0.4255","0.4255","0.4255"
"15157","0.438","0.438","0.438"
"15158","0.4405","0.4405","0.4405"
"15159","0.4495","0.4495","0.4495"
"15160","0.454","0.454","0.454"
"15161","0.4605","0.4605","0.4605"
"15162","0.463","0.463","0.463"
"15163","0.4645","0.4645","0.4645"
"15164","0.469","0.469","0.469"
"15165","0.473","0.473","0.473"
"15166","0.4735","0.4735","0.4735"
"15167","0.473","0.473","0.473"
"15168","0.4715","0.4715","0.4715"
"15169","0.472","0.472","0.472"
"15170","0.474","0.474","0.474"
"15171","0.4755","0.4755","0.4755"
"15172","0.4755","0.4755","0.4755"
"15173","0.479","0.479","0.479"
"15174","0.4775","0.4775","0.4775"
"15175","0.011","0.011","0.011"
"15176","0.0615","0.0615","0.0615"
"15177","0.191","0.191","0.191"
"15178","0.302","0.302","0.302"
"15179","0.366","0.366","0.366"
"15180","0.3935","0.3935","0.3935"
"15181","0.4135","0.4135","0.4135"
"15182","0.426","0.426","0.426"
"15183","0.431","0.431","0.431"
"15184","0.4395","0.4395","0.4395"
"15185","0.44","0.44","0.44"
"15186","0.4415","0.4415","0.4415"
"15187","0.446","0.446","0.446"
"15188","0.448","0.448","0.448"
"15189","0.4555","0.4555","0.4555"
"15190","0.454","0.454","0.454"
"15191","0.4535","0.4535","0.4535"
"15192","0.454","0.454","0.454"
"15193","0.454","0.454","0.454"
"15194","0.457","0.457","0.457"
"15195","0.456","0.456","0.456"
"15196","0.454","0.454","0.454"
"15197","0.46","0.46","0.46"
"15198","0.46","0.46","0.46"
"15199","0.459","0.459","0.459"
"15200","0.001","0.001","0.001"
"15201","0.0775","0.0775","0.0775"
"15202","0.204","0.204","0.204"
"15203","0.286","0.286","0.286"
"15204","0.333","0.333","0.333"
"15205","0.3575","0.3575","0.3575"
"15206","0.374","0.374","0.374"
"15207","0.381","0.381","0.381"
"15208","0.393","0.393","0.393"
"15209","0.395","0.395","0.395"
"15210","0.3985","0.3985","0.3985"
"15211","0.4005","0.4005","0.4005"
"15212","0.403","0.403","0.403"
"15213","0.403","0.403","0.403"
"15214","0.4075","0.4075","0.4075"
"15215","0.4065","0.4065","0.4065"
"15216","0.4065","0.4065","0.4065"
"15217","0.4115","0.4115","0.4115"
"15218","0.4075","0.4075","0.4075"
"15219","0.409","0.409","0.409"
"15220","0.41","0.41","0.41"
"15221","0.4135","0.4135","0.4135"
"15222","0.4095","0.4095","0.4095"
"15223","0.4115","0.4115","0.4115"
"15224","0.4125","0.4125","0.4125"
"15225","0.012","0.012","0.012"
"15226","0.093","0.093","0.093"
"15227","0.203","0.203","0.203"
"15228","0.3035","0.3035","0.3035"
"15229","0.367","0.367","0.367"
"15230","0.3955","0.3955","0.3955"
"15231","0.419","0.419","0.419"
"15232","0.4325","0.4325","0.4325"
"15233","0.434","0.434","0.434"
"15234","0.4415","0.4415","0.4415"
"15235","0.4445","0.4445","0.4445"
"15236","0.444","0.444","0.444"
"15237","0.4485","0.4485","0.4485"
"15238","0.451","0.451","0.451"
"15239","0.4525","0.4525","0.4525"
"15240","0.4525","0.4525","0.4525"
"15241","0.454","0.454","0.454"
"15242","0.46","0.46","0.46"
"15243","0.4585","0.4585","0.4585"
"15244","0.457","0.457","0.457"
"15245","0.4555","0.4555","0.4555"
"15246","0.4595","0.4595","0.4595"
"15247","0.4565","0.4565","0.4565"
"15248","0.4565","0.4565","0.4565"
"15249","0.461","0.461","0.461"
"15250","0.0045","0.0045","0.0045"
"15251","0.079","0.079","0.079"
"15252","0.2075","0.2075","0.2075"
"15253","0.287","0.287","0.287"
"15254","0.341","0.341","0.341"
"15255","0.3695","0.3695","0.3695"
"15256","0.386","0.386","0.386"
"15257","0.3875","0.3875","0.3875"
"15258","0.3905","0.3905","0.3905"
"15259","0.399","0.399","0.399"
"15260","0.4025","0.4025","0.4025"
"15261","0.406","0.406","0.406"
"15262","0.4105","0.4105","0.4105"
"15263","0.412","0.412","0.412"
"15264","0.4135","0.4135","0.4135"
"15265","0.4165","0.4165","0.4165"
"15266","0.416","0.416","0.416"
"15267","0.417","0.417","0.417"
"15268","0.4195","0.4195","0.4195"
"15269","0.417","0.417","0.417"
"15270","0.421","0.421","0.421"
"15271","0.4175","0.4175","0.4175"
"15272","0.42","0.42","0.42"
"15273","0.4165","0.4165","0.4165"
"15274","0.418","0.418","0.418"
"15275","0.0245","0.0245","0.0245"
"15276","0.0735","0.0735","0.0735"
"15277","0.1895","0.1895","0.1895"
"15278","0.269","0.269","0.269"
"15279","0.3145","0.3145","0.3145"
"15280","0.3385","0.3385","0.3385"
"15281","0.354","0.354","0.354"
"15282","0.367","0.367","0.367"
"15283","0.3785","0.3785","0.3785"
"15284","0.3835","0.3835","0.3835"
"15285","0.393","0.393","0.393"
"15286","0.3925","0.3925","0.3925"
"15287","0.396","0.396","0.396"
"15288","0.3995","0.3995","0.3995"
"15289","0.4025","0.4025","0.4025"
"15290","0.401","0.401","0.401"
"15291","0.4035","0.4035","0.4035"
"15292","0.4035","0.4035","0.4035"
"15293","0.407","0.407","0.407"
"15294","0.402","0.402","0.402"
"15295","0.4025","0.4025","0.4025"
"15296","0.4045","0.4045","0.4045"
"15297","0.409","0.409","0.409"
"15298","0.4095","0.4095","0.4095"
"15299","0.4095","0.4095","0.4095"
"15300","0.007","0.007","0.007"
"15301","0.0745","0.0745","0.0745"
"15302","0.2235","0.2235","0.2235"
"15303","0.33","0.33","0.33"
"15304","0.3935","0.3935","0.3935"
"15305","0.427","0.427","0.427"
"15306","0.4455","0.4455","0.4455"
