"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"1093","0.434","0.434","0.434"
"1095","0.456","0.456","0.456"
"1096","0.4735","0.4735","0.4735"
"1099","0.477","0.477","0.477"
"1102","0.06","0.06","0.06"
"1103","0.105","0.105","0.105"
"1110","0.529","0.529","0.529"
"1111","0.5685","0.5685","0.5685"
"1113","0.5825","0.5825","0.5825"
"1115","0.622","0.622","0.622"
"1123","0.6535","0.6535","0.6535"
"1135","0.5","0.5","0.5"
"1139","0.6155","0.6155","0.6155"
"1147","0.6175","0.6175","0.6175"
"1150","0","0","0"
"1152","0.0365","0.0365","0.0365"
"1155","0.311","0.311","0.311"
"1157","0.5385","0.5385","0.5385"
"1158","0.555","0.555","0.555"
"1167","0.5825","0.5825","0.5825"
"1176","0","0","0"
"1178","0.042","0.042","0.042"
"1179","0.182","0.182","0.182"
"1186","0.497","0.497","0.497"
"1194","0.483","0.483","0.483"
"1197","0.521","0.521","0.521"
"1199","0.5465","0.5465","0.5465"
"1238","0.6335","0.6335","0.6335"
"1248","0.6495","0.6495","0.6495"
"1250","0","0","0"
"1251","0.05","0.05","0.05"
"1254","0.2175","0.2175","0.2175"
"1262","0.651","0.651","0.651"
"1263","0.6605","0.6605","0.6605"
"1267","0.6635","0.6635","0.6635"
"1272","0.6705","0.6705","0.6705"
"1275","0","0","0"
"1278","0.053","0.053","0.053"
"1281","0.4355","0.4355","0.4355"
"1289","0.628","0.628","0.628"
"1295","0.6295","0.6295","0.6295"
"1298","0.626","0.626","0.626"
"1299","0.6285","0.6285","0.6285"
"1300","0","0","0"
"1302","0.1055","0.1055","0.1055"
"1304","0.2235","0.2235","0.2235"
"1311","0.668","0.668","0.668"
"1314","0.691","0.691","0.691"
"1318","0.6855","0.6855","0.6855"
"1322","0.69","0.69","0.69"
"1333","0.4545","0.4545","0.4545"
"1335","0.4815","0.4815","0.4815"
"1336","0.5665","0.5665","0.5665"
"1345","0.595","0.595","0.595"
"1352","0.0345","0.0345","0.0345"
"1353","0.091","0.091","0.091"
"1362","0.639","0.639","0.639"
"1364","0.619","0.619","0.619"
"1403","0.0795","0.0795","0.0795"
"1406","0.303","0.303","0.303"
"1409","0.477","0.477","0.477"
"1425","0","0","0"
"1426","0","0","0"
"1431","0.3575","0.3575","0.3575"
"1433","0.462","0.462","0.462"
"1435","0.508","0.508","0.508"
"1446","0.512","0.512","0.512"
"1448","0.5025","0.5025","0.5025"
"1456","0.3075","0.3075","0.3075"
"1461","0.5325","0.5325","0.5325"
"1464","0.5495","0.5495","0.5495"
"1465","0.536","0.536","0.536"
"1495","0.623","0.623","0.623"
"1504","0.0935","0.0935","0.0935"
"1510","0.61","0.61","0.61"
"1512","0.6565","0.6565","0.6565"
"1527","0.0005","0.0005","0.0005"
"1530","0.393","0.393","0.393"
"1544","0.618","0.618","0.618"
"1550","0","0","0"
"1553","0.065","0.065","0.065"
"1555","0.445","0.445","0.445"
"1556","0.569","0.569","0.569"
"1563","0.6535","0.6535","0.6535"
"1574","0.6225","0.6225","0.6225"
"1576","0","0","0"
"1578","0.111","0.111","0.111"
"1582","0.509","0.509","0.509"
"1584","0.574","0.574","0.574"
"1592","0.6225","0.6225","0.6225"
"1593","0.6205","0.6205","0.6205"
"1599","0.6225","0.6225","0.6225"
