"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"13375","0","0","0"
"13384","0.6895","0.6895","0.6895"
"13390","0.6925","0.6925","0.6925"
"13403","0.4955","0.4955","0.4955"
"13405","0.555","0.555","0.555"
"13412","0.594","0.594","0.594"
"13440","0.6505","0.6505","0.6505"
"13447","0.614","0.614","0.614"
"13448","0.575","0.575","0.575"
"13453","0.522","0.522","0.522"
"13454","0.5375","0.5375","0.5375"
"13460","0.6245","0.6245","0.6245"
"13465","0.5775","0.5775","0.5775"
"13475","0","0","0"
"13476","0.3665","0.3665","0.3665"
"13495","0.624","0.624","0.624"
"13503","0.522","0.522","0.522"
"13507","0.5895","0.5895","0.5895"
"13509","0.567","0.567","0.567"
"13531","0.582","0.582","0.582"
"13538","0.633","0.633","0.633"
"13549","0.5515","0.5515","0.5515"
"13569","0.664","0.664","0.664"
"13590","0.497","0.497","0.497"
"13600","0","0","0"
"13607","0.6305","0.6305","0.6305"
"13613","0.66","0.66","0.66"
"13618","0.673","0.673","0.673"
"13628","0.5855","0.5855","0.5855"
"13634","0.654","0.654","0.654"
"13642","0.672","0.672","0.672"
"13645","0.618","0.618","0.618"
"13650","0","0","0"
"13661","0.6305","0.6305","0.6305"
"13662","0.5705","0.5705","0.5705"
"13663","0.5735","0.5735","0.5735"
"13666","0.5915","0.5915","0.5915"
"13672","0.577","0.577","0.577"
"13674","0.482","0.482","0.482"
"13679","0.6935","0.6935","0.6935"
"13686","0.622","0.622","0.622"
"13688","0.6195","0.6195","0.6195"
"13689","0.641","0.641","0.641"
"13693","0.6235","0.6235","0.6235"
"13695","0.6565","0.6565","0.6565"
"13696","0.5885","0.5885","0.5885"
"13707","0.595","0.595","0.595"
"13720","0.6275","0.6275","0.6275"
"13721","0.5815","0.5815","0.5815"
"13736","0.695","0.695","0.695"
"13742","0.688","0.688","0.688"
"13752","0.4965","0.4965","0.4965"
"13756","0.6375","0.6375","0.6375"
"13760","0.6475","0.6475","0.6475"
"13767","0.6945","0.6945","0.6945"
"13785","0.684","0.684","0.684"
"13786","0.7135","0.7135","0.7135"
"13791","0.6285","0.6285","0.6285"
"13797","0.58","0.58","0.58"
"13798","0.6","0.6","0.6"
"13806","0.664","0.664","0.664"
"13816","0.6625","0.6625","0.6625"
"13829","0.668","0.668","0.668"
"13851","0.3385","0.3385","0.3385"
"13855","0.642","0.642","0.642"
"13857","0.6685","0.6685","0.6685"
"13865","0.6525","0.6525","0.6525"
"13869","0.613","0.613","0.613"
"13871","0.6305","0.6305","0.6305"
"13874","0.6185","0.6185","0.6185"
"13876","0.3875","0.3875","0.3875"
"13881","0.5885","0.5885","0.5885"
"13886","0.5765","0.5765","0.5765"
"13887","0.5115","0.5115","0.5115"
"13895","0.56","0.56","0.56"
"13896","0.557","0.557","0.557"
"13901","0.486","0.486","0.486"
"13904","0.5385","0.5385","0.5385"
"13906","0.614","0.614","0.614"
"13909","0.5465","0.5465","0.5465"
"13911","0.588","0.588","0.588"
"13912","0.599","0.599","0.599"
"13913","0.617","0.617","0.617"
"13916","0.588","0.588","0.588"
"13920","0.586","0.586","0.586"
"13921","0.5955","0.5955","0.5955"
"13922","0.566","0.566","0.566"
"13954","0.478","0.478","0.478"
"13958","0.535","0.535","0.535"
"13963","0.556","0.556","0.556"
"13966","0.5345","0.5345","0.5345"
"13976","0.4885","0.4885","0.4885"
"13986","0.603","0.603","0.603"
"14000","0","0","0"
"14009","0.649","0.649","0.649"
"14017","0.6275","0.6275","0.6275"
"14018","0.6215","0.6215","0.6215"
"14024","0.6285","0.6285","0.6285"
"14028","0.577","0.577","0.577"
"14033","0.6295","0.6295","0.6295"
"14039","0.5695","0.5695","0.5695"
"14043","0.6005","0.6005","0.6005"
"14046","0.533","0.533","0.533"
"14047","0.5175","0.5175","0.5175"
"14048","0.5175","0.5175","0.5175"
"14050","0","0","0"
"14061","0.5795","0.5795","0.5795"
"14062","0.6315","0.6315","0.6315"
"14066","0.5755","0.5755","0.5755"
"14068","0.582","0.582","0.582"
"14074","0.548","0.548","0.548"
"14077","0.468","0.468","0.468"
"14078","0.54","0.54","0.54"
"14088","0.59","0.59","0.59"
"14094","0.5105","0.5105","0.5105"
"14100","0","0","0"
"14102","0.472","0.472","0.472"
"14111","0.5705","0.5705","0.5705"
"14119","0.558","0.558","0.558"
"14128","0.5005","0.5005","0.5005"
"14130","0.515","0.515","0.515"
"14139","0.551","0.551","0.551"
"14140","0.54","0.54","0.54"
"14142","0.5135","0.5135","0.5135"
"14148","0.5285","0.5285","0.5285"
"14160","0.641","0.641","0.641"
"14161","0.6505","0.6505","0.6505"
"14162","0.6895","0.6895","0.6895"
"14166","0.6295","0.6295","0.6295"
"14170","0.616","0.616","0.616"
"14179","0.5625","0.5625","0.5625"
"14196","0.515","0.515","0.515"
"14198","0.542","0.542","0.542"
"14206","0.5705","0.5705","0.5705"
"14210","0.6145","0.6145","0.6145"
"14216","0.6005","0.6005","0.6005"
"14217","0.5955","0.5955","0.5955"
"14222","0.6","0.6","0.6"
"14224","0.586","0.586","0.586"
"14227","0.579","0.579","0.579"
"14234","0.637","0.637","0.637"
"14237","0.6535","0.6535","0.6535"
"14244","0.602","0.602","0.602"
"14248","0.6125","0.6125","0.6125"
"14253","0.568","0.568","0.568"
"14260","0.6455","0.6455","0.6455"
"14282","0.5855","0.5855","0.5855"
"14291","0.569","0.569","0.569"
"14304","0.522","0.522","0.522"
"14314","0.6725","0.6725","0.6725"
"14322","0.5465","0.5465","0.5465"
"14324","0.559","0.559","0.559"
"14352","0.5135","0.5135","0.5135"
"14356","0.5905","0.5905","0.5905"
"14358","0.584","0.584","0.584"
"14388","0.6245","0.6245","0.6245"
"14389","0.609","0.609","0.609"
"14401","0.4295","0.4295","0.4295"
"14406","0.54","0.54","0.54"
"14409","0.5145","0.5145","0.5145"
"14415","0.5515","0.5515","0.5515"
"14420","0.429","0.429","0.429"
"14421","0.5255","0.5255","0.5255"
"14429","0.598","0.598","0.598"
"14437","0.6205","0.6205","0.6205"
"14438","0.597","0.597","0.597"
"14445","0.5765","0.5765","0.5765"
"14460","0.6445","0.6445","0.6445"
"14465","0.5795","0.5795","0.5795"
"14468","0.615","0.615","0.615"
"14471","0.6475","0.6475","0.6475"
"14472","0.572","0.572","0.572"
"14473","0.6305","0.6305","0.6305"
"14478","0.5335","0.5335","0.5335"
"14482","0.5685","0.5685","0.5685"
"14488","0.6215","0.6215","0.6215"
"14506","0.5835","0.5835","0.5835"
"14507","0.616","0.616","0.616"
"14511","0.628","0.628","0.628"
"14513","0.587","0.587","0.587"
"14526","0.4065","0.4065","0.4065"
"14549","0.563","0.563","0.563"
"14552","0.573","0.573","0.573"
"14561","0.5975","0.5975","0.5975"
"14571","0.5545","0.5545","0.5545"
"14581","0.6","0.6","0.6"
"14589","0.5545","0.5545","0.5545"
"14603","0.5675","0.5675","0.5675"
"14604","0.5345","0.5345","0.5345"
"14625","0","0","0"
"14628","0.585","0.585","0.585"
"14630","0.5995","0.5995","0.5995"
"14639","0.5955","0.5955","0.5955"
"14644","0.5795","0.5795","0.5795"
"14646","0.545","0.545","0.545"
"14648","0.5385","0.5385","0.5385"
"14650","0","0","0"
"14651","0.381","0.381","0.381"
"14658","0.6005","0.6005","0.6005"
"14661","0.5925","0.5925","0.5925"
"14668","0.548","0.548","0.548"
"14673","0.5175","0.5175","0.5175"
"14676","0.49","0.49","0.49"
"14696","0.5985","0.5985","0.5985"
"14698","0.6035","0.6035","0.6035"
"14703","0.5075","0.5075","0.5075"
"14707","0.5425","0.5425","0.5425"
"14712","0.5275","0.5275","0.5275"
"14721","0.5845","0.5845","0.5845"
"14722","0.526","0.526","0.526"
"14724","0.5515","0.5515","0.5515"
"14728","0.651","0.651","0.651"
"14741","0.5845","0.5845","0.5845"
"14746","0.595","0.595","0.595"
"14751","0.452","0.452","0.452"
"14757","0.6865","0.6865","0.6865"
"14779","0.5725","0.5725","0.5725"
"14790","0.592","0.592","0.592"
"14795","0.58","0.58","0.58"
"14803","0.4995","0.4995","0.4995"
"14818","0.5355","0.5355","0.5355"
"14828","0.5825","0.5825","0.5825"
"14845","0.5735","0.5735","0.5735"
"14846","0.5675","0.5675","0.5675"
"14871","0.6065","0.6065","0.6065"
"14875","0","0","0"
"14876","0.534","0.534","0.534"
"14886","0.641","0.641","0.641"
"14900","0","0","0"
"14912","0.579","0.579","0.579"
"14923","0.5575","0.5575","0.5575"
"14927","0.526","0.526","0.526"
"14928","0.6275","0.6275","0.6275"
"14936","0.704","0.704","0.704"
"14938","0.5775","0.5775","0.5775"
"14942","0.5855","0.5855","0.5855"
"14946","0.6235","0.6235","0.6235"
"14951","0.4795","0.4795","0.4795"
"14957","0.647","0.647","0.647"
"14963","0.596","0.596","0.596"
"14964","0.6135","0.6135","0.6135"
"14968","0.633","0.633","0.633"
"14982","0.608","0.608","0.608"
"14984","0.6165","0.6165","0.6165"
"14989","0.628","0.628","0.628"
"15002","0.5465","0.5465","0.5465"
"15027","0.498","0.498","0.498"
"15032","0.7245","0.7245","0.7245"
"15036","0.6775","0.6775","0.6775"
"15037","0.6865","0.6865","0.6865"
"15046","0.594","0.594","0.594"
"15053","0.503","0.503","0.503"
"15058","0.532","0.532","0.532"
"15062","0.5395","0.5395","0.5395"
"15067","0.539","0.539","0.539"
"15071","0.5475","0.5475","0.5475"
"15072","0.4995","0.4995","0.4995"
"15081","0.6565","0.6565","0.6565"
"15084","0.635","0.635","0.635"
"15089","0.612","0.612","0.612"
"15090","0.6465","0.6465","0.6465"
"15093","0.5525","0.5525","0.5525"
"15096","0.5195","0.5195","0.5195"
"15099","0.484","0.484","0.484"
"15109","0.6915","0.6915","0.6915"
"15118","0.6645","0.6645","0.6645"
"15121","0.602","0.602","0.602"
"15124","0.6135","0.6135","0.6135"
"15130","0.6435","0.6435","0.6435"
"15131","0.6065","0.6065","0.6065"
"15132","0.636","0.636","0.636"
"15135","0.644","0.644","0.644"
"15153","0.511","0.511","0.511"
"15154","0.5195","0.5195","0.5195"
"15157","0.5975","0.5975","0.5975"
"15158","0.623","0.623","0.623"
"15161","0.6375","0.6375","0.6375"
"15165","0.645","0.645","0.645"
"15178","0.618","0.618","0.618"
"15184","0.6775","0.6775","0.6775"
"15191","0.667","0.667","0.667"
"15196","0.635","0.635","0.635"
"15202","0.4535","0.4535","0.4535"
"15214","0.642","0.642","0.642"
"15231","0.596","0.596","0.596"
"15238","0.593","0.593","0.593"
"15246","0.552","0.552","0.552"
"15250","0","0","0"
"15270","0.612","0.612","0.612"
"15273","0.583","0.583","0.583"
"15275","0","0","0"
"15285","0.631","0.631","0.631"
"15296","0.5815","0.5815","0.5815"
"15298","0.5695","0.5695","0.5695"
"15300","0","0","0"
"15307","0.6995","0.6995","0.6995"
"15310","0.641","0.641","0.641"
"15327","0.4605","0.4605","0.4605"
"15330","0.638","0.638","0.638"
"15339","0.574","0.574","0.574"
"15353","0.5555","0.5555","0.5555"
"15356","0.6415","0.6415","0.6415"
"15361","0.6645","0.6645","0.6645"
"15373","0.5555","0.5555","0.5555"
"15374","0.578","0.578","0.578"
"15388","0.5755","0.5755","0.5755"
"15389","0.599","0.599","0.599"
"15405","0.585","0.585","0.585"
"15415","0.62","0.62","0.62"
"15418","0.6165","0.6165","0.6165"
"15424","0.598","0.598","0.598"
"15428","0.62","0.62","0.62"
"15440","0.612","0.612","0.612"
"15446","0.59","0.59","0.59"
"15450","0","0","0"
"15455","0.5335","0.5335","0.5335"
"15457","0.5785","0.5785","0.5785"
"15459","0.584","0.584","0.584"
"15474","0.5565","0.5565","0.5565"
"15477","0.5745","0.5745","0.5745"
"15479","0.631","0.631","0.631"
"15480","0.649","0.649","0.649"
"15483","0.6205","0.6205","0.6205"
"15487","0.6145","0.6145","0.6145"
"15492","0.5585","0.5585","0.5585"
"15509","0.629","0.629","0.629"
"15516","0.6085","0.6085","0.6085"
"15522","0.5685","0.5685","0.5685"
"15523","0.5115","0.5115","0.5115"
"15524","0.5375","0.5375","0.5375"
"15526","0.338","0.338","0.338"
"15530","0.513","0.513","0.513"
"15532","0.585","0.585","0.585"
"15541","0.605","0.605","0.605"
"15545","0.56","0.56","0.56"
"15554","0.575","0.575","0.575"
"15557","0.5945","0.5945","0.5945"
"15559","0.6375","0.6375","0.6375"
"15562","0.658","0.658","0.658"
"15575","0","0","0"
"15586","0.668","0.668","0.668"
"15601","0.5235","0.5235","0.5235"
"15607","0.596","0.596","0.596"
"15614","0.646","0.646","0.646"
"15622","0.6625","0.6625","0.6625"
"15629","0.549","0.549","0.549"
"15644","0.531","0.531","0.531"
"15647","0.5765","0.5765","0.5765"
"15652","0.447","0.447","0.447"
"15655","0.6045","0.6045","0.6045"
"15657","0.591","0.591","0.591"
"15665","0.56","0.56","0.56"
"15673","0.487","0.487","0.487"
"15676","0.418","0.418","0.418"
"15680","0.5975","0.5975","0.5975"
"15689","0.6155","0.6155","0.6155"
"15691","0.597","0.597","0.597"
"15697","0.596","0.596","0.596"
"15706","0.6055","0.6055","0.6055"
"15734","0.627","0.627","0.627"
"15739","0.5735","0.5735","0.5735"
"15757","0.6435","0.6435","0.6435"
"15768","0.642","0.642","0.642"
"15776","0.368","0.368","0.368"
"15777","0.484","0.484","0.484"
"15778","0.525","0.525","0.525"
"15779","0.554","0.554","0.554"
"15780","0.562","0.562","0.562"
"15784","0.5605","0.5605","0.5605"
"15788","0.5715","0.5715","0.5715"
"15791","0.5685","0.5685","0.5685"
"15803","0.5125","0.5125","0.5125"
"15805","0.5205","0.5205","0.5205"
"15807","0.5865","0.5865","0.5865"
"15815","0.5765","0.5765","0.5765"
"15816","0.579","0.579","0.579"
"15818","0.5885","0.5885","0.5885"
"15825","0","0","0"
"15828","0.548","0.548","0.548"
"15837","0.5515","0.5515","0.5515"
"15854","0.543","0.543","0.543"
"15859","0.591","0.591","0.591"
"15865","0.623","0.623","0.623"
"15884","0.617","0.617","0.617"
"15892","0.5845","0.5845","0.5845"
"15897","0.5875","0.5875","0.5875"
"15900","0","0","0"
"15902","0.5445","0.5445","0.5445"
"15912","0.5895","0.5895","0.5895"
"15916","0.6195","0.6195","0.6195"
"15931","0.518","0.518","0.518"
"15932","0.55","0.55","0.55"
"15934","0.587","0.587","0.587"
"15947","0.5635","0.5635","0.5635"
"15948","0.559","0.559","0.559"
"15960","0.5745","0.5745","0.5745"
"15968","0.5845","0.5845","0.5845"
"15975","0","0","0"
"15980","0.488","0.488","0.488"
"15988","0.5835","0.5835","0.5835"
"15990","0.599","0.599","0.599"
"15995","0.566","0.566","0.566"
"15997","0.5555","0.5555","0.5555"
"16002","0.485","0.485","0.485"
"16006","0.624","0.624","0.624"
"16009","0.611","0.611","0.611"
"16010","0.5935","0.5935","0.5935"
"16014","0.5745","0.5745","0.5745"
"16042","0.6005","0.6005","0.6005"
"16043","0.5745","0.5745","0.5745"
"16059","0.5715","0.5715","0.5715"
"16066","0.499","0.499","0.499"
"16070","0.552","0.552","0.552"
"16082","0.605","0.605","0.605"
"16087","0.6185","0.6185","0.6185"
"16092","0.6155","0.6155","0.6155"
"16097","0.607","0.607","0.607"
"16104","0.4985","0.4985","0.4985"
"16106","0.5645","0.5645","0.5645"
"16113","0.602","0.602","0.602"
"16117","0.672","0.672","0.672"
"16134","0.64","0.64","0.64"
"16135","0.61","0.61","0.61"
"16137","0.5315","0.5315","0.5315"
"16143","0.5015","0.5015","0.5015"
"16147","0.457","0.457","0.457"
"16148","0.4665","0.4665","0.4665"
"16172","0.516","0.516","0.516"
"16177","0.546","0.546","0.546"
"16206","0.602","0.602","0.602"
"16207","0.5845","0.5845","0.5845"
"16210","0.6175","0.6175","0.6175"
"16213","0.5795","0.5795","0.5795"
"16234","0.6035","0.6035","0.6035"
"16235","0.5825","0.5825","0.5825"
"16241","0.5975","0.5975","0.5975"
"16242","0.5695","0.5695","0.5695"
"16248","0.584","0.584","0.584"
"16256","0.613","0.613","0.613"
"16257","0.6195","0.6195","0.6195"
"16258","0.6215","0.6215","0.6215"
"16269","0.619","0.619","0.619"
"16283","0.5775","0.5775","0.5775"
"16285","0.606","0.606","0.606"
"16301","0.4635","0.4635","0.4635"
"16307","0.6175","0.6175","0.6175"
"16313","0.589","0.589","0.589"
"16317","0.5745","0.5745","0.5745"
"16322","0.5285","0.5285","0.5285"
"16328","0.534","0.534","0.534"
"16337","0.6175","0.6175","0.6175"
"16339","0.586","0.586","0.586"
"16345","0.557","0.557","0.557"
"16355","0.6565","0.6565","0.6565"
"16360","0.683","0.683","0.683"
"16364","0.6795","0.6795","0.6795"
"16367","0.6645","0.6645","0.6645"
"16376","0.4265","0.4265","0.4265"
"16382","0.6495","0.6495","0.6495"
"16390","0.706","0.706","0.706"
"16391","0.605","0.605","0.605"
"16399","0.6075","0.6075","0.6075"
"16400","0","0","0"
"16405","0.66","0.66","0.66"
"16406","0.701","0.701","0.701"
"16412","0.6715","0.6715","0.6715"
"16426","0.5505","0.5505","0.5505"
"16438","0.665","0.665","0.665"
"16439","0.642","0.642","0.642"
"16449","0.588","0.588","0.588"
"16450","0","0","0"
"16470","0.5795","0.5795","0.5795"
"16472","0.569","0.569","0.569"
"16491","0.601","0.601","0.601"
"16495","0.595","0.595","0.595"
"16501","0.461","0.461","0.461"
"16505","0.5815","0.5815","0.5815"
"16507","0.5845","0.5845","0.5845"
"16520","0.565","0.565","0.565"
"16525","0","0","0"
"16550","0","0","0"
"16558","0.642","0.642","0.642"
"16568","0.69","0.69","0.69"
"16586","0.6285","0.6285","0.6285"
"16594","0.6275","0.6275","0.6275"
"16599","0.5435","0.5435","0.5435"
"16601","0.4435","0.4435","0.4435"
"16610","0.606","0.606","0.606"
"16611","0.5985","0.5985","0.5985"
"16614","0.62","0.62","0.62"
"16624","0.5835","0.5835","0.5835"
"16626","0.484","0.484","0.484"
"16631","0.535","0.535","0.535"
"16634","0.5905","0.5905","0.5905"
"16636","0.582","0.582","0.582"
"16637","0.615","0.615","0.615"
"16639","0.585","0.585","0.585"
"16648","0.5555","0.5555","0.5555"
"16651","0.406","0.406","0.406"
"16657","0.5885","0.5885","0.5885"
"16658","0.5955","0.5955","0.5955"
"16674","0.587","0.587","0.587"
"16679","0.6345","0.6345","0.6345"
"16683","0.627","0.627","0.627"
"16684","0.61","0.61","0.61"
"16689","0.5745","0.5745","0.5745"
"16693","0.6105","0.6105","0.6105"
"16694","0.526","0.526","0.526"
"16698","0.543","0.543","0.543"
"16705","0.623","0.623","0.623"
"16709","0.62","0.62","0.62"
"16712","0.6445","0.6445","0.6445"
"16720","0.544","0.544","0.544"
"16729","0.633","0.633","0.633"
"16731","0.6225","0.6225","0.6225"
"16735","0.665","0.665","0.665"
"16750","0","0","0"
"16755","0.624","0.624","0.624"
"16768","0.6265","0.6265","0.6265"
"16771","0.5845","0.5845","0.5845"
"16781","0.66","0.66","0.66"
"16786","0.642","0.642","0.642"
"16787","0.654","0.654","0.654"
"16812","0.629","0.629","0.629"
"16814","0.584","0.584","0.584"
"16820","0.574","0.574","0.574"
"16825","0","0","0"
"16826","0.329","0.329","0.329"
"16829","0.647","0.647","0.647"
"16840","0.631","0.631","0.631"
"16849","0.6285","0.6285","0.6285"
"16855","0.617","0.617","0.617"
"16862","0.6175","0.6175","0.6175"
"16867","0.5495","0.5495","0.5495"
"16880","0.5745","0.5745","0.5745"
"16885","0.572","0.572","0.572"
"16887","0.5515","0.5515","0.5515"
"16905","0.522","0.522","0.522"
"16906","0.5625","0.5625","0.5625"
"16912","0.5705","0.5705","0.5705"
"16916","0.556","0.556","0.556"
"16919","0.546","0.546","0.546"
"16924","0.566","0.566","0.566"
"16926","0.386","0.386","0.386"
"16933","0.5865","0.5865","0.5865"
"16939","0.621","0.621","0.621"
"16943","0.5885","0.5885","0.5885"
"16945","0.5855","0.5855","0.5855"
"16949","0.587","0.587","0.587"
"16972","0.5765","0.5765","0.5765"
"16973","0.5825","0.5825","0.5825"
"16988","0.6445","0.6445","0.6445"
"16992","0.6295","0.6295","0.6295"
"16999","0.587","0.587","0.587"
"17009","0.5715","0.5715","0.5715"
"17013","0.6075","0.6075","0.6075"
"17019","0.581","0.581","0.581"
"17021","0.5395","0.5395","0.5395"
"17027","0.5085","0.5085","0.5085"
"17034","0.609","0.609","0.609"
"17036","0.606","0.606","0.606"
"17040","0.554","0.554","0.554"
"17043","0.5805","0.5805","0.5805"
"17044","0.484","0.484","0.484"
"17045","0.479","0.479","0.479"
"17047","0.508","0.508","0.508"
"17052","0.4525","0.4525","0.4525"
"17054","0.551","0.551","0.551"
"17055","0.6025","0.6025","0.6025"
"17064","0.6405","0.6405","0.6405"
"17068","0.621","0.621","0.621"
"17069","0.5905","0.5905","0.5905"
"17071","0.6045","0.6045","0.6045"
"17072","0.595","0.595","0.595"
"17075","0","0","0"
"17079","0.6205","0.6205","0.6205"
"17085","0.6425","0.6425","0.6425"
"17088","0.623","0.623","0.623"
"17100","0","0","0"
"17108","0.623","0.623","0.623"
"17111","0.6165","0.6165","0.6165"
"17112","0.62","0.62","0.62"
"17116","0.656","0.656","0.656"
"17117","0.612","0.612","0.612"
"17129","0.529","0.529","0.529"
"17130","0.546","0.546","0.546"
"17158","0.603","0.603","0.603"
"17160","0.597","0.597","0.597"
"17162","0.6245","0.6245","0.6245"
"17166","0.625","0.625","0.625"
"17167","0.5555","0.5555","0.5555"
"17168","0.5265","0.5265","0.5265"
"17173","0.5355","0.5355","0.5355"
"17192","0.57","0.57","0.57"
"17225","0","0","0"
"17226","0.4895","0.4895","0.4895"
"17227","0.5565","0.5565","0.5565"
"17229","0.5755","0.5755","0.5755"
"17236","0.5915","0.5915","0.5915"
"17245","0.553","0.553","0.553"
"17247","0.5575","0.5575","0.5575"
"17248","0.5785","0.5785","0.5785"
"17249","0.545","0.545","0.545"
"17250","0","0","0"
"17276","0.4045","0.4045","0.4045"
"17293","0.6285","0.6285","0.6285"
"17305","0.4565","0.4565","0.4565"
"17311","0.485","0.485","0.485"
"17312","0.4905","0.4905","0.4905"
"17324","0.5125","0.5125","0.5125"
"17326","0.362","0.362","0.362"
"17329","0.57","0.57","0.57"
"17331","0.5895","0.5895","0.5895"
"17333","0.573","0.573","0.573"
"17345","0.5595","0.5595","0.5595"
"17348","0.5655","0.5655","0.5655"
"17362","0.6545","0.6545","0.6545"
"17365","0.7015","0.7015","0.7015"
"17375","0","0","0"
"17376","0.4365","0.4365","0.4365"
"17381","0.6305","0.6305","0.6305"
"17382","0.6865","0.6865","0.6865"
"17392","0.628","0.628","0.628"
"17393","0.5485","0.5485","0.5485"
"17400","0","0","0"
"17408","0.605","0.605","0.605"
"17417","0.559","0.559","0.559"
"17431","0.6525","0.6525","0.6525"
"17438","0.6165","0.6165","0.6165"
"17444","0.5795","0.5795","0.5795"
"17445","0.581","0.581","0.581"
"17453","0.5485","0.5485","0.5485"
"17460","0.6525","0.6525","0.6525"
"17463","0.6445","0.6445","0.6445"
"17464","0.649","0.649","0.649"
"17468","0.6325","0.6325","0.6325"
"17469","0.6325","0.6325","0.6325"
"17472","0.6015","0.6015","0.6015"
"17481","0.5965","0.5965","0.5965"
"17486","0.5935","0.5935","0.5935"
"17490","0.5315","0.5315","0.5315"
"17496","0.5335","0.5335","0.5335"
"17503","0.5455","0.5455","0.5455"
"17504","0.5365","0.5365","0.5365"
"17510","0.6115","0.6115","0.6115"
"17517","0.525","0.525","0.525"
"17528","0.6565","0.6565","0.6565"
"17533","0.6655","0.6655","0.6655"
"17543","0.5705","0.5705","0.5705"
"17548","0.5435","0.5435","0.5435"
"17554","0.5955","0.5955","0.5955"
"17562","0.585","0.585","0.585"
"17565","0.581","0.581","0.581"
"17566","0.563","0.563","0.563"
"17582","0.634","0.634","0.634"
"17583","0.56","0.56","0.56"
"17600","0","0","0"
"17601","0.468","0.468","0.468"
"17610","0.627","0.627","0.627"
"17617","0.553","0.553","0.553"
"17621","0.5545","0.5545","0.5545"
"17623","0.552","0.552","0.552"
"17624","0.5295","0.5295","0.5295"
"17626","0.4215","0.4215","0.4215"
"17636","0.58","0.58","0.58"
"17646","0.5485","0.5485","0.5485"
"17665","0.574","0.574","0.574"
"17666","0.5605","0.5605","0.5605"
"17680","0.6065","0.6065","0.6065"
"17683","0.646","0.646","0.646"
"17684","0.6255","0.6255","0.6255"
"17695","0.6045","0.6045","0.6045"
"17707","0.636","0.636","0.636"
"17711","0.653","0.653","0.653"
"17715","0.624","0.624","0.624"
"17724","0.5665","0.5665","0.5665"
"17733","0.4825","0.4825","0.4825"
"17734","0.4875","0.4875","0.4875"
"17744","0.516","0.516","0.516"
"17748","0.514","0.514","0.514"
"17750","0","0","0"
"17762","0.6175","0.6175","0.6175"
"17769","0.609","0.609","0.609"
"17776","0.4615","0.4615","0.4615"
"17794","0.644","0.644","0.644"
"17795","0.577","0.577","0.577"
"17811","0.6265","0.6265","0.6265"
"17816","0.587","0.587","0.587"
"17817","0.6565","0.6565","0.6565"
"17835","0.606","0.606","0.606"
"17836","0.62","0.62","0.62"
"17839","0.591","0.591","0.591"
"17848","0.5365","0.5365","0.5365"
"17853","0.5745","0.5745","0.5745"
"17859","0.5945","0.5945","0.5945"
"17866","0.555","0.555","0.555"
"17878","0.525","0.525","0.525"
"17896","0.591","0.591","0.591"
"17900","0","0","0"
"17907","0.6","0.6","0.6"
"17909","0.634","0.634","0.634"
"17929","0.5775","0.5775","0.5775"
"17931","0.579","0.579","0.579"
"17932","0.585","0.585","0.585"
"17934","0.603","0.603","0.603"
"17936","0.647","0.647","0.647"
"17939","0.5825","0.5825","0.5825"
"17954","0.5675","0.5675","0.5675"
"17955","0.5285","0.5285","0.5285"
"17962","0.5945","0.5945","0.5945"
"17966","0.536","0.536","0.536"
"17992","0.549","0.549","0.549"
"17996","0.518","0.518","0.518"
"17997","0.5305","0.5305","0.5305"
"18006","0.646","0.646","0.646"
"18010","0.6625","0.6625","0.6625"
"18021","0.526","0.526","0.526"
"18024","0.514","0.514","0.514"
"18026","0.52","0.52","0.52"
"18040","0.625","0.625","0.625"
"18044","0.62","0.62","0.62"
"18059","0.6765","0.6765","0.6765"
"18062","0.621","0.621","0.621"
"18064","0.609","0.609","0.609"
"18075","0","0","0"
"18081","0.6785","0.6785","0.6785"
"18087","0.6575","0.6575","0.6575"
"18090","0.6475","0.6475","0.6475"
"18100","0","0","0"
"18116","0.606","0.606","0.606"
"18118","0.611","0.611","0.611"
"18125","0","0","0"
"18130","0.636","0.636","0.636"
"18134","0.662","0.662","0.662"
"18153","0.6445","0.6445","0.6445"
"18154","0.6115","0.6115","0.6115"
"18158","0.6375","0.6375","0.6375"
"18159","0.585","0.585","0.585"
"18160","0.6365","0.6365","0.6365"
"18162","0.649","0.649","0.649"
"18176","0.45","0.45","0.45"
"18178","0.5895","0.5895","0.5895"
"18180","0.5985","0.5985","0.5985"
"18186","0.649","0.649","0.649"
"18187","0.618","0.618","0.618"
"18191","0.6265","0.6265","0.6265"
"18193","0.6025","0.6025","0.6025"
"18195","0.5935","0.5935","0.5935"
"18196","0.527","0.527","0.527"
"18205","0.6565","0.6565","0.6565"
"18206","0.6765","0.6765","0.6765"
"18223","0.62","0.62","0.62"
"18238","0.619","0.619","0.619"
"18242","0.551","0.551","0.551"
"18244","0.5625","0.5625","0.5625"
"18248","0.565","0.565","0.565"
"18251","0.4355","0.4355","0.4355"
"18255","0.6245","0.6245","0.6245"
"18257","0.605","0.605","0.605"
"18277","0.4895","0.4895","0.4895"
"18279","0.532","0.532","0.532"
