"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After","CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Timestep Angle After","CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Timestep Angle After__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Timestep Angle After__MAX"
"0","0","0","0","0.9999999761581421","0.9999999761581421","0.9999999761581421","0","0","0","0","0","0"
"1","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.000000035762787","1.000000035762787","1.000000035762787","0.9999999821186065","0.9999999821186065","0.9999999821186065","1.0000000476837159","1.0000000476837159","1.0000000476837159"
"2","1.0000000417232513","1.0000000417232513","1.0000000417232513","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999880790711","0.9999999880790711","0.9999999880790711","1.0000000238418578","1.0000000238418578","1.0000000238418578"
"3","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000238418578","1.0000000238418578","1.0000000238418578","0.9999999582767487","0.9999999582767487","0.9999999582767487","0.9999999761581421","0.9999999761581421","0.9999999761581421"
"4","1.000000011920929","1.000000011920929","1.000000011920929","0.9999999463558197","0.9999999463558197","0.9999999463558197","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000417232513","1.0000000417232513","1.0000000417232513"
"5","1.0000000417232513","1.0000000417232513","1.0000000417232513","0.9999999821186065","0.9999999821186065","0.9999999821186065","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"6","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000238418578","1.0000000238418578","1.0000000238418578","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000417232513","1.0000000417232513","1.0000000417232513"
"7","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999701976776","0.9999999701976776","0.9999999701976776","0.9999999344348908","0.9999999344348908","0.9999999344348908"
"8","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999701976776","0.9999999701976776","0.9999999701976776","1.0000000238418578","1.0000000238418578","1.0000000238418578","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"9","0.9999999642372132","0.9999999642372132","0.9999999642372132","1.0000000476837159","1.0000000476837159","1.0000000476837159","1.0000000178813935","1.0000000178813935","1.0000000178813935","1","1","1"
"10","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000298023224","1.0000000298023224","1.0000000298023224","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999761581421","0.9999999761581421","0.9999999761581421"
"11","0.9999999761581421","0.9999999761581421","0.9999999761581421","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"12","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999761581421","0.9999999761581421","0.9999999761581421","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578"
"13","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000059604646","1.0000000059604646","1.0000000059604646","1","1","1"
"14","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999582767487","0.9999999582767487","0.9999999582767487"
"15","0.9999999582767487","0.9999999582767487","0.9999999582767487","1.0000000417232513","1.0000000417232513","1.0000000417232513","1.0000000476837159","1.0000000476837159","1.0000000476837159","1.0000000536441802","1.0000000536441802","1.0000000536441802"
"16","1","1","1","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999463558197","0.9999999463558197","0.9999999463558197"
"17","1.000000035762787","1.000000035762787","1.000000035762787","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000417232513","1.0000000417232513","1.0000000417232513","1.0000000298023224","1.0000000298023224","1.0000000298023224"
