"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Timestep Angle After","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Timestep Angle After","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_fedavg-test-t[t] - Global/Timestep Angle After","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_fedavg-test-t[t] - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_fedavg-test-t[t] - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stamp-test-t[t] - Global/Timestep Angle After","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stamp-test-t[t] - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stamp-test-t[t] - Global/Timestep Angle After__MAX"
"0","0","0","0","1.0000000178813935","1.0000000178813935","1.0000000178813935","0","0","0","0","0","0"
"1","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000447034836","1.0000000447034836","1.0000000447034836","1.0000000536441802","1.0000000536441802","1.0000000536441802"
"2","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.000000062584877","1.000000062584877","1.000000062584877","1.000000011920929","1.000000011920929","1.000000011920929"
"3","1.0000000417232513","1.0000000417232513","1.0000000417232513","1.0000000476837159","1.0000000476837159","1.0000000476837159","1.0000000149011612","1.0000000149011612","1.0000000149011612","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"4","1.000000011920929","1.000000011920929","1.000000011920929","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.000000011920929","1.000000011920929","1.000000011920929"
"5","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000298023224","1.0000000298023224","1.0000000298023224","0.9999999791383744","0.9999999791383744","0.9999999791383744","0.9999999821186065","0.9999999821186065","0.9999999821186065"
"6","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935","0.9999999761581421","0.9999999761581421","0.9999999761581421","1.0000000238418578","1.0000000238418578","1.0000000238418578"
"7","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000298023224","1.0000000298023224","1.0000000298023224","0.9999999791383744","0.9999999791383744","0.9999999791383744","1.000000011920929","1.000000011920929","1.000000011920929"
"8","1.000000035762787","1.000000035762787","1.000000035762787","1.000000011920929","1.000000011920929","1.000000011920929","1.00000002682209","1.00000002682209","1.00000002682209","1.000000011920929","1.000000011920929","1.000000011920929"
"9","0.9999999701976776","0.9999999701976776","0.9999999701976776","0.9999999880790711","0.9999999880790711","0.9999999880790711","1.000000035762787","1.000000035762787","1.000000035762787","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"10","0.9999999642372132","0.9999999642372132","0.9999999642372132","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000178813935","1.0000000178813935","1.0000000178813935","1","1","1"
"11","1.000000011920929","1.000000011920929","1.000000011920929","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.000000035762787","1.000000035762787","1.000000035762787"
"12","0.9999999642372132","0.9999999642372132","0.9999999642372132","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.000000011920929","1.000000011920929","1.000000011920929","1.000000035762787","1.000000035762787","1.000000035762787"
"13","1.0000000417232513","1.0000000417232513","1.0000000417232513","1.0000000715255737","1.0000000715255737","1.0000000715255737","0.9999999642372132","0.9999999642372132","0.9999999642372132","1.0000000417232513","1.0000000417232513","1.0000000417232513"
"14","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999701976776","0.9999999701976776","0.9999999701976776","1.00000002682209","1.00000002682209","1.00000002682209","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"15","1.000000011920929","1.000000011920929","1.000000011920929","0.9999999880790711","0.9999999880790711","0.9999999880790711","1.0000000327825547","1.0000000327825547","1.0000000327825547","1","1","1"
"16","0.9999999463558197","0.9999999463558197","0.9999999463558197","1","1","1","1.0000000029802323","1.0000000029802323","1.0000000029802323","1.000000035762787","1.000000035762787","1.000000035762787"
"17","0.9999999523162841","0.9999999523162841","0.9999999523162841","0.9999999821186065","0.9999999821186065","0.9999999821186065","1.0000000327825547","1.0000000327825547","1.0000000327825547","1.000000011920929","1.000000011920929","1.000000011920929"
"18","1.0000000417232513","1.0000000417232513","1.0000000417232513","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000298023224","1.0000000298023224","1.0000000298023224","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"19","1","1","1","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999821186065","1.0000000298023224","1.0000000298023224","1.0000000298023224"
"20","1.0000000476837159","1.0000000476837159","1.0000000476837159","0.9999999642372132","0.9999999642372132","0.9999999642372132","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.000000011920929","1.000000011920929","1.000000011920929"
"21","0.9999999761581421","0.9999999761581421","0.9999999761581421","1.0000000178813935","1.0000000178813935","1.0000000178813935","0.9999999970197677","0.9999999970197677","0.9999999970197677","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"22","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000298023224","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"23","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999344348908","0.9999999344348908","0.9999999344348908","1","1","1","1.0000000059604646","1.0000000059604646","1.0000000059604646"
"24","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999701976776","0.9999999701976776","0.9999999701976776","0.9999999642372132","0.9999999642372132","0.9999999642372132"
"25","0.9999999582767487","0.9999999582767487","0.9999999582767487","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000149011612","1.0000000149011612","1.0000000149011612","1.0000000238418578","1.0000000238418578","1.0000000238418578"
"26","0.36655783019959925","0.36655783019959925","0.36655783019959925","0.36199290305376053","0.36199290305376053","0.36199290305376053","0.375729713216424","0.375729713216424","0.375729713216424","0.5071320683229714","0.5071320683229714","0.5071320683229714"
"27","0.38357036262750627","0.38357036262750627","0.38357036262750627","0.3622746214270592","0.3622746214270592","0.3622746214270592","0.3740753408521414","0.3740753408521414","0.3740753408521414","0.5330825549550354","0.5330825549550354","0.5330825549550354"
"28","0.3942505452781916","0.3942505452781916","0.3942505452781916","0.37069433107972144","0.37069433107972144","0.37069433107972144","0.376088204421103","0.376088204421103","0.376088204421103","0.48168316632509234","0.48168316632509234","0.48168316632509234"
"29","0.38978211060166357","0.38978211060166357","0.38978211060166357","0.3722300961613655","0.3722300961613655","0.3722300961613655","0.37944657523185016","0.37944657523185016","0.37944657523185016","0.5269227095413953","0.5269227095413953","0.5269227095413953"
"30","0.38983088061213494","0.38983088061213494","0.38983088061213494","0.3677374631166458","0.3677374631166458","0.3677374631166458","0.3779828602448106","0.3779828602448106","0.3779828602448106","0.4879391654510982","0.4879391654510982","0.4879391654510982"
"31","0.399116213619709","0.399116213619709","0.399116213619709","0.37295191437006","0.37295191437006","0.37295191437006","0.38216606099158523","0.38216606099158523","0.38216606099158523","0.5264215369243175","0.5264215369243175","0.5264215369243175"
"32","0.3937090769410133","0.3937090769410133","0.3937090769410133","0.3764365270733833","0.3764365270733833","0.3764365270733833","0.3880751335993409","0.3880751335993409","0.3880751335993409","0.4947970834793523","0.4947970834793523","0.4947970834793523"
"33","0.40732632875442504","0.40732632875442504","0.40732632875442504","0.3845304615795612","0.3845304615795612","0.3845304615795612","0.38704768009483814","0.38704768009483814","0.38704768009483814","0.5277888923883438","0.5277888923883438","0.5277888923883438"
"34","0.4110109832137823","0.4110109832137823","0.4110109832137823","0.38128872513771056","0.38128872513771056","0.38128872513771056","0.38192661888897417","0.38192661888897417","0.38192661888897417","0.5129114858951652","0.5129114858951652","0.5129114858951652"
"35","0.4087374400347471","0.4087374400347471","0.4087374400347471","0.3822525769472122","0.3822525769472122","0.3822525769472122","0.39107531160116193","0.39107531160116193","0.39107531160116193","0.531927486974746","0.531927486974746","0.531927486974746"
"36","0.41566962376236916","0.41566962376236916","0.41566962376236916","0.40425264909863473","0.40425264909863473","0.40425264909863473","0.39145347122102975","0.39145347122102975","0.39145347122102975","0.4974166479092673","0.4974166479092673","0.4974166479092673"
"37","0.410789018124342","0.410789018124342","0.410789018124342","0.39775320142507553","0.39775320142507553","0.39775320142507553","0.39532839935272934","0.39532839935272934","0.39532839935272934","0.5213015244808048","0.5213015244808048","0.5213015244808048"
"38","0.4081545822322369","0.4081545822322369","0.4081545822322369","0.4009800389409065","0.4009800389409065","0.4009800389409065","0.39116082023829224","0.39116082023829224","0.39116082023829224","0.506839180161478","0.506839180161478","0.506839180161478"
"39","0.4136521305888891","0.4136521305888891","0.4136521305888891","0.38254906237125397","0.38254906237125397","0.38254906237125397","0.39486822485923767","0.39486822485923767","0.39486822485923767","0.5336410065181554","0.5336410065181554","0.5336410065181554"
"40","0.4282826140522957","0.4282826140522957","0.4282826140522957","0.4002812348306179","0.4002812348306179","0.4002812348306179","0.40045909080654385","0.40045909080654385","0.40045909080654385","0.51489711785689","0.51489711785689","0.51489711785689"
"41","0.42701966017484666","0.42701966017484666","0.42701966017484666","0.3922154061496258","0.3922154061496258","0.3922154061496258","0.4016046078875661","0.4016046078875661","0.4016046078875661","0.5365725276060402","0.5365725276060402","0.5365725276060402"
"42","0.417858911678195","0.417858911678195","0.417858911678195","0.3986578226089478","0.3986578226089478","0.3986578226089478","0.3960553754121065","0.3960553754121065","0.3960553754121065","0.5034572443459183","0.5034572443459183","0.5034572443459183"
"43","0.4059470951557159","0.4059470951557159","0.4059470951557159","0.4041854806244373","0.4041854806244373","0.4041854806244373","0.3964506834745407","0.3964506834745407","0.3964506834745407","0.5574895654805004","0.5574895654805004","0.5574895654805004"
"44","0.42714182995259764","0.42714182995259764","0.42714182995259764","0.4058542177081108","0.4058542177081108","0.4058542177081108","0.4068607069551945","0.4068607069551945","0.4068607069551945","0.5162961834808811","0.5162961834808811","0.5162961834808811"
"45","0.40888250544667243","0.40888250544667243","0.40888250544667243","0.3929162386804819","0.3929162386804819","0.3929162386804819","0.4061392981559038","0.4061392981559038","0.4061392981559038","0.5362690613605082","0.5362690613605082","0.5362690613605082"
"46","0.4183862401172519","0.4183862401172519","0.4183862401172519","0.4032494589686394","0.4032494589686394","0.4032494589686394","0.40753493309020994","0.40753493309020994","0.40753493309020994","0.5346734321385156","0.5346734321385156","0.5346734321385156"
"47","0.418037772923708","0.418037772923708","0.418037772923708","0.40273909270763397","0.40273909270763397","0.40273909270763397","0.4052164491266012","0.4052164491266012","0.4052164491266012","0.5224124037194997","0.5224124037194997","0.5224124037194997"
"48","0.4215632602572441","0.4215632602572441","0.4215632602572441","0.4144524190574884","0.4144524190574884","0.4144524190574884","0.4054025935009122","0.4054025935009122","0.4054025935009122","0.5248501871712505","0.5248501871712505","0.5248501871712505"
"49","0.42933899741619824","0.42933899741619824","0.42933899741619824","0.4080585028976202","0.4080585028976202","0.4080585028976202","0.40278166979551316","0.40278166979551316","0.40278166979551316","0.5260037776082754","0.5260037776082754","0.5260037776082754"
"50","0.4101498365402222","0.4101498365402222","0.4101498365402222","0.3937989428639412","0.3937989428639412","0.3937989428639412","0.40421307981014254","0.40421307981014254","0.40421307981014254","0.5215024836827069","0.5215024836827069","0.5215024836827069"
