"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Timestep Angle After__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes[t] - Global/Timestep Angle After","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes[t] - Global/Timestep Angle After__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes[t] - Global/Timestep Angle After__MAX"
"0","0","0","0","1.0000000417232513","1.0000000417232513","1.0000000417232513","0","0","0","0","0","0"
"1","0.9999999821186065","0.9999999821186065","0.9999999821186065","1.0000000715255737","1.0000000715255737","1.0000000715255737","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999999701976776","0.9999999701976776","0.9999999701976776"
"2","1.0000000774860383","1.0000000774860383","1.0000000774860383","1.000000035762787","1.000000035762787","1.000000035762787","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000178813935","1.0000000178813935","1.0000000178813935"
"3","1.000000035762787","1.000000035762787","1.000000035762787","0.9999999940395355","0.9999999940395355","0.9999999940395355","0.9999998986721039","0.9999998986721039","0.9999998986721039","1.000000035762787","1.000000035762787","1.000000035762787"
"4","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.0000000178813935","1.0000000178813935","1.0000000178813935","0.9999999761581421","0.9999999761581421","0.9999999761581421"
"5","1.0000000238418578","1.0000000238418578","1.0000000238418578","0.9999999582767487","0.9999999582767487","0.9999999582767487","1.000000011920929","1.000000011920929","1.000000011920929","1.000000035762787","1.000000035762787","1.000000035762787"
"6","1.0000000238418578","1.0000000238418578","1.0000000238418578","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999880790711","0.9999999880790711","0.9999999880790711","0.9999999701976776","0.9999999701976776","0.9999999701976776"
"7","1.0000000655651093","1.0000000655651093","1.0000000655651093","1.0000000059604646","1.0000000059604646","1.0000000059604646","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"8","1.0000000298023224","1.0000000298023224","1.0000000298023224","0.9999999582767487","0.9999999582767487","0.9999999582767487","1.0000000417232513","1.0000000417232513","1.0000000417232513","0.9999999940395355","0.9999999940395355","0.9999999940395355"
"9","0.9999999940395355","0.9999999940395355","0.9999999940395355","1.000000035762787","1.000000035762787","1.000000035762787","0.9999999821186065","0.9999999821186065","0.9999999821186065","0.9999999642372132","0.9999999642372132","0.9999999642372132"
"10","1","1","1","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000298023224","1.0000000298023224","1.0000000298023224"
"11","0.9999999880790711","0.9999999880790711","0.9999999880790711","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000238418578","1.0000000238418578","1.0000000238418578","1.0000000298023224","1.0000000298023224","1.0000000298023224"
"12","1","1","1","0.9999999761581421","0.9999999761581421","0.9999999761581421","1.0000000178813935","1.0000000178813935","1.0000000178813935","1","1","1"
"13","1.000000035762787","1.000000035762787","1.000000035762787","1.0000000178813935","1.0000000178813935","1.0000000178813935","0.9999999940395355","0.9999999940395355","0.9999999940395355","1","1","1"
"14","1.000000011920929","1.000000011920929","1.000000011920929","1.0000000476837159","1.0000000476837159","1.0000000476837159","1.0000000059604646","1.0000000059604646","1.0000000059604646","1.0000000298023224","1.0000000298023224","1.0000000298023224"
"15","1","1","1","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999761581421","0.9999999940395355","0.9999999940395355","0.9999999940395355"
