"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/91","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/91__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/91__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/91","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/91__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/91__MAX"
"0","0.45857536792755127","0.45857536792755127","0.45857536792755127","0.30158933997154236","0.30158933997154236","0.30158933997154236"
"1","0.31984207034111023","0.31984207034111023","0.31984207034111023","0.29827213287353516","0.29827213287353516","0.29827213287353516"
"2","-0.02618015930056572","-0.02618015930056572","-0.02618015930056572","0.09183100610971451","0.09183100610971451","0.09183100610971451"
"3","-0.03901028260588646","-0.03901028260588646","-0.03901028260588646","0.00823735911399126","0.00823735911399126","0.00823735911399126"
"4","-0.03970750793814659","-0.03970750793814659","-0.03970750793814659","-0.03448371961712837","-0.03448371961712837","-0.03448371961712837"
"5","-0.03772209957242012","-0.03772209957242012","-0.03772209957242012","-0.025258399546146393","-0.025258399546146393","-0.025258399546146393"
"6","-0.0372648611664772","-0.0372648611664772","-0.0372648611664772","-0.005643950309604406","-0.005643950309604406","-0.005643950309604406"
"7","-0.03358056768774986","-0.03358056768774986","-0.03358056768774986","0.02362818643450737","0.02362818643450737","0.02362818643450737"
"8","-0.028579963371157646","-0.028579963371157646","-0.028579963371157646","-0.011427006684243679","-0.011427006684243679","-0.011427006684243679"
"9","-0.026493916288018227","-0.026493916288018227","-0.026493916288018227","-0.0055178189650177956","-0.0055178189650177956","-0.0055178189650177956"
"10","-0.026246413588523865","-0.026246413588523865","-0.026246413588523865","-0.02982604317367077","-0.02982604317367077","-0.02982604317367077"
"11","-0.027370695024728775","-0.027370695024728775","-0.027370695024728775","-0.0125548355281353","-0.0125548355281353","-0.0125548355281353"
"12","-0.025896036997437477","-0.025896036997437477","-0.025896036997437477","-0.02408108301460743","-0.02408108301460743","-0.02408108301460743"
"13","-0.025796398520469666","-0.025796398520469666","-0.025796398520469666","0.035561710596084595","0.035561710596084595","0.035561710596084595"
"14","-0.024652903899550438","-0.024652903899550438","-0.024652903899550438","-0.009624979458749294","-0.009624979458749294","-0.009624979458749294"
