"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/69","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/69__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine/69__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/69","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/69__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05_100clients - cosine/69__MAX"
"0","0.3321041464805603","0.3321041464805603","0.3321041464805603","0.3261578679084778","0.3261578679084778","0.3261578679084778"
"1","0.3071962594985962","0.3071962594985962","0.3071962594985962","0.0433460995554924","0.0433460995554924","0.0433460995554924"
"2","0.009212668985128403","0.009212668985128403","0.009212668985128403","0.05907497927546501","0.05907497927546501","0.05907497927546501"
"3","-0.01419571228325367","-0.01419571228325367","-0.01419571228325367","0.0005807714187540114","0.0005807714187540114","0.0005807714187540114"
"4","-0.012502791360020638","-0.012502791360020638","-0.012502791360020638","-0.03634641692042351","-0.03634641692042351","-0.03634641692042351"
"5","-0.007813194766640663","-0.007813194766640663","-0.007813194766640663","-0.03437507152557373","-0.03437507152557373","-0.03437507152557373"
"6","-0.02073555998504162","-0.02073555998504162","-0.02073555998504162","-0.012754452414810658","-0.012754452414810658","-0.012754452414810658"
"7","-0.01785747893154621","-0.01785747893154621","-0.01785747893154621","-0.012616789899766445","-0.012616789899766445","-0.012616789899766445"
"8","-0.01607510820031166","-0.01607510820031166","-0.01607510820031166","-0.010720225982367992","-0.010720225982367992","-0.010720225982367992"
"9","-0.013059648685157299","-0.013059648685157299","-0.013059648685157299","-0.028023114427924156","-0.028023114427924156","-0.028023114427924156"
"10","-0.014267568476498127","-0.014267568476498127","-0.014267568476498127","-0.032099951058626175","-0.032099951058626175","-0.032099951058626175"
"11","-0.014572887681424618","-0.014572887681424618","-0.014572887681424618","-0.02734883688390255","-0.02734883688390255","-0.02734883688390255"
"12","-0.022850586101412773","-0.022850586101412773","-0.022850586101412773","-0.006262217182666063","-0.006262217182666063","-0.006262217182666063"
"13","-0.019635720178484917","-0.019635720178484917","-0.019635720178484917","0.014223391190171242","0.014223391190171242","0.014223391190171242"
"14","-0.009855901822447777","-0.009855901822447777","-0.009855901822447777","-0.03373119980096817","-0.03373119980096817","-0.03373119980096817"
"15","-0.021304987370967865","-0.021304987370967865","-0.021304987370967865","-0.03972169756889343","-0.03972169756889343","-0.03972169756889343"
"16","-0.010193432681262493","-0.010193432681262493","-0.010193432681262493","-0.021474743261933327","-0.021474743261933327","-0.021474743261933327"
"17","-0.01747901551425457","-0.01747901551425457","-0.01747901551425457","-0.022514451295137405","-0.022514451295137405","-0.022514451295137405"
"18","-0.013665089383721352","-0.013665089383721352","-0.013665089383721352","-0.013466911390423775","-0.013466911390423775","-0.013466911390423775"
"19","-0.012069606222212315","-0.012069606222212315","-0.012069606222212315","-0.03571702167391777","-0.03571702167391777","-0.03571702167391777"
"20","-0.01658826693892479","-0.01658826693892479","-0.01658826693892479","-0.006896013859659433","-0.006896013859659433","-0.006896013859659433"
"21","-0.023251309990882874","-0.023251309990882874","-0.023251309990882874","-0.01868535578250885","-0.01868535578250885","-0.01868535578250885"
"22","-0.01594114489853382","-0.01594114489853382","-0.01594114489853382","-0.011730003170669079","-0.011730003170669079","-0.011730003170669079"
"23","-0.011032674461603165","-0.011032674461603165","-0.011032674461603165","-0.02308695577085018","-0.02308695577085018","-0.02308695577085018"
"24","-0.021114354953169823","-0.021114354953169823","-0.021114354953169823","0.006743087433278561","0.006743087433278561","0.006743087433278561"
"25","-0.01685401052236557","-0.01685401052236557","-0.01685401052236557","0.04950303956866264","0.04950303956866264","0.04950303956866264"
"26","-0.018878940492868423","-0.018878940492868423","-0.018878940492868423","0.05857473239302635","0.05857473239302635","0.05857473239302635"
"27","-0.020754210650920868","-0.020754210650920868","-0.020754210650920868","-0.024854807183146477","-0.024854807183146477","-0.024854807183146477"
"28","-0.025179466232657433","-0.025179466232657433","-0.025179466232657433","-0.035419825464487076","-0.035419825464487076","-0.035419825464487076"
"29","-0.023464540019631386","-0.023464540019631386","-0.023464540019631386","-0.015726864337921143","-0.015726864337921143","-0.015726864337921143"
"30","-0.021663988009095192","-0.021663988009095192","-0.021663988009095192","0.02367224544286728","0.02367224544286728","0.02367224544286728"
"31","-0.023590456694364548","-0.023590456694364548","-0.023590456694364548","0.02308535948395729","0.02308535948395729","0.02308535948395729"
"32","-0.023083766922354698","-0.023083766922354698","-0.023083766922354698","0.02456936240196228","0.02456936240196228","0.02456936240196228"
"33","-0.021581368520855904","-0.021581368520855904","-0.021581368520855904","0.007045758422464132","0.007045758422464132","0.007045758422464132"
"34","-0.019687151536345482","-0.019687151536345482","-0.019687151536345482","-0.0022424159105867147","-0.0022424159105867147","-0.0022424159105867147"
"35","-0.02044794335961342","-0.02044794335961342","-0.02044794335961342","0.0072253369726240635","0.0072253369726240635","0.0072253369726240635"
"36","-0.02181214652955532","-0.02181214652955532","-0.02181214652955532","0.01190190389752388","0.01190190389752388","0.01190190389752388"
"37","-0.020227082073688507","-0.020227082073688507","-0.020227082073688507","0.0572650320827961","0.0572650320827961","0.0572650320827961"
"38","-0.01900460571050644","-0.01900460571050644","-0.01900460571050644","0.07152599841356277","0.07152599841356277","0.07152599841356277"
"39","-0.017776332795619965","-0.017776332795619965","-0.017776332795619965","0.03919669985771179","0.03919669985771179","0.03919669985771179"
"40","-0.019620602950453758","-0.019620602950453758","-0.019620602950453758","-0.01713714189827442","-0.01713714189827442","-0.01713714189827442"
"41","-0.021954262629151344","-0.021954262629151344","-0.021954262629151344","0.004459379706531763","0.004459379706531763","0.004459379706531763"
"42","-0.016801297664642334","-0.016801297664642334","-0.016801297664642334","0.0009447703487239778","0.0009447703487239778","0.0009447703487239778"
"43","-0.020786471664905548","-0.020786471664905548","-0.020786471664905548","0.0030230842530727386","0.0030230842530727386","0.0030230842530727386"
"44","-0.021114161238074303","-0.021114161238074303","-0.021114161238074303","0.03466743603348732","0.03466743603348732","0.03466743603348732"
"45","-0.01870287023484707","-0.01870287023484707","-0.01870287023484707","0.03427919000387192","0.03427919000387192","0.03427919000387192"
"46","-0.019306045025587082","-0.019306045025587082","-0.019306045025587082","0.06936623901128769","0.06936623901128769","0.06936623901128769"
"47","-0.01536475494503975","-0.01536475494503975","-0.01536475494503975","0.02679469808936119","0.02679469808936119","0.02679469808936119"
"48","-0.019103363156318665","-0.019103363156318665","-0.019103363156318665","0.057148803025484085","0.057148803025484085","0.057148803025484085"
"49","-0.01326390914618969","-0.01326390914618969","-0.01326390914618969","0.0009991478873416781","0.0009991478873416781","0.0009991478873416781"
"50","-0.0008338339393958449","-0.0008338339393958449","-0.0008338339393958449","0.15388444066047668","0.15388444066047668","0.15388444066047668"
"51","-0.012583374045789242","-0.012583374045789242","-0.012583374045789242","0.1556207537651062","0.1556207537651062","0.1556207537651062"
"52","-0.0001274569076485932","-0.0001274569076485932","-0.0001274569076485932","0.19587956368923187","0.19587956368923187","0.19587956368923187"
"53","0.0035364592913538218","0.0035364592913538218","0.0035364592913538218","0.2541854679584503","0.2541854679584503","0.2541854679584503"
"54","-0.0070116170682013035","-0.0070116170682013035","-0.0070116170682013035","0.2303745299577713","0.2303745299577713","0.2303745299577713"
"55","-0.0007870251429267228","-0.0007870251429267228","-0.0007870251429267228","0.20158399641513824","0.20158399641513824","0.20158399641513824"
"56","-0.007880670949816704","-0.007880670949816704","-0.007880670949816704","0.16623172163963318","0.16623172163963318","0.16623172163963318"
"57","0.0015137464506551623","0.0015137464506551623","0.0015137464506551623","0.21999676525592804","0.21999676525592804","0.21999676525592804"
"58","-0.007134590297937393","-0.007134590297937393","-0.007134590297937393","0.19247974455356598","0.19247974455356598","0.19247974455356598"
"59","0.000665603089146316","0.000665603089146316","0.000665603089146316","0.2073693424463272","0.2073693424463272","0.2073693424463272"
"60","-0.0010992130264639854","-0.0010992130264639854","-0.0010992130264639854","0.1567244529724121","0.1567244529724121","0.1567244529724121"
"61","-0.0019492070423439145","-0.0019492070423439145","-0.0019492070423439145","0.22122080624103546","0.22122080624103546","0.22122080624103546"
"62","-0.0021885905880481005","-0.0021885905880481005","-0.0021885905880481005","0.18935008347034454","0.18935008347034454","0.18935008347034454"
"63","0.002165205543860793","0.002165205543860793","0.002165205543860793","0.2181256115436554","0.2181256115436554","0.2181256115436554"
"64","-0.011588040739297867","-0.011588040739297867","-0.011588040739297867","0.189875066280365","0.189875066280365","0.189875066280365"
"65","0.007698771543800831","0.007698771543800831","0.007698771543800831","0.16861414909362793","0.16861414909362793","0.16861414909362793"
"66","-0.011286790482699871","-0.011286790482699871","-0.011286790482699871","0.17231816053390503","0.17231816053390503","0.17231816053390503"
"67","-0.00850292295217514","-0.00850292295217514","-0.00850292295217514","0.19870543479919434","0.19870543479919434","0.19870543479919434"
"68","-0.009223130531609058","-0.009223130531609058","-0.009223130531609058","0.19397880136966705","0.19397880136966705","0.19397880136966705"
"69","-0.0058236815966665745","-0.0058236815966665745","-0.0058236815966665745","0.17185871303081512","0.17185871303081512","0.17185871303081512"
"70","-0.004662137012928724","-0.004662137012928724","-0.004662137012928724","0.15125973522663116","0.15125973522663116","0.15125973522663116"
"71","-0.008653729222714901","-0.008653729222714901","-0.008653729222714901","0.18332479894161224","0.18332479894161224","0.18332479894161224"
"72","-0.007915626280009747","-0.007915626280009747","-0.007915626280009747","0.1613633930683136","0.1613633930683136","0.1613633930683136"
"73","-0.010526847094297409","-0.010526847094297409","-0.010526847094297409","0.15875959396362305","0.15875959396362305","0.15875959396362305"
"74","0.0002411160821793601","0.0002411160821793601","0.0002411160821793601","0.1420791745185852","0.1420791745185852","0.1420791745185852"
"75","0.007689426187425852","0.007689426187425852","0.007689426187425852","0.08379838615655899","0.08379838615655899","0.08379838615655899"
"76","-0.003903354285284877","-0.003903354285284877","-0.003903354285284877","0.13603782653808594","0.13603782653808594","0.13603782653808594"
"77","-0.0017470823368057609","-0.0017470823368057609","-0.0017470823368057609","0.10032257437705994","0.10032257437705994","0.10032257437705994"
"78","-0.0013291258364915848","-0.0013291258364915848","-0.0013291258364915848","0.12324771285057068","0.12324771285057068","0.12324771285057068"
"79","-0.0006867674528621137","-0.0006867674528621137","-0.0006867674528621137","0.08957058936357498","0.08957058936357498","0.08957058936357498"
"80","-0.0016734842211008072","-0.0016734842211008072","-0.0016734842211008072","0.1050453782081604","0.1050453782081604","0.1050453782081604"
"81","-0.002460838295519352","-0.002460838295519352","-0.002460838295519352","0.08791220188140869","0.08791220188140869","0.08791220188140869"
"82","-0.007461135741323233","-0.007461135741323233","-0.007461135741323233","0.12056368589401245","0.12056368589401245","0.12056368589401245"
"83","-0.0015115002170205116","-0.0015115002170205116","-0.0015115002170205116","0.07611171901226044","0.07611171901226044","0.07611171901226044"
"84","-0.000418686046032235","-0.000418686046032235","-0.000418686046032235","0.09080828726291656","0.09080828726291656","0.09080828726291656"
"85","-0.0034079919569194317","-0.0034079919569194317","-0.0034079919569194317","0.06064010038971901","0.06064010038971901","0.06064010038971901"
"86","-0.0035448612179607153","-0.0035448612179607153","-0.0035448612179607153","0.07817162573337555","0.07817162573337555","0.07817162573337555"
"87","-0.00122308440040797","-0.00122308440040797","-0.00122308440040797","0.08026249706745148","0.08026249706745148","0.08026249706745148"
"88","0.0016467985697090626","0.0016467985697090626","0.0016467985697090626","0.08819819986820221","0.08819819986820221","0.08819819986820221"
"89","-0.0008042253903113306","-0.0008042253903113306","-0.0008042253903113306","0.08265670388936996","0.08265670388936996","0.08265670388936996"
