"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"59","0.11","0.11","0.11","0.0831","0.0831","0.0831","0.08345","0.08345","0.08345"
"60","0.1155","0.1155","0.1155","0.0864","0.0864","0.0864","0.08605","0.08605","0.08605"
"61","0.131","0.131","0.131","0.08985","0.08985","0.08985","0.0899","0.0899","0.0899"
"62","0.1255","0.1255","0.1255","0.0925","0.0925","0.0925","0.0922","0.0922","0.0922"
"63","0.1295","0.1295","0.1295","0.0959","0.0959","0.0959","0.09555","0.09555","0.09555"
"64","0.1385","0.1385","0.1385","0.09835","0.09835","0.09835","0.0968","0.0968","0.0968"
"65","0.136","0.136","0.136","0.101","0.101","0.101","0.1011","0.1011","0.1011"
"66","0.145","0.145","0.145","0.1038","0.1038","0.1038","0.1028","0.1028","0.1028"
"67","0.148","0.148","0.148","0.1045","0.1045","0.1045","0.1049","0.1049","0.1049"
"68","0.144","0.144","0.144","0.1055","0.1055","0.1055","0.1062","0.1062","0.1062"
"69","0.1425","0.1425","0.1425","0.10635","0.10635","0.10635","0.10755","0.10755","0.10755"
"70","0.143","0.143","0.143","0.1101","0.1101","0.1101","0.11055","0.11055","0.11055"
"71","0.1535","0.1535","0.1535","0.11085","0.11085","0.11085","0.11285","0.11285","0.11285"
"72","0.1555","0.1555","0.1555","0.1124","0.1124","0.1124","0.1129","0.1129","0.1129"
"73","0.152","0.152","0.152","0.11175","0.11175","0.11175","0.11725","0.11725","0.11725"
"74","0.162","0.162","0.162","0.1146","0.1146","0.1146","0.1155","0.1155","0.1155"
"75","0","0","0","0.015","0.015","0.015","0.0137","0.0137","0.0137"
"76","0","0","0","0.0434","0.0434","0.0434","0.0421","0.0421","0.0421"
"77","0.009","0.009","0.009","0.0579","0.0579","0.0579","0.05835","0.05835","0.05835"
"78","0.1145","0.1145","0.1145","0.0741","0.0741","0.0741","0.0753","0.0753","0.0753"
"79","0.118","0.118","0.118","0.08425","0.08425","0.08425","0.08495","0.08495","0.08495"
"80","0.125","0.125","0.125","0.08895","0.08895","0.08895","0.0908","0.0908","0.0908"
"81","0.1325","0.1325","0.1325","0.09705","0.09705","0.09705","0.09745","0.09745","0.09745"
"82","0.1345","0.1345","0.1345","0.1026","0.1026","0.1026","0.10265","0.10265","0.10265"
"83","0.15","0.15","0.15","0.10935","0.10935","0.10935","0.10605","0.10605","0.10605"
"84","0.16","0.16","0.16","0.11205","0.11205","0.11205","0.1117","0.1117","0.1117"
"85","0.153","0.153","0.153","0.1156","0.1156","0.1156","0.11595","0.11595","0.11595"
"86","0.1665","0.1665","0.1665","0.12065","0.12065","0.12065","0.1215","0.1215","0.1215"
"87","0.1605","0.1605","0.1605","0.1259","0.1259","0.1259","0.12445","0.12445","0.12445"
"88","0.1725","0.1725","0.1725","0.12775","0.12775","0.12775","0.12955","0.12955","0.12955"
"89","0.1765","0.1765","0.1765","0.13225","0.13225","0.13225","0.13325","0.13325","0.13325"
"90","0.18","0.18","0.18","0.1342","0.1342","0.1342","0.1368","0.1368","0.1368"
"91","0.18","0.18","0.18","0.13795","0.13795","0.13795","0.1369","0.1369","0.1369"
"92","0.1825","0.1825","0.1825","0.1395","0.1395","0.1395","0.13985","0.13985","0.13985"
"93","0.191","0.191","0.191","0.1418","0.1418","0.1418","0.1417","0.1417","0.1417"
"94","0.1895","0.1895","0.1895","0.14295","0.14295","0.14295","0.14475","0.14475","0.14475"
"95","0.188","0.188","0.188","0.1448","0.1448","0.1448","0.1485","0.1485","0.1485"
"96","0.197","0.197","0.197","0.14615","0.14615","0.14615","0.1498","0.1498","0.1498"
"97","0.201","0.201","0.201","0.1492","0.1492","0.1492","0.1513","0.1513","0.1513"
"98","0.2075","0.2075","0.2075","0.15075","0.15075","0.15075","0.1529","0.1529","0.1529"
"99","0.2065","0.2065","0.2065","0.1509","0.1509","0.1509","0.1539","0.1539","0.1539"
"100","0","0","0","0.0202","0.0202","0.0202","0.0193","0.0193","0.0193"
"101","0.029","0.029","0.029","0.0489","0.0489","0.0489","0.04695","0.04695","0.04695"
"102","0.0365","0.0365","0.0365","0.0739","0.0739","0.0739","0.07215","0.07215","0.07215"
"103","0.07","0.07","0.07","0.0898","0.0898","0.0898","0.0885","0.0885","0.0885"
"104","0.089","0.089","0.089","0.0982","0.0982","0.0982","0.09785","0.09785","0.09785"
"105","0.1075","0.1075","0.1075","0.10775","0.10775","0.10775","0.1071","0.1071","0.1071"
"106","0.1285","0.1285","0.1285","0.1147","0.1147","0.1147","0.11445","0.11445","0.11445"
"107","0.146","0.146","0.146","0.12035","0.12035","0.12035","0.1214","0.1214","0.1214"
"108","0.1535","0.1535","0.1535","0.12675","0.12675","0.12675","0.12695","0.12695","0.12695"
"109","0.1575","0.1575","0.1575","0.1307","0.1307","0.1307","0.13035","0.13035","0.13035"
