"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"250","0","0","0","0.03615","0.03615","0.03615","0.03625","0.03625","0.03625"
"251","0","0","0","0.0636","0.0636","0.0636","0.0599","0.0599","0.0599"
"252","0","0","0","0.0907","0.0907","0.0907","0.0895","0.0895","0.0895"
"253","0.001","0.001","0.001","0.11755","0.11755","0.11755","0.1166","0.1166","0.1166"
"254","0.0975","0.0975","0.0975","0.1349","0.1349","0.1349","0.1348","0.1348","0.1348"
"255","0.1305","0.1305","0.1305","0.1467","0.1467","0.1467","0.1428","0.1428","0.1428"
"256","0.1525","0.1525","0.1525","0.1561","0.1561","0.1561","0.15175","0.15175","0.15175"
"257","0.1795","0.1795","0.1795","0.16315","0.16315","0.16315","0.1588","0.1588","0.1588"
"258","0.1795","0.1795","0.1795","0.1672","0.1672","0.1672","0.1624","0.1624","0.1624"
"259","0.1935","0.1935","0.1935","0.17315","0.17315","0.17315","0.1688","0.1688","0.1688"
"260","0.1915","0.1915","0.1915","0.1748","0.1748","0.1748","0.17165","0.17165","0.17165"
"261","0.196","0.196","0.196","0.1754","0.1754","0.1754","0.1753","0.1753","0.1753"
"262","0.199","0.199","0.199","0.1789","0.1789","0.1789","0.1771","0.1771","0.1771"
"263","0.203","0.203","0.203","0.18195","0.18195","0.18195","0.17885","0.17885","0.17885"
"264","0.2045","0.2045","0.2045","0.1846","0.1846","0.1846","0.18","0.18","0.18"
"265","0.2085","0.2085","0.2085","0.18565","0.18565","0.18565","0.1823","0.1823","0.1823"
"266","0.21","0.21","0.21","0.1872","0.1872","0.1872","0.1836","0.1836","0.1836"
"267","0.2095","0.2095","0.2095","0.1872","0.1872","0.1872","0.18545","0.18545","0.18545"
"268","0.211","0.211","0.211","0.18915","0.18915","0.18915","0.1852","0.1852","0.1852"
"269","0.2135","0.2135","0.2135","0.1894","0.1894","0.1894","0.18665","0.18665","0.18665"
"270","0.2125","0.2125","0.2125","0.19035","0.19035","0.19035","0.1874","0.1874","0.1874"
"271","0.2125","0.2125","0.2125","0.19105","0.19105","0.19105","0.1873","0.1873","0.1873"
"272","0.2125","0.2125","0.2125","0.1927","0.1927","0.1927","0.18725","0.18725","0.18725"
"273","0.2165","0.2165","0.2165","0.1911","0.1911","0.1911","0.1893","0.1893","0.1893"
"274","0.2165","0.2165","0.2165","0.19175","0.19175","0.19175","0.18895","0.18895","0.18895"
"275","0.0115","0.0115","0.0115","0.03485","0.03485","0.03485","0.0361","0.0361","0.0361"
"276","0.0405","0.0405","0.0405","0.0692","0.0692","0.0692","0.065","0.065","0.065"
"277","0.0575","0.0575","0.0575","0.09265","0.09265","0.09265","0.09095","0.09095","0.09095"
"278","0.0635","0.0635","0.0635","0.1115","0.1115","0.1115","0.10995","0.10995","0.10995"
"279","0.098","0.098","0.098","0.1274","0.1274","0.1274","0.12625","0.12625","0.12625"
"280","0.125","0.125","0.125","0.14005","0.14005","0.14005","0.1383","0.1383","0.1383"
"281","0.1355","0.1355","0.1355","0.14925","0.14925","0.14925","0.14755","0.14755","0.14755"
"282","0.1555","0.1555","0.1555","0.15595","0.15595","0.15595","0.1538","0.1538","0.1538"
"283","0.1625","0.1625","0.1625","0.163","0.163","0.163","0.15825","0.15825","0.15825"
"284","0.1715","0.1715","0.1715","0.16475","0.16475","0.16475","0.16305","0.16305","0.16305"
"285","0.1855","0.1855","0.1855","0.16885","0.16885","0.16885","0.16715","0.16715","0.16715"
"286","0.191","0.191","0.191","0.17285","0.17285","0.17285","0.17105","0.17105","0.17105"
"287","0.1945","0.1945","0.1945","0.175","0.175","0.175","0.17345","0.17345","0.17345"
"288","0.1995","0.1995","0.1995","0.1763","0.1763","0.1763","0.17395","0.17395","0.17395"
"289","0.209","0.209","0.209","0.17995","0.17995","0.17995","0.1763","0.1763","0.1763"
"290","0.209","0.209","0.209","0.1814","0.1814","0.1814","0.17815","0.17815","0.17815"
"291","0.2085","0.2085","0.2085","0.1824","0.1824","0.1824","0.17935","0.17935","0.17935"
"292","0.2105","0.2105","0.2105","0.1843","0.1843","0.1843","0.1799","0.1799","0.1799"
"293","0.2195","0.2195","0.2195","0.1839","0.1839","0.1839","0.18055","0.18055","0.18055"
"294","0.2155","0.2155","0.2155","0.185","0.185","0.185","0.18265","0.18265","0.18265"
"295","0.216","0.216","0.216","0.18305","0.18305","0.18305","0.1824","0.1824","0.1824"
"296","0.2165","0.2165","0.2165","0.18485","0.18485","0.18485","0.18285","0.18285","0.18285"
"297","0.2215","0.2215","0.2215","0.18395","0.18395","0.18395","0.18375","0.18375","0.18375"
"298","0.2115","0.2115","0.2115","0.1853","0.1853","0.1853","0.1817","0.1817","0.1817"
"299","0.221","0.221","0.221","0.18575","0.18575","0.18575","0.1835","0.1835","0.1835"
"300","0.0055","0.0055","0.0055","0.02275","0.02275","0.02275","0.0233","0.0233","0.0233"
"301","0.0225","0.0225","0.0225","0.0461","0.0461","0.0461","0.04485","0.04485","0.04485"
"302","0.0315","0.0315","0.0315","0.0743","0.0743","0.0743","0.0751","0.0751","0.0751"
"303","0.05","0.05","0.05","0.1015","0.1015","0.1015","0.10055","0.10055","0.10055"
"304","0.105","0.105","0.105","0.12085","0.12085","0.12085","0.1206","0.1206","0.1206"
"305","0.1235","0.1235","0.1235","0.13475","0.13475","0.13475","0.1353","0.1353","0.1353"
"306","0.138","0.138","0.138","0.1436","0.1436","0.1436","0.1456","0.1456","0.1456"
"307","0.15","0.15","0.15","0.1526","0.1526","0.1526","0.1526","0.1526","0.1526"
"308","0.1705","0.1705","0.1705","0.158","0.158","0.158","0.15865","0.15865","0.15865"
"309","0.177","0.177","0.177","0.1622","0.1622","0.1622","0.1643","0.1643","0.1643"
"310","0.1845","0.1845","0.1845","0.1664","0.1664","0.1664","0.1669","0.1669","0.1669"
"311","0.1855","0.1855","0.1855","0.1683","0.1683","0.1683","0.17095","0.17095","0.17095"
"312","0.197","0.197","0.197","0.1687","0.1687","0.1687","0.17215","0.17215","0.17215"
"313","0.204","0.204","0.204","0.172","0.172","0.172","0.1747","0.1747","0.1747"
"314","0.2035","0.2035","0.2035","0.17265","0.17265","0.17265","0.17565","0.17565","0.17565"
"315","0.207","0.207","0.207","0.1741","0.1741","0.1741","0.17625","0.17625","0.17625"
"316","0.211","0.211","0.211","0.17525","0.17525","0.17525","0.17745","0.17745","0.17745"
"317","0.216","0.216","0.216","0.1765","0.1765","0.1765","0.17815","0.17815","0.17815"
"318","0.222","0.222","0.222","0.17675","0.17675","0.17675","0.1775","0.1775","0.1775"
"319","0.2205","0.2205","0.2205","0.1779","0.1779","0.1779","0.17885","0.17885","0.17885"
"320","0.2245","0.2245","0.2245","0.1778","0.1778","0.1778","0.17895","0.17895","0.17895"
"321","0.2245","0.2245","0.2245","0.17745","0.17745","0.17745","0.17975","0.17975","0.17975"
"322","0.225","0.225","0.225","0.177","0.177","0.177","0.1799","0.1799","0.1799"
"323","0.226","0.226","0.226","0.1781","0.1781","0.1781","0.1794","0.1794","0.1794"
"324","0.2325","0.2325","0.2325","0.17865","0.17865","0.17865","0.17975","0.17975","0.17975"
"325","0","0","0","0.0299","0.0299","0.0299","0.0281","0.0281","0.0281"
"326","0","0","0","0.0571","0.0571","0.0571","0.0572","0.0572","0.0572"
"327","0.085","0.085","0.085","0.08995","0.08995","0.08995","0.0871","0.0871","0.0871"
"328","0.1015","0.1015","0.1015","0.12005","0.12005","0.12005","0.1167","0.1167","0.1167"
"329","0.109","0.109","0.109","0.1402","0.1402","0.1402","0.1381","0.1381","0.1381"
"330","0.118","0.118","0.118","0.15215","0.15215","0.15215","0.15195","0.15195","0.15195"
"331","0.143","0.143","0.143","0.16065","0.16065","0.16065","0.16185","0.16185","0.16185"
"332","0.162","0.162","0.162","0.1689","0.1689","0.1689","0.16825","0.16825","0.16825"
"333","0.194","0.194","0.194","0.17295","0.17295","0.17295","0.17345","0.17345","0.17345"
"334","0.2125","0.2125","0.2125","0.1773","0.1773","0.1773","0.17785","0.17785","0.17785"
"335","0.22","0.22","0.22","0.18015","0.18015","0.18015","0.18115","0.18115","0.18115"
"336","0.237","0.237","0.237","0.18475","0.18475","0.18475","0.18285","0.18285","0.18285"
"337","0.232","0.232","0.232","0.18685","0.18685","0.18685","0.1862","0.1862","0.1862"
"338","0.237","0.237","0.237","0.18865","0.18865","0.18865","0.18735","0.18735","0.18735"
"339","0.2405","0.2405","0.2405","0.18885","0.18885","0.18885","0.1861","0.1861","0.1861"
"340","0.243","0.243","0.243","0.19055","0.19055","0.19055","0.18935","0.18935","0.18935"
"341","0.243","0.243","0.243","0.1912","0.1912","0.1912","0.19075","0.19075","0.19075"
"342","0.244","0.244","0.244","0.19385","0.19385","0.19385","0.19075","0.19075","0.19075"
"343","0.246","0.246","0.246","0.1931","0.1931","0.1931","0.1922","0.1922","0.1922"
"344","0.2525","0.2525","0.2525","0.1937","0.1937","0.1937","0.193","0.193","0.193"
"345","0.2585","0.2585","0.2585","0.1937","0.1937","0.1937","0.1941","0.1941","0.1941"
"346","0.2575","0.2575","0.2575","0.1936","0.1936","0.1936","0.194","0.194","0.194"
"347","0.258","0.258","0.258","0.1939","0.1939","0.1939","0.1951","0.1951","0.1951"
"348","0.266","0.266","0.266","0.19495","0.19495","0.19495","0.19475","0.19475","0.19475"
"349","0.2675","0.2675","0.2675","0.1947","0.1947","0.1947","0.19385","0.19385","0.19385"
"350","0","0","0","0.0377","0.0377","0.0377","0.036","0.036","0.036"
"351","0","0","0","0.06145","0.06145","0.06145","0.0591","0.0591","0.0591"
"352","0","0","0","0.0883","0.0883","0.0883","0.08435","0.08435","0.08435"
"353","0.0065","0.0065","0.0065","0.11535","0.11535","0.11535","0.11225","0.11225","0.11225"
"354","0.0865","0.0865","0.0865","0.13645","0.13645","0.13645","0.1321","0.1321","0.1321"
"355","0.1295","0.1295","0.1295","0.14975","0.14975","0.14975","0.1482","0.1482","0.1482"
"356","0.155","0.155","0.155","0.15995","0.15995","0.15995","0.1575","0.1575","0.1575"
"357","0.1675","0.1675","0.1675","0.1669","0.1669","0.1669","0.165","0.165","0.165"
"358","0.1795","0.1795","0.1795","0.17085","0.17085","0.17085","0.171","0.171","0.171"
"359","0.193","0.193","0.193","0.17405","0.17405","0.17405","0.17395","0.17395","0.17395"
"360","0.1985","0.1985","0.1985","0.17435","0.17435","0.17435","0.17545","0.17545","0.17545"
"361","0.203","0.203","0.203","0.17655","0.17655","0.17655","0.1781","0.1781","0.1781"
"362","0.206","0.206","0.206","0.1776","0.1776","0.1776","0.17825","0.17825","0.17825"
"363","0.209","0.209","0.209","0.17865","0.17865","0.17865","0.17855","0.17855","0.17855"
"364","0.2175","0.2175","0.2175","0.1812","0.1812","0.1812","0.18095","0.18095","0.18095"
"365","0.2175","0.2175","0.2175","0.1823","0.1823","0.1823","0.18125","0.18125","0.18125"
"366","0.223","0.223","0.223","0.1839","0.1839","0.1839","0.18225","0.18225","0.18225"
"367","0.223","0.223","0.223","0.18295","0.18295","0.18295","0.1838","0.1838","0.1838"
"368","0.227","0.227","0.227","0.182","0.182","0.182","0.1847","0.1847","0.1847"
"369","0.225","0.225","0.225","0.18175","0.18175","0.18175","0.18505","0.18505","0.18505"
"370","0.2295","0.2295","0.2295","0.1824","0.1824","0.1824","0.18445","0.18445","0.18445"
"371","0.229","0.229","0.229","0.1827","0.1827","0.1827","0.18475","0.18475","0.18475"
"372","0.2285","0.2285","0.2285","0.1821","0.1821","0.1821","0.1826","0.1826","0.1826"
"373","0.2295","0.2295","0.2295","0.1834","0.1834","0.1834","0.1832","0.1832","0.1832"
"374","0.232","0.232","0.232","0.18315","0.18315","0.18315","0.18385","0.18385","0.18385"
"375","0.001","0.001","0.001","0.03665","0.03665","0.03665","0.0352","0.0352","0.0352"
"376","0.012","0.012","0.012","0.0653","0.0653","0.0653","0.06535","0.06535","0.06535"
"377","0.0255","0.0255","0.0255","0.09395","0.09395","0.09395","0.0948","0.0948","0.0948"
"378","0.045","0.045","0.045","0.12","0.12","0.12","0.1203","0.1203","0.1203"
"379","0.0635","0.0635","0.0635","0.14075","0.14075","0.14075","0.1391","0.1391","0.1391"
"380","0.094","0.094","0.094","0.1539","0.1539","0.1539","0.1523","0.1523","0.1523"
"381","0.1175","0.1175","0.1175","0.1638","0.1638","0.1638","0.1619","0.1619","0.1619"
"382","0.1355","0.1355","0.1355","0.17075","0.17075","0.17075","0.1678","0.1678","0.1678"
"383","0.149","0.149","0.149","0.17325","0.17325","0.17325","0.1739","0.1739","0.1739"
"384","0.161","0.161","0.161","0.17705","0.17705","0.17705","0.1754","0.1754","0.1754"
"385","0.1665","0.1665","0.1665","0.1797","0.1797","0.1797","0.17975","0.17975","0.17975"
"386","0.17","0.17","0.17","0.1803","0.1803","0.1803","0.1833","0.1833","0.1833"
"387","0.176","0.176","0.176","0.18315","0.18315","0.18315","0.18525","0.18525","0.18525"
"388","0.1795","0.1795","0.1795","0.18465","0.18465","0.18465","0.18565","0.18565","0.18565"
"389","0.1855","0.1855","0.1855","0.18585","0.18585","0.18585","0.1872","0.1872","0.1872"
"390","0.1865","0.1865","0.1865","0.1864","0.1864","0.1864","0.1875","0.1875","0.1875"
"391","0.191","0.191","0.191","0.1865","0.1865","0.1865","0.1877","0.1877","0.1877"
"392","0.199","0.199","0.199","0.18615","0.18615","0.18615","0.1885","0.1885","0.1885"
"393","0.1975","0.1975","0.1975","0.1866","0.1866","0.1866","0.18725","0.18725","0.18725"
"394","0.201","0.201","0.201","0.18605","0.18605","0.18605","0.18775","0.18775","0.18775"
"395","0.2055","0.2055","0.2055","0.1889","0.1889","0.1889","0.18685","0.18685","0.18685"
"396","0.206","0.206","0.206","0.188","0.188","0.188","0.18805","0.18805","0.18805"
"397","0.2065","0.2065","0.2065","0.1873","0.1873","0.1873","0.1871","0.1871","0.1871"
"398","0.212","0.212","0.212","0.18725","0.18725","0.18725","0.18605","0.18605","0.18605"
"399","0.2125","0.2125","0.2125","0.18565","0.18565","0.18565","0.18705","0.18705","0.18705"
"400","0","0","0","0.0299","0.0299","0.0299","0.02915","0.02915","0.02915"
"401","0","0","0","0.0636","0.0636","0.0636","0.0635","0.0635","0.0635"
"402","0.0005","0.0005","0.0005","0.0937","0.0937","0.0937","0.0906","0.0906","0.0906"
"403","0.0255","0.0255","0.0255","0.1196","0.1196","0.1196","0.1168","0.1168","0.1168"
"404","0.088","0.088","0.088","0.13315","0.13315","0.13315","0.13415","0.13415","0.13415"
"405","0.1255","0.1255","0.1255","0.144","0.144","0.144","0.1447","0.1447","0.1447"
"406","0.1505","0.1505","0.1505","0.1525","0.1525","0.1525","0.1539","0.1539","0.1539"
"407","0.155","0.155","0.155","0.159","0.159","0.159","0.1604","0.1604","0.1604"
"408","0.163","0.163","0.163","0.1643","0.1643","0.1643","0.16295","0.16295","0.16295"
"409","0.166","0.166","0.166","0.1666","0.1666","0.1666","0.16705","0.16705","0.16705"
"410","0.1765","0.1765","0.1765","0.16805","0.16805","0.16805","0.1707","0.1707","0.1707"
"411","0.175","0.175","0.175","0.1698","0.1698","0.1698","0.1747","0.1747","0.1747"
"412","0.177","0.177","0.177","0.17325","0.17325","0.17325","0.17445","0.17445","0.17445"
"413","0.1825","0.1825","0.1825","0.17425","0.17425","0.17425","0.17465","0.17465","0.17465"
"414","0.18","0.18","0.18","0.1783","0.1783","0.1783","0.17665","0.17665","0.17665"
"415","0.185","0.185","0.185","0.1765","0.1765","0.1765","0.1763","0.1763","0.1763"
"416","0.1855","0.1855","0.1855","0.17765","0.17765","0.17765","0.17695","0.17695","0.17695"
"417","0.1875","0.1875","0.1875","0.17755","0.17755","0.17755","0.1799","0.1799","0.1799"
"418","0.1895","0.1895","0.1895","0.1789","0.1789","0.1789","0.1803","0.1803","0.1803"
"419","0.197","0.197","0.197","0.1794","0.1794","0.1794","0.1809","0.1809","0.1809"
"420","0.194","0.194","0.194","0.1782","0.1782","0.1782","0.1801","0.1801","0.1801"
"421","0.1995","0.1995","0.1995","0.1796","0.1796","0.1796","0.1813","0.1813","0.1813"
"422","0.2015","0.2015","0.2015","0.1798","0.1798","0.1798","0.1818","0.1818","0.1818"
"423","0.2","0.2","0.2","0.17905","0.17905","0.17905","0.1825","0.1825","0.1825"
"424","0.2005","0.2005","0.2005","0.17865","0.17865","0.17865","0.1821","0.1821","0.1821"
"425","0","0","0","0.02555","0.02555","0.02555","0.02565","0.02565","0.02565"
"426","0","0","0","0.0518","0.0518","0.0518","0.05195","0.05195","0.05195"
"427","0.001","0.001","0.001","0.0749","0.0749","0.0749","0.0777","0.0777","0.0777"
"428","0.0695","0.0695","0.0695","0.09535","0.09535","0.09535","0.10145","0.10145","0.10145"
"429","0.142","0.142","0.142","0.11295","0.11295","0.11295","0.11715","0.11715","0.11715"
"430","0.1615","0.1615","0.1615","0.127","0.127","0.127","0.129","0.129","0.129"
"431","0.1785","0.1785","0.1785","0.13525","0.13525","0.13525","0.1378","0.1378","0.1378"
"432","0.1885","0.1885","0.1885","0.14405","0.14405","0.14405","0.14445","0.14445","0.14445"
"433","0.194","0.194","0.194","0.1516","0.1516","0.1516","0.14735","0.14735","0.14735"
"434","0.2005","0.2005","0.2005","0.1548","0.1548","0.1548","0.1511","0.1511","0.1511"
"435","0.2155","0.2155","0.2155","0.1579","0.1579","0.1579","0.15435","0.15435","0.15435"
"436","0.2285","0.2285","0.2285","0.1594","0.1594","0.1594","0.1563","0.1563","0.1563"
"437","0.2355","0.2355","0.2355","0.1628","0.1628","0.1628","0.1586","0.1586","0.1586"
"438","0.2405","0.2405","0.2405","0.16285","0.16285","0.16285","0.1603","0.1603","0.1603"
"439","0.2455","0.2455","0.2455","0.1643","0.1643","0.1643","0.1626","0.1626","0.1626"
"440","0.2515","0.2515","0.2515","0.16465","0.16465","0.16465","0.16205","0.16205","0.16205"
"441","0.2475","0.2475","0.2475","0.1652","0.1652","0.1652","0.16345","0.16345","0.16345"
"442","0.2535","0.2535","0.2535","0.1662","0.1662","0.1662","0.16525","0.16525","0.16525"
"443","0.2555","0.2555","0.2555","0.1663","0.1663","0.1663","0.16335","0.16335","0.16335"
"444","0.264","0.264","0.264","0.16665","0.16665","0.16665","0.1663","0.1663","0.1663"
"445","0.2635","0.2635","0.2635","0.1659","0.1659","0.1659","0.1648","0.1648","0.1648"
"446","0.268","0.268","0.268","0.1661","0.1661","0.1661","0.16535","0.16535","0.16535"
"447","0.2665","0.2665","0.2665","0.16685","0.16685","0.16685","0.16455","0.16455","0.16455"
"448","0.2715","0.2715","0.2715","0.16625","0.16625","0.16625","0.1654","0.1654","0.1654"
"449","0.2745","0.2745","0.2745","0.16685","0.16685","0.16685","0.1653","0.1653","0.1653"
"450","0","0","0","0.0267","0.0267","0.0267","0.02545","0.02545","0.02545"
"451","0","0","0","0.0482","0.0482","0.0482","0.04675","0.04675","0.04675"
"452","0.0025","0.0025","0.0025","0.0757","0.0757","0.0757","0.0738","0.0738","0.0738"
"453","0.056","0.056","0.056","0.1042","0.1042","0.1042","0.10065","0.10065","0.10065"
"454","0.1365","0.1365","0.1365","0.1214","0.1214","0.1214","0.1182","0.1182","0.1182"
"455","0.1565","0.1565","0.1565","0.1324","0.1324","0.1324","0.13175","0.13175","0.13175"
"456","0.1625","0.1625","0.1625","0.14225","0.14225","0.14225","0.1427","0.1427","0.1427"
"457","0.1745","0.1745","0.1745","0.15005","0.15005","0.15005","0.1512","0.1512","0.1512"
"458","0.183","0.183","0.183","0.154","0.154","0.154","0.15615","0.15615","0.15615"
"459","0.1895","0.1895","0.1895","0.1585","0.1585","0.1585","0.15995","0.15995","0.15995"
"460","0.194","0.194","0.194","0.1611","0.1611","0.1611","0.1619","0.1619","0.1619"
"461","0.198","0.198","0.198","0.16245","0.16245","0.16245","0.165","0.165","0.165"
"462","0.2045","0.2045","0.2045","0.16415","0.16415","0.16415","0.16525","0.16525","0.16525"
"463","0.2155","0.2155","0.2155","0.16605","0.16605","0.16605","0.1655","0.1655","0.1655"
"464","0.2125","0.2125","0.2125","0.16685","0.16685","0.16685","0.1658","0.1658","0.1658"
"465","0.21","0.21","0.21","0.16765","0.16765","0.16765","0.16595","0.16595","0.16595"
"466","0.2165","0.2165","0.2165","0.1677","0.1677","0.1677","0.1671","0.1671","0.1671"
"467","0.218","0.218","0.218","0.1669","0.1669","0.1669","0.16615","0.16615","0.16615"
"468","0.225","0.225","0.225","0.16785","0.16785","0.16785","0.1658","0.1658","0.1658"
"469","0.226","0.226","0.226","0.16845","0.16845","0.16845","0.166","0.166","0.166"
"470","0.229","0.229","0.229","0.16785","0.16785","0.16785","0.16635","0.16635","0.16635"
"471","0.233","0.233","0.233","0.16735","0.16735","0.16735","0.16575","0.16575","0.16575"
"472","0.233","0.233","0.233","0.16755","0.16755","0.16755","0.16495","0.16495","0.16495"
"473","0.2305","0.2305","0.2305","0.16595","0.16595","0.16595","0.1651","0.1651","0.1651"
"474","0.2345","0.2345","0.2345","0.1651","0.1651","0.1651","0.1642","0.1642","0.1642"
"475","0","0","0","0.028","0.028","0.028","0.0277","0.0277","0.0277"
"476","0","0","0","0.0511","0.0511","0.0511","0.05185","0.05185","0.05185"
"477","0.006","0.006","0.006","0.07815","0.07815","0.07815","0.07935","0.07935","0.07935"
"478","0.0635","0.0635","0.0635","0.1025","0.1025","0.1025","0.10465","0.10465","0.10465"
"479","0.1065","0.1065","0.1065","0.1193","0.1193","0.1193","0.12275","0.12275","0.12275"
"480","0.132","0.132","0.132","0.13345","0.13345","0.13345","0.1399","0.1399","0.1399"
"481","0.1535","0.1535","0.1535","0.1444","0.1444","0.1444","","",""
"482","0.1695","0.1695","0.1695","0.1535","0.1535","0.1535","","",""
"483","0.1795","0.1795","0.1795","0.1577","0.1577","0.1577","","",""
"484","0.2005","0.2005","0.2005","0.16175","0.16175","0.16175","","",""
"485","0.2115","0.2115","0.2115","0.16445","0.16445","0.16445","","",""
"486","0.2185","0.2185","0.2185","","","","","",""
"487","0.2245","0.2245","0.2245","","","","","",""
"488","0.222","0.222","0.222","","","","","",""
"489","0.229","0.229","0.229","","","","","",""
"490","0.2335","0.2335","0.2335","","","","","",""
"491","0.2395","0.2395","0.2395","","","","","",""
"492","0.2395","0.2395","0.2395","","","","","",""
"493","0.242","0.242","0.242","","","","","",""
"494","0.244","0.244","0.244","","","","","",""
"495","0.245","0.245","0.245","","","","","",""
"496","0.249","0.249","0.249","","","","","",""
"497","0.2495","0.2495","0.2495","","","","","",""
"498","0.252","0.252","0.252","","","","","",""
"499","0.252","0.252","0.252","","","","","",""
"500","0.008","0.008","0.008","","","","","",""
"501","0.022","0.022","0.022","","","","","",""
"502","0.049","0.049","0.049","","","","","",""
"503","0.1015","0.1015","0.1015","","","","","",""
"504","0.1385","0.1385","0.1385","","","","","",""
"505","0.1605","0.1605","0.1605","","","","","",""
"506","0.1785","0.1785","0.1785","","","","","",""
"507","0.192","0.192","0.192","","","","","",""
"508","0.2045","0.2045","0.2045","","","","","",""
"509","0.2105","0.2105","0.2105","","","","","",""
"510","0.2165","0.2165","0.2165","","","","","",""
"511","0.2215","0.2215","0.2215","","","","","",""
"512","0.223","0.223","0.223","","","","","",""
"513","0.2285","0.2285","0.2285","","","","","",""
"514","0.231","0.231","0.231","","","","","",""
"515","0.2325","0.2325","0.2325","","","","","",""
"516","0.236","0.236","0.236","","","","","",""
"517","0.2415","0.2415","0.2415","","","","","",""
"518","0.242","0.242","0.242","","","","","",""
"519","0.247","0.247","0.247","","","","","",""
"520","0.2455","0.2455","0.2455","","","","","",""
"521","0.246","0.246","0.246","","","","","",""
"522","0.254","0.254","0.254","","","","","",""
"523","0.251","0.251","0.251","","","","","",""
"524","0.255","0.255","0.255","","","","","",""
"525","0.04","0.04","0.04","","","","","",""
"526","0.07","0.07","0.07","","","","","",""
"527","0.097","0.097","0.097","","","","","",""
"528","0.1195","0.1195","0.1195","","","","","",""
"529","0.153","0.153","0.153","","","","","",""
"530","0.173","0.173","0.173","","","","","",""
"531","0.1895","0.1895","0.1895","","","","","",""
"532","0.2035","0.2035","0.2035","","","","","",""
"533","0.207","0.207","0.207","","","","","",""
"534","0.213","0.213","0.213","","","","","",""
"535","0.2125","0.2125","0.2125","","","","","",""
"536","0.2145","0.2145","0.2145","","","","","",""
"537","0.2265","0.2265","0.2265","","","","","",""
"538","0.228","0.228","0.228","","","","","",""
"539","0.2265","0.2265","0.2265","","","","","",""
"540","0.229","0.229","0.229","","","","","",""
"541","0.23","0.23","0.23","","","","","",""
"542","0.234","0.234","0.234","","","","","",""
"543","0.232","0.232","0.232","","","","","",""
"544","0.234","0.234","0.234","","","","","",""
"545","0.233","0.233","0.233","","","","","",""
"546","0.233","0.233","0.233","","","","","",""
"547","0.2375","0.2375","0.2375","","","","","",""
"548","0.2425","0.2425","0.2425","","","","","",""
"549","0.241","0.241","0.241","","","","","",""
"550","0.0155","0.0155","0.0155","","","","","",""
"551","0.037","0.037","0.037","","","","","",""
"552","0.041","0.041","0.041","","","","","",""
"553","0.051","0.051","0.051","","","","","",""
"554","0.089","0.089","0.089","","","","","",""
"555","0.1245","0.1245","0.1245","","","","","",""
"556","0.1455","0.1455","0.1455","","","","","",""
"557","0.164","0.164","0.164","","","","","",""
"558","0.183","0.183","0.183","","","","","",""
"559","0.192","0.192","0.192","","","","","",""
"560","0.202","0.202","0.202","","","","","",""
"561","0.208","0.208","0.208","","","","","",""
"562","0.212","0.212","0.212","","","","","",""
"563","0.2115","0.2115","0.2115","","","","","",""
"564","0.219","0.219","0.219","","","","","",""
"565","0.223","0.223","0.223","","","","","",""
"566","0.2285","0.2285","0.2285","","","","","",""
"567","0.2345","0.2345","0.2345","","","","","",""
"568","0.2375","0.2375","0.2375","","","","","",""
"569","0.236","0.236","0.236","","","","","",""
"570","0.2365","0.2365","0.2365","","","","","",""
"571","0.24","0.24","0.24","","","","","",""
"572","0.2415","0.2415","0.2415","","","","","",""
"573","0.2455","0.2455","0.2455","","","","","",""
"574","0.244","0.244","0.244","","","","","",""
"575","0","0","0","","","","","",""
"576","0","0","0","","","","","",""
"577","0.014","0.014","0.014","","","","","",""
"578","0.079","0.079","0.079","","","","","",""
"579","0.1075","0.1075","0.1075","","","","","",""
"580","0.129","0.129","0.129","","","","","",""
"581","0.1565","0.1565","0.1565","","","","","",""
"582","0.168","0.168","0.168","","","","","",""
"583","0.179","0.179","0.179","","","","","",""
"584","0.1815","0.1815","0.1815","","","","","",""
"585","0.187","0.187","0.187","","","","","",""
"586","0.1805","0.1805","0.1805","","","","","",""
"587","0.19","0.19","0.19","","","","","",""
"588","0.1915","0.1915","0.1915","","","","","",""
"589","0.1935","0.1935","0.1935","","","","","",""
"590","0.2005","0.2005","0.2005","","","","","",""
"591","0.203","0.203","0.203","","","","","",""
"592","0.2025","0.2025","0.2025","","","","","",""
"593","0.202","0.202","0.202","","","","","",""
"594","0.21","0.21","0.21","","","","","",""
