Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
270,0.3222,0.3222,0.3222,0.3155,0.3155,0.3155,0.2745,0.2745,0.2745
271,0.32045,0.32045,0.32045,0.3265,0.3265,0.3265,0.2695,0.2695,0.2695
272,0.32165,0.32165,0.32165,0.33,0.33,0.33,0.2815,0.2815,0.2815
273,0.32245,0.32245,0.32245,0.3315,0.3315,0.3315,0.277,0.277,0.277
274,0.32255,0.32255,0.32255,0.3335,0.3335,0.3335,0.2855,0.2855,0.2855
275,0.23045,0.23045,0.23045,0.032,0.032,0.032,0.03,0.03,0.03
276,0.28985,0.28985,0.28985,0.093,0.093,0.093,0.0945,0.0945,0.0945
277,0.30335,0.30335,0.30335,0.215,0.215,0.215,0.2025,0.2025,0.2025
278,0.3086,0.3086,0.3086,0.2595,0.2595,0.2595,0.251,0.251,0.251
279,0.3076,0.3076,0.3076,0.2645,0.2645,0.2645,0.272,0.272,0.272
280,0.3095,0.3095,0.3095,0.2805,0.2805,0.2805,0.276,0.276,0.276
281,0.3123,0.3123,0.3123,0.2905,0.2905,0.2905,0.2825,0.2825,0.2825
282,0.31265,0.31265,0.31265,0.2875,0.2875,0.2875,0.294,0.294,0.294
283,0.31095,0.31095,0.31095,0.3035,0.3035,0.3035,0.296,0.296,0.296
284,0.3103,0.3103,0.3103,0.301,0.301,0.301,0.2985,0.2985,0.2985
285,0.3102,0.3102,0.3102,0.3085,0.3085,0.3085,0.2955,0.2955,0.2955
286,0.31065,0.31065,0.31065,0.31,0.31,0.31,0.298,0.298,0.298
287,0.31085,0.31085,0.31085,0.313,0.313,0.313,0.3065,0.3065,0.3065
288,0.3097,0.3097,0.3097,0.3145,0.3145,0.3145,0.31,0.31,0.31
289,0.30925,0.30925,0.30925,0.317,0.317,0.317,0.3085,0.3085,0.3085
290,0.3106,0.3106,0.3106,0.3155,0.3155,0.3155,0.31,0.31,0.31
291,0.3104,0.3104,0.3104,0.3195,0.3195,0.3195,0.3065,0.3065,0.3065
292,0.3118,0.3118,0.3118,0.322,0.322,0.322,0.3075,0.3075,0.3075
293,0.3114,0.3114,0.3114,0.329,0.329,0.329,0.3165,0.3165,0.3165
294,0.3117,0.3117,0.3117,0.3335,0.3335,0.3335,0.313,0.313,0.313
295,0.31155,0.31155,0.31155,0.334,0.334,0.334,0.3115,0.3115,0.3115
296,0.31135,0.31135,0.31135,0.332,0.332,0.332,0.3175,0.3175,0.3175
297,0.312,0.312,0.312,0.3335,0.3335,0.3335,0.3075,0.3075,0.3075
298,0.3106,0.3106,0.3106,0.342,0.342,0.342,0.3115,0.3115,0.3115
299,0.3107,0.3107,0.3107,0.333,0.333,0.333,0.31,0.31,0.31
300,0.2248,0.2248,0.2248,0.0075,0.0075,0.0075,0.004,0.004,0.004
301,0.2606,0.2606,0.2606,0.01,0.01,0.01,0.0165,0.0165,0.0165
302,0.2711,0.2711,0.2711,0.182,0.182,0.182,0.169,0.169,0.169
303,0.27425,0.27425,0.27425,0.2245,0.2245,0.2245,0.2065,0.2065,0.2065
304,0.2734,0.2734,0.2734,0.236,0.236,0.236,0.232,0.232,0.232
305,0.276,0.276,0.276,0.2515,0.2515,0.2515,0.2435,0.2435,0.2435
306,0.2787,0.2787,0.2787,0.272,0.272,0.272,0.257,0.257,0.257
307,0.27855,0.27855,0.27855,0.2785,0.2785,0.2785,0.2705,0.2705,0.2705
308,0.27835,0.27835,0.27835,0.281,0.281,0.281,0.2605,0.2605,0.2605
309,0.28065,0.28065,0.28065,0.282,0.282,0.282,0.271,0.271,0.271
310,0.28045,0.28045,0.28045,0.29,0.29,0.29,0.2735,0.2735,0.2735
311,0.27985,0.27985,0.27985,0.2915,0.2915,0.2915,0.287,0.287,0.287
312,0.28025,0.28025,0.28025,0.2975,0.2975,0.2975,0.2855,0.2855,0.2855
313,0.27935,0.27935,0.27935,0.296,0.296,0.296,0.286,0.286,0.286
314,0.2799,0.2799,0.2799,0.304,0.304,0.304,0.2895,0.2895,0.2895
315,0.2781,0.2781,0.2781,0.3045,0.3045,0.3045,0.2935,0.2935,0.2935
316,0.2793,0.2793,0.2793,0.3085,0.3085,0.3085,0.2885,0.2885,0.2885
317,0.28025,0.28025,0.28025,0.31,0.31,0.31,0.295,0.295,0.295
318,0.281,0.281,0.281,0.3165,0.3165,0.3165,0.2915,0.2915,0.2915
319,0.27995,0.27995,0.27995,0.3135,0.3135,0.3135,0.294,0.294,0.294
320,0.2813,0.2813,0.2813,0.312,0.312,0.312,0.2985,0.2985,0.2985
321,0.28115,0.28115,0.28115,0.32,0.32,0.32,0.3025,0.3025,0.3025
322,0.27955,0.27955,0.27955,0.321,0.321,0.321,0.3095,0.3095,0.3095
323,0.2805,0.2805,0.2805,0.321,0.321,0.321,0.301,0.301,0.301
324,0.27955,0.27955,0.27955,0.3205,0.3205,0.3205,0.301,0.301,0.301
325,0.2635,0.2635,0.2635,,,,0.0215,0.0215,0.0215
326,0.32145,0.32145,0.32145,,,,0.0865,0.0865,0.0865
327,0.3306,0.3306,0.3306,,,,0.1005,0.1005,0.1005
328,0.3313,0.3313,0.3313,,,,0.1845,0.1845,0.1845
329,0.33545,0.33545,0.33545,,,,,,
330,0.33615,0.33615,0.33615,,,,,,
331,0.3366,0.3366,0.3366,,,,,,
332,0.3372,0.3372,0.3372,,,,,,
333,0.3374,0.3374,0.3374,,,,,,
334,0.3383,0.3383,0.3383,,,,,,
335,0.33975,0.33975,0.33975,,,,,,
336,0.33865,0.33865,0.33865,,,,,,
337,0.338,0.338,0.338,,,,,,
338,0.33775,0.33775,0.33775,,,,,,
339,0.33855,0.33855,0.33855,,,,,,
340,0.339,0.339,0.339,,,,,,
341,0.33805,0.33805,0.33805,,,,,,
342,0.338,0.338,0.338,,,,,,
343,0.33725,0.33725,0.33725,,,,,,
344,0.3383,0.3383,0.3383,,,,,,
345,0.33915,0.33915,0.33915,,,,,,
346,0.33835,0.33835,0.33835,,,,,,
347,0.33885,0.33885,0.33885,,,,,,
348,0.339,0.339,0.339,,,,,,
349,0.33885,0.33885,0.33885,,,,,,
350,0.25245,0.25245,0.25245,,,,,,
351,0.29295,0.29295,0.29295,,,,,,
352,0.30225,0.30225,0.30225,,,,,,
353,0.3063,0.3063,0.3063,,,,,,
354,0.3078,0.3078,0.3078,,,,,,
355,0.3088,0.3088,0.3088,,,,,,
356,0.3086,0.3086,0.3086,,,,,,
357,0.30945,0.30945,0.30945,,,,,,
358,0.30925,0.30925,0.30925,,,,,,
359,0.3102,0.3102,0.3102,,,,,,
360,0.31015,0.31015,0.31015,,,,,,
361,0.3093,0.3093,0.3093,,,,,,
362,0.3095,0.3095,0.3095,,,,,,
363,0.3084,0.3084,0.3084,,,,,,
364,0.3081,0.3081,0.3081,,,,,,
365,0.31035,0.31035,0.31035,,,,,,
366,0.3101,0.3101,0.3101,,,,,,
367,0.31055,0.31055,0.31055,,,,,,
368,0.3102,0.3102,0.3102,,,,,,
369,0.31095,0.31095,0.31095,,,,,,
370,0.3092,0.3092,0.3092,,,,,,
371,0.3104,0.3104,0.3104,,,,,,
372,0.31025,0.31025,0.31025,,,,,,
373,0.3112,0.3112,0.3112,,,,,,
374,0.3113,0.3113,0.3113,,,,,,
