Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
63,0.25565,0.25565,0.25565,0.177,0.177,0.177,0.172,0.172,0.172
64,0.2621,0.2621,0.2621,0.1875,0.1875,0.1875,0.1665,0.1665,0.1665
65,0.26515,0.26515,0.26515,0.187,0.187,0.187,0.172,0.172,0.172
66,0.26785,0.26785,0.26785,0.199,0.199,0.199,0.182,0.182,0.182
67,0.26695,0.26695,0.26695,0.2055,0.2055,0.2055,0.1795,0.1795,0.1795
68,0.26725,0.26725,0.26725,0.223,0.223,0.223,0.1865,0.1865,0.1865
69,0.26505,0.26505,0.26505,0.229,0.229,0.229,0.191,0.191,0.191
70,0.2667,0.2667,0.2667,0.2265,0.2265,0.2265,0.193,0.193,0.193
71,0.26935,0.26935,0.26935,0.227,0.227,0.227,0.192,0.192,0.192
72,0.27075,0.27075,0.27075,0.24,0.24,0.24,0.192,0.192,0.192
73,0.272,0.272,0.272,0.237,0.237,0.237,0.191,0.191,0.191
74,0.27235,0.27235,0.27235,0.242,0.242,0.242,0.1975,0.1975,0.1975
75,0.1845,0.1845,0.1845,0.0045,0.0045,0.0045,0.0025,0.0025,0.0025
76,0.30655,0.30655,0.30655,0.0735,0.0735,0.0735,0.0735,0.0735,0.0735
77,0.3203,0.3203,0.3203,0.145,0.145,0.145,0.1445,0.1445,0.1445
78,0.3249,0.3249,0.3249,0.146,0.146,0.146,0.1455,0.1455,0.1455
79,0.3296,0.3296,0.3296,0.1485,0.1485,0.1485,0.1445,0.1445,0.1445
80,0.3298,0.3298,0.3298,0.1475,0.1475,0.1475,0.1455,0.1455,0.1455
81,0.332,0.332,0.332,0.151,0.151,0.151,0.148,0.148,0.148
82,0.33385,0.33385,0.33385,0.1485,0.1485,0.1485,0.148,0.148,0.148
83,0.3345,0.3345,0.3345,0.156,0.156,0.156,0.154,0.154,0.154
84,0.33285,0.33285,0.33285,0.1595,0.1595,0.1595,0.155,0.155,0.155
85,0.3369,0.3369,0.3369,0.16,0.16,0.16,0.156,0.156,0.156
86,0.3379,0.3379,0.3379,0.164,0.164,0.164,0.164,0.164,0.164
87,0.33705,0.33705,0.33705,0.166,0.166,0.166,0.167,0.167,0.167
88,0.33425,0.33425,0.33425,0.1685,0.1685,0.1685,0.168,0.168,0.168
89,0.33735,0.33735,0.33735,0.171,0.171,0.171,0.172,0.172,0.172
