Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
214,6.08E-08,6.08E-08,6.08E-08,6.08E-08,6.08E-08,6.08E-08,6.08E-08,6.08E-08,6.08E-08
216,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08
220,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08,5.71E-08
233,6.56E-08,6.56E-08,6.56E-08,6.56E-08,6.56E-08,6.56E-08,6.56E-08,6.56E-08,6.56E-08
236,6.05E-08,6.05E-08,6.05E-08,6.05E-08,6.05E-08,6.05E-08,6.05E-08,6.05E-08,6.05E-08
250,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08,4.98E-08
251,1.98E-07,1.98E-07,1.98E-07,1.98E-07,1.98E-07,1.98E-07,1.98E-07,1.98E-07,1.98E-07
273,4.99E-08,4.99E-08,4.99E-08,4.99E-08,4.99E-08,4.99E-08,4.99E-08,4.99E-08,4.99E-08
284,6.19E-08,6.19E-08,6.19E-08,6.19E-08,6.19E-08,6.19E-08,6.19E-08,6.19E-08,6.19E-08
285,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08,5.95E-08
292,5.14E-08,5.14E-08,5.14E-08,5.14E-08,5.14E-08,5.14E-08,5.14E-08,5.14E-08,5.14E-08
297,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08
306,7.13E-08,7.13E-08,7.13E-08,7.13E-08,7.13E-08,7.13E-08,7.13E-08,7.13E-08,7.13E-08
312,5.62E-08,5.62E-08,5.62E-08,5.62E-08,5.62E-08,5.62E-08,5.62E-08,5.62E-08,5.62E-08
316,5.15E-08,5.15E-08,5.15E-08,5.15E-08,5.15E-08,5.15E-08,5.15E-08,5.15E-08,5.15E-08
