Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
7989,3.99E-08,3.99E-08,3.99E-08,3.99E-08,3.99E-08,3.99E-08,3.99E-08,3.99E-08,3.99E-08
7991,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08
7992,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08
7993,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
7999,3.50E-08,3.50E-08,3.50E-08,3.50E-08,3.50E-08,3.50E-08,3.50E-08,3.50E-08,3.50E-08
8000,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08
8015,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08
8026,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07
8031,5.08E-08,5.08E-08,5.08E-08,5.08E-08,5.08E-08,5.08E-08,5.08E-08,5.08E-08,5.08E-08
8038,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
8047,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08
8049,3.31E-08,3.31E-08,3.31E-08,3.31E-08,3.31E-08,3.31E-08,3.31E-08,3.31E-08,3.31E-08
8050,3.25E-08,3.25E-08,3.25E-08,3.25E-08,3.25E-08,3.25E-08,3.25E-08,3.25E-08,3.25E-08
8054,7.58E-08,7.58E-08,7.58E-08,7.58E-08,7.58E-08,7.58E-08,7.58E-08,7.58E-08,7.58E-08
8055,6.71E-08,6.71E-08,6.71E-08,6.71E-08,6.71E-08,6.71E-08,6.71E-08,6.71E-08,6.71E-08
8058,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08
8066,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08
8078,8.81E-08,8.81E-08,8.81E-08,8.81E-08,8.81E-08,8.81E-08,8.81E-08,8.81E-08,8.81E-08
8092,4.41E-08,4.41E-08,4.41E-08,4.41E-08,4.41E-08,4.41E-08,4.41E-08,4.41E-08,4.41E-08
8099,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08
8101,1.27E-07,1.27E-07,1.27E-07,1.27E-07,1.27E-07,1.27E-07,1.27E-07,1.27E-07,1.27E-07
8112,4.43E-08,4.43E-08,4.43E-08,4.43E-08,4.43E-08,4.43E-08,4.43E-08,4.43E-08,4.43E-08
8118,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08
8120,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08,3.85E-08
8132,5.34E-08,5.34E-08,5.34E-08,5.34E-08,5.34E-08,5.34E-08,5.34E-08,5.34E-08,5.34E-08
8144,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08,3.87E-08
8152,9.54E-08,9.54E-08,9.54E-08,9.54E-08,9.54E-08,9.54E-08,9.54E-08,9.54E-08,9.54E-08
8155,5.67E-08,5.67E-08,5.67E-08,5.67E-08,5.67E-08,5.67E-08,5.67E-08,5.67E-08,5.67E-08
8159,4.59E-08,4.59E-08,4.59E-08,4.59E-08,4.59E-08,4.59E-08,4.59E-08,4.59E-08,4.59E-08
8166,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08,4.04E-08
8167,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08
8169,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08
8174,3.63E-08,3.63E-08,3.63E-08,3.63E-08,3.63E-08,3.63E-08,3.63E-08,3.63E-08,3.63E-08
8182,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08
8183,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08,5.00E-08
8186,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08
8189,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08
8190,4.14E-08,4.14E-08,4.14E-08,4.14E-08,4.14E-08,4.14E-08,4.14E-08,4.14E-08,4.14E-08
8194,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08,3.84E-08
8197,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08
8198,3.71E-08,3.71E-08,3.71E-08,3.71E-08,3.71E-08,3.71E-08,3.71E-08,3.71E-08,3.71E-08
8216,4.13E-08,4.13E-08,4.13E-08,4.13E-08,4.13E-08,4.13E-08,4.13E-08,4.13E-08,4.13E-08
8225,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08
8234,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08
8237,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08
8246,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08
8249,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08
8252,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08,9.75E-08
8256,5.72E-08,5.72E-08,5.72E-08,5.72E-08,5.72E-08,5.72E-08,5.72E-08,5.72E-08,5.72E-08
8266,4.09E-08,4.09E-08,4.09E-08,4.09E-08,4.09E-08,4.09E-08,4.09E-08,4.09E-08,4.09E-08
8270,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08
8279,7.36E-08,7.36E-08,7.36E-08,7.36E-08,7.36E-08,7.36E-08,7.36E-08,7.36E-08,7.36E-08
8286,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08,4.67E-08
8291,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08
8306,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08,5.78E-08
8307,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08,5.48E-08
8316,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08,4.19E-08
8320,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08
8323,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08
8332,5.44E-08,5.44E-08,5.44E-08,5.44E-08,5.44E-08,5.44E-08,5.44E-08,5.44E-08,5.44E-08
8342,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08
8344,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08
8351,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07
8363,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08
8368,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08
8375,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08
8378,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08
8380,6.17E-08,6.17E-08,6.17E-08,6.17E-08,6.17E-08,6.17E-08,6.17E-08,6.17E-08,6.17E-08
8383,4.91E-08,4.91E-08,4.91E-08,4.91E-08,4.91E-08,4.91E-08,4.91E-08,4.91E-08,4.91E-08
8385,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08
8394,3.74E-08,3.74E-08,3.74E-08,3.74E-08,3.74E-08,3.74E-08,3.74E-08,3.74E-08,3.74E-08
8399,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08
8400,3.56E-08,3.56E-08,3.56E-08,3.56E-08,3.56E-08,3.56E-08,3.56E-08,3.56E-08,3.56E-08
8415,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08,3.86E-08
8418,3.73E-08,3.73E-08,3.73E-08,3.73E-08,3.73E-08,3.73E-08,3.73E-08,3.73E-08,3.73E-08
8419,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08
8420,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08
8424,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08,3.58E-08
8426,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07
8429,6.22E-08,6.22E-08,6.22E-08,6.22E-08,6.22E-08,6.22E-08,6.22E-08,6.22E-08,6.22E-08
8431,4.94E-08,4.94E-08,4.94E-08,4.94E-08,4.94E-08,4.94E-08,4.94E-08,4.94E-08,4.94E-08
8434,4.30E-08,4.30E-08,4.30E-08,4.30E-08,4.30E-08,4.30E-08,4.30E-08,4.30E-08,4.30E-08
8438,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08
8456,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08
8462,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08
8463,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08,4.39E-08
8468,4.03E-08,4.03E-08,4.03E-08,4.03E-08,4.03E-08,4.03E-08,4.03E-08,4.03E-08,4.03E-08
8474,3.76E-08,3.76E-08,3.76E-08,3.76E-08,3.76E-08,3.76E-08,3.76E-08,3.76E-08,3.76E-08
8475,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08,3.69E-08
8479,6.91E-08,6.91E-08,6.91E-08,6.91E-08,6.91E-08,6.91E-08,6.91E-08,6.91E-08,6.91E-08
8481,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08
8482,5.24E-08,5.24E-08,5.24E-08,5.24E-08,5.24E-08,5.24E-08,5.24E-08,5.24E-08,5.24E-08
8488,4.23E-08,4.23E-08,4.23E-08,4.23E-08,4.23E-08,4.23E-08,4.23E-08,4.23E-08,4.23E-08
8496,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
8504,7.64E-08,7.64E-08,7.64E-08,7.64E-08,7.64E-08,7.64E-08,7.64E-08,7.64E-08,7.64E-08
8511,4.89E-08,4.89E-08,4.89E-08,4.89E-08,4.89E-08,4.89E-08,4.89E-08,4.89E-08,4.89E-08
8513,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08,4.70E-08
8519,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08
8523,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08
8548,3.65E-08,3.65E-08,3.65E-08,3.65E-08,3.65E-08,3.65E-08,3.65E-08,3.65E-08,3.65E-08
8551,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07,1.31E-07
8559,4.63E-08,4.63E-08,4.63E-08,4.63E-08,4.63E-08,4.63E-08,4.63E-08,4.63E-08,4.63E-08
8560,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08
8561,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08
8563,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08,4.10E-08
8565,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08
8591,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08,3.90E-08
8593,3.82E-08,3.82E-08,3.82E-08,3.82E-08,3.82E-08,3.82E-08,3.82E-08,3.82E-08,3.82E-08
8594,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
8600,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08,3.51E-08
8601,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07,1.30E-07
8609,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08,4.51E-08
8616,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08
8618,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08
8619,3.60E-08,3.60E-08,3.60E-08,3.60E-08,3.60E-08,3.60E-08,3.60E-08,3.60E-08,3.60E-08
8622,3.41E-08,3.41E-08,3.41E-08,3.41E-08,3.41E-08,3.41E-08,3.41E-08,3.41E-08,3.41E-08
8625,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08,3.36E-08
8626,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07,1.23E-07
8628,8.01E-08,8.01E-08,8.01E-08,8.01E-08,8.01E-08,8.01E-08,8.01E-08,8.01E-08,8.01E-08
8629,6.83E-08,6.83E-08,6.83E-08,6.83E-08,6.83E-08,6.83E-08,6.83E-08,6.83E-08,6.83E-08
8632,5.45E-08,5.45E-08,5.45E-08,5.45E-08,5.45E-08,5.45E-08,5.45E-08,5.45E-08,5.45E-08
8634,4.92E-08,4.92E-08,4.92E-08,4.92E-08,4.92E-08,4.92E-08,4.92E-08,4.92E-08,4.92E-08
8640,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08,4.29E-08
8648,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08,3.95E-08
8658,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08,5.29E-08
8667,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08
8669,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08
8670,4.08E-08,4.08E-08,4.08E-08,4.08E-08,4.08E-08,4.08E-08,4.08E-08,4.08E-08,4.08E-08
8679,6.59E-08,6.59E-08,6.59E-08,6.59E-08,6.59E-08,6.59E-08,6.59E-08,6.59E-08,6.59E-08
8683,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08,4.76E-08
8684,4.49E-08,4.49E-08,4.49E-08,4.49E-08,4.49E-08,4.49E-08,4.49E-08,4.49E-08,4.49E-08
8685,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08
8702,9.97E-08,9.97E-08,9.97E-08,9.97E-08,9.97E-08,9.97E-08,9.97E-08,9.97E-08,9.97E-08
8706,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08,5.54E-08
8723,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08
8733,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08
8742,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08
8751,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07,1.21E-07
8757,5.07E-08,5.07E-08,5.07E-08,5.07E-08,5.07E-08,5.07E-08,5.07E-08,5.07E-08,5.07E-08
8766,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08
8769,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08,3.80E-08
8771,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08
8777,9.47E-08,9.47E-08,9.47E-08,9.47E-08,9.47E-08,9.47E-08,9.47E-08,9.47E-08,9.47E-08
8778,7.55E-08,7.55E-08,7.55E-08,7.55E-08,7.55E-08,7.55E-08,7.55E-08,7.55E-08,7.55E-08
8780,5.60E-08,5.60E-08,5.60E-08,5.60E-08,5.60E-08,5.60E-08,5.60E-08,5.60E-08,5.60E-08
8787,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08,3.88E-08
8806,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08,5.31E-08
8807,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08
8809,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08,4.48E-08
8816,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08,3.66E-08
8823,3.34E-08,3.34E-08,3.34E-08,3.34E-08,3.34E-08,3.34E-08,3.34E-08,3.34E-08,3.34E-08
8831,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08,6.16E-08
8832,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08,5.79E-08
8847,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08
8848,3.98E-08,3.98E-08,3.98E-08,3.98E-08,3.98E-08,3.98E-08,3.98E-08,3.98E-08,3.98E-08
8849,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08,3.93E-08
8850,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08,3.96E-08
8856,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08
8867,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08,3.81E-08
8874,3.53E-08,3.53E-08,3.53E-08,3.53E-08,3.53E-08,3.53E-08,3.53E-08,3.53E-08,3.53E-08
8876,1.13E-07,1.13E-07,1.13E-07,1.13E-07,1.13E-07,1.13E-07,1.13E-07,1.13E-07,1.13E-07
8886,4.18E-08,4.18E-08,4.18E-08,4.18E-08,4.18E-08,4.18E-08,4.18E-08,4.18E-08,4.18E-08
8890,3.83E-08,3.83E-08,3.83E-08,3.83E-08,3.83E-08,3.83E-08,3.83E-08,3.83E-08,3.83E-08
8902,9.69E-08,9.69E-08,9.69E-08,9.69E-08,9.69E-08,9.69E-08,9.69E-08,9.69E-08,9.69E-08
8906,5.66E-08,5.66E-08,5.66E-08,5.66E-08,5.66E-08,5.66E-08,5.66E-08,5.66E-08,5.66E-08
8910,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08,4.72E-08
8918,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08,4.01E-08
8926,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07
8930,6.24E-08,6.24E-08,6.24E-08,6.24E-08,6.24E-08,6.24E-08,6.24E-08,6.24E-08,6.24E-08
8941,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08,4.02E-08
8947,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
8956,5.05E-08,5.05E-08,5.05E-08,5.05E-08,5.05E-08,5.05E-08,5.05E-08,5.05E-08,5.05E-08
8962,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08,3.79E-08
8970,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08,3.29E-08
8995,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08
8996,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08,3.55E-08
9008,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08,5.23E-08
9012,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08,4.58E-08
9028,7.35E-08,7.35E-08,7.35E-08,7.35E-08,7.35E-08,7.35E-08,7.35E-08,7.35E-08,7.35E-08
9035,4.32E-08,4.32E-08,4.32E-08,4.32E-08,4.32E-08,4.32E-08,4.32E-08,4.32E-08,4.32E-08
9050,3.52E-08,3.52E-08,3.52E-08,3.52E-08,3.52E-08,3.52E-08,3.52E-08,3.52E-08,3.52E-08
9051,1.29E-07,1.29E-07,1.29E-07,1.29E-07,1.29E-07,1.29E-07,1.29E-07,1.29E-07,1.29E-07
9052,1.02E-07,1.02E-07,1.02E-07,1.02E-07,1.02E-07,1.02E-07,1.02E-07,1.02E-07,1.02E-07
9058,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08
9067,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08,3.64E-08
9082,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08,5.43E-08
9086,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08,4.65E-08
9088,4.50E-08,4.50E-08,4.50E-08,4.50E-08,4.50E-08,4.50E-08,4.50E-08,4.50E-08,4.50E-08
9092,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08,4.15E-08
9094,4.12E-08,4.12E-08,4.12E-08,4.12E-08,4.12E-08,4.12E-08,4.12E-08,4.12E-08,4.12E-08
9100,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08,3.89E-08
9103,7.56E-08,7.56E-08,7.56E-08,7.56E-08,7.56E-08,7.56E-08,7.56E-08,7.56E-08,7.56E-08
9117,3.72E-08,3.72E-08,3.72E-08,3.72E-08,3.72E-08,3.72E-08,3.72E-08,3.72E-08,3.72E-08
9123,3.45E-08,3.45E-08,3.45E-08,3.45E-08,3.45E-08,3.45E-08,3.45E-08,3.45E-08,3.45E-08
9125,3.35E-08,3.35E-08,3.35E-08,3.35E-08,3.35E-08,3.35E-08,3.35E-08,3.35E-08,3.35E-08
9126,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07,1.32E-07
9138,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08,4.36E-08
9144,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08,3.94E-08
9148,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08,3.78E-08
9158,4.78E-08,4.78E-08,4.78E-08,4.78E-08,4.78E-08,4.78E-08,4.78E-08,4.78E-08,4.78E-08
9161,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08,4.34E-08
9172,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08,3.67E-08
9174,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08,3.61E-08
9176,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07,1.22E-07
9178,7.80E-08,7.80E-08,7.80E-08,7.80E-08,7.80E-08,7.80E-08,7.80E-08,7.80E-08,7.80E-08
