"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"60","0.091","0.091","0.091","0.243","0.243","0.243","0.1445","0.1445","0.1445"
"61","0.09385","0.09385","0.09385","0.235","0.235","0.235","0.1375","0.1375","0.1375"
"62","0.09585","0.09585","0.09585","0.22","0.22","0.22","0.1625","0.1625","0.1625"
"63","0.0988","0.0988","0.0988","0.3285","0.3285","0.3285","0.165","0.165","0.165"
"64","0.10175","0.10175","0.10175","0.181","0.181","0.181","0.1715","0.1715","0.1715"
"65","0.10305","0.10305","0.10305","0.334","0.334","0.334","0.173","0.173","0.173"
"66","0.10735","0.10735","0.10735","0.178","0.178","0.178","0.1775","0.1775","0.1775"
"67","0.10775","0.10775","0.10775","0.2925","0.2925","0.2925","0.18","0.18","0.18"
"68","0.10925","0.10925","0.10925","0.183","0.183","0.183","0.178","0.178","0.178"
"69","0.11105","0.11105","0.11105","0.2825","0.2825","0.2825","0.1875","0.1875","0.1875"
"70","0.11385","0.11385","0.11385","0.254","0.254","0.254","0.19","0.19","0.19"
"71","0.11675","0.11675","0.11675","0.2785","0.2785","0.2785","0.1835","0.1835","0.1835"
"72","0.1165","0.1165","0.1165","0.2715","0.2715","0.2715","0.1915","0.1915","0.1915"
"73","0.1196","0.1196","0.1196","0.2995","0.2995","0.2995","0.1925","0.1925","0.1925"
"74","0.1212","0.1212","0.1212","0.2935","0.2935","0.2935","0.192","0.192","0.192"
"75","0.0147","0.0147","0.0147","0.081","0.081","0.081","0","0","0"
"76","0.04495","0.04495","0.04495","0.171","0.171","0.171","0","0","0"
"77","0.0597","0.0597","0.0597","0.194","0.194","0.194","0.0055","0.0055","0.0055"
"78","0.072","0.072","0.072","0.23","0.23","0.23","0.116","0.116","0.116"
"79","0.08605","0.08605","0.08605","0.248","0.248","0.248","0.1195","0.1195","0.1195"
"80","0.0915","0.0915","0.0915","0.2465","0.2465","0.2465","0.1255","0.1255","0.1255"
"81","0.0985","0.0985","0.0985","0.2535","0.2535","0.2535","0.129","0.129","0.129"
"82","0.10305","0.10305","0.10305","0.2355","0.2355","0.2355","0.1585","0.1585","0.1585"
"83","0.108","0.108","0.108","0.28","0.28","0.28","0.161","0.161","0.161"
"84","0.11345","0.11345","0.11345","0.2455","0.2455","0.2455","0.1665","0.1665","0.1665"
"85","0.11645","0.11645","0.11645","0.274","0.274","0.274","0.169","0.169","0.169"
"86","0.1201","0.1201","0.1201","0.3245","0.3245","0.3245","0.173","0.173","0.173"
"87","0.12415","0.12415","0.12415","0.272","0.272","0.272","0.18","0.18","0.18"
"88","0.12915","0.12915","0.12915","0.2915","0.2915","0.2915","0.18","0.18","0.18"
"89","0.13315","0.13315","0.13315","0.2965","0.2965","0.2965","0.187","0.187","0.187"
"90","0.13525","0.13525","0.13525","0.365","0.365","0.365","0.1865","0.1865","0.1865"
"91","0.13735","0.13735","0.13735","0.3355","0.3355","0.3355","0.194","0.194","0.194"
"92","0.1391","0.1391","0.1391","0.3725","0.3725","0.3725","0.1845","0.1845","0.1845"
"93","0.1417","0.1417","0.1417","0.3625","0.3625","0.3625","0.194","0.194","0.194"
"94","0.1438","0.1438","0.1438","0.3765","0.3765","0.3765","0.2015","0.2015","0.2015"
"95","0.14685","0.14685","0.14685","0.364","0.364","0.364","0.202","0.202","0.202"
"96","0.1481","0.1481","0.1481","0.3845","0.3845","0.3845","0.2025","0.2025","0.2025"
"97","0.1494","0.1494","0.1494","0.383","0.383","0.383","0.202","0.202","0.202"
"98","0.14925","0.14925","0.14925","0.3845","0.3845","0.3845","0.2105","0.2105","0.2105"
"99","0.1524","0.1524","0.1524","0.3845","0.3845","0.3845","0.2105","0.2105","0.2105"
"100","0.0186","0.0186","0.0186","0.0745","0.0745","0.0745","0","0","0"
