"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"9265","0.398","0.398","0.398","","","","0.399","0.399","0.399","","",""
"9269","0.4045","0.4045","0.4045","","","","0.3955","0.3955","0.3955","","",""
"9273","","","","0.802","0.802","0.802","","","","","",""
"9274","","","","0.7545","0.7545","0.7545","","","","","",""
"9275","0","0","0","0","0","0","0","0","0","0","0","0"
"9278","","","","","","","","","","0.34","0.34","0.34"
"9279","","","","","","","","","","0.387","0.387","0.387"
"9284","","","","0.7275","0.7275","0.7275","","","","","",""
"9289","","","","0.7475","0.7475","0.7475","","","","0.47","0.47","0.47"
"9292","","","","","","","","","","0.4745","0.4745","0.4745"
"9295","","","","","","","","","","0.4805","0.4805","0.4805"
"9298","","","","0.748","0.748","0.748","","","","","",""
"9303","0.218","0.218","0.218","","","","0.22","0.22","0.22","","",""
"9307","","","","0.7495","0.7495","0.7495","","","","","",""
"9308","","","","0.7665","0.7665","0.7665","","","","","",""
"9309","0.4015","0.4015","0.4015","","","","0.414","0.414","0.414","","",""
"9310","","","","0.795","0.795","0.795","","","","","",""
"9311","0.4085","0.4085","0.4085","","","","0.4245","0.4245","0.4245","","",""
"9313","","","","","","","","","","0.494","0.494","0.494"
"9314","","","","0.7905","0.7905","0.7905","","","","","",""
"9315","","","","","","","","","","0.501","0.501","0.501"
"9318","","","","0.813","0.813","0.813","","","","0.5055","0.5055","0.5055"
"9319","","","","","","","","","","0.508","0.508","0.508"
"9320","","","","0.8","0.8","0.8","","","","","",""
"9322","0.4295","0.4295","0.4295","","","","0.437","0.437","0.437","","",""
"9323","0.429","0.429","0.429","","","","0.435","0.435","0.435","","",""
"9327","","","","","","","","","","0.308","0.308","0.308"
"9328","","","","","","","","","","0.378","0.378","0.378"
"9329","0.272","0.272","0.272","","","","0.283","0.283","0.283","0.436","0.436","0.436"
"9331","","","","","","","","","","0.489","0.489","0.489"
"9333","","","","0.7985","0.7985","0.7985","","","","","",""
"9335","","","","0.795","0.795","0.795","","","","","",""
"9338","","","","0.8085","0.8085","0.8085","","","","","",""
"9339","","","","0.7845","0.7845","0.7845","","","","","",""
"9350","0","0","0","0","0","0","0","0","0","0","0","0"
"9351","0.016","0.016","0.016","","","","0.015","0.015","0.015","","",""
"9352","0.0945","0.0945","0.0945","","","","0.1","0.1","0.1","","",""
"9353","0.209","0.209","0.209","0.735","0.735","0.735","0.1965","0.1965","0.1965","0.3675","0.3675","0.3675"
"9354","0.299","0.299","0.299","","","","0.277","0.277","0.277","","",""
"9359","","","","0.732","0.732","0.732","","","","","",""
"9360","","","","","","","","","","0.48","0.48","0.48"
"9362","","","","0.7755","0.7755","0.7755","","","","","",""
"9363","","","","","","","","","","0.482","0.482","0.482"
"9364","","","","0.771","0.771","0.771","","","","","",""
"9367","","","","","","","","","","0.477","0.477","0.477"
"9375","","","","0","0","0","","","","","",""
"9376","","","","","","","","","","0.1535","0.1535","0.1535"
"9378","0.138","0.138","0.138","","","","0.1475","0.1475","0.1475","","",""
"9379","0.228","0.228","0.228","","","","0.2365","0.2365","0.2365","","",""
"9381","","","","","","","","","","0.42","0.42","0.42"
"9385","0.3655","0.3655","0.3655","","","","0.3785","0.3785","0.3785","","",""
"9386","0.375","0.375","0.375","","","","0.382","0.382","0.382","","",""
"9387","0.3785","0.3785","0.3785","","","","0.39","0.39","0.39","","",""
"9388","0.3815","0.3815","0.3815","","","","0.3915","0.3915","0.3915","","",""
"9391","","","","","","","","","","0.465","0.465","0.465"
"9392","","","","0.826","0.826","0.826","","","","","",""
"9395","0.3885","0.3885","0.3885","","","","0.4035","0.4035","0.4035","","",""
"9397","0.393","0.393","0.393","","","","0.4065","0.4065","0.4065","","",""
"9400","","","","","","","","","","0.0005","0.0005","0.0005"
"9401","","","","0.5925","0.5925","0.5925","","","","","",""
"9403","","","","","","","","","","0.321","0.321","0.321"
"9406","","","","","","","","","","0.3825","0.3825","0.3825"
"9408","","","","0.7075","0.7075","0.7075","","","","","",""
"9410","0.337","0.337","0.337","","","","0.35","0.35","0.35","","",""
"9413","","","","","","","","","","0.401","0.401","0.401"
"9420","","","","0.6865","0.6865","0.6865","","","","0.409","0.409","0.409"
"9422","0.364","0.364","0.364","","","","0.365","0.365","0.365","","",""
"9424","","","","0.726","0.726","0.726","","","","","",""
"9425","0","0","0","","","","0","0","0","","",""
"9426","","","","0.587","0.587","0.587","","","","","",""
"9431","0.3225","0.3225","0.3225","","","","0.3255","0.3255","0.3255","","",""
"9432","0.341","0.341","0.341","","","","0.348","0.348","0.348","","",""
"9435","","","","","","","","","","0.47","0.47","0.47"
"9436","0.372","0.372","0.372","","","","0.3835","0.3835","0.3835","","",""
"9438","","","","0.8245","0.8245","0.8245","","","","","",""
"9443","0.3965","0.3965","0.3965","","","","0.399","0.399","0.399","","",""
"9444","","","","","","","","","","0.478","0.478","0.478"
"9447","0.4005","0.4005","0.4005","","","","0.399","0.399","0.399","","",""
"9448","","","","0.754","0.754","0.754","","","","","",""
"9453","","","","0.672","0.672","0.672","","","","","",""
"9458","0.312","0.312","0.312","","","","0.326","0.326","0.326","","",""
"9459","","","","","","","","","","0.409","0.409","0.409"
"9462","0.333","0.333","0.333","","","","0.343","0.343","0.343","","",""
"9465","0.342","0.342","0.342","","","","0.351","0.351","0.351","","",""
"9473","","","","0.777","0.777","0.777","","","","","",""
"9480","","","","0.8205","0.8205","0.8205","","","","","",""
"9485","0.431","0.431","0.431","","","","0.4235","0.4235","0.4235","","",""
"9488","","","","0.841","0.841","0.841","","","","","",""
"9490","","","","0.822","0.822","0.822","","","","","",""
"9491","0.45","0.45","0.45","","","","0.4475","0.4475","0.4475","","",""
"9492","","","","","","","","","","0.529","0.529","0.529"
"9493","0.456","0.456","0.456","","","","0.4475","0.4475","0.4475","","",""
"9494","","","","","","","","","","0.5315","0.5315","0.5315"
"9495","0.46","0.46","0.46","","","","0.452","0.452","0.452","0.533","0.533","0.533"
"9496","0.462","0.462","0.462","0.8545","0.8545","0.8545","0.4565","0.4565","0.4565","","",""
"9498","","","","","","","","","","0.5375","0.5375","0.5375"
"9500","0","0","0","","","","0.0005","0.0005","0.0005","","",""
"9501","0.0135","0.0135","0.0135","0.555","0.555","0.555","0.0135","0.0135","0.0135","","",""
"9502","","","","0.5745","0.5745","0.5745","","","","","",""
"9508","","","","0.765","0.765","0.765","","","","","",""
"9509","0.3245","0.3245","0.3245","","","","0.33","0.33","0.33","0.416","0.416","0.416"
"9510","0.33","0.33","0.33","","","","0.333","0.333","0.333","0.4265","0.4265","0.4265"
"9514","","","","0.751","0.751","0.751","","","","","",""
"9515","","","","","","","","","","0.4335","0.4335","0.4335"
"9516","","","","0.761","0.761","0.761","","","","0.4365","0.4365","0.4365"
"9517","0.3445","0.3445","0.3445","","","","0.349","0.349","0.349","0.4355","0.4355","0.4355"
"9521","","","","","","","","","","0.4365","0.4365","0.4365"
"9522","","","","0.7425","0.7425","0.7425","","","","","",""
"9525","0","0","0","0","0","0","0","0","0","","",""
"9526","","","","","","","","","","0.162","0.162","0.162"
"9530","0.359","0.359","0.359","","","","0.338","0.338","0.338","","",""
"9531","0.382","0.382","0.382","","","","0.3785","0.3785","0.3785","","",""
"9535","0.4245","0.4245","0.4245","","","","0.4315","0.4315","0.4315","0.522","0.522","0.522"
"9536","","","","0.8395","0.8395","0.8395","","","","","",""
"9540","0.436","0.436","0.436","","","","0.44","0.44","0.44","","",""
"9541","0.4355","0.4355","0.4355","","","","0.4435","0.4435","0.4435","0.531","0.531","0.531"
"9545","","","","","","","","","","0.534","0.534","0.534"
"9546","0.4455","0.4455","0.4455","","","","0.4445","0.4445","0.4445","","",""
"9550","","","","","","","","","","0.004","0.004","0.004"
"9553","","","","0.726","0.726","0.726","","","","","",""
"9554","","","","","","","","","","0.364","0.364","0.364"
"9564","0.3835","0.3835","0.3835","","","","0.4005","0.4005","0.4005","","",""
"9565","","","","0.7825","0.7825","0.7825","","","","","",""
"9567","0.39","0.39","0.39","","","","0.4015","0.4015","0.4015","","",""
"9569","0.3895","0.3895","0.3895","","","","0.4005","0.4005","0.4005","","",""
"9570","","","","0.77","0.77","0.77","","","","","",""
"9573","","","","0.8065","0.8065","0.8065","","","","","",""
"9574","","","","0.7845","0.7845","0.7845","","","","0.46","0.46","0.46"
"9576","","","","0.6035","0.6035","0.6035","","","","","",""
"9578","0.1775","0.1775","0.1775","","","","0.1705","0.1705","0.1705","","",""
"9579","","","","0.708","0.708","0.708","","","","","",""
"9583","","","","","","","","","","0.462","0.462","0.462"
"9588","","","","","","","","","","0.477","0.477","0.477"
"9589","0.4125","0.4125","0.4125","","","","0.425","0.425","0.425","","",""
"9596","0.4235","0.4235","0.4235","","","","0.429","0.429","0.429","0.488","0.488","0.488"
"9601","0.013","0.013","0.013","","","","0.011","0.011","0.011","","",""
"9604","0.284","0.284","0.284","0.769","0.769","0.769","0.266","0.266","0.266","","",""
"9606","","","","","","","","","","0.4735","0.4735","0.4735"
"9608","","","","0.7705","0.7705","0.7705","","","","","",""
"9609","0.415","0.415","0.415","0.812","0.812","0.812","0.435","0.435","0.435","","",""
"9610","0.4235","0.4235","0.4235","","","","0.4385","0.4385","0.4385","","",""
"9615","","","","0.8405","0.8405","0.8405","","","","","",""
"9617","0.439","0.439","0.439","0.8135","0.8135","0.8135","0.451","0.451","0.451","","",""
"9619","","","","","","","","","","0.5195","0.5195","0.5195"
"9624","0.447","0.447","0.447","0.8005","0.8005","0.8005","0.451","0.451","0.451","","",""
"9625","0","0","0","","","","0.001","0.001","0.001","","",""
"9626","","","","","","","","","","0.1875","0.1875","0.1875"
"9627","0.1085","0.1085","0.1085","","","","0.0995","0.0995","0.0995","0.292","0.292","0.292"
"9630","0.3355","0.3355","0.3355","","","","0.337","0.337","0.337","","",""
"9634","","","","0.766","0.766","0.766","","","","0.4815","0.4815","0.4815"
"9636","0.416","0.416","0.416","","","","0.4155","0.4155","0.4155","","",""
"9637","","","","0.77","0.77","0.77","","","","","",""
"9638","","","","0.75","0.75","0.75","","","","","",""
"9641","","","","","","","","","","0.51","0.51","0.51"
"9644","","","","","","","","","","0.507","0.507","0.507"
"9645","","","","","","","","","","0.5105","0.5105","0.5105"
"9647","","","","0.8155","0.8155","0.8155","","","","","",""
"9649","","","","","","","","","","0.5065","0.5065","0.5065"
"9650","","","","","","","","","","0.0165","0.0165","0.0165"
"9651","0.0485","0.0485","0.0485","","","","0.047","0.047","0.047","","",""
"9657","","","","0.734","0.734","0.734","","","","","",""
"9658","","","","","","","","","","0.4665","0.4665","0.4665"
"9665","0.4325","0.4325","0.4325","0.7775","0.7775","0.7775","0.407","0.407","0.407","","",""
"9667","0.4355","0.4355","0.4355","","","","0.4155","0.4155","0.4155","","",""
"9668","0.4385","0.4385","0.4385","","","","0.418","0.418","0.418","","",""
"9670","","","","","","","","","","0.482","0.482","0.482"
"9674","0.4455","0.4455","0.4455","","","","0.4225","0.4225","0.4225","","",""
"9675","0.0025","0.0025","0.0025","0","0","0","0.0065","0.0065","0.0065","","",""
"9678","","","","0.7135","0.7135","0.7135","","","","","",""
"9679","","","","0.715","0.715","0.715","","","","","",""
"9681","","","","0.7225","0.7225","0.7225","","","","","",""
"9685","0.3935","0.3935","0.3935","","","","0.394","0.394","0.394","","",""
"9687","","","","","","","","","","0.487","0.487","0.487"
"9690","","","","","","","","","","0.494","0.494","0.494"
"9696","","","","0.7635","0.7635","0.7635","","","","","",""
"9700","0.0005","0.0005","0.0005","","","","0","0","0","","",""
"9703","","","","0.617","0.617","0.617","","","","0.3635","0.3635","0.3635"
"9704","","","","","","","","","","0.431","0.431","0.431"
"9710","","","","","","","","","","0.4855","0.4855","0.4855"
"9714","0.4145","0.4145","0.4145","","","","0.4135","0.4135","0.4135","","",""
"9715","0.413","0.413","0.413","","","","0.4155","0.4155","0.4155","","",""
"9716","","","","0.7625","0.7625","0.7625","","","","","",""
"9718","","","","0.761","0.761","0.761","","","","","",""
"9719","","","","","","","","","","0.503","0.503","0.503"
"9720","0.423","0.423","0.423","","","","0.422","0.422","0.422","","",""
"9722","0.4215","0.4215","0.4215","","","","0.43","0.43","0.43","","",""
"9723","","","","","","","","","","0.51","0.51","0.51"
"9726","","","","0.552","0.552","0.552","","","","","",""
"9729","","","","0.664","0.664","0.664","","","","","",""
"9731","0.312","0.312","0.312","","","","0.3005","0.3005","0.3005","0.405","0.405","0.405"
"9734","0.3515","0.3515","0.3515","","","","0.3385","0.3385","0.3385","","",""
"9735","","","","","","","","","","0.417","0.417","0.417"
"9738","","","","","","","","","","0.422","0.422","0.422"
"9739","","","","0.6915","0.6915","0.6915","","","","","",""
"9741","0.366","0.366","0.366","","","","0.3525","0.3525","0.3525","","",""
"9743","0.3705","0.3705","0.3705","","","","0.352","0.352","0.352","","",""
"9745","","","","","","","","","","0.4325","0.4325","0.4325"
"9746","","","","0.69","0.69","0.69","","","","","",""
"9748","0.376","0.376","0.376","","","","0.3595","0.3595","0.3595","","",""
"9750","","","","0","0","0","","","","","",""
"9752","","","","0.6635","0.6635","0.6635","","","","","",""
"9762","0.4","0.4","0.4","","","","0.4085","0.4085","0.4085","","",""
"9764","","","","","","","","","","0.4845","0.4845","0.4845"
"9769","0.4185","0.4185","0.4185","0.8285","0.8285","0.8285","0.416","0.416","0.416","","",""
"9771","0.4235","0.4235","0.4235","","","","0.4205","0.4205","0.4205","0.4935","0.4935","0.4935"
"9774","","","","0.8245","0.8245","0.8245","","","","","",""
"9775","","","","","","","","","","0.0015","0.0015","0.0015"
"9779","","","","0.7345","0.7345","0.7345","","","","","",""
"9780","","","","","","","","","","0.4025","0.4025","0.4025"
"9782","","","","0.8025","0.8025","0.8025","","","","","",""
"9784","","","","","","","","","","0.4265","0.4265","0.4265"
"9791","","","","","","","","","","0.4285","0.4285","0.4285"
"9793","","","","0.809","0.809","0.809","","","","0.4315","0.4315","0.4315"
"9794","","","","0.7965","0.7965","0.7965","","","","","",""
"9797","0.3685","0.3685","0.3685","","","","0.3565","0.3565","0.3565","0.4315","0.4315","0.4315"
"9801","0.024","0.024","0.024","","","","0.0295","0.0295","0.0295","","",""
"9803","0.2035","0.2035","0.2035","","","","0.246","0.246","0.246","","",""
"9804","0.279","0.279","0.279","","","","0.31","0.31","0.31","","",""
"9805","","","","0.738","0.738","0.738","","","","","",""
"9809","","","","","","","","","","0.4815","0.4815","0.4815"
"9811","","","","0.7855","0.7855","0.7855","","","","","",""
"9814","0.4245","0.4245","0.4245","","","","0.422","0.422","0.422","0.4925","0.4925","0.4925"
"9815","","","","","","","","","","0.4965","0.4965","0.4965"
"9816","","","","0.814","0.814","0.814","","","","","",""
"9820","0.4375","0.4375","0.4375","","","","0.4275","0.4275","0.4275","0.5005","0.5005","0.5005"
"9821","","","","","","","","","","0.5035","0.5035","0.5035"
"9824","0.439","0.439","0.439","0.7905","0.7905","0.7905","0.4295","0.4295","0.4295","","",""
"9825","","","","0","0","0","","","","0.012","0.012","0.012"
"9826","","","","","","","","","","0.2805","0.2805","0.2805"
"9829","","","","","","","","","","0.4605","0.4605","0.4605"
"9832","","","","0.818","0.818","0.818","","","","","",""
"9833","0.4215","0.4215","0.4215","","","","0.432","0.432","0.432","","",""
"9834","0.427","0.427","0.427","","","","0.4385","0.4385","0.4385","","",""
"9836","0.4425","0.4425","0.4425","","","","0.4475","0.4475","0.4475","","",""
"9841","0.453","0.453","0.453","0.8295","0.8295","0.8295","0.4655","0.4655","0.4655","","",""
"9843","0.456","0.456","0.456","","","","0.466","0.466","0.466","","",""
"9844","0.4595","0.4595","0.4595","","","","0.474","0.474","0.474","","",""
"9845","0.4565","0.4565","0.4565","","","","0.4675","0.4675","0.4675","","",""
"9847","","","","","","","","","","0.544","0.544","0.544"
"9848","0.461","0.461","0.461","","","","0.47","0.47","0.47","","",""
"9851","","","","","","","","","","0.209","0.209","0.209"
"9854","","","","","","","","","","0.4065","0.4065","0.4065"
"9856","0.326","0.326","0.326","","","","0.334","0.334","0.334","","",""
"9858","0.37","0.37","0.37","","","","0.366","0.366","0.366","","",""
"9859","","","","","","","","","","0.462","0.462","0.462"
"9863","","","","0.7385","0.7385","0.7385","","","","","",""
"9864","","","","0.765","0.765","0.765","","","","","",""
"9866","","","","","","","","","","0.484","0.484","0.484"
"9867","","","","","","","","","","0.488","0.488","0.488"
"9868","","","","","","","","","","0.4905","0.4905","0.4905"
"9869","","","","0.778","0.778","0.778","","","","","",""
"9871","","","","","","","","","","0.4965","0.4965","0.4965"
"9875","","","","0","0","0","","","","","",""
"9877","0.052","0.052","0.052","","","","0.0495","0.0495","0.0495","0.2455","0.2455","0.2455"
"9881","0.3125","0.3125","0.3125","","","","0.307","0.307","0.307","0.4405","0.4405","0.4405"
"9882","","","","0.733","0.733","0.733","","","","","",""
"9883","","","","","","","","","","0.4435","0.4435","0.4435"
"9888","","","","0.7255","0.7255","0.7255","","","","","",""
"9897","0.405","0.405","0.405","","","","0.3805","0.3805","0.3805","0.46","0.46","0.46"
"9899","","","","0.763","0.763","0.763","","","","","",""
"9902","","","","0.6925","0.6925","0.6925","","","","","",""
"9903","0.179","0.179","0.179","","","","0.1935","0.1935","0.1935","","",""
"9905","0.346","0.346","0.346","0.738","0.738","0.738","0.3415","0.3415","0.3415","0.4535","0.4535","0.4535"
"9906","","","","0.7325","0.7325","0.7325","","","","","",""
"9908","","","","0.73","0.73","0.73","","","","","",""
"9911","","","","0.7785","0.7785","0.7785","","","","","",""
"9914","","","","0.808","0.808","0.808","","","","","",""
"9915","","","","","","","","","","0.5045","0.5045","0.5045"
"9917","","","","0.8065","0.8065","0.8065","","","","","",""
"9919","0.434","0.434","0.434","","","","0.4305","0.4305","0.4305","","",""
"9920","","","","0.8275","0.8275","0.8275","","","","","",""
"9922","0.442","0.442","0.442","","","","0.4295","0.4295","0.4295","0.519","0.519","0.519"
"9923","0.444","0.444","0.444","","","","0.4335","0.4335","0.4335","","",""
"9928","","","","0.635","0.635","0.635","","","","","",""
"9929","","","","","","","","","","0.385","0.385","0.385"
"9934","","","","0.784","0.784","0.784","","","","","",""
"9937","","","","","","","","","","0.468","0.468","0.468"
"9938","","","","0.7965","0.7965","0.7965","","","","","",""
"9939","","","","","","","","","","0.4755","0.4755","0.4755"
"9940","","","","","","","","","","0.479","0.479","0.479"
"9942","","","","","","","","","","0.4835","0.4835","0.4835"
"9943","0.4425","0.4425","0.4425","0.7975","0.7975","0.7975","0.4345","0.4345","0.4345","","",""
"9944","0.445","0.445","0.445","","","","0.436","0.436","0.436","0.4885","0.4885","0.4885"
"9945","","","","","","","","","","0.486","0.486","0.486"
"9948","0.448","0.448","0.448","","","","0.437","0.437","0.437","","",""
"9951","0.0055","0.0055","0.0055","","","","0.005","0.005","0.005","","",""
"9955","","","","0.7495","0.7495","0.7495","","","","","",""
"9958","","","","0.758","0.758","0.758","","","","","",""
"9959","0.3545","0.3545","0.3545","","","","0.3555","0.3555","0.3555","","",""
"9960","","","","0.7575","0.7575","0.7575","","","","","",""
"9961","0.364","0.364","0.364","","","","0.3695","0.3695","0.3695","","",""
"9962","","","","0.8145","0.8145","0.8145","","","","0.4625","0.4625","0.4625"
"9963","0.3745","0.3745","0.3745","","","","0.3765","0.3765","0.3765","","",""
"9965","","","","0.7965","0.7965","0.7965","","","","","",""
"9968","","","","","","","","","","0.479","0.479","0.479"
"9974","","","","0.8005","0.8005","0.8005","","","","","",""
"9976","","","","0.579","0.579","0.579","","","","0.265","0.265","0.265"
"9979","","","","","","","","","","0.428","0.428","0.428"
"9980","","","","0.7235","0.7235","0.7235","","","","","",""
"9982","0.3545","0.3545","0.3545","","","","0.3745","0.3745","0.3745","","",""
"9984","","","","","","","","","","0.469","0.469","0.469"
"9986","","","","0.76","0.76","0.76","","","","","",""
"9987","0.3805","0.3805","0.3805","","","","0.405","0.405","0.405","","",""
"9988","","","","0.767","0.767","0.767","","","","","",""
"9989","","","","0.758","0.758","0.758","","","","","",""
"9990","","","","0.7605","0.7605","0.7605","","","","0.48","0.48","0.48"
"9993","0.3975","0.3975","0.3975","","","","0.41","0.41","0.41","","",""
"9994","","","","0.8035","0.8035","0.8035","","","","","",""
"9996","","","","0.772","0.772","0.772","","","","0.4845","0.4845","0.4845"
"10001","0.026","0.026","0.026","","","","0.0325","0.0325","0.0325","","",""
"10003","","","","0.6195","0.6195","0.6195","","","","","",""
"10005","0.317","0.317","0.317","","","","0.3225","0.3225","0.3225","","",""
"10006","0.343","0.343","0.343","0.6925","0.6925","0.6925","0.3475","0.3475","0.3475","","",""
"10007","0.367","0.367","0.367","0.7145","0.7145","0.7145","0.3615","0.3615","0.3615","0.435","0.435","0.435"
"10011","","","","0.7215","0.7215","0.7215","","","","","",""
"10014","0.405","0.405","0.405","","","","0.3945","0.3945","0.3945","","",""
"10016","","","","0.764","0.764","0.764","","","","0.455","0.455","0.455"
"10018","","","","","","","","","","0.453","0.453","0.453"
"10020","0.409","0.409","0.409","","","","0.399","0.399","0.399","0.4575","0.4575","0.4575"
"10023","","","","0.744","0.744","0.744","","","","","",""
"10025","","","","","","","","","","0.0005","0.0005","0.0005"
"10030","0.203","0.203","0.203","","","","0.235","0.235","0.235","","",""
"10033","0.2495","0.2495","0.2495","","","","0.27","0.27","0.27","0.336","0.336","0.336"
"10036","","","","0.66","0.66","0.66","","","","","",""
"10038","0.2775","0.2775","0.2775","0.6875","0.6875","0.6875","0.281","0.281","0.281","","",""
"10039","0.28","0.28","0.28","","","","0.283","0.283","0.283","","",""
"10040","","","","","","","","","","0.3435","0.3435","0.3435"
"10041","0.2835","0.2835","0.2835","","","","0.2865","0.2865","0.2865","0.348","0.348","0.348"
"10044","","","","0.691","0.691","0.691","","","","","",""
"10045","0.2925","0.2925","0.2925","","","","0.2905","0.2905","0.2905","","",""
"10048","0.2975","0.2975","0.2975","0.674","0.674","0.674","0.3","0.3","0.3","","",""
"10049","0.2965","0.2965","0.2965","","","","0.2985","0.2985","0.2985","","",""
"10050","0.0005","0.0005","0.0005","","","","0","0","0","0","0","0"
"10051","0.018","0.018","0.018","","","","0.016","0.016","0.016","","",""
"10053","0.1885","0.1885","0.1885","","","","0.1785","0.1785","0.1785","","",""
"10054","","","","0.701","0.701","0.701","","","","0.4365","0.4365","0.4365"
"10055","","","","0.746","0.746","0.746","","","","","",""
"10064","","","","0.7815","0.7815","0.7815","","","","","",""
"10065","0.417","0.417","0.417","","","","0.414","0.414","0.414","","",""
"10067","","","","0.829","0.829","0.829","","","","","",""
"10068","0.416","0.416","0.416","","","","0.4165","0.4165","0.4165","","",""
"10069","","","","","","","","","","0.494","0.494","0.494"
"10071","","","","0.823","0.823","0.823","","","","","",""
"10073","","","","","","","","","","0.504","0.504","0.504"
"10074","","","","0.822","0.822","0.822","","","","","",""
"10076","0.045","0.045","0.045","","","","0.053","0.053","0.053","","",""
"10078","","","","0.725","0.725","0.725","","","","","",""
"10080","","","","0.7505","0.7505","0.7505","","","","","",""
"10081","0.3305","0.3305","0.3305","","","","0.339","0.339","0.339","","",""
"10085","0.383","0.383","0.383","","","","0.398","0.398","0.398","","",""
"10088","","","","0.7895","0.7895","0.7895","","","","0.4655","0.4655","0.4655"
"10089","","","","","","","","","","0.466","0.466","0.466"
"10090","","","","0.804","0.804","0.804","","","","","",""
"10092","0.3995","0.3995","0.3995","0.77","0.77","0.77","0.4165","0.4165","0.4165","0.47","0.47","0.47"
"10095","","","","0.8075","0.8075","0.8075","","","","","",""
"10100","","","","","","","","","","0.009","0.009","0.009"
"10102","","","","","","","","","","0.291","0.291","0.291"
"10104","0.257","0.257","0.257","","","","0.2715","0.2715","0.2715","","",""
"10106","","","","","","","","","","0.4645","0.4645","0.4645"
"10109","0.3955","0.3955","0.3955","","","","0.404","0.404","0.404","","",""
"10113","0.407","0.407","0.407","","","","0.415","0.415","0.415","","",""
"10114","","","","0.7915","0.7915","0.7915","","","","","",""
"10118","","","","","","","","","","0.4895","0.4895","0.4895"
"10119","0.4175","0.4175","0.4175","","","","0.4205","0.4205","0.4205","0.4895","0.4895","0.4895"
"10124","","","","","","","","","","0.493","0.493","0.493"
"10128","","","","","","","","","","0.3725","0.3725","0.3725"
"10130","","","","0.714","0.714","0.714","","","","","",""
"10131","","","","0.712","0.712","0.712","","","","","",""
"10135","","","","","","","","","","0.444","0.444","0.444"
"10137","","","","","","","","","","0.4445","0.4445","0.4445"
"10141","","","","","","","","","","0.4565","0.4565","0.4565"
"10142","","","","","","","","","","0.455","0.455","0.455"
"10143","0.3805","0.3805","0.3805","","","","0.374","0.374","0.374","","",""
"10145","","","","0.7465","0.7465","0.7465","","","","","",""
"10146","0.381","0.381","0.381","","","","0.375","0.375","0.375","","",""
"10165","","","","0.853","0.853","0.853","","","","","",""
"10167","","","","","","","","","","0.567","0.567","0.567"
"10169","0.487","0.487","0.487","","","","0.475","0.475","0.475","","",""
"10170","","","","","","","","","","0.572","0.572","0.572"
"10172","0.489","0.489","0.489","","","","0.4805","0.4805","0.4805","","",""
"10180","0.236","0.236","0.236","","","","0.2435","0.2435","0.2435","","",""
"10182","0.2835","0.2835","0.2835","","","","0.289","0.289","0.289","","",""
"10183","","","","0.7195","0.7195","0.7195","","","","","",""
"10186","","","","","","","","","","0.386","0.386","0.386"
"10189","","","","0.731","0.731","0.731","","","","","",""
"10192","0.33","0.33","0.33","","","","0.322","0.322","0.322","","",""
"10194","0.3275","0.3275","0.3275","","","","0.3285","0.3285","0.3285","","",""
"10195","0.333","0.333","0.333","0.746","0.746","0.746","0.3265","0.3265","0.3265","","",""
"10196","","","","","","","","","","0.395","0.395","0.395"
"10197","","","","","","","","","","0.4","0.4","0.4"
"10199","","","","0.7345","0.7345","0.7345","","","","","",""
"10200","","","","0","0","0","","","","","",""
"10201","0.036","0.036","0.036","","","","0.0325","0.0325","0.0325","0.1935","0.1935","0.1935"
"10203","","","","","","","","","","0.337","0.337","0.337"
"10206","","","","","","","","","","0.407","0.407","0.407"
"10207","","","","","","","","","","0.4175","0.4175","0.4175"
"10210","","","","0.7525","0.7525","0.7525","","","","","",""
"10211","0.343","0.343","0.343","","","","0.351","0.351","0.351","0.423","0.423","0.423"
"10212","","","","0.6695","0.6695","0.6695","","","","0.4255","0.4255","0.4255"
"10213","0.352","0.352","0.352","0.724","0.724","0.724","0.354","0.354","0.354","","",""
"10214","","","","","","","","","","0.428","0.428","0.428"
"10219","","","","","","","","","","0.4345","0.4345","0.4345"
"10223","","","","0.724","0.724","0.724","","","","","",""
"10224","0.3685","0.3685","0.3685","0.7555","0.7555","0.7555","0.372","0.372","0.372","","",""
"10230","0.3085","0.3085","0.3085","","","","0.3245","0.3245","0.3245","0.421","0.421","0.421"
