"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_20classes - Global/Averaged Angle__MAX","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle__MIN","IMAGENET1k_AFFCLModel_PreciseFCL_adam_lr0.001_20classes - Global/Averaged Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_20classes - Global/Averaged Angle__MAX","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Angle__MAX"
"29","0.5467230916023255","0.5467230916023255","0.5467230916023255","0.38801136016845705","0.38801136016845705","0.38801136016845705","0.3107218354940414","0.3107218354940414","0.3107218354940414","0.3079783171415329","0.3079783171415329","0.3079783171415329","0.3987201750278473","0.3987201750278473","0.3987201750278473"
"30","0.5716975092887878","0.5716975092887878","0.5716975092887878","0.3656402677297592","0.3656402677297592","0.3656402677297592","0.30225023031234743","0.30225023031234743","0.30225023031234743","0.29971250891685486","0.29971250891685486","0.29971250891685486","0.36140730381011965","0.36140730381011965","0.36140730381011965"
"31","0.5972262501716614","0.5972262501716614","0.5972262501716614","0.37953755259513855","0.37953755259513855","0.37953755259513855","0.29527176916599274","0.29527176916599274","0.29527176916599274","0.29118871986865996","0.29118871986865996","0.29118871986865996","0.33422115445137024","0.33422115445137024","0.33422115445137024"
"32","0.6375762939453125","0.6375762939453125","0.6375762939453125","0.3690699636936188","0.3690699636936188","0.3690699636936188","0.29028875231742857","0.29028875231742857","0.29028875231742857","0.28280640542507174","0.28280640542507174","0.28280640542507174","0.3125262200832367","0.3125262200832367","0.3125262200832367"
"33","0.6484672725200653","0.6484672725200653","0.6484672725200653","0.37024702727794645","0.37024702727794645","0.37024702727794645","0.2861746817827225","0.2861746817827225","0.2861746817827225","0.2740879252552986","0.2740879252552986","0.2740879252552986","0.2981543779373169","0.2981543779373169","0.2981543779373169"
"34","0.6281984150409698","0.6281984150409698","0.6281984150409698","0.3387703537940979","0.3387703537940979","0.3387703537940979","0.2829764366149902","0.2829764366149902","0.2829764366149902","0.2665760949254036","0.2665760949254036","0.2665760949254036","0.28645177483558654","0.28645177483558654","0.28645177483558654"
"35","0.5724438309669495","0.5724438309669495","0.5724438309669495","0.3366243541240692","0.3366243541240692","0.3366243541240692","0.2802569389343262","0.2802569389343262","0.2802569389343262","0.2593624472618103","0.2593624472618103","0.2593624472618103","0.2767001688480377","0.2767001688480377","0.2767001688480377"
"36","0.6063463270664216","0.6063463270664216","0.6063463270664216","0.3263573318719864","0.3263573318719864","0.3263573318719864","0.27820168137550355","0.27820168137550355","0.27820168137550355","0.25368020683526993","0.25368020683526993","0.25368020683526993","0.26999605298042295","0.26999605298042295","0.26999605298042295"
"37","0.5907824337482452","0.5907824337482452","0.5907824337482452","0.3417278066277504","0.3417278066277504","0.3417278066277504","0.2767144232988358","0.2767144232988358","0.2767144232988358","0.24823059737682343","0.24823059737682343","0.24823059737682343","0.2636509299278259","0.2636509299278259","0.2636509299278259"
"38","0.6020709872245789","0.6020709872245789","0.6020709872245789","0.34117481112480164","0.34117481112480164","0.34117481112480164","0.27483934760093687","0.27483934760093687","0.27483934760093687","0.2442707359790802","0.2442707359790802","0.2442707359790802","0.25724937319755553","0.25724937319755553","0.25724937319755553"
"39","0.619549173116684","0.619549173116684","0.619549173116684","0.33243364095687866","0.33243364095687866","0.33243364095687866","0.273579004406929","0.273579004406929","0.273579004406929","0.2403395727276802","0.2403395727276802","0.2403395727276802","0.25498573780059813","0.25498573780059813","0.25498573780059813"
"40","0.6227532267570496","0.6227532267570496","0.6227532267570496","0.359870246052742","0.359870246052742","0.359870246052742","0.27273791283369064","0.27273791283369064","0.27273791283369064","0.23714803904294968","0.23714803904294968","0.23714803904294968","0.25157477259635924","0.25157477259635924","0.25157477259635924"
"41","0.5956669807434082","0.5956669807434082","0.5956669807434082","0.3383336246013641","0.3383336246013641","0.3383336246013641","0.2715472400188446","0.2715472400188446","0.2715472400188446","0.23457930982112885","0.23457930982112885","0.23457930982112885","0.24725553393363953","0.24725553393363953","0.24725553393363953"
"42","0.5965124905109406","0.5965124905109406","0.5965124905109406","0.324872887134552","0.324872887134552","0.324872887134552","0.2704806700348854","0.2704806700348854","0.2704806700348854","0.232808718085289","0.232808718085289","0.232808718085289","0.24685919284820557","0.24685919284820557","0.24685919284820557"
"43","0.5937654435634613","0.5937654435634613","0.5937654435634613","0.35855686068534853","0.35855686068534853","0.35855686068534853","0.26993252635002135","0.26993252635002135","0.26993252635002135","0.23157388269901275","0.23157388269901275","0.23157388269901275","0.24429499208927155","0.24429499208927155","0.24429499208927155"
"44","0.6162349283695221","0.6162349283695221","0.6162349283695221","0.42225563526153564","0.42225563526153564","0.42225563526153564","0.2693419963121414","0.2693419963121414","0.2693419963121414","0.23030710369348525","0.23030710369348525","0.23030710369348525","0.24535081684589385","0.24535081684589385","0.24535081684589385"
"45","0.6099602341651916","0.6099602341651916","0.6099602341651916","0.4581311523914337","0.4581311523914337","0.4581311523914337","0.26838077157735823","0.26838077157735823","0.26838077157735823","0.23012441992759705","0.23012441992759705","0.23012441992759705","0.24170898795127868","0.24170898795127868","0.24170898795127868"
"46","0.6178263902664185","0.6178263902664185","0.6178263902664185","0.46765064895153047","0.46765064895153047","0.46765064895153047","0.2674543097615242","0.2674543097615242","0.2674543097615242","0.22954441756010055","0.22954441756010055","0.22954441756010055","0.23957094848155974","0.23957094848155974","0.23957094848155974"
"47","0.608231371641159","0.608231371641159","0.608231371641159","0.45394099652767184","0.45394099652767184","0.45394099652767184","0.2664043501019478","0.2664043501019478","0.2664043501019478","0.22927473336458207","0.22927473336458207","0.22927473336458207","0.24069088697433472","0.24069088697433472","0.24069088697433472"
"48","0.6212508499622345","0.6212508499622345","0.6212508499622345","0.4167032495141029","0.4167032495141029","0.4167032495141029","0.2655401140451431","0.2655401140451431","0.2655401140451431","0.22905732244253157","0.22905732244253157","0.22905732244253157","0.23722998201847076","0.23722998201847076","0.23722998201847076"
"49","0.624886280298233","0.624886280298233","0.624886280298233","0.37728560864925387","0.37728560864925387","0.37728560864925387","0.2643957406282425","0.2643957406282425","0.2643957406282425","0.22974732667207717","0.22974732667207717","0.22974732667207717","0.23776386678218842","0.23776386678218842","0.23776386678218842"
"50","0.6153945982456207","0.6153945982456207","0.6153945982456207","0.3593456268310547","0.3593456268310547","0.3593456268310547","0.26369551569223404","0.26369551569223404","0.26369551569223404","0.22896913141012193","0.22896913141012193","0.22896913141012193","0.23530869483947753","0.23530869483947753","0.23530869483947753"
"51","0.5933074712753296","0.5933074712753296","0.5933074712753296","0.35355880707502363","0.35355880707502363","0.35355880707502363","0.37710271775722504","0.37710271775722504","0.37710271775722504","0.351163786649704","0.351163786649704","0.351163786649704","0.5108393669128418","0.5108393669128418","0.5108393669128418"
"52","0.5213953256607056","0.5213953256607056","0.5213953256607056","0.3306037575006485","0.3306037575006485","0.3306037575006485","0.3363146215677261","0.3363146215677261","0.3363146215677261","0.3251618504524231","0.3251618504524231","0.3251618504524231","0.47298224568367003","0.47298224568367003","0.47298224568367003"
"53","0.4984356462955475","0.4984356462955475","0.4984356462955475","0.31613275557756426","0.31613275557756426","0.31613275557756426","0.3154445916414261","0.3154445916414261","0.3154445916414261","0.30763024687767027","0.30763024687767027","0.30763024687767027","0.44047916531562803","0.44047916531562803","0.44047916531562803"
"54","0.5355978906154633","0.5355978906154633","0.5355978906154633","0.3172858789563179","0.3172858789563179","0.3172858789563179","0.30058129131793976","0.30058129131793976","0.30058129131793976","0.2936277076601982","0.2936277076601982","0.2936277076601982","0.40518062114715575","0.40518062114715575","0.40518062114715575"
"55","0.6173973500728607","0.6173973500728607","0.6173973500728607","0.31735739260911944","0.31735739260911944","0.31735739260911944","0.29091385900974276","0.29091385900974276","0.29091385900974276","0.2822605296969414","0.2822605296969414","0.2822605296969414","0.37348789572715757","0.37348789572715757","0.37348789572715757"
"56","0.5961508870124816","0.5961508870124816","0.5961508870124816","0.3361137703061104","0.3361137703061104","0.3361137703061104","0.282471077144146","0.282471077144146","0.282471077144146","0.27338356971740724","0.27338356971740724","0.27338356971740724","0.3471569001674652","0.3471569001674652","0.3471569001674652"
"57","0.5866854727268219","0.5866854727268219","0.5866854727268219","0.35482407808303834","0.35482407808303834","0.35482407808303834","0.27790343165397646","0.27790343165397646","0.27790343165397646","0.26600413024425507","0.26600413024425507","0.26600413024425507","0.3250090003013611","0.3250090003013611","0.3250090003013611"
"58","0.6139188647270203","0.6139188647270203","0.6139188647270203","0.3527643859386444","0.3527643859386444","0.3527643859386444","0.2737282320857048","0.2737282320857048","0.2737282320857048","0.2599572777748108","0.2599572777748108","0.2599572777748108","0.31181668043136596","0.31181668043136596","0.31181668043136596"
"59","0.6063027441501617","0.6063027441501617","0.6063027441501617","0.3569952458143234","0.3569952458143234","0.3569952458143234","0.270414263010025","0.270414263010025","0.270414263010025","0.25549963414669036","0.25549963414669036","0.25549963414669036","0.298714816570282","0.298714816570282","0.298714816570282"
"60","0.5963980376720428","0.5963980376720428","0.5963980376720428","0.35672138929367064","0.35672138929367064","0.35672138929367064","0.2675429105758667","0.2675429105758667","0.2675429105758667","0.25213042050600054","0.25213042050600054","0.25213042050600054","0.2874368607997894","0.2874368607997894","0.2874368607997894"
"61","0.6035070657730103","0.6035070657730103","0.6035070657730103","0.3371713399887085","0.3371713399887085","0.3371713399887085","0.2654875159263611","0.2654875159263611","0.2654875159263611","0.2490140378475189","0.2490140378475189","0.2490140378475189","0.279586124420166","0.279586124420166","0.279586124420166"
"62","0.6325622200965881","0.6325622200965881","0.6325622200965881","0.3150051712989807","0.3150051712989807","0.3150051712989807","0.2637056201696396","0.2637056201696396","0.2637056201696396","0.24722182154655456","0.24722182154655456","0.24722182154655456","0.2734056502580643","0.2734056502580643","0.2734056502580643"
"63","0.6281600177288056","0.6281600177288056","0.6281600177288056","0.31888860166072847","0.31888860166072847","0.31888860166072847","0.2622798293828964","0.2622798293828964","0.2622798293828964","0.24607688188552856","0.24607688188552856","0.24607688188552856","0.2685816019773483","0.2685816019773483","0.2685816019773483"
"64","0.6282982110977173","0.6282982110977173","0.6282982110977173","0.3345986157655716","0.3345986157655716","0.3345986157655716","0.2611999660730362","0.2611999660730362","0.2611999660730362","0.24518440961837767","0.24518440961837767","0.24518440961837767","0.2655104398727417","0.2655104398727417","0.2655104398727417"
"65","0.5970313310623169","0.5970313310623169","0.5970313310623169","0.3548594370484352","0.3548594370484352","0.3548594370484352","0.26004787981510163","0.26004787981510163","0.26004787981510163","0.2444419503211975","0.2444419503211975","0.2444419503211975","0.2526340752840042","0.2526340752840042","0.2526340752840042"
"66","0.5677221715450287","0.5677221715450287","0.5677221715450287","0.3571142077445984","0.3571142077445984","0.3571142077445984","0.2591357409954071","0.2591357409954071","0.2591357409954071","0.24434722661972047","0.24434722661972047","0.24434722661972047","0.2622190535068512","0.2622190535068512","0.2622190535068512"
"67","0.5935432016849518","0.5935432016849518","0.5935432016849518","0.3329899936914444","0.3329899936914444","0.3329899936914444","0.2586430549621582","0.2586430549621582","0.2586430549621582","0.24381120055913924","0.24381120055913924","0.24381120055913924","0.2584248691797256","0.2584248691797256","0.2584248691797256"
"68","0.6178056478500367","0.6178056478500367","0.6178056478500367","0.32453385591506956","0.32453385591506956","0.32453385591506956","0.25840754956007006","0.25840754956007006","0.25840754956007006","0.2428770214319229","0.2428770214319229","0.2428770214319229","0.2414308965206146","0.2414308965206146","0.2414308965206146"
"69","0.6377875149250031","0.6377875149250031","0.6377875149250031","0.3327125385403633","0.3327125385403633","0.3327125385403633","0.2579840421676636","0.2579840421676636","0.2579840421676636","0.2426414594054222","0.2426414594054222","0.2426414594054222","0.2592189371585846","0.2592189371585846","0.2592189371585846"
"70","0.6217770397663116","0.6217770397663116","0.6217770397663116","0.3447298601269722","0.3447298601269722","0.3447298601269722","0.25736895203590393","0.25736895203590393","0.25736895203590393","0.24318240135908126","0.24318240135908126","0.24318240135908126","0.2403232127428055","0.2403232127428055","0.2403232127428055"
"71","0.6461821913719177","0.6461821913719177","0.6461821913719177","0.34701459407806395","0.34701459407806395","0.34701459407806395","0.2568141222000122","0.2568141222000122","0.2568141222000122","0.2387705221772194","0.2387705221772194","0.2387705221772194","0.23269669711589813","0.23269669711589813","0.23269669711589813"
"72","0.6564250648021698","0.6564250648021698","0.6564250648021698","0.3427005112171173","0.3427005112171173","0.3427005112171173","0.25618296563625337","0.25618296563625337","0.25618296563625337","0.24063927084207534","0.24063927084207534","0.24063927084207534","0.24809495508670806","0.24809495508670806","0.24809495508670806"
"73","0.6410977900028229","0.6410977900028229","0.6410977900028229","0.3421701222658157","0.3421701222658157","0.3421701222658157","0.25597265660762786","0.25597265660762786","0.25597265660762786","0.23512880653142929","0.23512880653142929","0.23512880653142929","0.23353986740112304","0.23353986740112304","0.23353986740112304"
"74","0.6363800585269928","0.6363800585269928","0.6363800585269928","0.34257549345493316","0.34257549345493316","0.34257549345493316","0.25634932070970534","0.25634932070970534","0.25634932070970534","0.2314697325229645","0.2314697325229645","0.2314697325229645","0.23022724986076354","0.23022724986076354","0.23022724986076354"
"75","0.6217011451721192","0.6217011451721192","0.6217011451721192","0.34658150672912597","0.34658150672912597","0.34658150672912597","0.2555623486638069","0.2555623486638069","0.2555623486638069","0.2249445602297783","0.2249445602297783","0.2249445602297783","0.22874026000499725","0.22874026000499725","0.22874026000499725"
"76","0.5476825952529907","0.5476825952529907","0.5476825952529907","0.3514275401830673","0.3514275401830673","0.3514275401830673","0.36974928081035613","0.36974928081035613","0.36974928081035613","0.3456888347864151","0.3456888347864151","0.3456888347864151","0.5084623873233796","0.5084623873233796","0.5084623873233796"
