"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-le5-sgm - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-le5-sgm - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-le5-sgm - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedAvg_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.05_distance-tgm5-le5 - Global/Averaged Grads Angle__MAX"
"0","0","0","0","0","0","0","0","0","0"
"1","0.21352805465459823","0.21352805465459823","0.21352805465459823","0.21856427401304246","0.21856427401304246","0.21856427401304246","0.15518733900040388","0.15518733900040388","0.15518733900040388"
"2","0.1245124670653604","0.1245124670653604","0.1245124670653604","0.12746309673530049","0.12746309673530049","0.12746309673530049","0.08691506885545096","0.08691506885545096","0.08691506885545096"
"3","0.11308410171186552","0.11308410171186552","0.11308410171186552","0.10445196076529101","0.10445196076529101","0.10445196076529101","0.07004124328494071","0.07004124328494071","0.07004124328494071"
"4","0.0915930547611788","0.0915930547611788","0.0915930547611788","0.07825511095830734","0.07825511095830734","0.07825511095830734","0.05698553734706366","0.05698553734706366","0.05698553734706366"
"5","0.06645981561247026","0.06645981561247026","0.06645981561247026","0.05728187782689929","0.05728187782689929","0.05728187782689929","0.04832911690547917","0.04832911690547917","0.04832911690547917"
"6","0.0554730784939602","0.0554730784939602","0.0554730784939602","0.04682876114733517","0.04682876114733517","0.04682876114733517","0.04290560216453741","0.04290560216453741","0.04290560216453741"
"7","0.04509941632626578","0.04509941632626578","0.04509941632626578","0.037368353139609095","0.037368353139609095","0.037368353139609095","0.03873326672750409","0.03873326672750409","0.03873326672750409"
"8","0.03799588747380767","0.03799588747380767","0.03799588747380767","0.03249251123517752","0.03249251123517752","0.03249251123517752","0.03741609627562866","0.03741609627562866","0.03741609627562866"
"9","0.03379962242208421","0.03379962242208421","0.03379962242208421","0.028326484374701977","0.028326484374701977","0.028326484374701977","0.03555426544626243","0.03555426544626243","0.03555426544626243"
"10","0.029802431613206865","0.029802431613206865","0.029802431613206865","0.026552569195628165","0.026552569195628165","0.026552569195628165","0.034206214371261014","0.034206214371261014","0.034206214371261014"
"11","0.02813798762857914","0.02813798762857914","0.02813798762857914","0.02487879406660795","0.02487879406660795","0.02487879406660795","0.034330095830518985","0.034330095830518985","0.034330095830518985"
