"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"12","0.029494725242257117","0.029494725242257117","0.029494725242257117","0.036099187815561894","0.036099187815561894","0.036099187815561894","0.07989519275026397","0.07989519275026397","0.07989519275026397","0.022862611152231694","0.022862611152231694","0.022862611152231694"
"13","0.02673214826732874","0.02673214826732874","0.02673214826732874","0.035006089061498644","0.035006089061498644","0.035006089061498644","0.0803481609444134","0.0803481609444134","0.0803481609444134","0.022346375472843648","0.022346375472843648","0.022346375472843648"
"14","0.02346205145120621","0.02346205145120621","0.02346205145120621","0.03191666861064732","0.03191666861064732","0.03191666861064732","0.08162645407486707","0.08162645407486707","0.08162645407486707","0.0239897208660841","0.0239897208660841","0.0239897208660841"
"15","0.02216618001461029","0.02216618001461029","0.02216618001461029","0.02832490226253867","0.02832490226253867","0.02832490226253867","0.08348858695128002","0.08348858695128002","0.08348858695128002","0.024350691251456738","0.024350691251456738","0.024350691251456738"
"16","0.019923347383737564","0.019923347383737564","0.019923347383737564","0.02788545626215637","0.02788545626215637","0.02788545626215637","0.08648700244491919","0.08648700244491919","0.08648700244491919","0.027333704326301812","0.027333704326301812","0.027333704326301812"
"17","0.018762699663639068","0.018762699663639068","0.018762699663639068","0.026116662872955203","0.026116662872955203","0.026116662872955203","0.09076083104824648","0.09076083104824648","0.09076083104824648","0.027444551177322866","0.027444551177322866","0.027444551177322866"
"18","0.017469388991594316","0.017469388991594316","0.017469388991594316","0.024295924194157124","0.024295924194157124","0.024295924194157124","0.09708454334875569","0.09708454334875569","0.09708454334875569","0.029750643242150546","0.029750643242150546","0.029750643242150546"
"19","0.016004423946142196","0.016004423946142196","0.016004423946142196","0.024010650848504157","0.024010650848504157","0.024010650848504157","0.10587894716718438","0.10587894716718438","0.10587894716718438","0.030707542765885592","0.030707542765885592","0.030707542765885592"
"20","0.015187451392412185","0.015187451392412185","0.015187451392412185","0.02127430119551718","0.02127430119551718","0.02127430119551718","0.11762134231597883","0.11762134231597883","0.11762134231597883","0.03304211543872952","0.03304211543872952","0.03304211543872952"
"21","0.01485822431743145","0.01485822431743145","0.01485822431743145","0.02134214057587087","0.02134214057587087","0.02134214057587087","0.12798733634699602","0.12798733634699602","0.12798733634699602","0.03279268802376464","0.03279268802376464","0.03279268802376464"
"22","0.014287910386919976","0.014287910386919976","0.014287910386919976","0.019781469414010645","0.019781469414010645","0.019781469414010645","0.12891482287057443","0.12891482287057443","0.12891482287057443","0.033228800971992316","0.033228800971992316","0.033228800971992316"
"23","0.013470340818166733","0.013470340818166733","0.013470340818166733","0.018392266258597374","0.018392266258597374","0.018392266258597374","0.11915915305027738","0.11915915305027738","0.11915915305027738","0.031388182444497946","0.031388182444497946","0.031388182444497946"
"24","0.013555195704102517","0.013555195704102517","0.013555195704102517","0.01739739707671106","0.01739739707671106","0.01739739707671106","0.10650844844407402","0.10650844844407402","0.10650844844407402","0.029492289230693133","0.029492289230693133","0.029492289230693133"
"25","0.012860761880874634","0.012860761880874634","0.012860761880874634","0.01620124211534858","0.01620124211534858","0.01620124211534858","0.09628777682315558","0.09628777682315558","0.09628777682315558","0.02949634206481278","0.02949634206481278","0.02949634206481278"
