"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MAX"
"27","0.12210877941106446","0.12210877941106446","0.12210877941106446","0.11044234573404538","0.11044234573404538","0.11044234573404538","0.12861201114952564","0.12861201114952564","0.12861201114952564","0.13365630726329983","0.13365630726329983","0.13365630726329983"
"28","0.06941859886981547","0.06941859886981547","0.06941859886981547","0.08634450516390643","0.08634450516390643","0.08634450516390643","0.11299575930461288","0.11299575930461288","0.11299575930461288","0.11501135923434049","0.11501135923434049","0.11501135923434049"
"29","0.04416325595229864","0.04416325595229864","0.04416325595229864","0.07064078283496202","0.07064078283496202","0.07064078283496202","0.10029618250919156","0.10029618250919156","0.10029618250919156","0.09003108422679361","0.09003108422679361","0.09003108422679361"
"30","0.035737736262381074","0.035737736262381074","0.035737736262381074","0.0600400406960398","0.0600400406960398","0.0600400406960398","0.0862204153649509","0.0862204153649509","0.0862204153649509","0.06485518839210272","0.06485518839210272","0.06485518839210272"
"31","0.028952931389212608","0.028952931389212608","0.028952931389212608","0.05177038788795471","0.05177038788795471","0.05177038788795471","0.0722964758053422","0.0722964758053422","0.0722964758053422","0.04631539046764374","0.04631539046764374","0.04631539046764374"
"32","0.02500505082309246","0.02500505082309246","0.02500505082309246","0.0446791754104197","0.0446791754104197","0.0446791754104197","0.060139189809560775","0.060139189809560775","0.060139189809560775","0.03428557097911835","0.03428557097911835","0.03428557097911835"
"33","0.023098828494548796","0.023098828494548796","0.023098828494548796","0.038875030614435674","0.038875030614435674","0.038875030614435674","0.051389779150485995","0.051389779150485995","0.051389779150485995","0.02619411513209343","0.02619411513209343","0.02619411513209343"
"34","0.021087165176868438","0.021087165176868438","0.021087165176868438","0.03519404295831919","0.03519404295831919","0.03519404295831919","0.044633664265275","0.044633664265275","0.044633664265275","0.021050217896699905","0.021050217896699905","0.021050217896699905"
"35","0.020294890850782395","0.020294890850782395","0.020294890850782395","0.03179667215794325","0.03179667215794325","0.03179667215794325","0.03732084527611732","0.03732084527611732","0.03732084527611732","0.01753845289349556","0.01753845289349556","0.01753845289349556"
"36","0.019686368852853776","0.019686368852853776","0.019686368852853776","0.02744143158197403","0.02744143158197403","0.02744143158197403","0.03282596901059151","0.03282596901059151","0.03282596901059151","0.016285509020090103","0.016285509020090103","0.016285509020090103"
"37","0.01768827423453331","0.01768827423453331","0.01768827423453331","0.025016981065273284","0.025016981065273284","0.025016981065273284","0.03142078064382076","0.03142078064382076","0.03142078064382076","0.014388957917690277","0.014388957917690277","0.014388957917690277"
"38","0.01613847926259041","0.01613847926259041","0.01613847926259041","0.02403674729168415","0.02403674729168415","0.02403674729168415","0.028347355648875236","0.028347355648875236","0.028347355648875236","0.013665017783641814","0.013665017783641814","0.013665017783641814"
"39","0.016683899834752082","0.016683899834752082","0.016683899834752082","0.022148125991225242","0.022148125991225242","0.022148125991225242","0.02677596941590309","0.02677596941590309","0.02677596941590309","0.012258995473384857","0.012258995473384857","0.012258995473384857"
