"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_get_eval - Global/Averaged Test Accuracy__MAX"
"58","0.08165","0.08165","0.08165","0.0849","0.0849","0.0849","0.2855","0.2855","0.2855"
"59","0.08345","0.08345","0.08345","0.0901","0.0901","0.0901","0.268","0.268","0.268"
"60","0.08605","0.08605","0.08605","0.091","0.091","0.091","0.288","0.288","0.288"
"61","0.0899","0.0899","0.0899","0.09385","0.09385","0.09385","0.2775","0.2775","0.2775"
"62","0.0922","0.0922","0.0922","0.09585","0.09585","0.09585","0.2615","0.2615","0.2615"
"63","0.09555","0.09555","0.09555","0.0988","0.0988","0.0988","0.2925","0.2925","0.2925"
"64","0.0968","0.0968","0.0968","0.10175","0.10175","0.10175","0.2945","0.2945","0.2945"
"65","0.1011","0.1011","0.1011","0.10305","0.10305","0.10305","0.289","0.289","0.289"
"66","0.1028","0.1028","0.1028","0.10735","0.10735","0.10735","0.271","0.271","0.271"
"67","0.1049","0.1049","0.1049","0.10775","0.10775","0.10775","0.304","0.304","0.304"
"68","0.1062","0.1062","0.1062","0.10925","0.10925","0.10925","0.2925","0.2925","0.2925"
"69","0.10755","0.10755","0.10755","0.11105","0.11105","0.11105","0.311","0.311","0.311"
"70","0.11055","0.11055","0.11055","0.11385","0.11385","0.11385","0.332","0.332","0.332"
"71","0.11285","0.11285","0.11285","0.11675","0.11675","0.11675","0.323","0.323","0.323"
"72","0.1129","0.1129","0.1129","0.1165","0.1165","0.1165","0.3325","0.3325","0.3325"
"73","0.11725","0.11725","0.11725","0.1196","0.1196","0.1196","0.3385","0.3385","0.3385"
"74","0.1155","0.1155","0.1155","0.1212","0.1212","0.1212","0.349","0.349","0.349"
"75","0.0137","0.0137","0.0137","0.0147","0.0147","0.0147","0","0","0"
"76","0.0421","0.0421","0.0421","0.04495","0.04495","0.04495","0.042","0.042","0.042"
"77","0.05835","0.05835","0.05835","0.0597","0.0597","0.0597","0.087","0.087","0.087"
"78","0.0753","0.0753","0.0753","0.072","0.072","0.072","0.136","0.136","0.136"
"79","0.08495","0.08495","0.08495","0.08605","0.08605","0.08605","0.131","0.131","0.131"
"80","0.0908","0.0908","0.0908","0.0915","0.0915","0.0915","0.2285","0.2285","0.2285"
"81","0.09745","0.09745","0.09745","0.0985","0.0985","0.0985","0.2775","0.2775","0.2775"
"82","0.10265","0.10265","0.10265","0.10305","0.10305","0.10305","0.297","0.297","0.297"
"83","0.10605","0.10605","0.10605","0.108","0.108","0.108","0.3365","0.3365","0.3365"
"84","0.1117","0.1117","0.1117","0.11345","0.11345","0.11345","0.3275","0.3275","0.3275"
"85","0.11595","0.11595","0.11595","0.11645","0.11645","0.11645","0.3395","0.3395","0.3395"
"86","0.1215","0.1215","0.1215","0.1201","0.1201","0.1201","0.3275","0.3275","0.3275"
"87","0.12445","0.12445","0.12445","0.12415","0.12415","0.12415","0.3435","0.3435","0.3435"
"88","0.12955","0.12955","0.12955","0.12915","0.12915","0.12915","0.342","0.342","0.342"
"89","0.13325","0.13325","0.13325","0.13315","0.13315","0.13315","0.358","0.358","0.358"
"90","0.1368","0.1368","0.1368","0.13525","0.13525","0.13525","0.3605","0.3605","0.3605"
"91","0.1369","0.1369","0.1369","0.13735","0.13735","0.13735","0.362","0.362","0.362"
"92","0.13985","0.13985","0.13985","0.1391","0.1391","0.1391","0.372","0.372","0.372"
"93","0.1417","0.1417","0.1417","0.1417","0.1417","0.1417","0.363","0.363","0.363"
"94","0.14475","0.14475","0.14475","0.1438","0.1438","0.1438","0.368","0.368","0.368"
"95","0.1485","0.1485","0.1485","0.14685","0.14685","0.14685","0.3725","0.3725","0.3725"
"96","0.1498","0.1498","0.1498","0.1481","0.1481","0.1481","0.3815","0.3815","0.3815"
"97","0.1513","0.1513","0.1513","0.1494","0.1494","0.1494","0.3925","0.3925","0.3925"
"98","0.1529","0.1529","0.1529","0.14925","0.14925","0.14925","0.385","0.385","0.385"
"99","0.1539","0.1539","0.1539","0.1524","0.1524","0.1524","0.3835","0.3835","0.3835"
"100","0.0193","0.0193","0.0193","0.0186","0.0186","0.0186","0.0105","0.0105","0.0105"
"101","0.04695","0.04695","0.04695","0.04815","0.04815","0.04815","0.0525","0.0525","0.0525"
"102","0.07215","0.07215","0.07215","0.06855","0.06855","0.06855","0.0965","0.0965","0.0965"
"103","0.0885","0.0885","0.0885","0.0829","0.0829","0.0829","0.1195","0.1195","0.1195"
"104","0.09785","0.09785","0.09785","0.09735","0.09735","0.09735","0.143","0.143","0.143"
"105","0.1071","0.1071","0.1071","0.1071","0.1071","0.1071","0.193","0.193","0.193"
"106","0.11445","0.11445","0.11445","0.115","0.115","0.115","0.2365","0.2365","0.2365"
"107","0.1214","0.1214","0.1214","0.1208","0.1208","0.1208","0.2225","0.2225","0.2225"
"108","0.12695","0.12695","0.12695","0.1245","0.1245","0.1245","0.256","0.256","0.256"
"109","0.13035","0.13035","0.13035","0.1298","0.1298","0.1298","0.251","0.251","0.251"
"110","0.1357","0.1357","0.1357","0.13525","0.13525","0.13525","0.2565","0.2565","0.2565"
"111","0.13845","0.13845","0.13845","0.14105","0.14105","0.14105","0.2485","0.2485","0.2485"
"112","0.1404","0.1404","0.1404","0.1457","0.1457","0.1457","0.2405","0.2405","0.2405"
"113","0.1448","0.1448","0.1448","0.14985","0.14985","0.14985","0.26","0.26","0.26"
"114","0.1477","0.1477","0.1477","0.1535","0.1535","0.1535","0.2575","0.2575","0.2575"
"115","0.15235","0.15235","0.15235","0.15565","0.15565","0.15565","0.259","0.259","0.259"
"116","0.15385","0.15385","0.15385","0.1573","0.1573","0.1573","0.2575","0.2575","0.2575"
"117","0.15605","0.15605","0.15605","0.1579","0.1579","0.1579","0.2755","0.2755","0.2755"
"118","0.1588","0.1588","0.1588","0.16185","0.16185","0.16185","0.2695","0.2695","0.2695"
"119","0.1591","0.1591","0.1591","0.1631","0.1631","0.1631","0.252","0.252","0.252"
"120","0.1613","0.1613","0.1613","0.1658","0.1658","0.1658","0.2565","0.2565","0.2565"
"121","0.1647","0.1647","0.1647","0.1653","0.1653","0.1653","0.276","0.276","0.276"
"122","0.16545","0.16545","0.16545","0.16885","0.16885","0.16885","0.2865","0.2865","0.2865"
"123","0.16655","0.16655","0.16655","0.169","0.169","0.169","0.2715","0.2715","0.2715"
"124","0.1694","0.1694","0.1694","0.1699","0.1699","0.1699","0.294","0.294","0.294"
"125","0.0285","0.0285","0.0285","0.0286","0.0286","0.0286","0","0","0"
"126","0.0445","0.0445","0.0445","0.05355","0.05355","0.05355","0.0405","0.0405","0.0405"
"127","0.06495","0.06495","0.06495","0.0713","0.0713","0.0713","0.102","0.102","0.102"
"128","0.0806","0.0806","0.0806","0.088","0.088","0.088","0.1275","0.1275","0.1275"
"129","0.09675","0.09675","0.09675","0.1018","0.1018","0.1018","0.1215","0.1215","0.1215"
"130","0.10655","0.10655","0.10655","0.1088","0.1088","0.1088","0.2255","0.2255","0.2255"
"131","0.11295","0.11295","0.11295","0.1156","0.1156","0.1156","0.202","0.202","0.202"
"132","0.1173","0.1173","0.1173","0.1197","0.1197","0.1197","0.286","0.286","0.286"
"133","0.12255","0.12255","0.12255","0.1253","0.1253","0.1253","0.2335","0.2335","0.2335"
"134","0.1258","0.1258","0.1258","0.1305","0.1305","0.1305","0.2925","0.2925","0.2925"
"135","0.12755","0.12755","0.12755","0.13335","0.13335","0.13335","0.257","0.257","0.257"
