"Step","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"63","0.1605","0.1605","0.1605","0.1755","0.1755","0.1755","0.1895","0.1895","0.1895"
"64","0.1565","0.1565","0.1565","0.177","0.177","0.177","0.1935","0.1935","0.1935"
"65","0.157","0.157","0.157","0.1805","0.1805","0.1805","0.2025","0.2025","0.2025"
"66","0.16","0.16","0.16","0.1935","0.1935","0.1935","0.2105","0.2105","0.2105"
"67","0.1585","0.1585","0.1585","0.191","0.191","0.191","0.2255","0.2255","0.2255"
"68","0.162","0.162","0.162","0.1995","0.1995","0.1995","0.223","0.223","0.223"
"69","0.159","0.159","0.159","0.208","0.208","0.208","0.2245","0.2245","0.2245"
"70","0.161","0.161","0.161","0.203","0.203","0.203","0.2185","0.2185","0.2185"
"71","0.1635","0.1635","0.1635","0.2","0.2","0.2","0.235","0.235","0.235"
"72","0.1655","0.1655","0.1655","0.1935","0.1935","0.1935","0.235","0.235","0.235"
"73","0.1675","0.1675","0.1675","0.2105","0.2105","0.2105","0.2375","0.2375","0.2375"
"74","0.168","0.168","0.168","0.217","0.217","0.217","0.2405","0.2405","0.2405"
"75","0","0","0","0.001","0.001","0.001","0.0035","0.0035","0.0035"
"76","0","0","0","0.073","0.073","0.073","0.078","0.078","0.078"
"77","0.0085","0.0085","0.0085","0.1385","0.1385","0.1385","0.1435","0.1435","0.1435"
"78","0.096","0.096","0.096","0.1445","0.1445","0.1445","0.1455","0.1455","0.1455"
"79","0.122","0.122","0.122","0.1455","0.1455","0.1455","0.1485","0.1485","0.1485"
"80","0.135","0.135","0.135","0.1465","0.1465","0.1465","0.1485","0.1485","0.1485"
"81","0.1325","0.1325","0.1325","0.1495","0.1495","0.1495","0.149","0.149","0.149"
"82","0.1395","0.1395","0.1395","0.147","0.147","0.147","0.151","0.151","0.151"
"83","0.144","0.144","0.144","0.148","0.148","0.148","0.159","0.159","0.159"
"84","0.148","0.148","0.148","0.153","0.153","0.153","0.1585","0.1585","0.1585"
"85","0.157","0.157","0.157","0.1515","0.1515","0.1515","0.1635","0.1635","0.1635"
"86","0.1685","0.1685","0.1685","0.16","0.16","0.16","0.1665","0.1665","0.1665"
"87","0.1605","0.1605","0.1605","0.167","0.167","0.167","0.168","0.168","0.168"
"88","0.173","0.173","0.173","0.169","0.169","0.169","0.1735","0.1735","0.1735"
"89","0.177","0.177","0.177","0.1695","0.1695","0.1695","0.174","0.174","0.174"
"90","0.18","0.18","0.18","0.1735","0.1735","0.1735","0.174","0.174","0.174"
"91","0.187","0.187","0.187","0.1735","0.1735","0.1735","0.1815","0.1815","0.1815"
"92","0.186","0.186","0.186","0.182","0.182","0.182","0.1925","0.1925","0.1925"
"93","0.1865","0.1865","0.1865","0.1795","0.1795","0.1795","0.186","0.186","0.186"
"94","0.1925","0.1925","0.1925","0.187","0.187","0.187","0.2035","0.2035","0.2035"
"95","0.193","0.193","0.193","0.194","0.194","0.194","0.2","0.2","0.2"
"96","0.1925","0.1925","0.1925","0.1965","0.1965","0.1965","0.2095","0.2095","0.2095"
"97","0.2005","0.2005","0.2005","0.199","0.199","0.199","0.2145","0.2145","0.2145"
"98","0.2015","0.2015","0.2015","0.209","0.209","0.209","0.2145","0.2145","0.2145"
"99","0.2005","0.2005","0.2005","0.2145","0.2145","0.2145","0.2105","0.2105","0.2105"
"100","0.003","0.003","0.003","0","0","0","0","0","0"
"101","0.033","0.033","0.033","0.0535","0.0535","0.0535","0.03","0.03","0.03"
"102","0.0435","0.0435","0.0435","0.156","0.156","0.156","0.1485","0.1485","0.1485"
"103","0.1195","0.1195","0.1195","0.154","0.154","0.154","0.1505","0.1505","0.1505"
"104","0.1515","0.1515","0.1515","0.1705","0.1705","0.1705","0.1685","0.1685","0.1685"
"105","0.1715","0.1715","0.1715","0.187","0.187","0.187","0.177","0.177","0.177"
"106","0.176","0.176","0.176","0.181","0.181","0.181","0.1785","0.1785","0.1785"
"107","0.18","0.18","0.18","0.1895","0.1895","0.1895","0.187","0.187","0.187"
"108","0.188","0.188","0.188","0.193","0.193","0.193","0.2025","0.2025","0.2025"
"109","0.19","0.19","0.19","0.195","0.195","0.195","0.194","0.194","0.194"
"110","0.189","0.189","0.189","0.206","0.206","0.206","0.199","0.199","0.199"
"111","0.191","0.191","0.191","0.206","0.206","0.206","0.211","0.211","0.211"
"112","0.1915","0.1915","0.1915","0.207","0.207","0.207","0.212","0.212","0.212"
"113","0.1945","0.1945","0.1945","0.2055","0.2055","0.2055","0.2135","0.2135","0.2135"
"114","0.195","0.195","0.195","0.2065","0.2065","0.2065","0.2165","0.2165","0.2165"
"115","0.1905","0.1905","0.1905","0.2085","0.2085","0.2085","0.2165","0.2165","0.2165"
"116","0.1895","0.1895","0.1895","0.211","0.211","0.211","0.2195","0.2195","0.2195"
"117","0.1875","0.1875","0.1875","0.21","0.21","0.21","0.2215","0.2215","0.2215"
"118","0.191","0.191","0.191","0.215","0.215","0.215","0.2285","0.2285","0.2285"
"119","0.1925","0.1925","0.1925","0.2145","0.2145","0.2145","0.2275","0.2275","0.2275"
"120","0.1985","0.1985","0.1985","0.212","0.212","0.212","0.232","0.232","0.232"
"121","0.202","0.202","0.202","0.2115","0.2115","0.2115","0.2385","0.2385","0.2385"
"122","0.2005","0.2005","0.2005","0.2205","0.2205","0.2205","0.2315","0.2315","0.2315"
"123","0.2","0.2","0.2","0.221","0.221","0.221","0.2395","0.2395","0.2395"
"124","0.2055","0.2055","0.2055","0.2205","0.2205","0.2205","0.243","0.243","0.243"
"125","0","0","0","0.0145","0.0145","0.0145","0.021","0.021","0.021"
"126","0","0","0","0.064","0.064","0.064","0.0655","0.0655","0.0655"
"127","0.0215","0.0215","0.0215","0.121","0.121","0.121","0.1165","0.1165","0.1165"
"128","0.0715","0.0715","0.0715","0.1525","0.1525","0.1525","0.156","0.156","0.156"
"129","0.094","0.094","0.094","0.1585","0.1585","0.1585","0.164","0.164","0.164"
"130","0.1125","0.1125","0.1125","0.1675","0.1675","0.1675","0.1775","0.1775","0.1775"
"131","0.1225","0.1225","0.1225","0.178","0.178","0.178","0.171","0.171","0.171"
"132","0.137","0.137","0.137","0.187","0.187","0.187","0.1845","0.1845","0.1845"
"133","0.1505","0.1505","0.1505","0.1885","0.1885","0.1885","0.185","0.185","0.185"
"134","0.1555","0.1555","0.1555","0.1995","0.1995","0.1995","0.1935","0.1935","0.1935"
"135","0.158","0.158","0.158","0.202","0.202","0.202","0.202","0.202","0.202"
"136","0.159","0.159","0.159","0.212","0.212","0.212","0.2155","0.2155","0.2155"
"137","0.1635","0.1635","0.1635","0.2225","0.2225","0.2225","0.216","0.216","0.216"
"138","0.171","0.171","0.171","0.2235","0.2235","0.2235","0.212","0.212","0.212"
"139","0.17","0.17","0.17","0.2315","0.2315","0.2315","0.2205","0.2205","0.2205"
"140","0.174","0.174","0.174","0.2335","0.2335","0.2335","0.221","0.221","0.221"
"141","0.175","0.175","0.175","0.235","0.235","0.235","0.2195","0.2195","0.2195"
"142","0.1715","0.1715","0.1715","0.2385","0.2385","0.2385","0.215","0.215","0.215"
"143","0.1715","0.1715","0.1715","0.238","0.238","0.238","0.2195","0.2195","0.2195"
"144","0.1775","0.1775","0.1775","0.235","0.235","0.235","0.224","0.224","0.224"
"145","0.176","0.176","0.176","0.2445","0.2445","0.2445","0.2195","0.2195","0.2195"
"146","0.183","0.183","0.183","0.249","0.249","0.249","0.2215","0.2215","0.2215"
"147","0.1885","0.1885","0.1885","0.2485","0.2485","0.2485","0.2245","0.2245","0.2245"
"148","0.1865","0.1865","0.1865","0.257","0.257","0.257","0.2305","0.2305","0.2305"
"149","0.183","0.183","0.183","0.2595","0.2595","0.2595","0.2325","0.2325","0.2325"
"150","0","0","0","0.0375","0.0375","0.0375","0.0395","0.0395","0.0395"
"151","0","0","0","0.09","0.09","0.09","0.102","0.102","0.102"
"152","0","0","0","0.118","0.118","0.118","0.127","0.127","0.127"
"153","0.046","0.046","0.046","0.127","0.127","0.127","0.1485","0.1485","0.1485"
"154","0.1675","0.1675","0.1675","0.1385","0.1385","0.1385","0.1655","0.1655","0.1655"
"155","0.189","0.189","0.189","0.1545","0.1545","0.1545","0.1785","0.1785","0.1785"
"156","0.1995","0.1995","0.1995","0.1605","0.1605","0.1605","0.172","0.172","0.172"
"157","0.203","0.203","0.203","0.175","0.175","0.175","0.1785","0.1785","0.1785"
"158","0.2075","0.2075","0.2075","0.1805","0.1805","0.1805","0.1855","0.1855","0.1855"
"159","0.216","0.216","0.216","0.1985","0.1985","0.1985","0.1935","0.1935","0.1935"
"160","0.209","0.209","0.209","0.204","0.204","0.204","0.201","0.201","0.201"
"161","0.213","0.213","0.213","0.2055","0.2055","0.2055","0.204","0.204","0.204"
"162","0.216","0.216","0.216","0.2085","0.2085","0.2085","0.199","0.199","0.199"
"163","0.2205","0.2205","0.2205","0.211","0.211","0.211","0.199","0.199","0.199"
"164","0.2145","0.2145","0.2145","0.2135","0.2135","0.2135","0.202","0.202","0.202"
"165","0.2215","0.2215","0.2215","0.2185","0.2185","0.2185","0.2055","0.2055","0.2055"
"166","0.2235","0.2235","0.2235","0.2265","0.2265","0.2265","0.209","0.209","0.209"
"167","0.226","0.226","0.226","0.2205","0.2205","0.2205","0.21","0.21","0.21"
"168","0.2285","0.2285","0.2285","0.221","0.221","0.221","0.2255","0.2255","0.2255"
"169","0.227","0.227","0.227","0.226","0.226","0.226","0.2145","0.2145","0.2145"
"170","0.227","0.227","0.227","0.2255","0.2255","0.2255","0.223","0.223","0.223"
"171","0.2285","0.2285","0.2285","0.23","0.23","0.23","0.221","0.221","0.221"
"172","0.2365","0.2365","0.2365","0.2355","0.2355","0.2355","0.2195","0.2195","0.2195"
"173","0.235","0.235","0.235","0.237","0.237","0.237","0.214","0.214","0.214"
"174","0.234","0.234","0.234","0.2295","0.2295","0.2295","0.2215","0.2215","0.2215"
"175","0.004","0.004","0.004","0.008","0.008","0.008","0.0165","0.0165","0.0165"
"176","0.0255","0.0255","0.0255","0.0745","0.0745","0.0745","0.0815","0.0815","0.0815"
"177","0.038","0.038","0.038","0.159","0.159","0.159","0.1485","0.1485","0.1485"
"178","0.053","0.053","0.053","0.177","0.177","0.177","0.1795","0.1795","0.1795"
"179","0.1335","0.1335","0.1335","0.2085","0.2085","0.2085","0.2065","0.2065","0.2065"
"180","0.156","0.156","0.156","0.218","0.218","0.218","0.23","0.23","0.23"
"181","0.1795","0.1795","0.1795","0.2315","0.2315","0.2315","0.234","0.234","0.234"
"182","0.187","0.187","0.187","0.2295","0.2295","0.2295","0.234","0.234","0.234"
"183","0.192","0.192","0.192","0.243","0.243","0.243","0.2455","0.2455","0.2455"
"184","0.1955","0.1955","0.1955","0.2365","0.2365","0.2365","0.24","0.24","0.24"
"185","0.194","0.194","0.194","0.244","0.244","0.244","0.25","0.25","0.25"
"186","0.2035","0.2035","0.2035","0.249","0.249","0.249","0.2535","0.2535","0.2535"
"187","0.2015","0.2015","0.2015","0.2555","0.2555","0.2555","0.2525","0.2525","0.2525"
"188","0.202","0.202","0.202","0.244","0.244","0.244","0.2545","0.2545","0.2545"
"189","0.2005","0.2005","0.2005","0.26","0.26","0.26","0.256","0.256","0.256"
"190","0.1995","0.1995","0.1995","0.27","0.27","0.27","0.26","0.26","0.26"
"191","0.202","0.202","0.202","0.263","0.263","0.263","0.262","0.262","0.262"
"192","0.206","0.206","0.206","0.2585","0.2585","0.2585","0.256","0.256","0.256"
"193","0.2095","0.2095","0.2095","0.263","0.263","0.263","0.2655","0.2655","0.2655"
"194","0.2085","0.2085","0.2085","0.2665","0.2665","0.2665","0.2745","0.2745","0.2745"
"195","0.2075","0.2075","0.2075","0.272","0.272","0.272","0.2735","0.2735","0.2735"
"196","0.211","0.211","0.211","0.2775","0.2775","0.2775","0.277","0.277","0.277"
"197","0.216","0.216","0.216","0.273","0.273","0.273","0.283","0.283","0.283"
"198","0.2175","0.2175","0.2175","0.277","0.277","0.277","0.28","0.28","0.28"
"199","0.226","0.226","0.226","0.2795","0.2795","0.2795","0.2855","0.2855","0.2855"
"200","0","0","0","0.0465","0.0465","0.0465","0.0465","0.0465","0.0465"
"201","0","0","0","0.131","0.131","0.131","0.152","0.152","0.152"
"202","0","0","0","0.1615","0.1615","0.1615","0.2035","0.2035","0.2035"
"203","0.0305","0.0305","0.0305","0.198","0.198","0.198","0.2345","0.2345","0.2345"
"204","0.1015","0.1015","0.1015","0.2065","0.2065","0.2065","0.235","0.235","0.235"
"205","0.127","0.127","0.127","0.2175","0.2175","0.2175","0.253","0.253","0.253"
"206","0.1415","0.1415","0.1415","0.2185","0.2185","0.2185","0.2525","0.2525","0.2525"
"207","0.163","0.163","0.163","0.224","0.224","0.224","0.261","0.261","0.261"
"208","0.172","0.172","0.172","0.228","0.228","0.228","0.2475","0.2475","0.2475"
"209","0.1825","0.1825","0.1825","0.231","0.231","0.231","0.2585","0.2585","0.2585"
"210","0.181","0.181","0.181","0.231","0.231","0.231","0.25","0.25","0.25"
"211","0.182","0.182","0.182","0.255","0.255","0.255","0.2475","0.2475","0.2475"
"212","0.182","0.182","0.182","0.2445","0.2445","0.2445","0.2625","0.2625","0.2625"
"213","0.1845","0.1845","0.1845","0.24","0.24","0.24","0.26","0.26","0.26"
"214","0.19","0.19","0.19","0.2605","0.2605","0.2605","0.2565","0.2565","0.2565"
"215","0.189","0.189","0.189","0.247","0.247","0.247","0.269","0.269","0.269"
"216","0.1905","0.1905","0.1905","0.2545","0.2545","0.2545","0.2765","0.2765","0.2765"
"217","0.197","0.197","0.197","0.254","0.254","0.254","0.276","0.276","0.276"
"218","0.1975","0.1975","0.1975","0.261","0.261","0.261","0.277","0.277","0.277"
"219","0.1975","0.1975","0.1975","0.2645","0.2645","0.2645","0.2775","0.2775","0.2775"
"220","0.204","0.204","0.204","0.269","0.269","0.269","0.282","0.282","0.282"
"221","0.202","0.202","0.202","0.267","0.267","0.267","0.2805","0.2805","0.2805"
"222","0.1985","0.1985","0.1985","0.2625","0.2625","0.2625","0.2815","0.2815","0.2815"
"223","0.203","0.203","0.203","0.267","0.267","0.267","0.281","0.281","0.281"
"224","0.2025","0.2025","0.2025","0.2655","0.2655","0.2655","0.285","0.285","0.285"
"225","0","0","0","0.003","0.003","0.003","0.0075","0.0075","0.0075"
"226","0","0","0","0.125","0.125","0.125","0.114","0.114","0.114"
"227","0.0135","0.0135","0.0135","0.1905","0.1905","0.1905","0.196","0.196","0.196"
"228","0.083","0.083","0.083","0.2165","0.2165","0.2165","0.228","0.228","0.228"
"229","0.1555","0.1555","0.1555","0.234","0.234","0.234","0.233","0.233","0.233"
"230","0.177","0.177","0.177","0.246","0.246","0.246","0.235","0.235","0.235"
"231","0.1905","0.1905","0.1905","0.2555","0.2555","0.2555","0.255","0.255","0.255"
"232","0.1965","0.1965","0.1965","0.2615","0.2615","0.2615","0.259","0.259","0.259"
"233","0.2035","0.2035","0.2035","0.2685","0.2685","0.2685","0.2725","0.2725","0.2725"
"234","0.21","0.21","0.21","0.2655","0.2655","0.2655","0.2725","0.2725","0.2725"
"235","0.212","0.212","0.212","0.273","0.273","0.273","0.274","0.274","0.274"
"236","0.219","0.219","0.219","0.2745","0.2745","0.2745","0.28","0.28","0.28"
"237","0.2175","0.2175","0.2175","0.2755","0.2755","0.2755","0.28","0.28","0.28"
"238","0.2205","0.2205","0.2205","0.279","0.279","0.279","0.2755","0.2755","0.2755"
"239","0.225","0.225","0.225","0.276","0.276","0.276","0.277","0.277","0.277"
"240","0.227","0.227","0.227","0.2775","0.2775","0.2775","0.277","0.277","0.277"
"241","0.2265","0.2265","0.2265","0.282","0.282","0.282","0.2825","0.2825","0.2825"
"242","0.23","0.23","0.23","0.279","0.279","0.279","0.2875","0.2875","0.2875"
"243","0.231","0.231","0.231","0.281","0.281","0.281","0.281","0.281","0.281"
"244","0.2385","0.2385","0.2385","0.2905","0.2905","0.2905","0.277","0.277","0.277"
"245","0.2395","0.2395","0.2395","0.2905","0.2905","0.2905","0.284","0.284","0.284"
"246","0.2375","0.2375","0.2375","0.291","0.291","0.291","0.28","0.28","0.28"
"247","0.2405","0.2405","0.2405","0.2935","0.2935","0.2935","0.2825","0.2825","0.2825"
"248","0.2395","0.2395","0.2395","0.29","0.29","0.29","0.2835","0.2835","0.2835"
"249","0.25","0.25","0.25","0.297","0.297","0.297","0.2815","0.2815","0.2815"
"250","0","0","0","0.035","0.035","0.035","0.0295","0.0295","0.0295"
"251","0","0","0","0.077","0.077","0.077","0.0875","0.0875","0.0875"
"252","0.0005","0.0005","0.0005","0.184","0.184","0.184","0.193","0.193","0.193"
"253","0.0895","0.0895","0.0895","0.2015","0.2015","0.2015","0.2095","0.2095","0.2095"
"254","0.169","0.169","0.169","0.2065","0.2065","0.2065","0.2145","0.2145","0.2145"
"255","0.1875","0.1875","0.1875","0.214","0.214","0.214","0.223","0.223","0.223"
"256","0.19","0.19","0.19","0.2115","0.2115","0.2115","0.2175","0.2175","0.2175"
"257","0.196","0.196","0.196","0.218","0.218","0.218","0.2335","0.2335","0.2335"
"258","0.1955","0.1955","0.1955","0.2265","0.2265","0.2265","0.238","0.238","0.238"
"259","0.2005","0.2005","0.2005","0.224","0.224","0.224","0.2545","0.2545","0.2545"
"260","0.2105","0.2105","0.2105","0.2475","0.2475","0.2475","0.259","0.259","0.259"
"261","0.213","0.213","0.213","0.2395","0.2395","0.2395","0.271","0.271","0.271"
"262","0.2155","0.2155","0.2155","0.248","0.248","0.248","0.2815","0.2815","0.2815"
"263","0.2165","0.2165","0.2165","0.2445","0.2445","0.2445","0.2915","0.2915","0.2915"
"264","0.221","0.221","0.221","0.2535","0.2535","0.2535","0.296","0.296","0.296"
"265","0.2155","0.2155","0.2155","0.2585","0.2585","0.2585","0.3145","0.3145","0.3145"
"266","0.2215","0.2215","0.2215","0.265","0.265","0.265","0.3115","0.3115","0.3115"
"267","0.226","0.226","0.226","0.2655","0.2655","0.2655","0.2995","0.2995","0.2995"
"268","0.228","0.228","0.228","0.2785","0.2785","0.2785","0.2995","0.2995","0.2995"
"269","0.2245","0.2245","0.2245","0.2695","0.2695","0.2695","0.3215","0.3215","0.3215"
"270","0.227","0.227","0.227","0.277","0.277","0.277","0.3055","0.3055","0.3055"
"271","0.2255","0.2255","0.2255","0.277","0.277","0.277","0.3305","0.3305","0.3305"
"272","0.2335","0.2335","0.2335","0.2825","0.2825","0.2825","0.336","0.336","0.336"
"273","0.2305","0.2305","0.2305","0.2815","0.2815","0.2815","0.332","0.332","0.332"
"274","0.2345","0.2345","0.2345","0.2875","0.2875","0.2875","0.3355","0.3355","0.3355"
