"Step","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"864","0.2015","0.2015","0.2015","0.375","0.375","0.375","0.4125","0.4125","0.4125"
"865","0.203","0.203","0.203","0.3815","0.3815","0.3815","0.4035","0.4035","0.4035"
"866","0.204","0.204","0.204","0.374","0.374","0.374","0.416","0.416","0.416"
"867","0.2045","0.2045","0.2045","0.385","0.385","0.385","0.413","0.413","0.413"
"868","0.2095","0.2095","0.2095","0.377","0.377","0.377","0.4245","0.4245","0.4245"
"869","0.207","0.207","0.207","0.3805","0.3805","0.3805","0.4245","0.4245","0.4245"
"870","0.201","0.201","0.201","0.3855","0.3855","0.3855","0.4215","0.4215","0.4215"
"871","0.198","0.198","0.198","0.3835","0.3835","0.3835","0.423","0.423","0.423"
"872","0.2045","0.2045","0.2045","0.387","0.387","0.387","0.425","0.425","0.425"
"873","0.202","0.202","0.202","0.3935","0.3935","0.3935","0.425","0.425","0.425"
"874","0.2055","0.2055","0.2055","0.3845","0.3845","0.3845","0.4195","0.4195","0.4195"
"875","0","0","0","0.061","0.061","0.061","0.061","0.061","0.061"
"876","0","0","0","0.118","0.118","0.118","0.1375","0.1375","0.1375"
"877","0.025","0.025","0.025","0.2465","0.2465","0.2465","0.283","0.283","0.283"
"878","0.1145","0.1145","0.1145","0.307","0.307","0.307","0.3405","0.3405","0.3405"
"879","0.1745","0.1745","0.1745","0.336","0.336","0.336","0.358","0.358","0.358"
"880","0.204","0.204","0.204","0.3415","0.3415","0.3415","0.373","0.373","0.373"
"881","0.232","0.232","0.232","0.355","0.355","0.355","0.3845","0.3845","0.3845"
"882","0.246","0.246","0.246","0.357","0.357","0.357","0.3935","0.3935","0.3935"
"883","0.273","0.273","0.273","0.3615","0.3615","0.3615","0.3955","0.3955","0.3955"
"884","0.2865","0.2865","0.2865","0.369","0.369","0.369","0.399","0.399","0.399"
"885","0.297","0.297","0.297","0.3645","0.3645","0.3645","0.401","0.401","0.401"
"886","0.298","0.298","0.298","0.377","0.377","0.377","0.4075","0.4075","0.4075"
"887","0.304","0.304","0.304","0.374","0.374","0.374","0.405","0.405","0.405"
"888","0.3135","0.3135","0.3135","0.3785","0.3785","0.3785","0.404","0.404","0.404"
"889","0.314","0.314","0.314","0.381","0.381","0.381","0.4015","0.4015","0.4015"
"890","0.3145","0.3145","0.3145","0.3795","0.3795","0.3795","0.4085","0.4085","0.4085"
"891","0.327","0.327","0.327","0.376","0.376","0.376","0.406","0.406","0.406"
"892","0.328","0.328","0.328","0.3825","0.3825","0.3825","0.4035","0.4035","0.4035"
"893","0.3295","0.3295","0.3295","0.382","0.382","0.382","0.406","0.406","0.406"
"894","0.3305","0.3305","0.3305","0.385","0.385","0.385","0.4095","0.4095","0.4095"
"895","0.341","0.341","0.341","0.379","0.379","0.379","0.411","0.411","0.411"
"896","0.339","0.339","0.339","0.3835","0.3835","0.3835","0.408","0.408","0.408"
"897","0.343","0.343","0.343","0.3835","0.3835","0.3835","0.41","0.41","0.41"
"898","0.3455","0.3455","0.3455","0.3875","0.3875","0.3875","0.413","0.413","0.413"
"899","0.344","0.344","0.344","0.3855","0.3855","0.3855","0.4175","0.4175","0.4175"
"900","0","0","0","0.131","0.131","0.131","0.144","0.144","0.144"
"901","0","0","0","0.2075","0.2075","0.2075","0.2715","0.2715","0.2715"
"902","0.0005","0.0005","0.0005","0.3135","0.3135","0.3135","0.3545","0.3545","0.3545"
"903","0.0625","0.0625","0.0625","0.3595","0.3595","0.3595","0.3965","0.3965","0.3965"
"904","0.1355","0.1355","0.1355","0.3955","0.3955","0.3955","0.432","0.432","0.432"
"905","0.152","0.152","0.152","0.4115","0.4115","0.4115","0.456","0.456","0.456"
"906","0.1555","0.1555","0.1555","0.4255","0.4255","0.4255","0.466","0.466","0.466"
"907","0.169","0.169","0.169","0.435","0.435","0.435","0.479","0.479","0.479"
"908","0.183","0.183","0.183","0.4335","0.4335","0.4335","0.4805","0.4805","0.4805"
"909","0.1845","0.1845","0.1845","0.44","0.44","0.44","0.4825","0.4825","0.4825"
"910","0.1875","0.1875","0.1875","0.4435","0.4435","0.4435","0.4795","0.4795","0.4795"
"911","0.1905","0.1905","0.1905","0.4505","0.4505","0.4505","0.486","0.486","0.486"
"912","0.193","0.193","0.193","0.454","0.454","0.454","0.4865","0.4865","0.4865"
"913","0.195","0.195","0.195","0.4545","0.4545","0.4545","0.4925","0.4925","0.4925"
"914","0.195","0.195","0.195","0.4565","0.4565","0.4565","0.4915","0.4915","0.4915"
"915","0.198","0.198","0.198","0.456","0.456","0.456","0.4885","0.4885","0.4885"
"916","0.2","0.2","0.2","0.4595","0.4595","0.4595","0.4945","0.4945","0.4945"
"917","0.2045","0.2045","0.2045","0.4615","0.4615","0.4615","0.4855","0.4855","0.4855"
"918","0.206","0.206","0.206","0.4635","0.4635","0.4635","0.5025","0.5025","0.5025"
"919","0.2115","0.2115","0.2115","0.4645","0.4645","0.4645","0.506","0.506","0.506"
"920","0.213","0.213","0.213","0.4655","0.4655","0.4655","0.506","0.506","0.506"
"921","0.209","0.209","0.209","0.4705","0.4705","0.4705","0.505","0.505","0.505"
"922","0.2085","0.2085","0.2085","0.4715","0.4715","0.4715","0.5035","0.5035","0.5035"
"923","0.218","0.218","0.218","0.467","0.467","0.467","0.501","0.501","0.501"
"924","0.225","0.225","0.225","0.4755","0.4755","0.4755","0.5025","0.5025","0.5025"
"925","0.0105","0.0105","0.0105","0.1175","0.1175","0.1175","0.12","0.12","0.12"
"926","0.024","0.024","0.024","0.161","0.161","0.161","0.2015","0.2015","0.2015"
"927","0.03","0.03","0.03","0.2125","0.2125","0.2125","0.262","0.262","0.262"
"928","0.097","0.097","0.097","0.278","0.278","0.278","0.3275","0.3275","0.3275"
"929","0.143","0.143","0.143","0.307","0.307","0.307","0.3835","0.3835","0.3835"
"930","0.1755","0.1755","0.1755","0.324","0.324","0.324","0.4045","0.4045","0.4045"
"931","0.2","0.2","0.2","0.3325","0.3325","0.3325","0.4125","0.4125","0.4125"
"932","0.216","0.216","0.216","0.338","0.338","0.338","0.412","0.412","0.412"
"933","0.2285","0.2285","0.2285","0.347","0.347","0.347","0.41","0.41","0.41"
"934","0.236","0.236","0.236","0.3485","0.3485","0.3485","0.4115","0.4115","0.4115"
"935","0.244","0.244","0.244","0.351","0.351","0.351","0.4135","0.4135","0.4135"
"936","0.2465","0.2465","0.2465","0.356","0.356","0.356","0.412","0.412","0.412"
"937","0.25","0.25","0.25","0.357","0.357","0.357","0.4115","0.4115","0.4115"
"938","0.2535","0.2535","0.2535","0.3665","0.3665","0.3665","0.4135","0.4135","0.4135"
"939","0.2525","0.2525","0.2525","0.364","0.364","0.364","0.412","0.412","0.412"
"940","0.2615","0.2615","0.2615","0.361","0.361","0.361","0.413","0.413","0.413"
"941","0.265","0.265","0.265","0.3675","0.3675","0.3675","0.4145","0.4145","0.4145"
"942","0.2585","0.2585","0.2585","0.3675","0.3675","0.3675","0.4105","0.4105","0.4105"
"943","0.2605","0.2605","0.2605","0.3725","0.3725","0.3725","0.4115","0.4115","0.4115"
"944","0.268","0.268","0.268","0.3735","0.3735","0.3735","0.4135","0.4135","0.4135"
"945","0.2675","0.2675","0.2675","0.375","0.375","0.375","0.4155","0.4155","0.4155"
"946","0.2725","0.2725","0.2725","0.373","0.373","0.373","0.411","0.411","0.411"
"947","0.2765","0.2765","0.2765","0.379","0.379","0.379","0.4125","0.4125","0.4125"
"948","0.275","0.275","0.275","0.376","0.376","0.376","0.409","0.409","0.409"
"949","0.277","0.277","0.277","0.379","0.379","0.379","0.4125","0.4125","0.4125"
"950","0.036","0.036","0.036","0.0575","0.0575","0.0575","0.062","0.062","0.062"
"951","0.063","0.063","0.063","0.119","0.119","0.119","0.19","0.19","0.19"
"952","0.061","0.061","0.061","0.231","0.231","0.231","0.2685","0.2685","0.2685"
"953","0.1265","0.1265","0.1265","0.252","0.252","0.252","0.3185","0.3185","0.3185"
"954","0.1595","0.1595","0.1595","0.302","0.302","0.302","0.3375","0.3375","0.3375"
"955","0.1695","0.1695","0.1695","0.3075","0.3075","0.3075","0.3515","0.3515","0.3515"
"956","0.184","0.184","0.184","0.3285","0.3285","0.3285","0.3625","0.3625","0.3625"
"957","0.1925","0.1925","0.1925","0.333","0.333","0.333","0.377","0.377","0.377"
"958","0.2075","0.2075","0.2075","0.3255","0.3255","0.3255","0.373","0.373","0.373"
"959","0.2075","0.2075","0.2075","0.338","0.338","0.338","0.383","0.383","0.383"
"960","0.2165","0.2165","0.2165","0.3415","0.3415","0.3415","0.388","0.388","0.388"
"961","0.2155","0.2155","0.2155","0.34","0.34","0.34","0.3925","0.3925","0.3925"
"962","0.225","0.225","0.225","0.363","0.363","0.363","0.386","0.386","0.386"
"963","0.2245","0.2245","0.2245","0.354","0.354","0.354","0.3945","0.3945","0.3945"
"964","0.234","0.234","0.234","0.363","0.363","0.363","0.393","0.393","0.393"
"965","0.2375","0.2375","0.2375","0.361","0.361","0.361","0.3925","0.3925","0.3925"
"966","0.2405","0.2405","0.2405","0.3655","0.3655","0.3655","0.3995","0.3995","0.3995"
"967","0.2375","0.2375","0.2375","0.364","0.364","0.364","0.4025","0.4025","0.4025"
"968","0.238","0.238","0.238","0.371","0.371","0.371","0.4065","0.4065","0.4065"
"969","0.231","0.231","0.231","0.382","0.382","0.382","0.4095","0.4095","0.4095"
"970","0.247","0.247","0.247","0.3725","0.3725","0.3725","0.413","0.413","0.413"
"971","0.2455","0.2455","0.2455","0.3715","0.3715","0.3715","0.421","0.421","0.421"
"972","0.249","0.249","0.249","0.379","0.379","0.379","0.4215","0.4215","0.4215"
"973","0.2515","0.2515","0.2515","0.37","0.37","0.37","0.4175","0.4175","0.4175"
"974","0.2475","0.2475","0.2475","0.371","0.371","0.371","0.4305","0.4305","0.4305"
"975","0.006","0.006","0.006","0.0385","0.0385","0.0385","0.037","0.037","0.037"
"976","0.014","0.014","0.014","0.1935","0.1935","0.1935","0.2165","0.2165","0.2165"
"977","0.0865","0.0865","0.0865","0.298","0.298","0.298","0.334","0.334","0.334"
"978","0.114","0.114","0.114","0.35","0.35","0.35","0.3875","0.3875","0.3875"
"979","0.1365","0.1365","0.1365","0.38","0.38","0.38","0.4195","0.4195","0.4195"
"980","0.153","0.153","0.153","0.401","0.401","0.401","0.442","0.442","0.442"
"981","0.1615","0.1615","0.1615","0.418","0.418","0.418","0.449","0.449","0.449"
"982","0.1745","0.1745","0.1745","0.4205","0.4205","0.4205","0.459","0.459","0.459"
"983","0.179","0.179","0.179","0.4195","0.4195","0.4195","0.455","0.455","0.455"
"984","0.1785","0.1785","0.1785","0.426","0.426","0.426","0.4565","0.4565","0.4565"
"985","0.1875","0.1875","0.1875","0.427","0.427","0.427","0.4635","0.4635","0.4635"
"986","0.1925","0.1925","0.1925","0.431","0.431","0.431","0.4585","0.4585","0.4585"
"987","0.1965","0.1965","0.1965","0.4375","0.4375","0.4375","0.454","0.454","0.454"
"988","0.2005","0.2005","0.2005","0.436","0.436","0.436","0.453","0.453","0.453"
"989","0.205","0.205","0.205","0.4385","0.4385","0.4385","0.4575","0.4575","0.4575"
"990","0.2055","0.2055","0.2055","0.437","0.437","0.437","0.452","0.452","0.452"
"991","0.2105","0.2105","0.2105","0.437","0.437","0.437","0.4525","0.4525","0.4525"
"992","0.217","0.217","0.217","0.4365","0.4365","0.4365","0.452","0.452","0.452"
"993","0.2075","0.2075","0.2075","0.4435","0.4435","0.4435","0.4525","0.4525","0.4525"
"994","0.2125","0.2125","0.2125","0.437","0.437","0.437","0.4545","0.4545","0.4545"
"995","0.2125","0.2125","0.2125","0.4385","0.4385","0.4385","0.4535","0.4535","0.4535"
"996","0.21","0.21","0.21","0.4415","0.4415","0.4415","0.4525","0.4525","0.4525"
"997","0.212","0.212","0.212","0.4425","0.4425","0.4425","0.452","0.452","0.452"
"998","0.21","0.21","0.21","0.445","0.445","0.445","0.4525","0.4525","0.4525"
"999","0.2135","0.2135","0.2135","0.4505","0.4505","0.4505","0.4505","0.4505","0.4505"
"1000","0.0085","0.0085","0.0085","0.0485","0.0485","0.0485","0.049","0.049","0.049"
"1001","0.03","0.03","0.03","0.114","0.114","0.114","0.15","0.15","0.15"
"1002","0.1165","0.1165","0.1165","0.2355","0.2355","0.2355","0.33","0.33","0.33"
"1003","0.1565","0.1565","0.1565","0.325","0.325","0.325","0.424","0.424","0.424"
"1004","0.1795","0.1795","0.1795","0.3675","0.3675","0.3675","0.4695","0.4695","0.4695"
"1005","0.194","0.194","0.194","0.3905","0.3905","0.3905","0.485","0.485","0.485"
"1006","0.198","0.198","0.198","0.399","0.399","0.399","0.4865","0.4865","0.4865"
"1007","0.2105","0.2105","0.2105","0.407","0.407","0.407","0.4855","0.4855","0.4855"
"1008","0.217","0.217","0.217","0.415","0.415","0.415","0.4775","0.4775","0.4775"
"1009","0.221","0.221","0.221","0.4185","0.4185","0.4185","0.476","0.476","0.476"
"1010","0.225","0.225","0.225","0.424","0.424","0.424","0.473","0.473","0.473"
"1011","0.2265","0.2265","0.2265","0.426","0.426","0.426","0.467","0.467","0.467"
"1012","0.2295","0.2295","0.2295","0.4255","0.4255","0.4255","0.4725","0.4725","0.4725"
"1013","0.2315","0.2315","0.2315","0.434","0.434","0.434","0.4715","0.4715","0.4715"
"1014","0.238","0.238","0.238","0.4335","0.4335","0.4335","0.4695","0.4695","0.4695"
"1015","0.2415","0.2415","0.2415","0.431","0.431","0.431","0.4775","0.4775","0.4775"
"1016","0.246","0.246","0.246","0.435","0.435","0.435","0.4745","0.4745","0.4745"
"1017","0.2455","0.2455","0.2455","0.4425","0.4425","0.4425","0.471","0.471","0.471"
"1018","0.249","0.249","0.249","0.4425","0.4425","0.4425","0.468","0.468","0.468"
"1019","0.243","0.243","0.243","0.439","0.439","0.439","0.471","0.471","0.471"
"1020","0.2505","0.2505","0.2505","0.4435","0.4435","0.4435","0.47","0.47","0.47"
"1021","0.2485","0.2485","0.2485","0.4475","0.4475","0.4475","0.4755","0.4755","0.4755"
"1022","0.249","0.249","0.249","0.4475","0.4475","0.4475","0.4745","0.4745","0.4745"
"1023","0.254","0.254","0.254","0.442","0.442","0.442","0.474","0.474","0.474"
"1024","0.255","0.255","0.255","0.4505","0.4505","0.4505","0.481","0.481","0.481"
"1025","0","0","0","0","0","0","0","0","0"
"1026","0.001","0.001","0.001","0.0195","0.0195","0.0195","0.0425","0.0425","0.0425"
"1027","0.093","0.093","0.093","0.1625","0.1625","0.1625","0.2145","0.2145","0.2145"
"1028","0.127","0.127","0.127","0.25","0.25","0.25","0.2965","0.2965","0.2965"
"1029","0.185","0.185","0.185","0.285","0.285","0.285","0.3265","0.3265","0.3265"
"1030","0.2075","0.2075","0.2075","0.2945","0.2945","0.2945","0.355","0.355","0.355"
"1031","0.226","0.226","0.226","0.3105","0.3105","0.3105","0.3525","0.3525","0.3525"
"1032","0.2345","0.2345","0.2345","0.319","0.319","0.319","0.358","0.358","0.358"
"1033","0.2405","0.2405","0.2405","0.3265","0.3265","0.3265","0.362","0.362","0.362"
"1034","0.245","0.245","0.245","0.32","0.32","0.32","0.361","0.361","0.361"
"1035","0.2525","0.2525","0.2525","0.318","0.318","0.318","0.3645","0.3645","0.3645"
"1036","0.258","0.258","0.258","0.321","0.321","0.321","0.3635","0.3635","0.3635"
"1037","0.259","0.259","0.259","0.322","0.322","0.322","0.368","0.368","0.368"
"1038","0.2635","0.2635","0.2635","0.3295","0.3295","0.3295","0.3735","0.3735","0.3735"
"1039","0.269","0.269","0.269","0.332","0.332","0.332","0.371","0.371","0.371"
"1040","0.27","0.27","0.27","0.332","0.332","0.332","0.3735","0.3735","0.3735"
"1041","0.2695","0.2695","0.2695","0.3405","0.3405","0.3405","0.375","0.375","0.375"
"1042","0.271","0.271","0.271","0.3395","0.3395","0.3395","0.376","0.376","0.376"
"1043","0.275","0.275","0.275","0.3415","0.3415","0.3415","0.3815","0.3815","0.3815"
"1044","0.2795","0.2795","0.2795","0.3415","0.3415","0.3415","0.379","0.379","0.379"
"1045","0.2755","0.2755","0.2755","0.3445","0.3445","0.3445","0.3755","0.3755","0.3755"
"1046","0.2815","0.2815","0.2815","0.3465","0.3465","0.3465","0.378","0.378","0.378"
"1047","0.2735","0.2735","0.2735","0.3405","0.3405","0.3405","0.373","0.373","0.373"
"1048","0.2815","0.2815","0.2815","0.3465","0.3465","0.3465","0.3755","0.3755","0.3755"
"1049","0.2815","0.2815","0.2815","0.34","0.34","0.34","0.376","0.376","0.376"
"1050","0","0","0","0.036","0.036","0.036","0.0295","0.0295","0.0295"
"1051","0","0","0","0.118","0.118","0.118","0.1445","0.1445","0.1445"
"1052","0.017","0.017","0.017","0.225","0.225","0.225","0.274","0.274","0.274"
"1053","0.121","0.121","0.121","0.268","0.268","0.268","0.326","0.326","0.326"
"1054","0.1635","0.1635","0.1635","0.2935","0.2935","0.2935","0.36","0.36","0.36"
"1055","0.1915","0.1915","0.1915","0.3235","0.3235","0.3235","0.3855","0.3855","0.3855"
"1056","0.2305","0.2305","0.2305","0.3315","0.3315","0.3315","0.3845","0.3845","0.3845"
"1057","0.2515","0.2515","0.2515","0.335","0.335","0.335","0.387","0.387","0.387"
"1058","0.267","0.267","0.267","0.3395","0.3395","0.3395","0.389","0.389","0.389"
"1059","0.274","0.274","0.274","0.3445","0.3445","0.3445","0.3925","0.3925","0.3925"
"1060","0.284","0.284","0.284","0.3445","0.3445","0.3445","0.397","0.397","0.397"
"1061","0.285","0.285","0.285","0.3495","0.3495","0.3495","0.3965","0.3965","0.3965"
"1062","0.284","0.284","0.284","0.355","0.355","0.355","0.3945","0.3945","0.3945"
"1063","0.287","0.287","0.287","0.3655","0.3655","0.3655","0.393","0.393","0.393"
"1064","0.293","0.293","0.293","0.362","0.362","0.362","0.3905","0.3905","0.3905"
"1065","0.2925","0.2925","0.2925","0.372","0.372","0.372","0.3995","0.3995","0.3995"
"1066","0.29","0.29","0.29","0.361","0.361","0.361","0.395","0.395","0.395"
"1067","0.292","0.292","0.292","0.3685","0.3685","0.3685","0.3995","0.3995","0.3995"
"1068","0.3015","0.3015","0.3015","0.3595","0.3595","0.3595","0.395","0.395","0.395"
"1069","0.2985","0.2985","0.2985","0.3695","0.3695","0.3695","0.402","0.402","0.402"
"1070","0.3025","0.3025","0.3025","0.3665","0.3665","0.3665","0.3995","0.3995","0.3995"
"1071","0.305","0.305","0.305","0.367","0.367","0.367","0.398","0.398","0.398"
"1072","0.294","0.294","0.294","0.3695","0.3695","0.3695","0.4045","0.4045","0.4045"
"1073","0.297","0.297","0.297","0.369","0.369","0.369","0.409","0.409","0.409"
"1074","0.3015","0.3015","0.3015","0.371","0.371","0.371","0.4005","0.4005","0.4005"
"1075","0","0","0","0.0975","0.0975","0.0975","0.1035","0.1035","0.1035"
"1076","0","0","0","0.1665","0.1665","0.1665","0.2115","0.2115","0.2115"
"1077","0.0125","0.0125","0.0125","0.2825","0.2825","0.2825","0.3295","0.3295","0.3295"
"1078","0.132","0.132","0.132","0.334","0.334","0.334","0.3905","0.3905","0.3905"
"1079","0.1725","0.1725","0.1725","0.3655","0.3655","0.3655","0.4155","0.4155","0.4155"
"1080","0.2035","0.2035","0.2035","0.3895","0.3895","0.3895","0.4385","0.4385","0.4385"
"1081","0.218","0.218","0.218","0.4035","0.4035","0.4035","0.4425","0.4425","0.4425"
"1082","0.234","0.234","0.234","0.414","0.414","0.414","0.45","0.45","0.45"
"1083","0.238","0.238","0.238","0.416","0.416","0.416","0.4565","0.4565","0.4565"
"1084","0.244","0.244","0.244","0.42","0.42","0.42","0.4575","0.4575","0.4575"
"1085","0.243","0.243","0.243","0.4205","0.4205","0.4205","0.4595","0.4595","0.4595"
"1086","0.252","0.252","0.252","0.424","0.424","0.424","0.467","0.467","0.467"
"1087","0.253","0.253","0.253","0.425","0.425","0.425","0.4615","0.4615","0.4615"
"1088","0.254","0.254","0.254","0.4285","0.4285","0.4285","0.4615","0.4615","0.4615"
"1089","0.2555","0.2555","0.2555","0.4225","0.4225","0.4225","0.462","0.462","0.462"
"1090","0.2545","0.2545","0.2545","0.4255","0.4255","0.4255","0.4635","0.4635","0.4635"
"1091","0.2545","0.2545","0.2545","0.431","0.431","0.431","0.4665","0.4665","0.4665"
"1092","0.2635","0.2635","0.2635","0.4335","0.4335","0.4335","0.4655","0.4655","0.4655"
"1093","0.267","0.267","0.267","0.4325","0.4325","0.4325","0.466","0.466","0.466"
"1094","0.2625","0.2625","0.2625","0.4385","0.4385","0.4385","0.4765","0.4765","0.4765"
"1095","0.263","0.263","0.263","0.4305","0.4305","0.4305","0.468","0.468","0.468"
"1096","0.269","0.269","0.269","0.4335","0.4335","0.4335","0.472","0.472","0.472"
"1097","0.2655","0.2655","0.2655","0.4385","0.4385","0.4385","0.476","0.476","0.476"
"1098","0.268","0.268","0.268","0.4405","0.4405","0.4405","0.4725","0.4725","0.4725"
"1099","0.268","0.268","0.268","0.4415","0.4415","0.4415","0.476","0.476","0.476"
"1100","0","0","0","0.04","0.04","0.04","0.042","0.042","0.042"
"1101","0","0","0","0.1395","0.1395","0.1395","0.2135","0.2135","0.2135"
"1102","0.0225","0.0225","0.0225","0.264","0.264","0.264","0.3415","0.3415","0.3415"
"1103","0.092","0.092","0.092","0.3115","0.3115","0.3115","0.3895","0.3895","0.3895"
"1104","0.1385","0.1385","0.1385","0.3255","0.3255","0.3255","0.4065","0.4065","0.4065"
"1105","0.1685","0.1685","0.1685","0.3455","0.3455","0.3455","0.421","0.421","0.421"
"1106","0.199","0.199","0.199","0.362","0.362","0.362","0.4325","0.4325","0.4325"
"1107","0.2125","0.2125","0.2125","0.3715","0.3715","0.3715","0.4415","0.4415","0.4415"
"1108","0.2205","0.2205","0.2205","0.3775","0.3775","0.3775","0.4475","0.4475","0.4475"
"1109","0.22","0.22","0.22","0.3805","0.3805","0.3805","0.45","0.45","0.45"
"1110","0.239","0.239","0.239","0.387","0.387","0.387","0.452","0.452","0.452"
"1111","0.2405","0.2405","0.2405","0.3955","0.3955","0.3955","0.459","0.459","0.459"
"1112","0.25","0.25","0.25","0.397","0.397","0.397","0.453","0.453","0.453"
"1113","0.259","0.259","0.259","0.4025","0.4025","0.4025","0.465","0.465","0.465"
"1114","0.2575","0.2575","0.2575","0.3955","0.3955","0.3955","0.4555","0.4555","0.4555"
"1115","0.2595","0.2595","0.2595","0.406","0.406","0.406","0.461","0.461","0.461"
"1116","0.259","0.259","0.259","0.407","0.407","0.407","0.465","0.465","0.465"
"1117","0.2645","0.2645","0.2645","0.402","0.402","0.402","0.466","0.466","0.466"
"1118","0.263","0.263","0.263","0.411","0.411","0.411","0.469","0.469","0.469"
"1119","0.2635","0.2635","0.2635","0.4115","0.4115","0.4115","0.4625","0.4625","0.4625"
"1120","0.265","0.265","0.265","0.4065","0.4065","0.4065","0.467","0.467","0.467"
"1121","0.268","0.268","0.268","0.408","0.408","0.408","0.4715","0.4715","0.4715"
"1122","0.2705","0.2705","0.2705","0.4125","0.4125","0.4125","0.471","0.471","0.471"
"1123","0.2745","0.2745","0.2745","0.415","0.415","0.415","0.4715","0.4715","0.4715"
"1124","0.2735","0.2735","0.2735","0.4205","0.4205","0.4205","0.4715","0.4715","0.4715"
"1125","0","0","0","0.044","0.044","0.044","0.0445","0.0445","0.0445"
"1126","0","0","0","0.173","0.173","0.173","0.214","0.214","0.214"
"1127","0.0015","0.0015","0.0015","0.2765","0.2765","0.2765","0.338","0.338","0.338"
"1128","0.097","0.097","0.097","0.3555","0.3555","0.3555","0.4205","0.4205","0.4205"
"1129","0.1675","0.1675","0.1675","0.3975","0.3975","0.3975","0.463","0.463","0.463"
"1130","0.184","0.184","0.184","0.4175","0.4175","0.4175","0.4745","0.4745","0.4745"
"1131","0.198","0.198","0.198","0.4225","0.4225","0.4225","0.4855","0.4855","0.4855"
"1132","0.2105","0.2105","0.2105","0.427","0.427","0.427","0.49","0.49","0.49"
"1133","0.216","0.216","0.216","0.424","0.424","0.424","0.4845","0.4845","0.4845"
"1134","0.2295","0.2295","0.2295","0.429","0.429","0.429","0.4875","0.4875","0.4875"
"1135","0.2355","0.2355","0.2355","0.4305","0.4305","0.4305","0.4905","0.4905","0.4905"
"1136","0.241","0.241","0.241","0.4305","0.4305","0.4305","0.4895","0.4895","0.4895"
"1137","0.24","0.24","0.24","0.4405","0.4405","0.4405","0.4945","0.4945","0.4945"
"1138","0.2455","0.2455","0.2455","0.4405","0.4405","0.4405","0.493","0.493","0.493"
"1139","0.2505","0.2505","0.2505","0.438","0.438","0.438","0.492","0.492","0.492"
"1140","0.247","0.247","0.247","0.4425","0.4425","0.4425","0.4975","0.4975","0.4975"
"1141","0.2445","0.2445","0.2445","0.449","0.449","0.449","0.496","0.496","0.496"
"1142","0.248","0.248","0.248","0.4455","0.4455","0.4455","0.497","0.497","0.497"
"1143","0.246","0.246","0.246","0.446","0.446","0.446","0.4995","0.4995","0.4995"
"1144","0.247","0.247","0.247","0.4465","0.4465","0.4465","0.497","0.497","0.497"
"1145","0.2455","0.2455","0.2455","0.4465","0.4465","0.4465","0.499","0.499","0.499"
"1146","0.249","0.249","0.249","0.4475","0.4475","0.4475","0.4945","0.4945","0.4945"
"1147","0.2535","0.2535","0.2535","0.456","0.456","0.456","0.498","0.498","0.498"
"1148","0.2585","0.2585","0.2585","0.458","0.458","0.458","0.491","0.491","0.491"
"1149","0.261","0.261","0.261","0.4595","0.4595","0.4595","0.494","0.494","0.494"
"1150","0","0","0","0.0885","0.0885","0.0885","0.094","0.094","0.094"
"1151","0","0","0","0.172","0.172","0.172","0.2305","0.2305","0.2305"
"1152","0.021","0.021","0.021","0.2695","0.2695","0.2695","0.337","0.337","0.337"
"1153","0.122","0.122","0.122","0.325","0.325","0.325","0.385","0.385","0.385"
"1154","0.16","0.16","0.16","0.34","0.34","0.34","0.3965","0.3965","0.3965"
"1155","0.176","0.176","0.176","0.348","0.348","0.348","0.4205","0.4205","0.4205"
"1156","0.191","0.191","0.191","0.3575","0.3575","0.3575","0.426","0.426","0.426"
"1157","0.208","0.208","0.208","0.362","0.362","0.362","0.428","0.428","0.428"
"1158","0.2155","0.2155","0.2155","0.3585","0.3585","0.3585","0.4255","0.4255","0.4255"
"1159","0.2225","0.2225","0.2225","0.371","0.371","0.371","0.4225","0.4225","0.4225"
"1160","0.233","0.233","0.233","0.372","0.372","0.372","0.4265","0.4265","0.4265"
"1161","0.2355","0.2355","0.2355","0.377","0.377","0.377","0.4305","0.4305","0.4305"
"1162","0.2485","0.2485","0.2485","0.381","0.381","0.381","0.4215","0.4215","0.4215"
"1163","0.253","0.253","0.253","0.386","0.386","0.386","0.4235","0.4235","0.4235"
"1164","0.2605","0.2605","0.2605","0.387","0.387","0.387","0.421","0.421","0.421"
"1165","0.2645","0.2645","0.2645","0.386","0.386","0.386","0.4245","0.4245","0.4245"
"1166","0.268","0.268","0.268","0.3875","0.3875","0.3875","0.4275","0.4275","0.4275"
