"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"7377","0.987","0.987","0.987"
"7382","0.989","0.989","0.989"
"7384","0.988","0.988","0.988"
"7387","0.99","0.99","0.99"
"7391","0.989","0.989","0.989"
"7398","0.988","0.988","0.988"
"7402","0.989","0.989","0.989"
"7403","0.988","0.988","0.988"
"7405","0.988","0.988","0.988"
"7408","0.989","0.989","0.989"
"7410","0.99","0.99","0.99"
"7413","0.989","0.989","0.989"
"7419","0.99","0.99","0.99"
"7421","0.99","0.99","0.99"
"7423","0.989","0.989","0.989"
"7424","0.988","0.988","0.988"
"7427","0.988","0.988","0.988"
"7431","0.988","0.988","0.988"
"7432","0.99","0.99","0.99"
"7433","0.99","0.99","0.99"
"7434","0.99","0.99","0.99"
"7435","0.987","0.987","0.987"
"7443","0.99","0.99","0.99"
"7445","0.989","0.989","0.989"
"7452","0.989","0.989","0.989"
"7455","0.988","0.988","0.988"
"7460","0.989","0.989","0.989"
"7461","0.988","0.988","0.988"
"7466","0.99","0.99","0.99"
"7467","0.989","0.989","0.989"
"7470","0.99","0.99","0.99"
"7472","0.989","0.989","0.989"
"7474","0.988","0.988","0.988"
"7476","0.991","0.991","0.991"
"7477","0.991","0.991","0.991"
"7479","0.988","0.988","0.988"
"7480","0.988","0.988","0.988"
"7481","0.99","0.99","0.99"
"7483","0.989","0.989","0.989"
"7490","0.988","0.988","0.988"
"7491","0.989","0.989","0.989"
"7492","0.989","0.989","0.989"
"7493","0.989","0.989","0.989"
"7494","0.99","0.99","0.99"
"7497","0.991","0.991","0.991"
"7502","0.989","0.989","0.989"
"7503","0.991","0.991","0.991"
"7505","0.992","0.992","0.992"
"7508","0.99","0.99","0.99"
"7512","0.99","0.99","0.99"
"7513","0.99","0.99","0.99"
"7515","0.989","0.989","0.989"
"7517","0.99","0.99","0.99"
"7518","0.989","0.989","0.989"
"7519","0.989","0.989","0.989"
"7521","0.988","0.988","0.988"
"7526","0.99","0.99","0.99"
"7527","0.989","0.989","0.989"
"7528","0.99","0.99","0.99"
"7535","0.991","0.991","0.991"
"7536","0.99","0.99","0.99"
"7537","0.99","0.99","0.99"
"7539","0.99","0.99","0.99"
"7542","0.989","0.989","0.989"
"7544","0.99","0.99","0.99"
"7545","0.989","0.989","0.989"
"7547","0.99","0.99","0.99"
"7548","0.989","0.989","0.989"
"7550","0.99","0.99","0.99"
"7553","0.99","0.99","0.99"
"7554","0.99","0.99","0.99"
"7555","0.991","0.991","0.991"
"7558","0.99","0.99","0.99"
"7559","0.986","0.986","0.986"
"7560","0.988","0.988","0.988"
"7572","0.991","0.991","0.991"
"7576","0.99","0.99","0.99"
"7579","0.991","0.991","0.991"
"7584","0.99","0.99","0.99"
"7585","0.988","0.988","0.988"
"7588","0.988","0.988","0.988"
"7589","0.99","0.99","0.99"
"7595","0.989","0.989","0.989"
"7599","0.99","0.99","0.99"
"7600","0.99","0.99","0.99"
"7601","0.99","0.99","0.99"
"7603","0.99","0.99","0.99"
"7609","0.99","0.99","0.99"
"7611","0.991","0.991","0.991"
"7614","0.991","0.991","0.991"
"7617","0.985","0.985","0.985"
"7620","0.991","0.991","0.991"
"7621","0.991","0.991","0.991"
"7627","0.991","0.991","0.991"
"7630","0.99","0.99","0.99"
"7639","0.991","0.991","0.991"
"7645","0.99","0.99","0.99"
"7646","0.99","0.99","0.99"
"7648","0.99","0.99","0.99"
"7649","0.991","0.991","0.991"
"7653","0.99","0.99","0.99"
"7656","0.991","0.991","0.991"
"7658","0.991","0.991","0.991"
"7659","0.99","0.99","0.99"
"7660","0.992","0.992","0.992"
"7662","0.992","0.992","0.992"
"7664","0.99","0.99","0.99"
"7665","0.99","0.99","0.99"
"7666","0.99","0.99","0.99"
"7667","0.991","0.991","0.991"
"7668","0.99","0.99","0.99"
"7670","0.99","0.99","0.99"
"7672","0.991","0.991","0.991"
"7675","0.99","0.99","0.99"
"7677","0.991","0.991","0.991"
"7678","0.989","0.989","0.989"
"7679","0.991","0.991","0.991"
"7680","0.99","0.99","0.99"
"7681","0.991","0.991","0.991"
"7682","0.991","0.991","0.991"
"7684","0.99","0.99","0.99"
"7685","0.989","0.989","0.989"
"7688","0.99","0.99","0.99"
"7689","0.991","0.991","0.991"
"7690","0.991","0.991","0.991"
"7693","0.989","0.989","0.989"
"7696","0.988","0.988","0.988"
"7698","0.99","0.99","0.99"
"7700","0.99","0.99","0.99"
"7701","0.99","0.99","0.99"
"7706","0.989","0.989","0.989"
"7711","0.989","0.989","0.989"
"7714","0.99","0.99","0.99"
"7716","0.99","0.99","0.99"
"7717","0.991","0.991","0.991"
"7721","0.988","0.988","0.988"
"7723","0.989","0.989","0.989"
"7724","0.99","0.99","0.99"
"7727","0.991","0.991","0.991"
"7729","0.989","0.989","0.989"
"7731","0.99","0.99","0.99"
"7732","0.99","0.99","0.99"
"7734","0.991","0.991","0.991"
"7736","0.989","0.989","0.989"
"7738","0.989","0.989","0.989"
"7746","0.987","0.987","0.987"
"7749","0.99","0.99","0.99"
"7750","0.992","0.992","0.992"
"7751","0.991","0.991","0.991"
"7755","0.99","0.99","0.99"
"7756","0.991","0.991","0.991"
"7757","0.992","0.992","0.992"
"7758","0.99","0.99","0.99"
"7764","0.99","0.99","0.99"
"7766","0.989","0.989","0.989"
"7767","0.988","0.988","0.988"
"7769","0.99","0.99","0.99"
"7776","0.99","0.99","0.99"
"7778","0.989","0.989","0.989"
"7780","0.991","0.991","0.991"
"7785","0.99","0.99","0.99"
"7790","0.991","0.991","0.991"
"7792","0.991","0.991","0.991"
"7793","0.992","0.992","0.992"
"7795","0.99","0.99","0.99"
"7797","0.991","0.991","0.991"
"7798","0.992","0.992","0.992"
"7799","0.991","0.991","0.991"
"7802","0.99","0.99","0.99"
"7804","0.99","0.99","0.99"
"7808","0.989","0.989","0.989"
"7809","0.991","0.991","0.991"
"7811","0.991","0.991","0.991"
"7816","0.99","0.99","0.99"
"7817","0.989","0.989","0.989"
"7820","0.99","0.99","0.99"
"7822","0.991","0.991","0.991"
"7825","0.991","0.991","0.991"
"7826","0.99","0.99","0.99"
"7835","0.989","0.989","0.989"
"7840","0.99","0.99","0.99"
"7841","0.99","0.99","0.99"
"7844","0.989","0.989","0.989"
"7848","0.991","0.991","0.991"
"7855","0.992","0.992","0.992"
"7860","0.991","0.991","0.991"
"7862","0.99","0.99","0.99"
"7863","0.99","0.99","0.99"
"7868","0.991","0.991","0.991"
"7871","0.991","0.991","0.991"
"7874","0.989","0.989","0.989"
"7875","0.989","0.989","0.989"
"7878","0.989","0.989","0.989"
"7882","0.989","0.989","0.989"
"7883","0.99","0.99","0.99"
"7884","0.989","0.989","0.989"
"7888","0.99","0.99","0.99"
"7889","0.99","0.99","0.99"
"7893","0.989","0.989","0.989"
"7894","0.989","0.989","0.989"
"7895","0.991","0.991","0.991"
"7898","0.99","0.99","0.99"
"7899","0.991","0.991","0.991"
"7900","0.99","0.99","0.99"
"7901","0.99","0.99","0.99"
"7907","0.989","0.989","0.989"
"7908","0.991","0.991","0.991"
"7912","0.99","0.99","0.99"
"7914","0.99","0.99","0.99"
"7917","0.99","0.99","0.99"
"7920","0.989","0.989","0.989"
"7924","0.992","0.992","0.992"
"7925","0.991","0.991","0.991"
"7930","0.99","0.99","0.99"
"7935","0.989","0.989","0.989"
"7938","0.989","0.989","0.989"
"7940","0.99","0.99","0.99"
"7942","0.989","0.989","0.989"
"7946","0.989","0.989","0.989"
"7950","0.989","0.989","0.989"
"7954","0.989","0.989","0.989"
"7955","0.989","0.989","0.989"
"7958","0.99","0.99","0.99"
"7962","0.989","0.989","0.989"
"7964","0.989","0.989","0.989"
"7965","0.991","0.991","0.991"
"7968","0.989","0.989","0.989"
"7973","0.989","0.989","0.989"
"7982","0.99","0.99","0.99"
"7983","0.989","0.989","0.989"
"7985","0.99","0.99","0.99"
"7986","0.991","0.991","0.991"
"7987","0.991","0.991","0.991"
"7988","0.989","0.989","0.989"
"7994","0.99","0.99","0.99"
"7995","0.989","0.989","0.989"
"7996","0.99","0.99","0.99"
"8001","0.38","0.38","0.38"
"8002","0.433","0.433","0.433"
"8003","0.485","0.485","0.485"
"8005","0.494","0.494","0.494"
"8009","0.494","0.494","0.494"
"8011","0.494","0.494","0.494"
"8014","0.533","0.533","0.533"
"8017","0.536","0.536","0.536"
"8018","0.563","0.563","0.563"
"8021","0.618","0.618","0.618"
"8024","0.681","0.681","0.681"
"8027","0.705","0.705","0.705"
"8028","0.693","0.693","0.693"
"8029","0.751","0.751","0.751"
"8031","0.728","0.728","0.728"
"8035","0.835","0.835","0.835"
"8037","0.845","0.845","0.845"
"8038","0.92","0.92","0.92"
"8040","0.953","0.953","0.953"
"8041","0.92","0.92","0.92"
"8047","0.742","0.742","0.742"
"8048","0.759","0.759","0.759"
"8049","0.795","0.795","0.795"
"8055","0.924","0.924","0.924"
"8058","0.978","0.978","0.978"
"8060","0.981","0.981","0.981"
"8065","0.913","0.913","0.913"
"8067","0.956","0.956","0.956"
"8068","0.973","0.973","0.973"
"8072","0.912","0.912","0.912"
"8074","0.979","0.979","0.979"
"8075","0.984","0.984","0.984"
"8078","0.981","0.981","0.981"
"8081","0.985","0.985","0.985"
"8082","0.983","0.983","0.983"
"8083","0.942","0.942","0.942"
"8089","0.984","0.984","0.984"
"8099","0.987","0.987","0.987"
"8100","0.987","0.987","0.987"
"8103","0.987","0.987","0.987"
"8104","0.988","0.988","0.988"
"8107","0.988","0.988","0.988"
"8108","0.979","0.979","0.979"
"8110","0.986","0.986","0.986"
"8113","0.987","0.987","0.987"
"8118","0.989","0.989","0.989"
"8125","0.988","0.988","0.988"
"8132","0.988","0.988","0.988"
"8133","0.988","0.988","0.988"
"8135","0.983","0.983","0.983"
"8136","0.987","0.987","0.987"
"8137","0.987","0.987","0.987"
"8138","0.987","0.987","0.987"
"8141","0.99","0.99","0.99"
"8142","0.988","0.988","0.988"
"8147","0.792","0.792","0.792"
"8148","0.792","0.792","0.792"
"8150","0.966","0.966","0.966"
"8152","0.983","0.983","0.983"
"8153","0.954","0.954","0.954"
"8155","0.947","0.947","0.947"
"8158","0.984","0.984","0.984"
"8160","0.988","0.988","0.988"
"8169","0.988","0.988","0.988"
"8175","0.989","0.989","0.989"
"8182","0.99","0.99","0.99"
"8185","0.883","0.883","0.883"
"8192","0.988","0.988","0.988"
"8194","0.989","0.989","0.989"
"8195","0.989","0.989","0.989"
"8196","0.988","0.988","0.988"
"8197","0.989","0.989","0.989"
"8199","0.989","0.989","0.989"
"8200","0.986","0.986","0.986"
"8201","0.986","0.986","0.986"
"8202","0.988","0.988","0.988"
"8204","0.99","0.99","0.99"
"8206","0.989","0.989","0.989"
"8210","0.988","0.988","0.988"
"8218","0.991","0.991","0.991"
"8223","0.99","0.99","0.99"
"8224","0.989","0.989","0.989"
"8226","0.989","0.989","0.989"
"8239","0.989","0.989","0.989"
"8242","0.989","0.989","0.989"
"8243","0.99","0.99","0.99"
"8247","0.989","0.989","0.989"
"8249","0.988","0.988","0.988"
"8250","0.988","0.988","0.988"
"8253","0.989","0.989","0.989"
"8256","0.989","0.989","0.989"
"8266","0.989","0.989","0.989"
"8267","0.989","0.989","0.989"
"8268","0.989","0.989","0.989"
"8275","0.989","0.989","0.989"
"8276","0.989","0.989","0.989"
"8279","0.989","0.989","0.989"
"8283","0.99","0.99","0.99"
"8287","0.99","0.99","0.99"
"8290","0.99","0.99","0.99"
"8292","0.99","0.99","0.99"
"8293","0.99","0.99","0.99"
"8297","0.991","0.991","0.991"
"8300","0.99","0.99","0.99"
"8302","0.99","0.99","0.99"
"8304","0.991","0.991","0.991"
"8305","0.99","0.99","0.99"
"8306","0.991","0.991","0.991"
"8307","0.991","0.991","0.991"
"8311","0.99","0.99","0.99"
"8313","0.99","0.99","0.99"
"8314","0.99","0.99","0.99"
"8315","0.991","0.991","0.991"
"8320","0.992","0.992","0.992"
"8322","0.99","0.99","0.99"
"8329","0.99","0.99","0.99"
"8330","0.991","0.991","0.991"
"8339","0.992","0.992","0.992"
"8340","0.991","0.991","0.991"
"8348","0.991","0.991","0.991"
"8353","0.991","0.991","0.991"
"8358","0.992","0.992","0.992"
"8360","0.991","0.991","0.991"
"8362","0.991","0.991","0.991"
"8363","0.99","0.99","0.99"
"8365","0.99","0.99","0.99"
"8368","0.992","0.992","0.992"
"8370","0.991","0.991","0.991"
"8371","0.991","0.991","0.991"
"8372","0.991","0.991","0.991"
"8377","0.991","0.991","0.991"
"8382","0.992","0.992","0.992"
"8383","0.991","0.991","0.991"
"8387","0.99","0.99","0.99"
"8393","0.991","0.991","0.991"
"8400","0.98","0.98","0.98"
"8401","0.974","0.974","0.974"
"8413","0.99","0.99","0.99"
"8415","0.99","0.99","0.99"
"8420","0.992","0.992","0.992"
"8424","0.99","0.99","0.99"
"8426","0.99","0.99","0.99"
"8427","0.99","0.99","0.99"
"8433","0.992","0.992","0.992"
"8438","0.991","0.991","0.991"
"8442","0.989","0.989","0.989"
"8445","0.99","0.99","0.99"
"8448","0.99","0.99","0.99"
"8449","0.99","0.99","0.99"
"8452","0.99","0.99","0.99"
"8454","0.991","0.991","0.991"
"8458","0.991","0.991","0.991"
"8460","0.988","0.988","0.988"
"8464","0.991","0.991","0.991"
"8466","0.991","0.991","0.991"
"8469","0.991","0.991","0.991"
"8470","0.99","0.99","0.99"
"8474","0.992","0.992","0.992"
"8477","0.992","0.992","0.992"
"8480","0.992","0.992","0.992"
"8481","0.991","0.991","0.991"
"8483","0.991","0.991","0.991"
"8487","0.991","0.991","0.991"
"8488","0.99","0.99","0.99"
"8489","0.991","0.991","0.991"
"8490","0.991","0.991","0.991"
"8493","0.99","0.99","0.99"
"8494","0.989","0.989","0.989"
"8498","0.99","0.99","0.99"
"8499","0.992","0.992","0.992"
"8502","0.989","0.989","0.989"
"8503","0.989","0.989","0.989"
"8506","0.991","0.991","0.991"
"8507","0.99","0.99","0.99"
"8508","0.99","0.99","0.99"
"8509","0.99","0.99","0.99"
"8513","0.992","0.992","0.992"
"8518","0.992","0.992","0.992"
"8520","0.992","0.992","0.992"
"8538","0.992","0.992","0.992"
"8539","0.991","0.991","0.991"
"8541","0.992","0.992","0.992"
"8543","0.992","0.992","0.992"
"8544","0.991","0.991","0.991"
"8547","0.992","0.992","0.992"
"8551","0.992","0.992","0.992"
"8552","0.99","0.99","0.99"
"8554","0.992","0.992","0.992"
"8555","0.991","0.991","0.991"
"8556","0.991","0.991","0.991"
"8560","0.991","0.991","0.991"
"8563","0.99","0.99","0.99"
"8565","0.991","0.991","0.991"
"8567","0.991","0.991","0.991"
"8568","0.991","0.991","0.991"
"8571","0.991","0.991","0.991"
"8572","0.99","0.99","0.99"
"8578","0.992","0.992","0.992"
"8581","0.992","0.992","0.992"
"8582","0.99","0.99","0.99"
"8591","0.992","0.992","0.992"
"8592","0.991","0.991","0.991"
"8595","0.992","0.992","0.992"
"8600","0.991","0.991","0.991"
"8605","0.992","0.992","0.992"
"8606","0.992","0.992","0.992"
"8609","0.992","0.992","0.992"
"8613","0.991","0.991","0.991"
"8614","0.991","0.991","0.991"
"8620","0.991","0.991","0.991"
"8623","0.991","0.991","0.991"
"8626","0.991","0.991","0.991"
"8627","0.991","0.991","0.991"
"8630","0.991","0.991","0.991"
"8633","0.99","0.99","0.99"
"8637","0.992","0.992","0.992"
"8638","0.991","0.991","0.991"
"8642","0.991","0.991","0.991"
"8645","0.991","0.991","0.991"
"8651","0.993","0.993","0.993"
"8652","0.992","0.992","0.992"
"8653","0.991","0.991","0.991"
"8654","0.991","0.991","0.991"
"8655","0.991","0.991","0.991"
"8656","0.993","0.993","0.993"
"8657","0.991","0.991","0.991"
"8658","0.991","0.991","0.991"
"8660","0.991","0.991","0.991"
"8663","0.991","0.991","0.991"
"8664","0.991","0.991","0.991"
"8668","0.98","0.98","0.98"
"8670","0.989","0.989","0.989"
"8672","0.99","0.99","0.99"
"8673","0.991","0.991","0.991"
"8674","0.99","0.99","0.99"
"8678","0.99","0.99","0.99"
"8683","0.989","0.989","0.989"
"8685","0.991","0.991","0.991"
"8686","0.99","0.99","0.99"
"8689","0.99","0.99","0.99"
"8690","0.991","0.991","0.991"
"8694","0.991","0.991","0.991"
"8703","0.755","0.755","0.755"
"8706","0.979","0.979","0.979"
"8707","0.934","0.934","0.934"
"8709","0.959","0.959","0.959"
"8712","0.94","0.94","0.94"
"8714","0.973","0.973","0.973"
"8716","0.983","0.983","0.983"
"8717","0.982","0.982","0.982"
"8719","0.984","0.984","0.984"
"8720","0.987","0.987","0.987"
"8728","0.987","0.987","0.987"
"8729","0.985","0.985","0.985"
"8731","0.956","0.956","0.956"
"8733","0.978","0.978","0.978"
"8734","0.987","0.987","0.987"
"8738","0.985","0.985","0.985"
"8741","0.989","0.989","0.989"
"8747","0.99","0.99","0.99"
"8748","0.988","0.988","0.988"
"8749","0.989","0.989","0.989"
"8753","0.989","0.989","0.989"
"8755","0.99","0.99","0.99"
"8758","0.988","0.988","0.988"
"8759","0.989","0.989","0.989"
"8760","0.987","0.987","0.987"
"8761","0.982","0.982","0.982"
"8763","0.964","0.964","0.964"
"8773","0.987","0.987","0.987"
"8775","0.988","0.988","0.988"
"8780","0.986","0.986","0.986"
"8782","0.988","0.988","0.988"
"8783","0.99","0.99","0.99"
"8787","0.989","0.989","0.989"
"8798","0.99","0.99","0.99"
"8801","0.99","0.99","0.99"
"8804","0.99","0.99","0.99"
"8805","0.992","0.992","0.992"
"8808","0.991","0.991","0.991"
"8812","0.991","0.991","0.991"
"8815","0.99","0.99","0.99"
"8822","0.992","0.992","0.992"
"8823","0.992","0.992","0.992"
"8825","0.992","0.992","0.992"
"8826","0.992","0.992","0.992"
"8830","0.992","0.992","0.992"
"8832","0.992","0.992","0.992"
"8836","0.992","0.992","0.992"
"8841","0.992","0.992","0.992"
"8842","0.99","0.99","0.99"
"8847","0.99","0.99","0.99"
"8848","0.991","0.991","0.991"
"8850","0.99","0.99","0.99"
"8856","0.991","0.991","0.991"
"8857","0.991","0.991","0.991"
"8859","0.991","0.991","0.991"
"8860","0.99","0.99","0.99"
"8863","0.991","0.991","0.991"
"8879","0.992","0.992","0.992"
"8881","0.991","0.991","0.991"
"8889","0.992","0.992","0.992"
"8892","0.992","0.992","0.992"
"8894","0.99","0.99","0.99"
"8898","0.991","0.991","0.991"
"8901","0.991","0.991","0.991"
"8903","0.991","0.991","0.991"
"8906","0.99","0.99","0.99"
"8908","0.991","0.991","0.991"
"8914","0.991","0.991","0.991"
"8921","0.992","0.992","0.992"
"8924","0.991","0.991","0.991"
"8925","0.991","0.991","0.991"
"8930","0.992","0.992","0.992"
"8931","0.99","0.99","0.99"
"8932","0.99","0.99","0.99"
"8936","0.99","0.99","0.99"
"8939","0.895","0.895","0.895"
"8947","0.973","0.973","0.973"
"8950","0.981","0.981","0.981"
"8951","0.983","0.983","0.983"
"8953","0.979","0.979","0.979"
"8958","0.986","0.986","0.986"
"8970","0.989","0.989","0.989"
"8974","0.99","0.99","0.99"
"8977","0.989","0.989","0.989"
"8980","0.988","0.988","0.988"
"8981","0.989","0.989","0.989"
"8982","0.99","0.99","0.99"
"8987","0.99","0.99","0.99"
"8991","0.989","0.989","0.989"
"8993","0.988","0.988","0.988"
"8994","0.991","0.991","0.991"
"8997","0.992","0.992","0.992"
"9000","0","0","0"
"9005","0.491","0.491","0.491"
"9008","0.495","0.495","0.495"
"9012","0.496","0.496","0.496"
"9018","0.508","0.508","0.508"
"9021","0.575","0.575","0.575"
"9022","0.62","0.62","0.62"
"9023","0.581","0.581","0.581"
"9027","0.639","0.639","0.639"
"9030","0.758","0.758","0.758"
"9031","0.806","0.806","0.806"
"9035","0.9","0.9","0.9"
"9037","0.92","0.92","0.92"
"9038","0.9","0.9","0.9"
"9042","0.883","0.883","0.883"
"9044","0.903","0.903","0.903"
"9053","0.978","0.978","0.978"
"9054","0.973","0.973","0.973"
"9058","0.979","0.979","0.979"
"9061","0.962","0.962","0.962"
"9065","0.985","0.985","0.985"
"9066","0.981","0.981","0.981"
"9067","0.984","0.984","0.984"
"9068","0.984","0.984","0.984"
"9070","0.982","0.982","0.982"
"9071","0.985","0.985","0.985"
"9073","0.985","0.985","0.985"
"9076","0.981","0.981","0.981"
"9078","0.983","0.983","0.983"
"9079","0.983","0.983","0.983"
"9086","0.984","0.984","0.984"
"9091","0.985","0.985","0.985"
"9096","0.985","0.985","0.985"
"9098","0.985","0.985","0.985"
"9104","0.986","0.986","0.986"
"9109","0.986","0.986","0.986"
"9112","0.987","0.987","0.987"
"9113","0.987","0.987","0.987"
"9115","0.986","0.986","0.986"
"9124","0.984","0.984","0.984"
"9125","0.986","0.986","0.986"
"9130","0.985","0.985","0.985"
"9131","0.986","0.986","0.986"
"9132","0.987","0.987","0.987"
"9136","0.986","0.986","0.986"
"9138","0.985","0.985","0.985"
"9140","0.987","0.987","0.987"
"9143","0.988","0.988","0.988"
"9145","0.987","0.987","0.987"
"9148","0.985","0.985","0.985"
"9150","0.986","0.986","0.986"
"9152","0.986","0.986","0.986"
"9153","0.985","0.985","0.985"
"9159","0.985","0.985","0.985"
"9160","0.987","0.987","0.987"
"9164","0.987","0.987","0.987"
"9169","0.986","0.986","0.986"
"9173","0.986","0.986","0.986"
"9177","0.986","0.986","0.986"
"9179","0.987","0.987","0.987"
"9181","0.988","0.988","0.988"
"9184","0.986","0.986","0.986"
"9187","0.986","0.986","0.986"
"9189","0.986","0.986","0.986"
"9190","0.987","0.987","0.987"
"9195","0.987","0.987","0.987"
"9198","0.986","0.986","0.986"
"9200","0.986","0.986","0.986"
"9203","0.986","0.986","0.986"
"9208","0.988","0.988","0.988"
"9209","0.987","0.987","0.987"
"9214","0.987","0.987","0.987"
"9217","0.988","0.988","0.988"
"9218","0.988","0.988","0.988"
"9220","0.986","0.986","0.986"
"9222","0.987","0.987","0.987"
"9223","0.985","0.985","0.985"
"9224","0.986","0.986","0.986"
"9227","0.987","0.987","0.987"
"9228","0.986","0.986","0.986"
"9231","0.987","0.987","0.987"
"9234","0.987","0.987","0.987"
"9236","0.986","0.986","0.986"
"9237","0.988","0.988","0.988"
"9239","0.988","0.988","0.988"
"9241","0.987","0.987","0.987"
"9242","0.986","0.986","0.986"
"9247","0.987","0.987","0.987"
"9249","0.986","0.986","0.986"
"9250","0.986","0.986","0.986"
"9251","0.986","0.986","0.986"
"9253","0.986","0.986","0.986"
"9254","0.986","0.986","0.986"
"9257","0.987","0.987","0.987"
"9262","0.987","0.987","0.987"
"9271","0.988","0.988","0.988"
"9282","0.987","0.987","0.987"
"9286","0.989","0.989","0.989"
"9290","0.987","0.987","0.987"
"9295","0.987","0.987","0.987"
"9299","0.988","0.988","0.988"
"9305","0.988","0.988","0.988"
"9309","0.989","0.989","0.989"
"9310","0.989","0.989","0.989"
"9312","0.988","0.988","0.988"
"9314","0.988","0.988","0.988"
"9318","0.988","0.988","0.988"
"9320","0.986","0.986","0.986"
"9321","0.987","0.987","0.987"
"9322","0.988","0.988","0.988"
"9323","0.987","0.987","0.987"
"9324","0.986","0.986","0.986"
"9330","0.988","0.988","0.988"
"9331","0.988","0.988","0.988"
"9333","0.988","0.988","0.988"
"9335","0.987","0.987","0.987"
"9339","0.988","0.988","0.988"
"9345","0.987","0.987","0.987"
"9346","0.986","0.986","0.986"
"9350","0.986","0.986","0.986"
"9352","0.987","0.987","0.987"
"9355","0.987","0.987","0.987"
"9357","0.986","0.986","0.986"
"9360","0.987","0.987","0.987"
"9361","0.989","0.989","0.989"
"9362","0.987","0.987","0.987"
"9367","0.986","0.986","0.986"
"9370","0.986","0.986","0.986"
"9373","0.986","0.986","0.986"
"9375","0.988","0.988","0.988"
"9382","0.989","0.989","0.989"
"9385","0.987","0.987","0.987"
"9387","0.987","0.987","0.987"
"9389","0.987","0.987","0.987"
"9390","0.988","0.988","0.988"
"9393","0.987","0.987","0.987"
"9395","0.987","0.987","0.987"
"9396","0.987","0.987","0.987"
"9398","0.988","0.988","0.988"
"9401","0.987","0.987","0.987"
"9406","0.987","0.987","0.987"
"9407","0.987","0.987","0.987"
"9410","0.988","0.988","0.988"
"9414","0.988","0.988","0.988"
"9417","0.988","0.988","0.988"
"9419","0.987","0.987","0.987"
"9422","0.987","0.987","0.987"
"9424","0.987","0.987","0.987"
"9427","0.989","0.989","0.989"
"9429","0.988","0.988","0.988"
"9431","0.989","0.989","0.989"
"9436","0.987","0.987","0.987"
"9440","0.987","0.987","0.987"
"9454","0.987","0.987","0.987"
"9455","0.987","0.987","0.987"
"9458","0.987","0.987","0.987"
"9460","0.987","0.987","0.987"
"9462","0.989","0.989","0.989"
"9464","0.988","0.988","0.988"
"9465","0.989","0.989","0.989"
"9470","0.989","0.989","0.989"
"9479","0.987","0.987","0.987"
"9482","0.988","0.988","0.988"
"9484","0.987","0.987","0.987"
"9486","0.988","0.988","0.988"
"9488","0.987","0.987","0.987"
"9493","0.987","0.987","0.987"
"9495","0.987","0.987","0.987"
"9498","0.988","0.988","0.988"
"9506","0.987","0.987","0.987"
"9509","0.987","0.987","0.987"
"9510","0.987","0.987","0.987"
"9511","0.987","0.987","0.987"
"9512","0.989","0.989","0.989"
"9513","0.99","0.99","0.99"
"9516","0.99","0.99","0.99"
"9518","0.988","0.988","0.988"
"9519","0.988","0.988","0.988"
"9520","0.988","0.988","0.988"
"9521","0.987","0.987","0.987"
"9526","0.988","0.988","0.988"
"9527","0.989","0.989","0.989"
"9533","0.989","0.989","0.989"
"9534","0.987","0.987","0.987"
"9535","0.988","0.988","0.988"
"9537","0.988","0.988","0.988"
"9546","0.988","0.988","0.988"
"9548","0.987","0.987","0.987"
"9555","0.989","0.989","0.989"
"9558","0.988","0.988","0.988"
"9560","0.99","0.99","0.99"
"9562","0.989","0.989","0.989"
"9570","0.988","0.988","0.988"
"9578","0.988","0.988","0.988"
"9579","0.987","0.987","0.987"
"9580","0.987","0.987","0.987"
"9592","0.988","0.988","0.988"
"9595","0.988","0.988","0.988"
"9596","0.988","0.988","0.988"
"9601","0.986","0.986","0.986"
"9602","0.987","0.987","0.987"
"9603","0.987","0.987","0.987"
"9605","0.988","0.988","0.988"
"9606","0.987","0.987","0.987"
"9608","0.988","0.988","0.988"
"9611","0.987","0.987","0.987"
"9614","0.987","0.987","0.987"
"9615","0.987","0.987","0.987"
"9619","0.987","0.987","0.987"
"9620","0.988","0.988","0.988"
"9621","0.988","0.988","0.988"
"9626","0.989","0.989","0.989"
"9627","0.988","0.988","0.988"
"9629","0.989","0.989","0.989"
"9630","0.989","0.989","0.989"
"9633","0.987","0.987","0.987"
"9634","0.987","0.987","0.987"
"9637","0.988","0.988","0.988"
"9638","0.988","0.988","0.988"
"9640","0.989","0.989","0.989"
"9643","0.988","0.988","0.988"
"9648","0.989","0.989","0.989"
"9652","0.988","0.988","0.988"
"9660","0.987","0.987","0.987"
"9661","0.988","0.988","0.988"
"9665","0.987","0.987","0.987"
"9666","0.988","0.988","0.988"
"9667","0.987","0.987","0.987"
"9668","0.987","0.987","0.987"
"9669","0.987","0.987","0.987"
"9674","0.988","0.988","0.988"
"9677","0.988","0.988","0.988"
"9682","0.988","0.988","0.988"
"9685","0.987","0.987","0.987"
"9687","0.989","0.989","0.989"
"9691","0.987","0.987","0.987"
"9696","0.987","0.987","0.987"
"9697","0.988","0.988","0.988"
"9698","0.988","0.988","0.988"
"9699","0.988","0.988","0.988"
"9701","0.988","0.988","0.988"
"9703","0.988","0.988","0.988"
