"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"557","0.972","0.972","0.972"
"562","0.973","0.973","0.973"
"565","0.972","0.972","0.972"
"567","0.973","0.973","0.973"
"570","0.973","0.973","0.973"
"574","0.973","0.973","0.973"
"576","0.973","0.973","0.973"
"588","0.973","0.973","0.973"
"589","0.974","0.974","0.974"
"590","0.974","0.974","0.974"
"596","0.976","0.976","0.976"
"600","0.974","0.974","0.974"
"604","0.974","0.974","0.974"
"605","0.973","0.973","0.973"
"606","0.972","0.972","0.972"
"610","0.973","0.973","0.973"
"613","0.974","0.974","0.974"
"615","0.973","0.973","0.973"
"616","0.976","0.976","0.976"
"617","0.973","0.973","0.973"
"618","0.974","0.974","0.974"
"619","0.974","0.974","0.974"
"621","0.974","0.974","0.974"
"628","0.975","0.975","0.975"
"629","0.975","0.975","0.975"
"630","0.974","0.974","0.974"
"631","0.973","0.973","0.973"
"632","0.974","0.974","0.974"
"635","0.973","0.973","0.973"
"640","0.973","0.973","0.973"
"642","0.974","0.974","0.974"
"651","0.973","0.973","0.973"
"654","0.974","0.974","0.974"
"656","0.975","0.975","0.975"
"663","0.974","0.974","0.974"
"664","0.972","0.972","0.972"
"666","0.973","0.973","0.973"
"667","0.973","0.973","0.973"
"668","0.975","0.975","0.975"
"669","0.976","0.976","0.976"
"672","0.974","0.974","0.974"
"675","0.975","0.975","0.975"
"677","0.974","0.974","0.974"
"678","0.973","0.973","0.973"
"679","0.974","0.974","0.974"
"683","0.974","0.974","0.974"
"690","0.974","0.974","0.974"
"692","0.974","0.974","0.974"
"700","0.976","0.976","0.976"
"703","0.977","0.977","0.977"
"704","0.977","0.977","0.977"
"705","0.976","0.976","0.976"
"706","0.973","0.973","0.973"
"709","0.978","0.978","0.978"
"711","0.973","0.973","0.973"
"712","0.975","0.975","0.975"
"715","0.977","0.977","0.977"
"716","0.975","0.975","0.975"
"721","0.976","0.976","0.976"
"723","0.978","0.978","0.978"
"725","0.975","0.975","0.975"
"726","0.974","0.974","0.974"
"728","0.975","0.975","0.975"
"729","0.975","0.975","0.975"
"732","0.976","0.976","0.976"
"734","0.978","0.978","0.978"
"736","0.974","0.974","0.974"
"739","0.974","0.974","0.974"
"745","0.977","0.977","0.977"
"746","0.976","0.976","0.976"
"749","0.974","0.974","0.974"
"750","0.974","0.974","0.974"
"751","0.975","0.975","0.975"
"756","0.977","0.977","0.977"
"758","0.974","0.974","0.974"
"759","0.977","0.977","0.977"
"763","0.976","0.976","0.976"
"764","0.978","0.978","0.978"
"771","0.978","0.978","0.978"
"773","0.977","0.977","0.977"
"778","0.978","0.978","0.978"
"780","0.976","0.976","0.976"
"781","0.976","0.976","0.976"
"784","0.978","0.978","0.978"
"785","0.977","0.977","0.977"
"787","0.975","0.975","0.975"
"788","0.977","0.977","0.977"
"791","0.976","0.976","0.976"
"794","0.976","0.976","0.976"
"795","0.974","0.974","0.974"
"796","0.977","0.977","0.977"
"797","0.977","0.977","0.977"
"799","0.975","0.975","0.975"
"802","0.977","0.977","0.977"
"807","0.977","0.977","0.977"
"812","0.979","0.979","0.979"
"813","0.976","0.976","0.976"
"814","0.977","0.977","0.977"
"817","0.978","0.978","0.978"
"819","0.975","0.975","0.975"
"820","0.976","0.976","0.976"
"821","0.976","0.976","0.976"
"823","0.978","0.978","0.978"
"828","0.977","0.977","0.977"
"830","0.98","0.98","0.98"
"832","0.978","0.978","0.978"
"839","0.978","0.978","0.978"
"840","0.978","0.978","0.978"
"842","0.979","0.979","0.979"
"846","0.977","0.977","0.977"
"847","0.979","0.979","0.979"
"849","0.978","0.978","0.978"
"850","0.978","0.978","0.978"
"851","0.977","0.977","0.977"
"852","0.98","0.98","0.98"
"854","0.978","0.978","0.978"
"864","0.978","0.978","0.978"
"865","0.978","0.978","0.978"
"866","0.98","0.98","0.98"
"867","0.979","0.979","0.979"
"869","0.978","0.978","0.978"
"873","0.979","0.979","0.979"
"874","0.979","0.979","0.979"
"875","0.977","0.977","0.977"
"877","0.978","0.978","0.978"
"882","0.979","0.979","0.979"
"888","0.979","0.979","0.979"
"893","0.976","0.976","0.976"
"896","0.981","0.981","0.981"
"909","0.979","0.979","0.979"
"912","0.981","0.981","0.981"
"918","0.978","0.978","0.978"
"922","0.979","0.979","0.979"
"928","0.977","0.977","0.977"
"929","0.979","0.979","0.979"
"934","0.98","0.98","0.98"
"938","0.977","0.977","0.977"
"939","0.977","0.977","0.977"
"940","0.981","0.981","0.981"
"947","0.978","0.978","0.978"
"954","0.978","0.978","0.978"
"956","0.982","0.982","0.982"
"959","0.979","0.979","0.979"
"964","0.98","0.98","0.98"
"969","0.981","0.981","0.981"
"972","0.98","0.98","0.98"
"974","0.981","0.981","0.981"
"975","0.978","0.978","0.978"
"980","0.98","0.98","0.98"
"986","0.979","0.979","0.979"
"991","0.981","0.981","0.981"
"992","0.981","0.981","0.981"
"993","0.981","0.981","0.981"
"996","0.98","0.98","0.98"
"997","0.981","0.981","0.981"
"1004","0.383","0.383","0.383"
"1006","0.488","0.488","0.488"
"1007","0.514","0.514","0.514"
"1008","0.559","0.559","0.559"
"1010","0.649","0.649","0.649"
"1013","0.716","0.716","0.716"
"1015","0.758","0.758","0.758"
"1020","0.807","0.807","0.807"
"1025","0.868","0.868","0.868"
"1026","0.856","0.856","0.856"
"1028","0.871","0.871","0.871"
"1030","0.888","0.888","0.888"
"1033","0.901","0.901","0.901"
"1035","0.896","0.896","0.896"
"1036","0.883","0.883","0.883"
"1040","0.92","0.92","0.92"
"1041","0.927","0.927","0.927"
"1042","0.926","0.926","0.926"
"1043","0.927","0.927","0.927"
"1047","0.924","0.924","0.924"
"1053","0.92","0.92","0.92"
"1058","0.948","0.948","0.948"
"1067","0.945","0.945","0.945"
"1068","0.956","0.956","0.956"
"1071","0.961","0.961","0.961"
"1072","0.965","0.965","0.965"
"1073","0.962","0.962","0.962"
"1077","0.963","0.963","0.963"
"1078","0.97","0.97","0.97"
"1080","0.966","0.966","0.966"
"1081","0.966","0.966","0.966"
"1087","0.942","0.942","0.942"
"1088","0.971","0.971","0.971"
"1090","0.973","0.973","0.973"
"1092","0.939","0.939","0.939"
"1093","0.885","0.885","0.885"
"1098","0.958","0.958","0.958"
"1099","0.968","0.968","0.968"
"1100","0.971","0.971","0.971"
"1101","0.971","0.971","0.971"
"1104","0.976","0.976","0.976"
"1105","0.976","0.976","0.976"
"1108","0.978","0.978","0.978"
"1112","0.976","0.976","0.976"
"1114","0.975","0.975","0.975"
"1115","0.976","0.976","0.976"
"1116","0.977","0.977","0.977"
"1118","0.979","0.979","0.979"
"1119","0.98","0.98","0.98"
"1120","0.98","0.98","0.98"
"1124","0.978","0.978","0.978"
"1126","0.979","0.979","0.979"
"1128","0.978","0.978","0.978"
"1129","0.98","0.98","0.98"
"1133","0.976","0.976","0.976"
"1137","0.982","0.982","0.982"
"1138","0.981","0.981","0.981"
"1147","0.984","0.984","0.984"
"1150","0.983","0.983","0.983"
"1151","0.986","0.986","0.986"
"1154","0.972","0.972","0.972"
"1155","0.939","0.939","0.939"
"1157","0.965","0.965","0.965"
"1158","0.979","0.979","0.979"
"1159","0.982","0.982","0.982"
"1160","0.981","0.981","0.981"
"1162","0.982","0.982","0.982"
"1164","0.883","0.883","0.883"
"1170","0.976","0.976","0.976"
"1171","0.977","0.977","0.977"
"1174","0.985","0.985","0.985"
"1175","0.983","0.983","0.983"
"1176","0.986","0.986","0.986"
"1183","0.985","0.985","0.985"
"1184","0.987","0.987","0.987"
"1186","0.975","0.975","0.975"
"1194","0.983","0.983","0.983"
"1199","0.985","0.985","0.985"
"1201","0.985","0.985","0.985"
"1203","0.983","0.983","0.983"
"1204","0.986","0.986","0.986"
"1205","0.986","0.986","0.986"
"1206","0.983","0.983","0.983"
"1210","0.986","0.986","0.986"
"1214","0.984","0.984","0.984"
"1217","0.987","0.987","0.987"
"1219","0.984","0.984","0.984"
"1220","0.986","0.986","0.986"
"1222","0.982","0.982","0.982"
"1226","0.984","0.984","0.984"
"1228","0.987","0.987","0.987"
"1230","0.985","0.985","0.985"
"1234","0.986","0.986","0.986"
"1238","0.987","0.987","0.987"
"1239","0.987","0.987","0.987"
"1244","0.988","0.988","0.988"
"1245","0.987","0.987","0.987"
"1253","0.987","0.987","0.987"
"1259","0.987","0.987","0.987"
