"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"58","0.2964","0.2964","0.2964","0.2525","0.2525","0.2525","0.1725","0.1725","0.1725"
"59","0.29815","0.29815","0.29815","0.2538","0.2538","0.2538","0.1735","0.1735","0.1735"
"60","0.3009","0.3009","0.3009","0.2589","0.2589","0.2589","0.17","0.17","0.17"
"61","0.30185","0.30185","0.30185","0.26125","0.26125","0.26125","0.1725","0.1725","0.1725"
"62","0.29835","0.29835","0.29835","0.2632","0.2632","0.2632","0.1745","0.1745","0.1745"
"63","0.29855","0.29855","0.29855","0.261","0.261","0.261","0.177","0.177","0.177"
"64","0.2964","0.2964","0.2964","0.26365","0.26365","0.26365","0.1845","0.1845","0.1845"
"65","0.2987","0.2987","0.2987","0.2593","0.2593","0.2593","0.1855","0.1855","0.1855"
"66","0.3013","0.3013","0.3013","0.26415","0.26415","0.26415","0.1875","0.1875","0.1875"
"67","0.29965","0.29965","0.29965","0.2678","0.2678","0.2678","0.195","0.195","0.195"
"68","0.30085","0.30085","0.30085","0.26505","0.26505","0.26505","0.194","0.194","0.194"
"69","0.29725","0.29725","0.29725","0.26585","0.26585","0.26585","0.2025","0.2025","0.2025"
"70","0.3004","0.3004","0.3004","0.26845","0.26845","0.26845","0.2","0.2","0.2"
"71","0.29605","0.29605","0.29605","0.2679","0.2679","0.2679","0.2","0.2","0.2"
"72","0.3002","0.3002","0.3002","0.26845","0.26845","0.26845","0.2055","0.2055","0.2055"
"73","0.29635","0.29635","0.29635","0.2686","0.2686","0.2686","0.205","0.205","0.205"
"74","0.3013","0.3013","0.3013","0.26915","0.26915","0.26915","0.217","0.217","0.217"
"75","0.1812","0.1812","0.1812","0.1823","0.1823","0.1823","0.003","0.003","0.003"
"76","0.35455","0.35455","0.35455","0.3118","0.3118","0.3118","0.072","0.072","0.072"
"77","0.3697","0.3697","0.3697","0.3204","0.3204","0.3204","0.142","0.142","0.142"
"78","0.37615","0.37615","0.37615","0.32445","0.32445","0.32445","0.144","0.144","0.144"
"79","0.3738","0.3738","0.3738","0.3255","0.3255","0.3255","0.146","0.146","0.146"
"80","0.3748","0.3748","0.3748","0.32835","0.32835","0.32835","0.146","0.146","0.146"
"81","0.3733","0.3733","0.3733","0.3309","0.3309","0.3309","0.1465","0.1465","0.1465"
"82","0.3719","0.3719","0.3719","0.3359","0.3359","0.3359","0.145","0.145","0.145"
"83","0.3701","0.3701","0.3701","0.33495","0.33495","0.33495","0.1535","0.1535","0.1535"
"84","0.3721","0.3721","0.3721","0.3308","0.3308","0.3308","0.1465","0.1465","0.1465"
"85","0.3691","0.3691","0.3691","0.33225","0.33225","0.33225","0.157","0.157","0.157"
"86","0.37085","0.37085","0.37085","0.33515","0.33515","0.33515","0.161","0.161","0.161"
"87","0.3686","0.3686","0.3686","0.33615","0.33615","0.33615","0.1665","0.1665","0.1665"
"88","0.3681","0.3681","0.3681","0.3351","0.3351","0.3351","0.166","0.166","0.166"
"89","0.3679","0.3679","0.3679","0.338","0.338","0.338","0.17","0.17","0.17"
"90","0.36785","0.36785","0.36785","0.3372","0.3372","0.3372","0.177","0.177","0.177"
