"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"238","0.32725","0.32725","0.32725","0.3149","0.3149","0.3149","0.275","0.275","0.275"
"239","0.32795","0.32795","0.32795","0.3144","0.3144","0.3144","0.2715","0.2715","0.2715"
"240","0.3264","0.3264","0.3264","0.3167","0.3167","0.3167","0.279","0.279","0.279"
"241","0.32735","0.32735","0.32735","0.31515","0.31515","0.31515","0.2855","0.2855","0.2855"
"242","0.32625","0.32625","0.32625","0.3155","0.3155","0.3155","0.283","0.283","0.283"
"243","0.3253","0.3253","0.3253","0.3145","0.3145","0.3145","0.282","0.282","0.282"
"244","0.3263","0.3263","0.3263","0.315","0.315","0.315","0.2875","0.2875","0.2875"
"245","0.3241","0.3241","0.3241","0.31525","0.31525","0.31525","0.2835","0.2835","0.2835"
"246","0.325","0.325","0.325","0.31555","0.31555","0.31555","0.287","0.287","0.287"
"247","0.32575","0.32575","0.32575","0.3175","0.3175","0.3175","0.288","0.288","0.288"
"248","0.32615","0.32615","0.32615","0.31465","0.31465","0.31465","0.289","0.289","0.289"
"249","0.32495","0.32495","0.32495","0.3143","0.3143","0.3143","0.289","0.289","0.289"
"250","0.2647","0.2647","0.2647","0.265","0.265","0.265","0.031","0.031","0.031"
"251","0.33245","0.33245","0.33245","0.29965","0.29965","0.29965","0.0795","0.0795","0.0795"
"252","0.3434","0.3434","0.3434","0.3073","0.3073","0.3073","0.176","0.176","0.176"
"253","0.35025","0.35025","0.35025","0.31125","0.31125","0.31125","0.1995","0.1995","0.1995"
"254","0.3527","0.3527","0.3527","0.31435","0.31435","0.31435","0.2065","0.2065","0.2065"
"255","0.35405","0.35405","0.35405","0.3129","0.3129","0.3129","0.213","0.213","0.213"
"256","0.3569","0.3569","0.3569","0.31305","0.31305","0.31305","0.211","0.211","0.211"
"257","0.35795","0.35795","0.35795","0.31455","0.31455","0.31455","0.22","0.22","0.22"
"258","0.3615","0.3615","0.3615","0.31665","0.31665","0.31665","0.2225","0.2225","0.2225"
"259","0.3628","0.3628","0.3628","0.316","0.316","0.316","0.2215","0.2215","0.2215"
"260","0.36465","0.36465","0.36465","0.31745","0.31745","0.31745","0.242","0.242","0.242"
"261","0.36765","0.36765","0.36765","0.31705","0.31705","0.31705","0.246","0.246","0.246"
"262","0.3687","0.3687","0.3687","0.318","0.318","0.318","0.2515","0.2515","0.2515"
"263","0.37005","0.37005","0.37005","0.31545","0.31545","0.31545","0.244","0.244","0.244"
"264","0.37165","0.37165","0.37165","0.3172","0.3172","0.3172","0.258","0.258","0.258"
"265","0.37135","0.37135","0.37135","0.3165","0.3165","0.3165","0.2505","0.2505","0.2505"
"266","0.37265","0.37265","0.37265","0.3183","0.3183","0.3183","0.258","0.258","0.258"
"267","0.37275","0.37275","0.37275","0.3172","0.3172","0.3172","0.2645","0.2645","0.2645"
"268","0.37455","0.37455","0.37455","0.3172","0.3172","0.3172","0.269","0.269","0.269"
"269","0.3765","0.3765","0.3765","0.3169","0.3169","0.3169","0.2785","0.2785","0.2785"
"270","0.3766","0.3766","0.3766","0.31665","0.31665","0.31665","0.2685","0.2685","0.2685"
"271","0.3777","0.3777","0.3777","0.31745","0.31745","0.31745","0.281","0.281","0.281"
"272","0.3784","0.3784","0.3784","0.31775","0.31775","0.31775","0.282","0.282","0.282"
"273","0.37985","0.37985","0.37985","0.31855","0.31855","0.31855","0.278","0.278","0.278"
"274","0.3817","0.3817","0.3817","0.3177","0.3177","0.3177","0.2835","0.2835","0.2835"
"275","0.2057","0.2057","0.2057","0.22865","0.22865","0.22865","0.0305","0.0305","0.0305"
"276","0.3016","0.3016","0.3016","0.29095","0.29095","0.29095","0.0965","0.0965","0.0965"
"277","0.31675","0.31675","0.31675","0.3022","0.3022","0.3022","0.192","0.192","0.192"
"278","0.31965","0.31965","0.31965","0.3047","0.3047","0.3047","0.2625","0.2625","0.2625"
"279","0.3215","0.3215","0.3215","0.3059","0.3059","0.3059","0.2735","0.2735","0.2735"
"280","0.32165","0.32165","0.32165","0.30815","0.30815","0.30815","0.2755","0.2755","0.2755"
"281","0.3231","0.3231","0.3231","0.30965","0.30965","0.30965","0.28","0.28","0.28"
"282","0.3236","0.3236","0.3236","0.30935","0.30935","0.30935","0.283","0.283","0.283"
"283","0.3243","0.3243","0.3243","0.3104","0.3104","0.3104","0.292","0.292","0.292"
"284","0.32415","0.32415","0.32415","0.30955","0.30955","0.30955","0.288","0.288","0.288"
"285","0.3246","0.3246","0.3246","0.3118","0.3118","0.3118","0.299","0.299","0.299"
"286","0.32375","0.32375","0.32375","0.31275","0.31275","0.31275","0.3095","0.3095","0.3095"
"287","0.32415","0.32415","0.32415","0.3122","0.3122","0.3122","0.315","0.315","0.315"
"288","0.32345","0.32345","0.32345","0.31225","0.31225","0.31225","0.316","0.316","0.316"
"289","0.32365","0.32365","0.32365","0.31285","0.31285","0.31285","0.315","0.315","0.315"
"290","0.32395","0.32395","0.32395","0.3153","0.3153","0.3153","0.3175","0.3175","0.3175"
"291","0.32335","0.32335","0.32335","0.3128","0.3128","0.3128","0.316","0.316","0.316"
"292","0.32355","0.32355","0.32355","0.3151","0.3151","0.3151","0.32","0.32","0.32"
"293","0.3231","0.3231","0.3231","0.31255","0.31255","0.31255","0.32","0.32","0.32"
"294","0.32305","0.32305","0.32305","0.31425","0.31425","0.31425","0.324","0.324","0.324"
"295","0.32225","0.32225","0.32225","0.3148","0.3148","0.3148","0.3285","0.3285","0.3285"
"296","0.3228","0.3228","0.3228","0.3141","0.3141","0.3141","0.3275","0.3275","0.3275"
"297","0.32335","0.32335","0.32335","0.31145","0.31145","0.31145","0.33","0.33","0.33"
"298","0.32245","0.32245","0.32245","0.31195","0.31195","0.31195","0.3305","0.3305","0.3305"
"299","0.32215","0.32215","0.32215","0.3129","0.3129","0.3129","0.33","0.33","0.33"
"300","0.2221","0.2221","0.2221","0.23025","0.23025","0.23025","0.0045","0.0045","0.0045"
"301","0.28505","0.28505","0.28505","0.26385","0.26385","0.26385","0.015","0.015","0.015"
"302","0.2928","0.2928","0.2928","0.27225","0.27225","0.27225","0.1645","0.1645","0.1645"
"303","0.29625","0.29625","0.29625","0.27395","0.27395","0.27395","0.1955","0.1955","0.1955"
"304","0.29775","0.29775","0.29775","0.27565","0.27565","0.27565","0.2345","0.2345","0.2345"
"305","0.2988","0.2988","0.2988","0.279","0.279","0.279","0.2545","0.2545","0.2545"
"306","0.29965","0.29965","0.29965","0.2793","0.2793","0.2793","0.2565","0.2565","0.2565"
"307","0.30065","0.30065","0.30065","0.2801","0.2801","0.2801","0.2675","0.2675","0.2675"
"308","0.29825","0.29825","0.29825","0.28065","0.28065","0.28065","0.2755","0.2755","0.2755"
"309","0.3005","0.3005","0.3005","0.2823","0.2823","0.2823","0.2755","0.2755","0.2755"
"310","0.3007","0.3007","0.3007","0.28195","0.28195","0.28195","0.2765","0.2765","0.2765"
"311","0.2998","0.2998","0.2998","0.2805","0.2805","0.2805","0.2845","0.2845","0.2845"
"312","0.2985","0.2985","0.2985","0.28015","0.28015","0.28015","0.285","0.285","0.285"
"313","0.29925","0.29925","0.29925","0.28165","0.28165","0.28165","0.297","0.297","0.297"
"314","0.29945","0.29945","0.29945","0.28355","0.28355","0.28355","0.298","0.298","0.298"
"315","0.29875","0.29875","0.29875","0.2849","0.2849","0.2849","0.2995","0.2995","0.2995"
"316","0.29875","0.29875","0.29875","0.28365","0.28365","0.28365","0.291","0.291","0.291"
"317","0.2985","0.2985","0.2985","0.28325","0.28325","0.28325","0.293","0.293","0.293"
"318","0.2986","0.2986","0.2986","0.28295","0.28295","0.28295","0.298","0.298","0.298"
"319","0.299","0.299","0.299","0.28255","0.28255","0.28255","0.305","0.305","0.305"
"320","0.2994","0.2994","0.2994","0.28235","0.28235","0.28235","0.3","0.3","0.3"
"321","0.2996","0.2996","0.2996","0.28345","0.28345","0.28345","0.3085","0.3085","0.3085"
"322","0.29835","0.29835","0.29835","0.2843","0.2843","0.2843","0.3075","0.3075","0.3075"
"323","0.29665","0.29665","0.29665","0.2846","0.2846","0.2846","0.3095","0.3095","0.3095"
"324","0.29905","0.29905","0.29905","0.28415","0.28415","0.28415","0.3115","0.3115","0.3115"
"325","0.26035","0.26035","0.26035","0.2656","0.2656","0.2656","0.0195","0.0195","0.0195"
"326","0.3417","0.3417","0.3417","0.32045","0.32045","0.32045","","",""
"327","0.3477","0.3477","0.3477","0.3284","0.3284","0.3284","","",""
"328","0.3495","0.3495","0.3495","0.33205","0.33205","0.33205","","",""
"329","0.35065","0.35065","0.35065","0.3332","0.3332","0.3332","","",""
"330","0.35165","0.35165","0.35165","0.3341","0.3341","0.3341","","",""
"331","0.35185","0.35185","0.35185","0.3327","0.3327","0.3327","","",""
"332","0.3512","0.3512","0.3512","0.33545","0.33545","0.33545","","",""
"333","0.3521","0.3521","0.3521","0.33375","0.33375","0.33375","","",""
"334","0.3525","0.3525","0.3525","0.335","0.335","0.335","","",""
"335","0.3522","0.3522","0.3522","0.33495","0.33495","0.33495","","",""
"336","0.351","0.351","0.351","0.33675","0.33675","0.33675","","",""
"337","0.3516","0.3516","0.3516","0.3355","0.3355","0.3355","","",""
"338","0.35165","0.35165","0.35165","0.338","0.338","0.338","","",""
"339","0.35125","0.35125","0.35125","0.33895","0.33895","0.33895","","",""
"340","0.3518","0.3518","0.3518","0.33695","0.33695","0.33695","","",""
"341","0.3509","0.3509","0.3509","0.3365","0.3365","0.3365","","",""
"342","0.3507","0.3507","0.3507","0.3367","0.3367","0.3367","","",""
"343","0.35085","0.35085","0.35085","0.3358","0.3358","0.3358","","",""
"344","0.35015","0.35015","0.35015","0.33615","0.33615","0.33615","","",""
"345","0.35155","0.35155","0.35155","0.33665","0.33665","0.33665","","",""
"346","0.35105","0.35105","0.35105","0.33725","0.33725","0.33725","","",""
"347","0.35055","0.35055","0.35055","0.33665","0.33665","0.33665","","",""
"348","0.3522","0.3522","0.3522","0.3376","0.3376","0.3376","","",""
"349","0.351","0.351","0.351","0.338","0.338","0.338","","",""
"350","0.2556","0.2556","0.2556","0.25565","0.25565","0.25565","","",""
"351","0.31245","0.31245","0.31245","0.3003","0.3003","0.3003","","",""
"352","0.31835","0.31835","0.31835","0.3075","0.3075","0.3075","","",""
"353","0.3197","0.3197","0.3197","0.31095","0.31095","0.31095","","",""
"354","0.3227","0.3227","0.3227","0.3138","0.3138","0.3138","","",""
"355","0.321","0.321","0.321","0.31545","0.31545","0.31545","","",""
"356","0.32275","0.32275","0.32275","0.3168","0.3168","0.3168","","",""
"357","0.3206","0.3206","0.3206","0.3165","0.3165","0.3165","","",""
"358","0.32125","0.32125","0.32125","0.31555","0.31555","0.31555","","",""
"359","0.3209","0.3209","0.3209","0.31605","0.31605","0.31605","","",""
"360","0.3233","0.3233","0.3233","0.3152","0.3152","0.3152","","",""
"361","0.3221","0.3221","0.3221","0.3168","0.3168","0.3168","","",""
"362","0.3201","0.3201","0.3201","0.31635","0.31635","0.31635","","",""
"363","0.32055","0.32055","0.32055","0.3169","0.3169","0.3169","","",""
"364","0.32135","0.32135","0.32135","0.31675","0.31675","0.31675","","",""
"365","0.3211","0.3211","0.3211","0.31575","0.31575","0.31575","","",""
"366","0.32115","0.32115","0.32115","0.3162","0.3162","0.3162","","",""
"367","0.32095","0.32095","0.32095","0.3148","0.3148","0.3148","","",""
"368","0.3217","0.3217","0.3217","0.31565","0.31565","0.31565","","",""
"369","0.3195","0.3195","0.3195","0.31575","0.31575","0.31575","","",""
"370","0.32015","0.32015","0.32015","0.31595","0.31595","0.31595","","",""
"371","0.3205","0.3205","0.3205","0.31625","0.31625","0.31625","","",""
"372","0.3218","0.3218","0.3218","0.3168","0.3168","0.3168","","",""
"373","0.32005","0.32005","0.32005","0.3168","0.3168","0.3168","","",""
"374","0.3203","0.3203","0.3203","0.3166","0.3166","0.3166","","",""
